h3gp	c0_s1_t1	c1_s1_t1	c2_s1_t1	c3_s1_t1	c4_s1_t1	c5_s1_t1	c6_s1_t1	c7_s1_t1	c8_s1_t1	c9_s1_t1	c0_s2_t1	c1_s2_t1	c2_s2_t1	c3_s2_t1	c4_s2_t1	c5_s2_t1	c6_s2_t1	c7_s2_t1	c8_s2_t1	c9_s2_t1	c0_s3_t1	c1_s3_t1	c3_s3_t1	c4_s3_t1	c5_s3_t1	c6_s3_t1	c7_s3_t1	c9_s3_t1	c0_s4_t1	c1_s4_t1	c3_s4_t1	c7_s4_t1	c9_s4_t1	c0_s1_t2	c1_s1_t2	c2_s1_t2	c3_s1_t2	c4_s1_t2	c5_s1_t2	c6_s1_t2	c7_s1_t2	c8_s1_t2	c9_s1_t2	c0_s2_t2	c1_s2_t2	c2_s2_t2	c3_s2_t2	c4_s2_t2	c5_s2_t2	c6_s2_t2	c7_s2_t2	c8_s2_t2	c9_s2_t2	c0_s3_t2	c1_s3_t2	c3_s3_t2	c4_s3_t2	c5_s3_t2	c6_s3_t2	c7_s3_t2	c9_s3_t2	c0_s4_t2	c1_s4_t2	c3_s4_t2	c7_s4_t2	c9_s4_t2	c0_s1_t3	c1_s1_t3	c2_s1_t3	c3_s1_t3	c4_s1_t3	c5_s1_t3	c6_s1_t3	c7_s1_t3	c8_s1_t3	c9_s1_t3	c0_s2_t3	c1_s2_t3	c2_s2_t3	c3_s2_t3	c4_s2_t3	c5_s2_t3	c6_s2_t3	c7_s2_t3	c8_s2_t3	c9_s2_t3	c0_s3_t3	c1_s3_t3	c3_s3_t3	c4_s3_t3	c5_s3_t3	c6_s3_t3	c7_s3_t3	c9_s3_t3	c0_s4_t3	c1_s4_t3	c3_s4_t3	c7_s4_t3	c9_s4_t3	c0_s1_t4	c1_s1_t4	c2_s1_t4	c3_s1_t4	c4_s1_t4	c5_s1_t4	c6_s1_t4	c7_s1_t4	c8_s1_t4	c9_s1_t4	c0_s2_t4	c1_s2_t4	c2_s2_t4	c3_s2_t4	c4_s2_t4	c5_s2_t4	c6_s2_t4	c7_s2_t4	c8_s2_t4	c9_s2_t4	c0_s3_t4	c1_s3_t4	c3_s3_t4	c4_s3_t4	c5_s3_t4	c6_s3_t4	c7_s3_t4	c9_s3_t4	c0_s4_t4	c1_s4_t4	c3_s4_t4	c7_s4_t4	c9_s4_t4	c0_s1_t5	c1_s1_t5	c2_s1_t5	c3_s1_t5	c4_s1_t5	c5_s1_t5	c6_s1_t5	c7_s1_t5	c8_s1_t5	c9_s1_t5	c0_s2_t5	c1_s2_t5	c2_s2_t5	c3_s2_t5	c4_s2_t5	c5_s2_t5	c6_s2_t5	c7_s2_t5	c8_s2_t5	c9_s2_t5	c0_s3_t5	c1_s3_t5	c3_s3_t5	c4_s3_t5	c5_s3_t5	c6_s3_t5	c7_s3_t5	c9_s3_t5	c0_s4_t5	c1_s4_t5	c3_s4_t5	c7_s4_t5	c9_s4_t5
11	72.97	99.00	63.52	88.86	-9.00	69.04	99.00	50.77	-9.00	79.10	53.69	90.93	64.74	69.44	-9.00	70.16	99.00	47.75	-9.00	75.26	-9.00	-9.00	98.13	-9.00	67.49	-9.00	-9.00	62.74	60.11	-9.00	61.92	43.40	96.01	78.13	99.00	65.35	65.78	-9.00	76.73	-9.00	56.34	-9.00	84.15	77.62	99.00	65.25	93.61	-9.00	74.33	-9.00	63.13	-9.00	77.83	52.22	-9.00	-9.00	-9.00	-9.00	-9.00	48.26	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	52.59	98.46	-9.00	79.02	-9.00	67.16	72.10	48.32	-9.00	76.24	51.02	96.97	-9.00	49.87	-9.00	75.13	73.79	47.97	-9.00	75.94	-9.00	80.27	77.39	-9.00	-9.00	-9.00	-9.00	-9.00	69.01	-9.00	59.54	66.52	84.15	82.20	99.00	65.35	74.56	-9.00	74.48	-9.00	56.34	-9.00	93.32	89.29	99.00	65.25	82.29	-9.00	78.86	-9.00	63.13	-9.00	89.93	54.10	-9.00	-9.00	-9.00	-9.00	-9.00	48.26	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	52.42	98.46	-9.00	79.02	-9.00	64.93	56.95	48.32	-9.00	75.26	50.11	96.97	-9.00	95.35	-9.00	63.47	57.21	47.97	-9.00	72.80	-9.00	80.27	65.39	-9.00	66.47	-9.00	-9.00	73.90	68.70	-9.00	63.64	66.52	84.71
12	93.49	79.04	63.52	96.58	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	50.26	67.99	64.74	69.44	-9.00	-9.00	-9.00	-9.00	-9.00	63.10	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	85.97	99.00	65.35	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	87.84	99.00	65.25	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	89.99	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	44.97	99.00	-9.00	79.02	-9.00	-9.00	-9.00	-9.00	-9.00	76.77	46.43	99.00	-9.00	49.87	-9.00	-9.00	-9.00	-9.00	-9.00	69.04	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	75.78	99.00	65.35	87.28	-9.00	-9.00	-9.00	-9.00	-9.00	72.97	81.28	99.00	65.25	66.61	-9.00	-9.00	-9.00	-9.00	-9.00	68.07	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	48.96	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	86.39	46.42	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	87.29	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
13	93.49	79.04	-9.00	-9.00	-9.00	62.91	-9.00	-9.00	-9.00	99.00	50.26	67.99	-9.00	-9.00	-9.00	97.15	-9.00	-9.00	-9.00	63.10	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	47.56	93.23	-9.00	-9.00	-9.00	81.18	-9.00	-9.00	-9.00	76.77	46.43	99.00	-9.00	-9.00	-9.00	78.03	-9.00	-9.00	-9.00	69.04	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	48.14	93.23	-9.00	-9.00	-9.00	61.16	-9.00	-9.00	-9.00	86.39	46.42	99.00	-9.00	-9.00	-9.00	58.02	-9.00	-9.00	-9.00	87.29	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
14	65.69	79.04	63.52	88.86	-9.00	62.91	99.00	62.22	-9.00	64.51	50.26	67.99	64.74	69.44	-9.00	97.15	99.00	40.92	-9.00	63.10	75.75	-9.00	98.13	-9.00	67.49	-9.00	54.30	62.74	60.11	-9.00	-9.00	43.40	-9.00	85.97	99.00	65.35	-9.00	-9.00	61.85	-9.00	-9.00	-9.00	99.00	87.84	99.00	65.25	-9.00	-9.00	99.00	-9.00	-9.00	-9.00	89.99	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	47.56	93.23	-9.00	79.02	-9.00	81.18	72.10	38.12	-9.00	56.97	55.44	56.87	-9.00	49.87	-9.00	78.03	73.79	41.69	-9.00	50.52	65.94	80.27	77.39	-9.00	-9.00	-9.00	64.28	-9.00	69.01	-9.00	-9.00	66.52	-9.00	75.78	99.00	65.35	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	72.97	81.28	99.00	65.25	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	68.07	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	48.14	93.23	-9.00	79.02	-9.00	61.16	56.95	38.12	-9.00	57.58	54.24	56.87	-9.00	95.35	-9.00	58.02	57.21	41.69	-9.00	52.00	66.06	80.27	65.39	-9.00	66.47	-9.00	64.28	73.90	68.70	-9.00	-9.00	66.52	-9.00
20	65.39	99.00	63.52	99.00	99.00	68.29	50.11	42.62	70.00	69.25	48.35	99.00	64.74	99.00	99.00	65.33	50.11	50.19	72.24	61.06	65.91	-9.00	-9.00	1.00	-9.00	38.22	46.47	62.74	-9.00	-9.00	-9.00	-9.00	-9.00	71.38	99.00	-9.00	65.78	99.00	-9.00	50.78	54.13	74.74	71.04	61.83	99.00	-9.00	93.61	99.00	-9.00	50.68	52.15	77.06	60.67	52.22	-9.00	-9.00	1.00	-9.00	-9.00	43.38	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	47.49	99.00	99.00	99.00	-9.00	73.91	48.95	50.11	26.04	64.48	47.06	99.00	99.00	99.00	-9.00	77.33	48.95	50.23	53.66	58.89	63.74	-9.00	-9.00	-9.00	-9.00	38.48	62.08	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.59	99.00	-9.00	86.76	99.00	-9.00	50.17	54.13	65.07	70.04	59.60	99.00	-9.00	82.29	99.00	-9.00	50.28	52.15	83.02	59.04	54.10	-9.00	-9.00	1.00	-9.00	42.08	43.38	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	48.05	99.00	99.00	95.94	-9.00	66.94	48.68	50.11	66.02	65.90	47.01	99.00	99.00	99.00	-9.00	61.87	48.68	50.23	78.99	60.48	63.26	-9.00	-9.00	-9.00	-9.00	39.24	62.08	73.90	-9.00	-9.00	-9.00	-9.00	-9.00
21	79.58	98.72	63.52	99.00	99.00	94.88	82.73	49.87	70.00	88.97	50.09	88.89	64.74	99.00	99.00	95.76	82.74	47.80	72.24	86.98	65.91	-9.00	-9.00	-9.00	-9.00	-9.00	46.47	-9.00	84.66	-9.00	-9.00	48.32	-9.00	84.63	99.00	65.35	65.78	99.00	78.62	83.34	54.13	74.74	96.14	85.33	89.79	65.25	93.61	99.00	75.26	83.06	52.15	77.06	87.96	-9.00	-9.00	59.65	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	50.23	98.16	99.00	99.00	-9.00	73.91	83.27	50.26	38.89	87.21	47.40	93.86	99.00	99.00	-9.00	77.33	83.36	47.64	53.66	88.00	63.74	-9.00	-9.00	-9.00	-9.00	-9.00	62.08	-9.00	72.71	-9.00	-9.00	66.52	-9.00	81.80	99.00	65.35	86.76	99.00	74.48	49.12	54.13	65.07	93.33	83.80	89.79	65.25	82.29	99.00	78.86	49.06	52.15	83.02	86.84	-9.00	-9.00	63.09	-9.00	-9.00	42.08	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	51.13	98.16	99.00	95.94	-9.00	92.23	86.21	50.26	89.25	89.05	47.28	93.86	99.00	99.00	-9.00	92.15	85.89	47.64	68.55	89.92	63.26	-9.00	-9.00	-9.00	-9.00	-9.00	62.08	-9.00	72.51	-9.00	-9.00	66.52	-9.00
22	74.84	88.61	63.52	99.00	99.00	74.58	95.26	51.17	70.00	86.10	54.75	79.90	64.74	99.00	99.00	78.28	95.05	49.13	72.24	85.17	65.91	-9.00	-9.00	-9.00	-9.00	-9.00	46.47	-9.00	60.11	-9.00	-9.00	43.40	-9.00	83.62	97.55	65.35	65.78	99.00	78.62	50.78	69.06	74.74	94.01	89.32	83.66	65.25	93.61	99.00	75.26	50.68	52.15	77.06	89.93	52.22	-9.00	-9.00	-9.00	-9.00	-9.00	43.38	-9.00	34.25	-9.00	-9.00	37.86	-9.00	53.70	82.28	-9.00	99.00	-9.00	70.28	90.60	50.10	26.04	82.48	51.39	77.36	-9.00	99.00	-9.00	77.33	90.22	49.18	53.66	83.42	63.74	-9.00	-9.00	-9.00	-9.00	-9.00	62.08	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	83.10	97.55	65.35	86.76	99.00	74.48	50.17	69.06	65.07	95.18	90.76	83.66	65.25	82.29	99.00	78.86	50.28	52.15	83.02	93.34	54.10	-9.00	-9.00	-9.00	-9.00	42.08	43.38	-9.00	34.12	-9.00	-9.00	37.86	-9.00	54.37	82.28	-9.00	95.94	-9.00	67.00	90.84	50.10	89.25	84.00	51.33	77.36	-9.00	99.00	-9.00	62.40	90.42	49.18	68.55	84.12	63.26	-9.00	-9.00	-9.00	-9.00	-9.00	62.08	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
23	75.62	99.00	-9.00	99.00	-9.00	68.29	50.11	59.31	-9.00	69.25	66.41	99.00	-9.00	99.00	-9.00	65.33	50.11	41.83	-9.00	61.06	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	60.51	99.00	-9.00	99.00	-9.00	73.91	48.95	43.61	-9.00	64.48	59.08	99.00	-9.00	99.00	-9.00	77.33	48.95	42.54	-9.00	58.89	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.59	-9.00	-9.00	-9.00	-9.00	-9.00	50.17	-9.00	-9.00	70.04	59.60	-9.00	-9.00	-9.00	-9.00	-9.00	50.28	-9.00	-9.00	59.04	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	61.64	99.00	-9.00	95.94	-9.00	66.94	48.68	43.61	-9.00	65.90	59.40	99.00	-9.00	99.00	-9.00	61.87	48.68	42.54	-9.00	60.48	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
24	77.00	99.00	63.52	-9.00	99.00	68.29	50.11	51.04	-9.00	69.25	53.77	99.00	64.74	-9.00	99.00	65.33	50.11	51.12	-9.00	61.06	-9.00	-9.00	-9.00	1.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	71.38	99.00	-9.00	-9.00	99.00	78.62	-9.00	-9.00	-9.00	71.04	61.83	99.00	-9.00	-9.00	99.00	75.26	-9.00	-9.00	-9.00	60.67	-9.00	-9.00	-9.00	1.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	54.18	99.00	99.00	-9.00	-9.00	73.91	48.95	52.12	-9.00	64.48	50.63	99.00	99.00	-9.00	-9.00	77.33	48.95	51.06	-9.00	58.89	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.59	99.00	-9.00	-9.00	99.00	-9.00	50.17	-9.00	-9.00	70.04	59.60	99.00	-9.00	-9.00	99.00	-9.00	50.28	-9.00	-9.00	59.04	-9.00	-9.00	-9.00	1.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	54.86	99.00	99.00	-9.00	-9.00	66.94	48.68	52.12	-9.00	65.90	50.53	99.00	99.00	-9.00	-9.00	61.87	48.68	51.06	-9.00	60.48	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
25	65.39	99.00	-9.00	99.00	-9.00	-9.00	50.11	-9.00	-9.00	69.25	48.35	99.00	-9.00	99.00	-9.00	-9.00	50.11	-9.00	-9.00	61.06	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	47.49	99.00	-9.00	99.00	-9.00	-9.00	48.95	-9.00	-9.00	64.48	47.06	99.00	-9.00	99.00	-9.00	-9.00	48.95	-9.00	-9.00	58.89	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.59	-9.00	-9.00	-9.00	-9.00	-9.00	50.17	-9.00	-9.00	70.04	59.60	-9.00	-9.00	-9.00	-9.00	-9.00	50.28	-9.00	-9.00	59.04	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	48.05	99.00	-9.00	95.94	-9.00	-9.00	48.68	-9.00	-9.00	65.90	47.01	99.00	-9.00	99.00	-9.00	-9.00	48.68	-9.00	-9.00	60.48	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
