hisco	c0_s1_t1	c1_s1_t1	c2_s1_t1	c3_s1_t1	c4_s1_t1	c5_s1_t1	c6_s1_t1	c7_s1_t1	c8_s1_t1	c9_s1_t1	c0_s2_t1	c1_s2_t1	c2_s2_t1	c3_s2_t1	c4_s2_t1	c5_s2_t1	c6_s2_t1	c7_s2_t1	c8_s2_t1	c9_s2_t1	c0_s3_t1	c1_s3_t1	c3_s3_t1	c4_s3_t1	c5_s3_t1	c6_s3_t1	c7_s3_t1	c9_s3_t1	c0_s4_t1	c1_s4_t1	c3_s4_t1	c7_s4_t1	c9_s4_t1	c0_s1_t2	c1_s1_t2	c2_s1_t2	c3_s1_t2	c4_s1_t2	c5_s1_t2	c6_s1_t2	c7_s1_t2	c8_s1_t2	c9_s1_t2	c0_s2_t2	c1_s2_t2	c2_s2_t2	c3_s2_t2	c4_s2_t2	c5_s2_t2	c6_s2_t2	c7_s2_t2	c8_s2_t2	c9_s2_t2	c0_s3_t2	c1_s3_t2	c3_s3_t2	c4_s3_t2	c5_s3_t2	c6_s3_t2	c7_s3_t2	c9_s3_t2	c0_s4_t2	c1_s4_t2	c3_s4_t2	c7_s4_t2	c9_s4_t2	c0_s1_t3	c1_s1_t3	c2_s1_t3	c3_s1_t3	c4_s1_t3	c5_s1_t3	c6_s1_t3	c7_s1_t3	c8_s1_t3	c9_s1_t3	c0_s2_t3	c1_s2_t3	c2_s2_t3	c3_s2_t3	c4_s2_t3	c5_s2_t3	c6_s2_t3	c7_s2_t3	c8_s2_t3	c9_s2_t3	c0_s3_t3	c1_s3_t3	c3_s3_t3	c4_s3_t3	c5_s3_t3	c6_s3_t3	c7_s3_t3	c9_s3_t3	c0_s4_t3	c1_s4_t3	c3_s4_t3	c7_s4_t3	c9_s4_t3	c0_s1_t4	c1_s1_t4	c2_s1_t4	c3_s1_t4	c4_s1_t4	c5_s1_t4	c6_s1_t4	c7_s1_t4	c8_s1_t4	c9_s1_t4	c0_s2_t4	c1_s2_t4	c2_s2_t4	c3_s2_t4	c4_s2_t4	c5_s2_t4	c6_s2_t4	c7_s2_t4	c8_s2_t4	c9_s2_t4	c0_s3_t4	c1_s3_t4	c3_s3_t4	c4_s3_t4	c5_s3_t4	c6_s3_t4	c7_s3_t4	c9_s3_t4	c0_s4_t4	c1_s4_t4	c3_s4_t4	c7_s4_t4	c9_s4_t4	c0_s1_t5	c1_s1_t5	c2_s1_t5	c3_s1_t5	c4_s1_t5	c5_s1_t5	c6_s1_t5	c7_s1_t5	c8_s1_t5	c9_s1_t5	c0_s2_t5	c1_s2_t5	c2_s2_t5	c3_s2_t5	c4_s2_t5	c5_s2_t5	c6_s2_t5	c7_s2_t5	c8_s2_t5	c9_s2_t5	c0_s3_t5	c1_s3_t5	c3_s3_t5	c4_s3_t5	c5_s3_t5	c6_s3_t5	c7_s3_t5	c9_s3_t5	c0_s4_t5	c1_s4_t5	c3_s4_t5	c7_s4_t5	c9_s4_t5
1100	88.82	-9.00	-9.00	-9.00	-9.00	75.73	-9.00	-9.00	-9.00	99.00	89.88	-9.00	-9.00	-9.00	-9.00	71.19	-9.00	-9.00	-9.00	93.57	68.72	-9.00	-9.00	-9.00	64.08	-9.00	-9.00	60.49	-9.00	-9.00	-9.00	-9.00	-9.00	86.42	-9.00	-9.00	-9.00	-9.00	67.23	-9.00	-9.00	-9.00	99.00	78.79	-9.00	-9.00	-9.00	-9.00	69.58	-9.00	-9.00	-9.00	81.21	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	57.12	-9.00	-9.00	-9.00	-9.00	59.76	-9.00	-9.00	-9.00	84.76	44.89	-9.00	-9.00	-9.00	-9.00	66.64	-9.00	-9.00	-9.00	99.00	64.00	-9.00	-9.00	-9.00	65.43	-9.00	-9.00	61.11	-9.00	-9.00	-9.00	-9.00	-9.00	73.42	-9.00	-9.00	-9.00	-9.00	71.55	-9.00	-9.00	-9.00	96.59	74.11	-9.00	-9.00	-9.00	-9.00	73.04	-9.00	-9.00	-9.00	53.57	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	54.38	-9.00	-9.00	-9.00	-9.00	73.86	-9.00	-9.00	-9.00	99.00	41.62	-9.00	-9.00	-9.00	-9.00	59.67	-9.00	-9.00	-9.00	99.00	62.94	-9.00	-9.00	-9.00	62.91	-9.00	-9.00	55.61	-9.00	-9.00	-9.00	-9.00	-9.00
1110	71.66	99.00	68.79	97.69	-9.00	58.43	-9.00	57.44	-9.00	68.59	54.77	88.33	69.47	82.06	-9.00	54.05	-9.00	47.42	-9.00	63.54	-9.00	50.32	86.49	-9.00	-9.00	-9.00	-9.00	60.49	70.07	-9.00	60.92	47.80	48.24	83.66	99.00	72.37	90.94	-9.00	61.29	-9.00	56.51	-9.00	68.70	89.60	99.00	72.80	95.05	-9.00	63.36	-9.00	68.04	-9.00	99.00	63.62	-9.00	-9.00	-9.00	-9.00	-9.00	43.71	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	63.56	99.00	-9.00	85.31	-9.00	58.20	-9.00	48.07	-9.00	60.28	56.53	93.38	-9.00	71.82	-9.00	99.00	-9.00	47.58	-9.00	51.38	-9.00	91.26	78.57	-9.00	-9.00	-9.00	-9.00	61.11	62.64	-9.00	58.18	65.56	67.24	85.49	99.00	72.37	83.73	-9.00	-9.00	-9.00	56.51	-9.00	96.59	74.11	99.00	72.80	87.60	-9.00	-9.00	-9.00	68.04	-9.00	53.57	61.09	-9.00	-9.00	-9.00	-9.00	-9.00	43.71	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	63.14	99.00	-9.00	87.55	-9.00	58.76	-9.00	48.07	-9.00	55.97	55.12	93.38	-9.00	75.67	-9.00	50.90	-9.00	47.58	-9.00	56.17	-9.00	91.26	67.95	-9.00	-9.00	-9.00	-9.00	55.61	64.05	-9.00	59.19	65.56	76.82
1190	81.92	-9.00	-9.00	97.69	-9.00	-9.00	80.66	-9.00	-9.00	55.67	50.38	-9.00	-9.00	82.06	-9.00	-9.00	80.40	-9.00	-9.00	48.46	68.72	-9.00	86.49	-9.00	-9.00	-9.00	-9.00	60.49	-9.00	-9.00	-9.00	-9.00	-9.00	71.34	-9.00	-9.00	90.94	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	70.16	-9.00	-9.00	95.05	-9.00	-9.00	-9.00	-9.00	-9.00	69.51	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.75	-9.00	-9.00	85.31	-9.00	-9.00	46.18	-9.00	-9.00	65.86	43.29	-9.00	-9.00	71.82	-9.00	-9.00	44.46	-9.00	-9.00	89.30	64.00	-9.00	78.57	-9.00	-9.00	-9.00	-9.00	61.11	-9.00	-9.00	-9.00	-9.00	-9.00	73.42	-9.00	-9.00	83.73	-9.00	-9.00	-9.00	-9.00	-9.00	69.47	74.11	-9.00	-9.00	87.60	-9.00	-9.00	-9.00	-9.00	-9.00	65.30	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.13	-9.00	-9.00	87.55	-9.00	-9.00	42.27	-9.00	-9.00	45.90	54.92	-9.00	-9.00	75.67	-9.00	-9.00	47.15	-9.00	-9.00	50.71	62.94	-9.00	67.95	-9.00	-9.00	-9.00	-9.00	55.61	-9.00	-9.00	-9.00	-9.00	-9.00
1200	81.92	67.92	-9.00	97.69	-9.00	-9.00	-9.00	-9.00	-9.00	55.67	50.38	56.77	-9.00	82.06	-9.00	-9.00	-9.00	-9.00	-9.00	48.46	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	71.34	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	70.16	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.51	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	70.38	99.00	-9.00	85.31	-9.00	-9.00	-9.00	-9.00	-9.00	74.87	59.06	86.98	-9.00	71.82	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	73.42	99.00	-9.00	83.73	-9.00	-9.00	-9.00	-9.00	-9.00	96.59	74.11	99.00	-9.00	87.60	-9.00	-9.00	-9.00	-9.00	-9.00	53.57	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.72	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	54.92	86.98	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	87.35	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
1210	81.92	99.00	68.79	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	55.67	50.38	99.00	69.47	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	48.46	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	71.34	-9.00	72.37	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	70.16	-9.00	72.80	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.51	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	70.38	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	74.87	59.06	86.98	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	73.42	-9.00	72.37	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	96.59	74.11	-9.00	72.80	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.57	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.72	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	54.92	86.98	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	87.35	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
1300	81.92	-9.00	-9.00	-9.00	-9.00	58.43	-9.00	-9.00	-9.00	55.67	50.38	-9.00	-9.00	-9.00	-9.00	54.05	-9.00	-9.00	-9.00	48.46	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.75	-9.00	-9.00	-9.00	-9.00	58.20	-9.00	-9.00	-9.00	65.86	43.29	-9.00	-9.00	-9.00	-9.00	99.00	-9.00	-9.00	-9.00	89.30	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.13	-9.00	-9.00	-9.00	-9.00	58.76	-9.00	-9.00	-9.00	45.90	54.92	-9.00	-9.00	-9.00	-9.00	50.90	-9.00	-9.00	-9.00	50.71	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
1340	81.92	67.92	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	55.67	50.38	56.77	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	48.46	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.75	71.94	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	65.86	43.29	86.98	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	89.30	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.13	71.94	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	45.90	54.92	86.98	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	50.71	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
1400	64.79	67.92	-9.00	97.69	-9.00	58.43	80.66	67.42	-9.00	55.67	50.38	56.77	-9.00	82.06	-9.00	54.05	80.40	44.30	-9.00	48.46	79.89	50.32	86.49	-9.00	64.08	-9.00	56.62	60.49	70.07	-9.00	-9.00	47.80	-9.00	71.34	99.00	-9.00	-9.00	-9.00	61.29	-9.00	-9.00	-9.00	99.00	70.16	99.00	-9.00	-9.00	-9.00	63.36	-9.00	-9.00	-9.00	69.51	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.75	71.94	-9.00	85.31	-9.00	58.20	46.18	38.44	-9.00	65.86	43.29	59.97	-9.00	71.82	-9.00	99.00	44.46	44.69	-9.00	89.30	70.01	91.26	78.57	-9.00	65.43	-9.00	64.18	61.11	62.64	-9.00	-9.00	65.56	-9.00	73.42	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	96.59	74.11	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.57	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	53.13	71.94	-9.00	87.55	-9.00	58.76	42.27	38.44	-9.00	45.90	58.56	59.97	-9.00	75.67	-9.00	50.90	47.15	44.69	-9.00	50.71	69.67	91.26	67.95	-9.00	62.91	-9.00	64.18	55.61	64.05	-9.00	-9.00	65.56	-9.00
1420	81.92	-9.00	-9.00	97.69	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	65.12	-9.00	-9.00	82.06	-9.00	-9.00	-9.00	-9.00	-9.00	83.32	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	70.38	-9.00	-9.00	85.31	-9.00	-9.00	-9.00	-9.00	-9.00	74.87	59.06	-9.00	-9.00	71.82	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.72	-9.00	-9.00	87.55	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	54.92	-9.00	-9.00	75.67	-9.00	-9.00	-9.00	-9.00	-9.00	87.35	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
1430	81.92	-9.00	68.79	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	55.67	50.38	-9.00	69.47	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	48.46	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	71.34	-9.00	72.37	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	99.00	70.16	-9.00	72.80	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.51	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	73.42	-9.00	72.37	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	69.47	74.11	-9.00	72.80	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	65.30	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
