h2gp	c0_s1_t1	c1_s1_t1	c2_s1_t1	c3_s1_t1	c4_s1_t1	c5_s1_t1	c6_s1_t1	c7_s1_t1	c8_s1_t1	c9_s1_t1	c0_s2_t1	c1_s2_t1	c2_s2_t1	c3_s2_t1	c4_s2_t1	c5_s2_t1	c6_s2_t1	c7_s2_t1	c8_s2_t1	c9_s2_t1	c0_s3_t1	c1_s3_t1	c3_s3_t1	c4_s3_t1	c5_s3_t1	c6_s3_t1	c7_s3_t1	c9_s3_t1	c0_s4_t1	c1_s4_t1	c3_s4_t1	c7_s4_t1	c9_s4_t1	c0_s1_t2	c1_s1_t2	c2_s1_t2	c3_s1_t2	c4_s1_t2	c5_s1_t2	c6_s1_t2	c7_s1_t2	c8_s1_t2	c9_s1_t2	c0_s2_t2	c1_s2_t2	c2_s2_t2	c3_s2_t2	c4_s2_t2	c5_s2_t2	c6_s2_t2	c7_s2_t2	c8_s2_t2	c9_s2_t2	c0_s3_t2	c1_s3_t2	c3_s3_t2	c4_s3_t2	c5_s3_t2	c6_s3_t2	c7_s3_t2	c9_s3_t2	c0_s4_t2	c1_s4_t2	c3_s4_t2	c7_s4_t2	c9_s4_t2	c0_s1_t3	c1_s1_t3	c2_s1_t3	c3_s1_t3	c4_s1_t3	c5_s1_t3	c6_s1_t3	c7_s1_t3	c8_s1_t3	c9_s1_t3	c0_s2_t3	c1_s2_t3	c2_s2_t3	c3_s2_t3	c4_s2_t3	c5_s2_t3	c6_s2_t3	c7_s2_t3	c8_s2_t3	c9_s2_t3	c0_s3_t3	c1_s3_t3	c3_s3_t3	c4_s3_t3	c5_s3_t3	c6_s3_t3	c7_s3_t3	c9_s3_t3	c0_s4_t3	c1_s4_t3	c3_s4_t3	c7_s4_t3	c9_s4_t3	c0_s1_t4	c1_s1_t4	c2_s1_t4	c3_s1_t4	c4_s1_t4	c5_s1_t4	c6_s1_t4	c7_s1_t4	c8_s1_t4	c9_s1_t4	c0_s2_t4	c1_s2_t4	c2_s2_t4	c3_s2_t4	c4_s2_t4	c5_s2_t4	c6_s2_t4	c7_s2_t4	c8_s2_t4	c9_s2_t4	c0_s3_t4	c1_s3_t4	c3_s3_t4	c4_s3_t4	c5_s3_t4	c6_s3_t4	c7_s3_t4	c9_s3_t4	c0_s4_t4	c1_s4_t4	c3_s4_t4	c7_s4_t4	c9_s4_t4	c0_s1_t5	c1_s1_t5	c2_s1_t5	c3_s1_t5	c4_s1_t5	c5_s1_t5	c6_s1_t5	c7_s1_t5	c8_s1_t5	c9_s1_t5	c0_s2_t5	c1_s2_t5	c2_s2_t5	c3_s2_t5	c4_s2_t5	c5_s2_t5	c6_s2_t5	c7_s2_t5	c8_s2_t5	c9_s2_t5	c0_s3_t5	c1_s3_t5	c3_s3_t5	c4_s3_t5	c5_s3_t5	c6_s3_t5	c7_s3_t5	c9_s3_t5	c0_s4_t5	c1_s4_t5	c3_s4_t5	c7_s4_t5	c9_s4_t5
1	74.01	86.81	58.74	90.37	-9.00	68.76	96.76	60.93	-9.00	76.96	70.99	79.62	61.44	70.09	-9.00	69.91	96.52	46.41	-9.00	72.03	63.10	49.07	78.15	-9.00	75.68	-9.00	61.11	68.65	52.14	-9.00	72.49	49.41	57.11	83.07	91.33	60.17	74.38	-9.00	67.51	-9.00	58.35	-9.00	84.49	76.18	73.78	62.21	69.07	-9.00	65.91	-9.00	63.52	-9.00	76.31	63.56	-9.00	-9.00	-9.00	-9.00	-9.00	44.04	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	68.26	84.68	-9.00	87.50	-9.00	62.01	99.00	46.39	-9.00	68.44	68.11	84.40	-9.00	58.61	-9.00	65.12	99.00	47.03	-9.00	66.10	67.54	76.73	70.88	-9.00	68.56	-9.00	51.71	71.51	70.82	-9.00	65.99	61.75	64.11	87.67	91.33	60.17	82.46	-9.00	70.50	-9.00	58.35	-9.00	92.91	83.71	73.78	62.21	69.92	-9.00	70.43	-9.00	63.52	-9.00	85.35	64.26	-9.00	-9.00	-9.00	-9.00	-9.00	44.04	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	68.68	84.68	-9.00	86.38	-9.00	68.24	99.00	46.39	-9.00	70.83	68.08	84.40	-9.00	72.97	-9.00	70.53	99.00	47.03	-9.00	68.66	67.58	76.73	75.25	-9.00	74.74	-9.00	51.71	72.15	70.31	-9.00	64.88	61.75	65.17
2	71.22	93.67	58.74	99.00	93.58	83.70	61.21	59.84	69.51	76.03	66.54	85.95	61.44	99.00	99.00	83.53	61.27	49.02	74.35	70.66	-9.00	-9.00	78.15	28.95	75.68	-9.00	-9.00	-9.00	52.14	-9.00	-9.00	49.41	-9.00	76.74	99.00	60.17	74.38	96.74	64.82	60.93	59.96	72.52	80.93	71.44	89.24	62.21	69.07	99.00	64.63	60.83	54.57	81.24	73.57	-9.00	51.31	67.46	28.03	-9.00	48.24	-9.00	51.09	37.16	-9.00	-9.00	39.95	-9.00	65.71	90.49	99.00	99.00	-9.00	75.14	60.17	50.49	41.82	72.03	63.55	87.75	94.74	94.18	-9.00	76.22	60.29	49.16	74.01	68.63	-9.00	76.73	70.88	-9.00	68.56	32.22	-9.00	-9.00	70.82	-9.00	-9.00	61.75	-9.00	74.69	99.00	60.17	98.99	96.74	70.50	60.41	59.96	71.62	77.50	68.60	89.24	62.21	82.20	99.00	70.43	60.24	54.57	77.12	69.55	-9.00	51.31	83.69	28.03	-9.00	46.34	-9.00	-9.00	41.47	-9.00	-9.00	39.95	-9.00	66.77	90.49	99.00	99.00	-9.00	80.98	60.39	50.49	72.28	73.92	64.46	87.75	94.74	93.21	-9.00	81.32	60.56	49.16	81.61	70.43	-9.00	76.73	75.25	-9.00	74.74	32.37	-9.00	-9.00	70.31	-9.00	-9.00	61.75	-9.00
3	67.85	76.39	58.74	68.44	93.58	60.73	64.64	62.92	76.98	71.76	65.11	69.14	61.44	65.45	99.00	63.62	64.87	47.33	86.70	67.33	-9.00	-9.00	-9.00	-9.00	75.68	34.09	-9.00	-9.00	52.14	-9.00	-9.00	49.41	57.11	75.32	76.11	60.17	60.11	96.74	50.96	86.69	-9.00	81.10	77.11	72.10	69.54	62.21	60.93	99.00	52.11	87.36	-9.00	81.24	72.95	-9.00	-9.00	67.46	-9.00	60.25	48.24	-9.00	-9.00	37.16	-9.00	-9.00	-9.00	43.61	62.35	74.77	99.00	68.45	-9.00	59.60	59.21	46.87	41.82	65.73	61.24	70.13	94.74	65.00	-9.00	60.86	59.35	47.68	74.01	63.22	-9.00	76.73	70.88	-9.00	68.56	32.22	-9.00	-9.00	70.82	-9.00	-9.00	61.75	-9.00	75.05	76.11	60.17	62.34	96.74	70.50	78.95	-9.00	71.62	76.44	70.97	69.54	62.21	61.68	99.00	70.43	79.52	-9.00	77.12	71.69	-9.00	-9.00	83.69	-9.00	91.25	46.34	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	62.45	74.77	99.00	67.11	-9.00	61.83	59.26	46.87	70.78	66.44	61.96	70.13	94.74	65.40	-9.00	64.10	59.35	47.68	81.61	64.07	-9.00	76.73	75.25	-9.00	74.74	32.37	-9.00	-9.00	70.31	-9.00	-9.00	61.75	65.17
4	50.20	53.66	49.18	70.76	75.30	55.31	59.82	62.41	69.82	52.61	49.94	50.36	48.86	70.09	75.72	53.76	59.77	51.52	65.71	50.94	-9.00	-9.00	78.15	-9.00	-9.00	-9.00	-9.00	-9.00	36.62	54.02	-9.00	-9.00	37.39	53.24	54.34	48.05	74.38	74.35	54.11	60.01	58.35	70.91	54.53	51.87	51.06	48.04	69.07	73.91	54.27	59.90	63.52	65.53	52.30	-9.00	-9.00	67.46	-9.00	60.25	48.24	44.04	-9.00	61.33	51.06	-9.00	-9.00	50.86	48.28	52.45	99.00	87.50	60.48	58.48	63.70	52.79	46.58	50.40	49.02	50.02	94.74	58.61	68.32	55.50	63.75	50.80	80.11	50.07	-9.00	-9.00	70.88	35.96	-9.00	-9.00	-9.00	-9.00	70.82	47.68	-9.00	-9.00	64.11	53.06	54.34	48.05	82.46	74.35	62.99	59.27	58.35	73.51	54.27	51.74	51.06	48.04	69.92	73.91	59.89	59.22	63.52	65.89	52.13	-9.00	-9.00	83.69	-9.00	-9.00	46.34	44.04	-9.00	61.35	51.06	-9.00	-9.00	50.83	48.52	52.45	99.00	86.38	60.48	53.99	65.53	52.79	67.84	50.59	48.82	50.02	94.74	72.97	68.32	51.78	65.61	50.80	66.43	50.07	-9.00	-9.00	75.25	35.96	-9.00	32.37	-9.00	-9.00	70.31	47.68	-9.00	-9.00	65.17
5	73.20	99.00	58.74	90.37	93.58	67.45	72.31	-9.00	-9.00	80.51	72.86	99.00	61.44	70.09	99.00	66.41	72.20	-9.00	-9.00	76.30	66.64	-9.00	78.15	-9.00	-9.00	34.09	-9.00	68.65	-9.00	-9.00	-9.00	-9.00	-9.00	78.75	91.33	60.17	-9.00	96.74	84.75	70.71	-9.00	-9.00	80.12	65.64	73.78	62.21	-9.00	99.00	71.42	70.41	-9.00	-9.00	66.25	63.56	-9.00	-9.00	-9.00	-9.00	48.24	-9.00	51.09	-9.00	-9.00	-9.00	-9.00	-9.00	70.26	99.00	-9.00	87.50	-9.00	69.31	68.54	-9.00	-9.00	79.15	72.83	73.45	-9.00	58.61	-9.00	64.76	68.44	-9.00	-9.00	76.39	73.79	-9.00	70.88	-9.00	-9.00	-9.00	-9.00	71.51	-9.00	-9.00	-9.00	-9.00	-9.00	82.58	91.33	60.17	82.46	96.74	-9.00	99.00	-9.00	-9.00	84.41	79.90	73.78	62.21	69.92	99.00	-9.00	99.00	-9.00	-9.00	80.90	64.26	-9.00	-9.00	-9.00	-9.00	46.34	-9.00	50.79	-9.00	-9.00	-9.00	-9.00	-9.00	69.69	99.00	-9.00	86.38	-9.00	68.51	68.06	-9.00	-9.00	79.09	72.24	73.45	-9.00	72.97	-9.00	66.70	68.03	-9.00	-9.00	76.28	73.95	-9.00	75.25	-9.00	-9.00	-9.00	-9.00	72.15	-9.00	-9.00	-9.00	-9.00	-9.00
6	81.97	95.11	81.00	99.00	93.58	89.14	84.50	52.56	79.98	90.40	84.37	90.85	80.20	98.93	99.00	89.41	84.59	50.37	83.90	87.86	59.43	48.13	78.15	28.95	-9.00	-9.00	56.78	73.28	51.77	9.43	72.49	49.69	57.11	89.27	99.00	79.05	99.00	96.74	99.00	88.19	63.23	82.04	93.68	84.98	86.76	78.70	99.00	99.00	95.42	88.18	58.64	86.44	87.26	-9.00	-9.00	67.46	28.03	60.25	48.24	-9.00	-9.00	37.16	47.86	-9.00	39.95	43.61	80.93	99.00	99.00	99.00	31.74	86.27	83.06	50.21	41.82	93.29	84.84	99.00	94.74	99.00	68.32	88.57	83.09	48.88	74.01	90.31	64.83	91.77	70.88	35.96	-9.00	-9.00	52.90	74.21	72.81	47.68	65.99	49.55	64.11	89.97	99.00	79.05	99.00	96.74	99.00	87.05	63.23	83.57	93.89	85.03	86.76	78.70	99.00	99.00	95.80	87.02	58.64	81.32	87.19	-9.00	-9.00	83.69	28.03	91.25	46.34	-9.00	-9.00	41.47	47.86	-9.00	39.95	43.51	82.73	99.00	99.00	99.00	31.74	91.03	82.76	50.21	84.82	94.58	84.72	99.00	94.74	99.00	68.32	92.47	82.86	48.88	84.49	91.06	65.01	91.77	75.25	35.96	-9.00	-9.00	52.90	74.00	72.37	47.68	64.88	49.55	65.17
7	57.37	53.22	58.74	54.72	93.58	59.50	73.23	54.77	59.91	53.81	60.93	50.60	61.44	68.81	99.00	56.78	77.20	46.68	74.17	62.57	54.05	48.46	70.26	28.95	62.58	48.54	54.28	63.84	42.05	41.73	54.49	51.97	37.75	50.97	52.85	60.17	51.42	96.74	56.40	70.71	48.29	59.05	51.60	58.97	73.78	62.21	69.07	99.00	71.42	70.41	63.52	81.24	60.70	58.36	52.05	61.61	28.03	52.88	-9.00	44.04	52.60	61.39	50.56	65.60	37.98	50.85	58.41	55.49	99.00	52.37	31.74	61.13	70.49	47.53	41.82	58.17	61.06	48.21	94.74	58.61	-9.00	64.76	75.02	46.96	-9.00	64.27	60.91	74.74	61.30	35.96	59.51	48.25	52.02	65.54	65.44	67.58	65.99	51.71	61.62	50.67	52.85	60.17	51.79	96.74	70.50	99.00	48.29	59.93	51.31	60.43	73.78	62.21	69.92	99.00	70.43	99.00	63.52	77.12	61.37	58.10	52.05	52.83	28.03	91.25	-9.00	44.04	51.20	61.30	50.56	65.70	37.98	50.91	58.24	55.49	99.00	54.17	31.74	59.71	68.13	47.53	60.72	57.90	59.94	48.21	94.74	72.97	-9.00	60.75	70.00	46.96	-9.00	62.31	60.86	74.74	53.83	35.96	61.96	48.27	52.02	65.44	65.30	67.58	64.88	51.71	62.66
8	86.53	79.72	-9.00	90.37	-9.00	67.45	96.76	-9.00	-9.00	90.60	75.82	69.17	-9.00	70.09	-9.00	66.41	96.52	-9.00	-9.00	76.29	66.64	49.07	-9.00	-9.00	-9.00	-9.00	-9.00	68.65	-9.00	-9.00	-9.00	-9.00	-9.00	78.75	91.33	-9.00	-9.00	-9.00	84.75	-9.00	-9.00	-9.00	80.12	65.64	73.78	-9.00	-9.00	-9.00	71.42	-9.00	-9.00	-9.00	66.25	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	77.86	78.64	-9.00	87.50	-9.00	69.31	99.00	-9.00	-9.00	71.73	70.00	73.45	-9.00	58.61	-9.00	64.76	99.00	-9.00	-9.00	65.97	73.79	76.73	-9.00	-9.00	-9.00	-9.00	-9.00	71.51	-9.00	-9.00	-9.00	-9.00	-9.00	82.58	91.33	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	84.41	79.90	73.78	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	80.90	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	78.96	78.64	-9.00	86.38	-9.00	68.51	99.00	-9.00	-9.00	74.42	70.96	73.45	-9.00	72.97	-9.00	66.70	99.00	-9.00	-9.00	68.99	73.95	76.73	-9.00	-9.00	-9.00	-9.00	-9.00	72.15	-9.00	-9.00	-9.00	-9.00	-9.00
9	51.78	79.72	58.74	-9.00	-9.00	-9.00	44.62	-9.00	-9.00	53.75	46.27	69.17	61.44	-9.00	-9.00	-9.00	44.71	-9.00	-9.00	47.44	66.64	49.07	-9.00	-9.00	-9.00	34.09	-9.00	68.65	-9.00	-9.00	-9.00	-9.00	-9.00	55.19	91.33	60.17	-9.00	-9.00	-9.00	70.71	-9.00	-9.00	56.21	65.64	73.78	62.21	-9.00	-9.00	-9.00	70.41	-9.00	-9.00	66.25	63.56	51.31	-9.00	-9.00	-9.00	48.24	-9.00	51.09	-9.00	-9.00	-9.00	-9.00	-9.00	45.06	-9.00	99.00	-9.00	-9.00	-9.00	43.85	-9.00	-9.00	46.72	42.63	-9.00	94.74	-9.00	-9.00	-9.00	43.94	-9.00	-9.00	44.20	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	52.31	91.33	60.17	-9.00	-9.00	-9.00	40.67	-9.00	-9.00	53.05	46.28	73.78	62.21	-9.00	-9.00	-9.00	40.73	-9.00	-9.00	46.61	64.26	51.31	-9.00	-9.00	-9.00	46.34	-9.00	50.79	-9.00	-9.00	-9.00	-9.00	-9.00	46.08	-9.00	99.00	-9.00	-9.00	-9.00	46.60	-9.00	-9.00	47.72	44.57	-9.00	94.74	-9.00	-9.00	-9.00	46.67	-9.00	-9.00	45.57	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00	-9.00
11	72.88	76.50	58.74	65.51	-9.00	61.85	68.32	66.14	-9.00	76.70	70.55	67.48	61.44	59.83	-9.00	65.22	68.39	48.62	-9.00	72.32	53.93	-9.00	59.90	-9.00	75.68	34.09	54.75	61.24	52.73	-9.00	72.49	49.41	57.11	90.32	91.33	60.17	84.25	-9.00	84.75	86.53	-9.00	-9.00	92.43	83.70	73.78	62.21	76.65	-9.00	71.42	86.61	-9.00	-9.00	84.75	63.56	-9.00	67.46	-9.00	-9.00	-9.00	-9.00	51.09	-9.00	-9.00	-9.00	-9.00	-9.00	68.02	72.23	-9.00	57.75	-9.00	61.10	66.00	49.40	-9.00	72.22	68.53	67.09	-9.00	52.55	-9.00	64.55	66.05	48.80	-9.00	70.18	64.64	-9.00	51.47	-9.00	68.56	32.22	50.68	59.96	55.53	-9.00	65.99	61.75	64.11	85.88	91.33	60.17	71.27	-9.00	70.50	78.98	-9.00	-9.00	86.92	78.36	73.78	62.21	68.38	-9.00	70.43	78.94	-9.00	-9.00	78.97	64.26	-9.00	83.69	-9.00	-9.00	-9.00	-9.00	50.79	-9.00	-9.00	-9.00	-9.00	-9.00	68.45	72.23	-9.00	56.65	-9.00	62.36	65.47	49.40	-9.00	72.84	68.88	67.09	-9.00	54.03	-9.00	66.27	65.54	48.80	-9.00	70.72	64.54	-9.00	64.28	-9.00	74.74	32.37	50.68	58.37	55.97	-9.00	64.88	61.75	65.17
