hisco	hiscam	orig
1100	84.56	0
1110	84.56	0
1190	84.56	0
1200	84.56	0
1210	84.56	0
1300	84.56	0
1340	84.56	0
1400	84.56	0
1420	84.56	0
1430	84.56	0
2000	99.00	1
2100	98.58	0
2120	98.34	1
2130	98.58	0
2140	98.58	0
2200	98.58	0
2210	99.00	1
2220	98.52	1
2230	98.58	0
2240	98.58	0
2245	98.58	0
2255	98.58	0
2290	98.58	0
2300	98.58	0
2305	98.58	0
2310	98.58	0
2400	98.58	0
2410	98.58	0
2430	98.58	0
2450	98.58	0
2460	98.58	0
2510	98.58	0
2620	98.58	0
2700	98.58	0
2710	98.58	0
2740	98.58	0
2900	98.58	0
2930	98.58	0
2990	98.58	0
3000	98.58	0
3010	98.58	0
3020	98.46	1
3022	98.58	0
3030	98.58	0
3040	98.58	0
3090	98.58	0
3100	99.00	1
3110	99.00	1
3120	98.58	0
3130	98.58	0
3140	98.58	0
3150	98.58	0
3160	98.58	0
3170	98.58	0
3180	98.58	0
3200	98.58	0
3300	98.58	0
3310	98.58	0
3320	98.58	0
3330	98.58	0
3340	98.58	0
3390	99.00	1
3405	98.58	0
3490	98.58	0
3510	98.64	1
3520	98.58	0
3540	98.58	0
3550	98.58	0
3590	98.58	0
3620	98.58	0
3720	98.58	0
3930	98.58	0
4100	74.55	0
4120	74.55	0
4125	74.55	0
4130	74.55	0
4140	74.55	0
4200	74.55	0
4215	74.55	0
4217	76.15	1
4220	74.55	0
4230	65.95	1
4240	76.15	1
4250	74.55	0
4290	74.55	0
4320	74.55	0
5100	84.56	0
5110	84.56	0
5120	84.56	0
5190	84.56	0
5230	84.56	0
5260	84.56	0
5320	84.56	0
5330	84.56	0
5340	84.56	0
5360	84.56	0
5390	84.56	0
5400	84.56	0
5420	84.56	0
6100	99.00	1
6105	99.00	1
6110	99.00	1
6120	99.00	1
6130	99.00	1
6140	99.00	1
6190	99.00	1
6210	97.79	0
6300	84.56	0
6310	99.00	0
6320	99.00	1
6420	97.79	0
6500	99.00	1
6510	99.00	1
6520	99.00	0
6590	99.00	0
6700	99.00	1
6710	99.00	1
6810	97.79	0
6910	97.79	0
6990	97.79	0
7100	84.56	0
7110	97.79	0
7130	97.79	0
7200	84.56	0
7210	97.79	1
7300	84.56	0
7310	97.79	0
7410	97.79	0
7500	84.56	0
7520	99.00	0
7530	99.00	0
7600	84.56	0
7620	97.79	0
7640	97.79	0
7900	84.56	0
7920	97.79	0
7930	97.79	0
7990	97.79	0
8110	84.56	0
8130	84.56	0
