hisco	hiscam	orig
1100	99.00	1
1110	99.00	1
1190	99.00	1
1200	99.00	1
1210	99.00	0
1300	99.00	0
1340	99.00	0
1400	99.00	1
1420	99.00	1
1430	99.00	0
2000	99.00	1
2100	99.00	0
2120	99.00	1
2130	99.00	0
2140	99.00	0
2200	99.00	0
2210	99.00	1
2220	99.00	0
2230	99.00	1
2240	99.00	0
2245	99.00	0
2255	99.00	0
2290	99.00	0
2300	99.00	0
2305	99.00	1
2310	99.00	0
2400	99.00	0
2410	99.00	0
2430	99.00	0
2450	99.00	0
2460	99.00	0
2510	99.00	1
2620	99.00	0
2700	99.00	0
2710	99.00	1
2740	99.00	0
2900	99.00	0
2930	99.00	1
2990	99.00	0
3000	99.00	1
3010	99.00	1
3020	99.00	1
3022	99.00	0
3030	99.00	0
3040	99.00	1
3090	99.00	0
3100	99.00	1
3110	99.00	1
3120	99.00	0
3130	99.00	0
3140	99.00	0
3150	99.00	1
3160	99.00	1
3170	99.00	0
3180	99.00	1
3200	99.00	1
3300	99.00	0
3310	99.00	0
3320	99.00	1
3330	99.00	1
3340	99.00	0
3390	99.00	0
3405	99.00	0
3490	99.00	0
3510	99.00	0
3520	99.00	0
3540	99.00	1
3550	99.00	1
3590	99.00	0
3620	99.00	0
3720	99.00	0
3930	99.00	0
4100	99.00	1
4120	99.00	1
4125	99.00	1
4130	99.00	1
4140	99.00	1
4200	99.00	1
4215	99.00	1
4217	99.00	0
4220	99.00	1
4230	99.00	1
4240	99.00	0
4250	99.00	0
4290	99.00	0
4320	99.00	0
5100	99.00	1
5110	99.00	1
5120	99.00	0
5190	99.00	0
5230	99.00	0
5260	99.00	0
5320	99.00	1
5330	99.00	0
5340	99.00	0
5360	99.00	0
5390	99.00	0
5400	99.00	0
5420	99.00	0
6100	99.00	1
6105	99.00	1
6110	99.00	1
6120	99.00	1
6130	99.00	1
6140	99.00	1
6190	99.00	1
6210	99.00	1
6300	88.64	0
6310	99.00	1
6320	99.00	1
6420	99.00	0
6500	99.00	1
6510	99.00	1
6520	99.00	0
6590	99.00	1
6700	99.00	1
6710	99.00	1
6810	99.00	1
6910	99.00	0
6990	99.00	0
7100	88.64	0
7110	99.00	1
7130	99.00	0
7200	88.64	0
7210	99.00	0
7300	88.64	0
7310	99.00	0
7410	99.00	0
7500	99.00	1
7520	99.00	0
7530	99.00	1
7600	88.64	0
7620	99.00	0
7640	99.00	1
7900	88.64	0
7920	99.00	0
7930	99.00	0
7990	99.00	1
8110	99.00	0
8130	99.00	0
8200	99.00	0
8220	99.00	0
8230	99.00	0
8250	99.00	1
8490	99.00	0
9010	99.00	0
9150	82.03	0
9999	82.03	0
11000	81.96	1
11010	81.96	1
11020	81.96	0
12000	99.00	1
12100	99.00	0
12110	99.00	1
12200	99.00	0
12210	99.00	1
12310	99.00	1
12400	99.00	1
12410	99.00	1
12900	99.00	1
12910	99.00	1
13000	99.00	1
13020	99.00	0
13030	99.00	1
13100	99.00	1
13130	99.00	0
13140	99.00	0
13170	99.00	0
13175	99.00	1
13190	99.00	0
13200	99.00	1
13215	99.00	1
13220	99.00	0
13230	99.00	0
13250	99.00	1
13260	99.00	0
13270	99.00	0
13275	99.00	0
13280	99.00	0
13290	99.00	1
13320	69.70	1
13390	69.70	1
13420	99.00	0
13490	99.00	0
13590	99.00	0
13900	99.00	0
13940	99.00	1
13950	99.00	1
13960	99.00	0
13990	99.00	0
14100	99.00	0
14120	99.00	0
14120	99.00	1
14130	99.00	0
14140	99.00	0
14190	99.00	0
14990	99.00	1
15120	99.00	0
15120	99.00	1
15900	99.00	0
15915	99.00	1
