hisco	hiscam	orig
1100	67.32	1
1110	67.32	1
1190	67.32	1
1200	66.88	1
1210	66.88	1
1300	67.21	1
1340	68.49	1
1400	51.71	1
1420	66.88	1
1430	62.61	0
2000	70.89	1
2100	70.89	1
2120	81.17	1
2130	70.76	0
2140	70.89	1
2200	70.89	1
2210	81.38	1
2220	70.89	1
2230	70.89	1
2240	70.89	1
2245	70.89	1
2255	46.32	1
2290	70.89	1
2300	70.89	1
2305	75.43	1
2310	70.89	1
2400	70.89	1
2410	70.89	1
2430	70.89	1
2450	70.76	0
2460	70.76	0
2510	70.89	1
2620	70.89	1
2700	70.89	1
2710	70.89	1
2740	70.89	1
2900	70.89	1
2930	70.89	1
2990	70.76	0
3000	70.89	1
3010	70.89	1
3020	80.41	1
3022	70.76	0
3030	70.89	1
3040	70.76	0
3090	70.76	0
3100	59.07	1
3110	59.07	1
3120	57.10	1
3130	70.89	1
3140	70.89	1
3150	70.89	1
3160	70.89	1
3170	70.89	1
3180	70.89	1
3200	62.55	1
3300	53.95	1
3310	53.95	1
3320	70.89	1
3330	70.89	1
3340	55.88	1
3390	70.89	1
3405	60.40	1
3490	70.89	1
3510	69.24	1
3520	70.89	1
3540	70.89	1
3550	70.89	1
3590	70.89	1
3620	70.76	0
3720	70.89	1
3930	70.89	1
4100	70.32	1
4120	70.32	1
4125	70.32	1
4130	70.32	1
4140	70.32	1
4200	39.47	1
4215	56.25	1
4217	39.47	1
4220	42.63	1
4230	49.35	1
4240	50.26	1
4250	49.78	0
4290	49.78	0
4320	39.47	1
5100	77.02	1
5110	77.02	1
5120	80.90	0
5190	78.37	1
5230	82.29	1
5260	80.90	0
5320	77.51	1
5330	77.53	1
5340	93.79	1
5360	77.25	1
5390	78.37	1
5400	71.63	1
5420	80.90	0
6100	89.27	1
6105	89.27	1
6110	89.27	1
6120	89.27	1
6130	89.27	1
6140	89.27	1
6190	89.27	1
6210	46.94	1
6300	71.63	1
6310	93.35	1
6320	91.08	1
6420	46.94	0
6500	72.60	1
6510	72.60	1
6520	60.42	1
6590	89.27	1
6700	83.91	1
6710	83.91	1
6810	46.94	1
6910	46.94	1
6990	46.94	1
7100	71.63	1
7110	46.94	1
7130	46.94	0
7200	66.25	0
7210	46.94	1
7300	66.25	0
7310	46.94	1
7410	46.94	0
7500	71.63	1
7520	89.27	1
7530	77.21	1
7600	71.63	1
7620	46.94	0
7640	46.94	1
7900	71.63	1
7920	71.63	1
7930	71.63	1
7990	71.63	1
8110	73.20	1
8130	71.63	1
8200	74.77	1
8220	74.10	0
8230	74.77	1
8250	74.77	1
8490	74.77	1
9010	71.63	1
9150	76.46	0
9999	69.18	1
11000	76.65	1
11010	76.65	1
11020	76.65	1
12000	93.49	1
12100	89.76	1
12110	92.24	1
12200	87.27	1
12210	94.42	1
12310	87.27	1
12400	83.48	1
12410	83.48	1
12900	90.26	1
12910	90.26	1
13000	73.87	1
13020	68.08	1
13030	77.28	1
13100	79.07	1
13130	79.11	0
13140	79.11	0
13170	79.11	0
13175	73.87	1
13190	82.54	1
13200	64.67	1
13215	64.67	1
13220	64.67	1
13230	64.67	1
13250	70.66	1
13260	64.67	1
13270	64.67	1
13275	66.02	0
13280	64.67	1
13290	64.67	1
13320	54.33	1
13390	52.67	1
13420	64.18	0
13490	64.18	0
13590	64.18	0
13900	64.18	1
13940	64.18	1
13950	64.18	1
13960	64.18	0
13990	64.18	1
14100	73.78	1
14120	73.78	0
14120	73.78	1
14130	73.78	1
14140	73.78	1
14190	73.78	1
14990	73.78	1
15120	79.68	0
15120	79.68	1
15900	79.68	1
15915	79.68	1
15920	79.68	0
15920	79.68	1
15930	79.68	0
15945	79.68	1
15950	79.68	1
15960	79.68	1
15990	79.68	1
16000	67.47	1
16100	67.47	1
16120	66.19	0
16120	64.47	1
16130	70.16	1
16150	67.47	1
16160	67.47	1
16190	67.47	1
16200	67.47	1
16220	67.47	1
