hisco	hiscam	orig
1100	88.43	0
1110	88.43	0
1190	88.43	0
1200	88.43	0
1210	88.43	0
1300	88.43	0
1340	88.43	0
1400	88.43	0
1420	88.43	0
1430	88.43	0
2000	99.00	1
2100	99.00	0
2120	99.00	1
2130	99.00	0
2140	99.00	0
2200	99.00	0
2210	99.00	1
2220	99.00	0
2230	99.00	0
2240	99.00	1
2245	99.00	0
2255	99.00	0
2290	99.00	0
2300	99.00	0
2305	99.00	0
2310	99.00	0
2400	99.00	0
2410	99.00	1
2430	99.00	0
2450	99.00	1
2460	99.00	0
2510	99.00	0
2620	99.00	0
2700	99.00	0
2710	99.00	0
2740	99.00	0
2900	99.00	0
2930	99.00	0
2990	99.00	0
3000	99.00	0
3010	99.00	0
3020	99.00	1
3022	99.00	0
3030	99.00	0
3040	99.00	0
3090	99.00	0
3100	99.00	0
3110	99.00	0
3120	99.00	0
3130	99.00	0
3140	99.00	0
3150	99.00	0
3160	99.00	0
3170	99.00	0
3180	99.00	0
3200	99.00	1
3300	99.00	0
3310	99.00	0
3320	99.00	0
3330	99.00	0
3340	99.00	0
3390	99.00	0
3405	99.00	0
3490	99.00	0
3510	99.00	0
3520	99.00	0
3540	99.00	0
3550	99.00	0
3590	99.00	0
3620	99.00	0
3720	99.00	0
3930	99.00	0
4100	82.81	0
4120	82.81	0
4125	82.81	0
4130	82.81	0
4140	82.81	0
4200	82.81	0
4215	82.81	0
4217	86.80	1
4220	82.81	0
4230	77.38	1
4240	78.41	1
4250	82.81	0
4290	86.80	1
4320	82.81	0
5100	99.00	0
5110	99.00	0
5120	99.00	0
5190	99.00	0
5230	99.00	0
5260	99.00	0
5320	99.00	1
5330	99.00	0
5340	99.00	0
5360	99.00	0
5390	99.00	0
5400	99.00	0
5420	99.00	0
6100	99.00	1
6105	99.00	1
6110	99.00	1
6120	99.00	1
6130	99.00	1
6140	99.00	1
6190	99.00	1
6210	99.00	0
6300	88.43	0
6310	99.00	1
6320	99.00	0
6420	99.00	0
6500	88.43	0
6510	99.00	0
6520	99.00	0
6590	99.00	0
6700	99.00	1
6710	99.00	1
6810	99.00	0
6910	99.00	0
6990	99.00	0
7100	88.43	0
7110	99.00	0
7130	99.00	0
7200	88.43	0
7210	99.00	0
7300	88.43	0
7310	99.00	0
7410	99.00	0
7500	88.43	0
7520	99.00	0
7530	99.00	0
7600	88.43	0
7620	99.00	1
7640	99.00	0
7900	88.43	0
7920	99.00	0
7930	99.00	0
7990	99.00	1
8110	88.43	0
8130	88.43	0
8200	88.43	0
8220	88.43	0
8230	88.43	0
8250	88.43	0
8490	88.43	0
9010	88.43	0
9150	88.43	0
9999	88.43	0
11000	88.43	0
11010	88.43	0
11020	88.43	0
12000	87.62	0
12100	87.62	0
12110	87.56	1
12200	87.62	0
12210	86.46	1
12310	87.62	0
12400	87.62	0
12410	87.62	0
12900	88.80	1
12910	88.80	1
13000	89.70	1
13020	82.72	1
13030	82.72	1
13100	89.02	0
13130	89.02	0
13140	89.02	0
13170	89.02	0
13175	89.02	0
13190	89.02	0
13200	85.98	1
13215	84.53	0
13220	84.53	0
13230	84.53	0
13250	84.53	0
13260	84.53	0
13270	84.53	0
13275	84.53	0
13280	82.72	1
13290	84.53	0
13320	89.46	1
13390	89.46	1
13420	89.46	1
13490	89.46	1
13590	94.93	0
13900	94.93	0
13940	94.93	1
13950	94.93	0
13960	94.93	0
13990	94.93	0
14100	99.00	0
14120	99.00	0
14120	99.00	1
14130	99.00	1
14140	99.00	0
14190	99.00	0
14990	99.00	1
15120	99.00	0
15120	99.00	0
15900	99.00	0
15915	99.00	0
15920	99.00	0
15920	99.00	0
15930	99.00	0
15945	99.00	0
15950	99.00	0
15960	99.00	0
15990	99.00	0
16000	99.00	0
16100	99.00	0
16120	99.00	0
16120	99.00	0
16130	99.00	1
16150	99.00	0
16160	99.00	0
16190	99.00	0
16200	99.00	0
16220	99.00	0
16230	99.00	0
16240	99.00	0
16250	99.00	0
16300	99.00	0
16310	99.00	1
16350	99.00	0
16360	99.00	0
17000	99.00	0
17100	99.00	0
17120	99.00	0
17130	99.00	0
17135	99.00	0
17140	99.00	1
17145	99.00	0
17150	99.00	1
17190	99.00	0
17200	99.00	0
17220	99.00	0
17230	99.00	0
17300	99.00	0
17320	99.00	0
17340	99.00	0
17420	99.00	0
17490	99.00	0
17530	99.00	1
17540	99.00	1
17590	99.00	1
17900	99.00	0
17920	99.00	0
17940	99.00	0
17990	99.00	0
18000	99.00	0
18020	99.00	0
18050	99.00	0
18090	99.00	0
19100	99.00	0
19120	99.00	0
19130	99.00	0
19140	99.00	0
19190	99.00	0
19200	99.00	0
19250	99.00	0
19290	99.00	0
19300	99.00	0
19320	99.00	1
19390	99.00	0
19400	99.00	0
19420	99.00	0
19430	99.00	0
19490	99.00	0
19500	99.00	0
19520	99.00	0
19530	99.00	0
19540	99.00	0
19900	99.00	0
19950	99.00	0
19960	99.00	0
19990	99.00	1
20100	99.00	1
20110	99.00	1
20200	99.00	1
20210	99.00	1
21000	99.00	0
21100	99.00	1
21110	99.00	1
21200	99.00	1
21220	99.00	1
21230	99.00	1
21240	99.00	1
21300	99.00	0
21320	99.00	0
21340	99.00	1
21420	99.00	0
21430	99.00	0
21490	99.00	0
21900	99.00	0
21940	99.00	1
21950	99.00	1
21960	99.00	0
21970	99.00	0
21980	99.00	0
21990	99.00	0
22000	99.00	1
22100	74.29	0
22110	74.29	0
22190	74.29	0
22200	74.29	0
22210	99.00	1
22220	99.00	1
22230	99.00	0
22235	99.00	0
22240	99.00	0
22245	99.00	0
22250	99.00	0
22265	99.00	0
22275	99.00	1
22280	99.00	1
22290	99.00	1
22300	74.29	0
22320	74.29	0
22330	74.29	0
22390	74.29	0
22420	99.00	0
22425	99.00	0
22430	99.00	0
22440	99.00	0
22450	99.00	0
22460	99.00	0
22490	99.00	0
22520	71.56	1
22600	71.56	0
22610	71.56	1
22620	71.56	0
22630	71.56	0
22640	71.56	1
22650	71.56	0
22651	71.56	0
22655	71.56	0
22660	71.56	0
22665	71.56	0
22670	71.56	0
22675	71.56	1
22680	71.56	1
22690	71.56	1
30000	81.13	0
31000	80.23	1
31020	81.13	0
31030	81.51	1
31040	81.13	0
31040	82.28	1
31090	80.91	1
31940	81.13	0
32100	81.13	0
32110	81.13	0
32120	81.26	1
32140	81.13	0
32190	81.13	0
32220	81.13	0
33000	80.23	1
33100	80.23	1
33110	80.23	1
33120	80.39	1
33130	80.39	1
33135	80.39	1
33140	80.39	1
33150	80.39	1
33160	80.39	1
33170	80.39	1
33190	80.39	1
33900	81.13	0
33920	81.13	0
33930	81.13	0
33940	81.13	0
33990	81.13	0
34120	90.92	0
34230	90.92	0
36000	90.92	0
36020	90.92	1
36040	90.92	0
36090	90.92	0
37000	90.92	0
37010	90.92	0
37020	90.92	0
37030	90.92	1
37040	90.92	0
37090	90.92	0
38000	90.92	0
38020	90.92	0
38030	90.92	0
38040	90.92	1
38090	90.92	0
39100	81.81	1
39110	81.81	1
39120	81.81	1
39130	81.81	1
39140	81.81	1
39150	81.81	1
39190	81.81	1
39230	81.13	0
39310	80.23	1
39320	81.18	1
39340	81.13	0
39350	81.13	0
39390	81.13	0
39410	81.13	0
39440	81.13	0
39490	81.13	0
39520	81.13	0
39530	81.13	0
39900	81.13	0
39940	81.13	0
39960	81.13	0
39990	81.13	0
41000	97.15	0
41020	97.15	1
41025	97.15	1
41030	97.15	1
41035	97.15	0
41040	97.15	0
41525	54.37	0
42200	96.68	1
42220	96.68	1
42230	96.68	1
43100	95.15	0
43120	95.15	0
43200	95.72	1
43220	95.72	1
43230	96.68	1
43290	90.92	1
44100	95.15	0
44120	95.15	0
44130	95.15	0
44140	90.92	1
44190	95.15	0
44200	95.15	0
44220	95.15	0
44230	95.15	0
44300	95.15	0
44320	95.15	0
44330	95.15	0
45100	96.68	0
45120	96.68	0
45125	96.68	0
45130	96.68	1
45140	96.68	0
45150	96.68	0
45190	96.68	0
45220	96.68	1
45225	96.68	0
45230	96.68	0
45240	96.68	0
45250	96.68	0
45290	96.68	0
49020	96.68	0
49030	96.68	0
49090	96.68	0
51000	81.27	0
51020	81.16	1
51030	82.34	1
51040	81.27	0
51050	81.27	0
51090	81.27	0
52000	54.37	0
52290	54.37	0
53100	38.94	0
53120	38.94	0
53130	38.94	0
53140	38.94	0
53150	38.94	0
53190	38.94	0
53200	38.94	0
53210	38.94	0
53220	38.94	0
53240	38.94	0
53250	38.94	0
53290	38.94	0
53330	38.94	0
54000	32.75	1
54010	32.75	1
54020	32.75	1
54030	32.75	1
54035	32.75	1
54040	32.75	1
54050	32.75	1
54055	32.75	1
54060	32.75	1
54090	32.75	1
55100	38.94	0
55120	38.94	0
55125	38.94	0
55130	57.22	1
55140	57.22	1
55190	38.94	0
55200	57.22	1
55220	57.22	1
55220	38.94	0
55230	38.94	0
55230	57.22	1
55240	57.22	1
55290	57.22	1
56000	57.22	1
56010	57.22	1
56030	38.94	0
56030	57.22	1
56040	57.22	1
56050	57.22	1
56060	57.22	1
56065	57.22	1
56070	57.22	1
56090	57.22	1
57000	57.22	1
57025	57.22	1
57030	38.94	0
57030	57.22	1
57070	57.22	1
57090	57.22	1
58100	34.36	1
58110	34.36	1
58200	38.94	0
58220	49.37	1
58225	38.94	0
58230	38.94	0
58240	38.94	0
58300	34.36	1
58320	76.89	1
58320	38.94	0
58330	76.89	1
58340	34.36	1
58490	38.94	0
58900	38.94	0
58920	38.94	0
58930	38.94	0
58930	57.22	1
58940	34.36	1
58990	34.36	1
59100	38.94	0
59200	38.94	0
59220	38.94	0
59230	38.94	0
59290	38.94	0
59900	38.94	0
59920	38.94	0
59940	38.94	0
59950	38.94	0
59990	57.22	1
61100	57.49	1
61110	57.49	1
61115	51.89	1
61120	57.49	1
61220	57.49	1
61230	57.49	1
61235	56.05	0
61240	56.05	0
61250	57.49	1
61260	56.05	0
61270	57.49	1
61270	56.05	0
61290	56.05	0
62100	26.54	1
62105	26.54	1
62110	26.54	1
62120	26.54	1
62200	26.54	0
62210	26.54	0
62220	26.54	0
62230	26.54	0
62240	26.54	0
62260	26.54	0
62290	26.54	0
62320	26.54	0
62330	26.54	0
62390	26.54	0
62400	26.54	1
62410	26.54	0
62420	26.54	0
62430	26.54	1
62440	26.54	0
62460	26.54	0
62490	26.54	0
62510	26.54	1
62520	26.54	0
62600	26.54	0
62610	26.54	1
62660	26.54	0
62690	26.54	0
62700	26.54	1
62720	26.54	0
62720	26.54	0
62730	26.54	0
62740	26.54	0
62790	26.54	0
62800	26.54	0
62820	26.54	0
62920	26.54	0
62940	26.54	0
62950	26.54	0
62960	26.54	0
62970	26.54	0
62990	26.54	0
63100	30.68	0
63110	57.22	1
63120	67.72	0
63130	67.72	0
63140	81.31	1
63190	67.72	0
63200	67.72	0
63220	65.33	1
63230	67.72	0
63250	67.72	0
63290	67.72	0
64100	67.98	1
64120	67.72	0
64120	67.72	0
64130	61.39	1
64900	67.72	0
64920	67.72	0
64930	67.72	0
64940	67.72	0
64960	67.72	0
64990	81.31	1
71100	24.01	0
71105	24.01	1
71110	24.01	0
71120	24.01	0
71125	24.01	0
71130	24.01	0
71150	24.01	0
71160	24.01	0
71170	24.01	0
71190	24.01	0
71200	24.01	1
71220	24.01	1
71250	24.01	0
71290	24.01	0
71300	24.01	0
71380	24.01	0
71390	24.01	0
72000	33.12	0
72100	57.22	1
72120	57.22	1
72130	57.22	1
72160	57.22	1
72170	57.22	1
72190	57.22	1
72200	57.22	1
72220	57.22	1
72230	57.22	1
72250	57.22	1
72260	57.22	1
72290	57.22	1
72320	57.22	1
72330	57.22	1
72390	57.22	1
72400	57.22	1
72420	57.22	1
72490	57.22	1
72500	57.22	1
72520	57.22	1
72530	57.22	1
72540	57.22	1
72555	57.22	1
72560	57.22	1
72590	57.22	1
72600	33.12	0
72620	33.12	0
72630	33.12	0
72640	33.12	0
72700	33.12	0
72725	33.12	0
72730	33.12	0
72740	33.12	0
72790	33.12	0
72800	33.12	0
72820	33.12	0
72830	33.12	0
72890	33.12	0
72900	33.12	0
72930	33.12	0
72940	33.12	0
72980	33.12	0
72990	33.12	0
73100	41.26	0
73130	41.26	0
73200	41.26	1
73210	41.26	1
73240	41.26	1
73270	41.26	1
73290	41.26	1
73320	41.26	0
73350	41.26	0
73360	41.26	0
73390	41.26	0
73400	41.26	1
73430	41.26	1
73460	41.26	1
73490	41.26	1
74100	37.48	0
74120	37.48	0
74140	37.48	0
74200	37.48	1
74220	37.48	1
74240	37.48	1
74400	37.48	0
74470	37.48	0
74490	37.48	1
74500	37.48	1
74900	37.48	1
74910	37.48	1
74920	37.48	1
74925	37.48	1
74930	37.48	1
74990	37.48	1
75000	57.20	0
75100	57.20	0
75115	57.20	0
75120	57.20	0
75130	57.20	0
75135	57.20	0
75140	57.20	0
75145	57.20	0
75150	57.20	0
75155	57.20	0
75190	57.20	0
75220	57.20	0
75230	57.20	0
75240	57.20	0
75250	57.20	0
75290	57.20	0
75300	57.20	0
75320	57.20	0
75340	57.20	0
75350	57.20	0
75390	57.20	0
75400	57.22	1
75415	57.22	1
75420	57.22	1
75422	57.22	1
75430	57.22	1
75432	57.22	1
75435	57.22	1
75440	57.22	1
75445	57.22	1
75450	57.22	1
75452	57.22	1
75455	57.22	1
75457	57.22	1
75465	57.22	1
75470	57.22	1
75475	57.22	1
75490	57.22	1
75500	57.20	0
75520	57.20	0
75530	57.20	0
75535	57.20	0
75540	57.20	0
75590	57.20	0
75600	57.20	0
75615	57.20	0
75620	57.20	0
75622	57.22	1
75625	57.20	0
75635	57.20	0
75650	57.20	0
75655	57.20	0
75660	57.20	0
75670	57.20	0
75690	57.20	0
75700	57.20	0
75710	57.22	1
75720	57.20	0
75922	57.20	0
75925	57.20	0
75990	57.20	0
76100	57.22	1
76125	57.22	1
76130	57.22	1
76132	57.22	1
76145	57.22	1
76150	57.22	1
76155	57.22	1
76190	57.22	1
76200	57.20	0
76220	57.20	0
76230	57.20	0
76290	57.20	0
77100	57.22	1
77120	57.22	1
77140	57.22	1
77190	57.22	1
77200	51.37	1
77250	51.37	1
77260	51.37	1
77290	51.37	1
77300	84.72	1
77310	84.72	1
77320	84.72	1
77330	84.72	1
77340	84.72	1
77390	84.72	1
77410	51.37	1
77415	51.37	1
77440	51.37	1
77450	51.37	1
77460	51.37	1
77490	51.37	1
77500	84.72	1
77510	84.72	1
77530	84.72	1
77540	84.72	1
77590	84.72	1
77600	84.72	1
77610	84.72	1
77620	84.72	1
77630	84.72	1
77640	84.72	1
77650	84.72	1
77660	84.72	1
77690	84.72	1
77700	51.37	1
77750	51.37	1
77790	51.37	1
77800	84.72	1
77810	84.72	1
77820	84.72	1
77830	84.72	1
77835	84.72	1
77840	84.72	1
77850	84.72	1
77860	84.72	1
77870	84.72	1
77880	84.72	1
77890	84.72	1
77900	51.37	1
77920	51.37	1
77940	51.37	1
77990	51.37	1
78100	57.22	1
78120	57.22	1
78130	57.22	1
78155	57.22	1
78170	57.22	1
78190	57.22	1
78200	57.22	1
78290	57.22	1
78390	84.72	0
79100	57.41	1
79120	54.88	0
79130	54.88	0
79140	54.88	0
79190	54.88	0
79200	54.88	0
79220	52.88	1
79290	54.88	0
79300	54.88	0
79310	54.77	1
79320	54.88	0
79390	54.88	0
79400	52.88	1
79420	52.88	1
79430	52.88	1
79440	52.88	1
79450	52.88	1
79475	52.88	1
79490	52.88	1
79500	54.88	0
79510	54.88	0
79520	54.88	0
79550	54.88	0
79560	54.88	0
79565	54.88	0
79590	54.88	0
79600	54.88	0
79620	56.50	1
79630	54.88	0
79640	54.88	0
79690	54.88	0
79900	54.88	0
79920	52.88	1
79930	52.88	1
79990	54.88	0
80110	52.88	1
80120	54.88	0
80130	54.88	0
80190	54.88	0
80200	54.88	0
80220	54.88	0
80222	54.88	0
80225	54.88	0
80245	54.88	0
80250	54.88	0
80255	54.88	0
80290	54.88	0
80300	55.14	1
80310	55.14	1
80320	55.14	1
80330	55.14	1
80340	55.14	1
80360	55.14	1
80390	55.14	1
81000	78.02	0
81100	78.02	0
81120	78.02	0
81190	78.02	1
81200	78.02	0
81208	78.02	0
81210	78.02	0
81220	78.02	0
81225	78.02	0
81230	78.02	1
81250	78.02	0
81275	78.02	1
81280	78.02	0
81290	78.02	0
81900	78.02	0
81920	78.02	0
81925	78.02	1
81930	78.02	1
81935	78.02	0
81940	78.02	0
81945	78.02	0
81955	78.02	0
81960	78.02	0
81990	78.02	0
82000	57.22	1
82020	57.22	1
82050	57.22	1
82060	57.22	1
82070	57.22	1
82080	57.22	1
82090	57.22	1
82710	49.92	0
83000	52.92	1
83020	52.92	1
83100	52.92	1
83110	52.92	1
83120	52.92	1
83130	52.92	1
83140	52.92	1
83190	52.92	1
83200	52.92	0
83210	52.92	0
83220	52.92	1
83240	52.92	0
83250	52.92	0
83290	52.92	0
83300	52.92	0
83305	52.92	0
83310	52.92	0
83320	52.92	1
83330	52.92	0
83350	52.92	0
83360	52.92	0
83390	52.92	0
83400	52.92	0
83410	52.92	0
83420	52.92	0
83440	52.92	0
83450	52.92	0
83460	52.92	0
83465	52.92	0
83490	52.92	0
83500	52.92	0
83510	52.92	0
83520	52.92	0
83530	52.92	1
83540	52.92	0
83550	52.92	0
83560	52.92	0
83590	52.92	0
83900	52.92	0
83910	52.92	0
83915	52.92	0
83920	52.92	1
83930	52.92	0
83940	52.92	0
83960	52.92	0
83990	52.92	1
84100	78.02	1
84105	78.02	1
84110	78.02	0
84115	78.02	0
84125	78.02	0
84145	78.02	0
84165	78.02	0
84170	78.02	0
84175	78.02	0
84185	78.02	0
84190	78.02	0
84220	78.02	1
84222	78.02	1
84225	78.02	1
84230	78.02	1
84235	78.02	0
84240	78.02	0
84245	78.02	0
84250	78.02	0
84300	78.02	0
84320	78.02	0
84390	78.02	0
84400	78.02	0
84410	78.02	0
84420	78.02	0
84900	78.02	0
84910	78.02	0
84970	78.02	0
84975	78.02	0
84980	78.02	0
84985	78.02	0
84990	78.02	0
85100	57.82	0
85110	57.82	0
85120	57.82	0
85150	57.82	0
85190	57.82	0
85200	57.82	0
85210	57.82	0
85220	57.82	0
85320	57.82	0
85340	57.82	0
85345	57.82	0
85420	57.82	0
85500	57.82	0
85510	57.82	0
85560	57.82	0
85570	57.82	0
85600	57.82	0
85620	57.82	0
85630	57.82	0
85700	57.82	0
85730	57.82	0
85740	57.82	0
85790	57.82	0
85990	57.82	0
86190	57.82	0
86240	57.82	0
87105	62.34	1
87110	69.91	0
87120	69.91	0
87130	69.91	0
87190	69.91	0
87200	69.91	0
87210	69.91	0
87215	69.91	0
87245	69.91	0
87250	69.91	0
87260	69.91	0
87300	67.57	1
87310	67.57	1
87330	71.23	1
87340	69.06	1
87350	69.91	0
87370	69.91	0
87390	69.91	0
87400	69.91	0
87430	69.91	0
87450	62.34	1
87462	69.91	0
87490	69.91	0
88000	78.02	0
88010	78.02	0
88030	78.02	0
88040	78.02	0
88050	78.02	1
88070	78.02	0
88080	78.02	0
88090	78.02	0
89100	57.22	1
89120	57.22	1
89128	57.22	1
89136	57.22	1
89148	57.22	1
89156	57.22	1
89160	57.22	1
89164	57.22	1
89190	57.22	1
89200	57.22	1
89210	57.22	1
89215	57.22	1
89220	57.22	1
89225	57.22	1
89230	57.22	1
89235	57.22	1
89240	57.22	1
89242	57.22	1
89245	57.22	1
89247	57.22	1
89290	57.22	1
89300	57.22	1
89320	57.22	1
89330	57.22	1
89350	57.22	1
89360	57.22	1
89390	57.22	1
89400	57.22	1
89420	57.22	1
89430	57.22	1
89440	57.22	1
89500	57.22	1
89520	57.22	1
89530	57.22	1
89540	57.22	1
89550	57.22	1
89560	57.22	1
89570	57.22	1
89590	57.22	1
89900	57.22	1
