hisco	hiscam	orig
1100	75.54	1
1110	75.54	1
1190	75.54	1
1200	75.54	0
1210	75.54	0
1300	75.54	0
1340	75.54	0
1400	75.54	1
1420	75.54	0
1430	75.54	0
2000	56.02	1
2100	65.53	0
2120	84.12	1
2130	65.53	0
2140	65.53	0
2200	65.53	0
2210	93.60	1
2220	65.53	0
2230	65.53	0
2240	65.53	0
2245	65.53	0
2255	65.53	0
2290	65.53	0
2300	65.53	0
2305	80.32	1
2310	65.53	0
2400	65.53	0
2410	65.53	0
2430	56.02	1
2450	65.53	0
2460	65.53	0
2510	65.53	0
2620	65.53	0
2700	65.53	0
2710	65.53	0
2740	65.53	0
2900	56.02	1
2930	65.53	0
2990	65.53	0
3000	56.02	1
3010	56.02	1
3020	85.39	1
3022	65.53	0
3030	65.53	0
3040	65.53	0
3090	65.53	0
3100	61.95	1
3110	61.95	1
3120	56.02	1
3130	65.53	0
3140	65.53	0
3150	65.53	0
3160	65.53	0
3170	65.53	0
3180	65.53	0
3200	56.02	1
3300	65.53	0
3310	65.53	0
3320	65.53	0
3330	56.02	1
3340	65.53	0
3390	65.53	0
3405	56.02	1
3490	65.53	0
3510	59.70	1
3520	65.53	0
3540	65.53	0
3550	65.53	0
3590	65.53	0
3620	56.02	1
3720	65.53	0
3930	65.53	0
4100	51.53	1
4120	51.53	1
4125	51.53	1
4130	51.53	1
4140	51.53	1
4200	51.53	1
4215	51.53	1
4217	66.09	1
4220	52.29	0
4230	52.29	0
4240	52.29	0
4250	52.29	0
4290	52.29	0
4320	52.29	0
5100	75.54	1
5110	75.54	1
5120	83.58	0
5190	83.58	0
5230	77.74	1
5260	83.58	0
5320	86.79	1
5330	83.58	0
5340	86.79	1
5360	83.58	0
5390	83.58	0
5400	83.58	0
5420	83.58	0
6100	91.97	1
6105	91.97	1
6110	91.97	1
6120	91.97	1
6130	91.97	1
6140	91.97	1
6190	91.97	1
6210	75.54	1
6300	71.12	0
6310	96.39	1
6320	91.12	0
6420	75.54	0
6500	76.88	1
6510	76.88	1
6520	91.12	0
6590	91.12	0
6700	85.23	1
6710	85.23	1
6810	75.54	0
6910	75.54	0
6990	75.54	0
7100	75.54	1
7110	75.54	1
7130	75.54	1
7200	71.12	0
7210	75.54	0
7300	71.12	0
7310	75.54	0
7410	75.54	0
7500	71.12	0
7520	91.12	0
7530	80.38	1
7600	71.12	0
7620	75.54	0
7640	75.54	0
7900	71.12	0
7920	75.54	0
7930	75.54	0
7990	75.54	0
8110	71.06	0
8130	71.06	0
8200	71.06	0
8220	71.06	0
8230	71.06	0
8250	71.06	0
8490	71.06	0
9010	71.06	0
9150	71.06	0
9999	52.65	1
11000	71.74	1
11010	71.74	1
11020	71.74	0
12000	80.01	1
12100	90.46	0
12110	95.33	1
12200	90.46	0
12210	92.54	1
12310	87.34	1
12400	90.46	0
12410	90.46	0
12900	90.46	0
12910	90.46	0
13000	77.29	1
13020	77.29	1
13030	77.29	1
13100	79.83	1
13130	79.83	0
13140	79.83	0
13170	79.83	0
13175	79.83	0
13190	79.83	0
13200	67.31	0
13215	67.31	0
13220	67.31	0
13230	67.31	0
13250	67.31	1
13260	67.31	0
13270	67.31	0
13275	67.31	0
13280	67.31	0
13290	67.31	0
13320	60.76	1
13390	60.76	0
13420	84.02	0
13490	84.02	0
13590	84.02	0
13900	84.02	0
