hisco	hiscam	orig
1100	66.47	1
1110	66.47	1
1190	66.47	1
1200	66.47	0
1210	66.47	1
1300	66.47	0
1340	66.47	0
1400	66.47	0
1420	66.47	0
1430	66.47	1
2000	66.47	1
2100	66.47	0
2120	66.47	1
2130	66.47	0
2140	66.47	0
2200	66.47	0
2210	66.47	0
2220	66.47	0
2230	66.47	0
2240	66.47	0
2245	66.47	0
2255	66.47	0
2290	66.47	0
2300	66.47	0
2305	66.47	1
2310	66.47	0
2400	66.47	0
2410	66.47	0
2430	66.47	0
2450	66.47	0
2460	66.47	0
2510	66.47	0
2620	66.47	0
2700	66.47	0
2710	66.47	0
2740	66.47	0
2900	66.47	0
2930	66.47	0
2990	66.47	0
3000	66.47	1
3010	66.47	1
3020	66.47	1
3022	66.47	0
3030	66.47	0
3040	66.47	0
3090	66.47	0
3100	66.47	0
3110	66.47	0
3120	66.47	0
3130	66.47	0
3140	66.47	0
3150	66.47	0
3160	66.47	0
3170	66.47	0
3180	66.47	0
3200	66.47	0
3300	66.47	1
3310	66.47	1
3320	66.47	0
3330	66.47	0
3340	66.47	0
3390	66.47	0
3405	66.47	0
3490	66.47	0
3510	66.47	0
3520	66.47	0
3540	66.47	0
3550	66.47	0
3590	66.47	0
3620	66.47	0
3720	66.47	0
3930	66.47	0
4100	55.49	0
4120	55.49	0
4125	55.49	0
4130	55.49	0
4140	55.49	0
4200	55.49	0
4215	55.49	1
4217	55.49	1
4220	55.49	0
4230	55.49	1
4240	55.49	1
4250	55.49	1
4290	55.49	0
4320	55.49	0
5100	66.47	0
5110	66.47	0
5120	66.47	0
5190	66.47	0
5230	66.47	1
5260	66.47	0
5320	66.47	0
5330	66.47	0
5340	66.47	0
5360	66.47	0
5390	66.47	0
5400	66.47	0
5420	66.47	0
6100	72.44	1
6105	72.44	1
6110	72.44	1
6120	72.44	1
6130	72.44	1
6140	72.44	1
6190	72.44	1
6210	66.47	1
6300	65.63	0
6310	72.50	1
6320	72.45	0
6420	66.47	0
6500	72.50	1
6510	72.50	1
6520	72.45	0
6590	72.45	0
6700	72.47	1
6710	72.47	1
6810	66.47	0
6910	66.47	0
6990	66.47	0
7100	66.47	1
7110	66.47	1
7130	66.47	1
7200	65.63	0
7210	66.47	0
7300	65.63	0
7310	66.47	0
7410	66.47	0
7500	65.63	0
7520	72.45	0
