hisco	hiscam	orig
1100	85.57	1
1110	85.57	1
1190	85.57	1
1200	74.90	1
1210	85.23	0
1300	85.23	0
1340	85.23	0
1400	85.23	0
1420	85.23	0
1430	85.23	0
2000	94.42	1
2100	84.82	0
2120	94.46	1
2130	84.82	0
2140	84.82	0
2200	84.82	0
2210	92.35	1
2220	80.69	1
2230	84.82	0
2240	84.82	0
2245	84.82	0
2255	80.69	1
2290	91.78	1
2300	84.82	0
2305	84.82	0
2310	84.82	0
2400	84.82	0
2410	84.82	0
2430	84.82	0
2450	84.82	0
2460	84.82	0
2510	84.82	0
2620	84.82	0
2700	80.69	1
2710	84.82	0
2740	84.82	0
2900	84.82	0
2930	84.82	0
2990	84.82	0
3000	84.82	0
3010	84.82	0
3020	80.69	1
3022	84.82	0
3030	84.82	0
3040	80.69	1
3090	84.82	0
3100	64.77	1
3110	64.77	1
3120	84.82	0
3130	84.82	0
3140	84.82	0
3150	84.82	0
3160	80.69	1
3170	84.82	0
3180	84.82	0
3200	73.28	1
3300	80.69	1
3310	80.69	1
3320	84.82	0
3330	84.82	0
3340	84.82	0
3390	84.82	0
3405	84.82	0
3490	84.82	0
3510	84.82	0
3520	84.82	0
3540	84.82	0
3550	84.82	0
3590	84.82	0
3620	84.82	0
3720	84.82	0
3930	84.82	0
4100	54.70	1
4120	54.70	1
4125	54.70	1
4130	54.70	1
4140	54.70	1
4200	54.70	1
4215	74.85	1
4217	54.70	1
4220	55.41	1
4230	65.75	1
4240	58.31	1
4250	55.60	0
4290	54.70	1
4320	55.60	0
5100	74.90	1
5110	74.90	1
5120	74.90	0
5190	74.90	0
5230	74.90	0
5260	74.90	0
5320	74.90	0
5330	74.90	0
5340	74.90	0
5360	74.90	0
5390	74.90	0
5400	74.90	0
5420	74.90	0
6100	96.82	1
6105	96.82	1
6110	96.82	1
6120	96.82	1
6130	96.82	1
6140	96.82	1
6190	96.82	1
6210	74.90	1
6300	74.90	1
6310	96.82	1
6320	92.84	0
6420	74.90	0
6500	69.84	1
6510	69.84	1
6520	96.82	1
6590	92.84	0
6700	92.93	1
6710	92.93	1
6810	74.90	0
6910	74.90	0
6990	74.90	0
7100	74.90	1
7110	74.90	1
7130	74.90	1
7200	68.49	0
7210	74.90	0
7300	68.49	0
7310	74.90	0
7410	74.90	0
7500	68.49	0
7520	96.82	1
7530	92.84	0
7600	74.90	1
7620	74.90	0
7640	74.90	0
7900	68.49	0
7920	74.90	0
7930	74.90	0
7990	74.90	0
8110	74.90	0
8130	74.90	0
8200	74.90	1
8220	74.90	1
8230	74.90	0
8250	74.90	1
8490	74.90	0
9010	74.90	0
9150	74.90	1
