hisco	hiscam	orig
1100	66.64	1
1110	66.64	1
1190	66.64	1
1200	66.64	0
1210	66.64	0
1300	66.64	0
1340	66.64	0
1400	66.64	1
1420	66.64	0
1430	66.64	0
2000	66.78	1
2100	66.65	0
2120	66.00	1
2130	69.61	1
2140	66.65	0
2200	66.65	0
2210	65.00	1
2220	66.65	0
2230	66.65	0
2240	66.65	0
2245	66.65	0
2255	66.65	0
2290	70.49	1
2300	66.65	0
2305	63.66	1
2310	66.65	0
2400	66.65	0
2410	66.65	0
2430	66.65	0
2450	66.65	0
2460	66.65	0
2510	66.65	0
2620	66.65	0
2700	66.65	0
2710	66.65	0
2740	66.65	0
2900	64.93	1
2930	66.65	0
2990	66.65	0
3000	65.45	1
3010	65.45	1
3020	64.70	1
3022	66.65	0
3030	66.65	0
3040	66.65	0
3090	66.65	0
3100	64.08	1
3110	64.08	1
3120	66.65	0
3130	66.65	0
3140	66.65	0
3150	66.65	0
3160	66.65	0
3170	66.65	0
3180	66.65	0
3200	66.78	1
3300	63.66	1
3310	63.66	1
3320	66.65	0
3330	66.65	0
3340	66.65	0
3390	66.65	0
3405	66.65	0
3490	66.65	0
3510	66.65	0
3520	66.65	0
3540	66.65	0
3550	66.65	0
3590	66.65	0
3620	66.65	0
3720	66.65	0
3930	66.65	0
4100	61.88	1
4120	61.88	1
4125	61.88	1
4130	61.88	1
4140	61.88	1
4200	61.88	1
4215	61.88	1
4217	61.88	0
4220	61.88	1
4230	61.88	1
4240	61.88	1
4250	61.88	0
4290	61.88	0
4320	61.88	0
5100	65.00	1
5110	65.00	1
5120	65.00	0
5190	65.00	0
5230	65.00	0
5260	65.00	0
5320	65.00	0
5330	65.00	0
5340	65.00	0
5360	65.00	0
5390	65.00	0
5400	65.00	0
5420	65.00	0
6100	74.11	1
6105	74.11	1
6110	74.11	1
6120	74.11	1
6130	74.11	1
6140	74.11	1
6190	74.11	1
6210	65.00	1
6300	65.00	1
6310	74.11	1
6320	72.68	0
6420	65.00	0
6500	74.11	1
6510	74.11	1
6520	72.68	0
6590	72.68	0
6700	66.41	1
6710	66.41	1
6810	65.00	0
6910	65.00	0
6990	65.00	0
7100	65.00	1
7110	65.00	1
7130	65.00	1
7200	67.96	0
7210	65.00	0
7300	67.96	0
7310	65.00	0
7410	65.00	0
7500	67.96	0
7520	72.68	0
7530	74.11	1
7600	67.96	0
7620	65.00	0
7640	65.00	0
7900	67.96	0
7920	65.00	0
7930	65.00	0
7990	65.00	0
8110	65.00	0
8130	65.00	0
