hisco	hiscam	orig
1100	89.60	1
1110	89.60	1
1190	89.60	1
1200	84.96	1
1210	81.58	0
1300	81.58	0
1340	84.96	1
1400	60.86	1
1420	81.58	0
1430	81.58	0
2000	99.00	1
2100	81.62	0
2120	81.27	1
2130	76.93	1
2140	69.32	1
2200	81.62	0
2210	83.88	1
2220	81.62	0
2230	81.62	0
2240	81.27	1
2245	81.62	0
2255	71.00	1
2290	94.32	1
2300	81.62	0
2305	69.32	1
2310	69.32	1
2400	81.62	0
2410	81.62	0
2430	81.62	0
2450	81.62	0
2460	81.62	0
2510	81.27	1
2620	69.32	1
2700	81.62	0
2710	81.62	0
2740	81.62	0
2900	74.24	1
2930	81.62	0
2990	81.62	0
3000	81.62	0
3010	81.62	0
3020	85.40	1
3022	81.62	0
3030	81.62	0
3040	81.62	0
3090	81.27	1
3100	71.45	1
3110	71.45	1
3120	64.99	1
3130	69.32	1
3140	69.32	1
3150	81.62	0
3160	69.32	1
3170	81.62	0
3180	81.62	0
3200	76.79	1
3300	71.30	1
3310	71.30	1
3320	81.62	0
3330	81.62	0
3340	81.62	0
3390	75.30	1
3405	75.34	1
3490	81.62	0
3510	73.85	1
3520	81.62	0
3540	81.62	0
3550	81.62	0
3590	69.32	1
3620	81.62	0
3720	81.62	0
3930	81.62	0
4100	54.61	1
4120	54.61	1
4125	54.61	1
4130	54.61	1
4140	54.61	1
4200	54.61	1
4215	54.61	1
4217	54.61	1
4220	58.14	1
4230	66.92	1
4240	64.34	1
4250	55.74	0
4290	54.61	1
4320	55.74	0
5100	84.96	0
5110	84.96	0
5120	84.96	0
5190	84.96	0
5230	84.96	1
5260	84.96	0
5320	84.96	1
5330	84.96	1
5340	84.96	1
5360	84.96	1
5390	84.96	0
5400	84.96	1
5420	84.96	0
6100	99.00	1
6105	99.00	1
6110	99.00	1
6120	99.00	1
6130	99.00	1
6140	99.00	1
6190	99.00	1
6210	56.83	1
6300	67.32	0
6310	99.00	1
6320	95.05	0
6420	56.83	0
6500	73.81	1
6510	73.81	1
6520	95.05	0
6590	95.05	0
6700	97.47	1
6710	97.47	1
6810	56.83	0
6910	56.83	0
6990	56.83	0
7100	56.83	1
7110	56.83	1
7130	56.83	1
7200	67.32	0
7210	56.83	0
7300	67.32	0
7310	56.83	0
7410	56.83	0
7500	67.32	0
7520	95.05	0
7530	99.00	1
7600	67.32	0
7620	56.83	0
7640	56.83	0
7900	67.32	0
7920	56.83	0
7930	56.83	0
7990	56.83	0
8110	84.96	0
8130	84.96	0
8200	84.96	0
8220	84.96	1
8230	84.96	1
8250	84.96	0
8490	84.96	0
9010	84.96	0
9150	84.96	1
9999	81.28	0
11000	81.03	1
11010	81.03	1
11020	81.03	0
12000	99.00	1
12100	99.00	0
12110	99.00	1
12200	99.00	0
12210	99.00	1
12310	99.00	1
12400	99.00	1
12410	99.00	1
12900	99.00	1
12910	99.00	1
13000	90.00	1
13020	91.01	1
13030	90.34	0
13100	96.15	1
13130	96.15	0
13140	96.15	0
13170	96.15	0
13175	96.15	0
13190	96.15	0
13200	89.26	1
13215	87.99	0
13220	87.99	0
13230	87.99	0
13250	80.72	1
13260	87.99	0
13270	87.99	0
13275	87.99	0
13280	87.99	0
13290	87.99	0
13320	67.06	1
13390	70.74	1
13420	81.45	0
13490	81.45	0
13590	81.45	0
13900	81.45	0
13940	81.95	1
13950	81.95	1
13960	81.45	0
13990	70.90	1
14100	97.28	0
14120	97.28	0
14120	99.00	1
14130	67.84	1
14140	99.00	1
14190	97.28	0
14990	75.74	1
15120	83.81	0
15120	83.81	0
15900	84.11	1
15915	83.61	1
15920	83.81	0
15920	83.81	0
15930	83.81	0
15945	83.81	0
15950	83.81	0
15960	84.15	1
15990	83.81	0
16000	66.55	1
16100	68.73	1
16120	71.71	0
16120	71.28	1
16130	82.41	1
16150	66.55	1
16160	71.90	1
16190	71.71	0
16200	71.71	0
16220	71.71	0
16230	66.55	1
16240	71.71	0
16250	68.25	1
16300	71.71	0
16310	66.55	1
16350	71.71	0
16360	71.71	0
17000	58.06	0
17100	59.99	1
17120	59.99	1
17130	59.99	1
17135	58.06	0
17140	59.99	1
17145	59.99	1
17150	58.06	0
17190	59.99	1
17200	58.06	0
17220	58.06	0
17230	58.06	0
17300	58.06	0
17320	58.06	0
