hisco	hiscam	orig
1100	82.82	1
1110	82.82	1
1190	82.82	1
1200	82.82	1
1210	79.67	0
1300	79.67	0
1340	82.82	1
1400	62.44	1
1420	79.67	0
1430	79.67	0
2000	99.00	1
2100	81.75	0
2120	85.37	1
2130	85.13	1
2140	67.13	1
2200	81.75	0
2210	84.50	1
2220	81.75	0
2230	81.75	0
2240	85.37	1
2245	81.75	0
2255	69.70	1
2290	91.21	1
2300	81.75	0
2305	85.78	1
2310	67.13	1
2400	81.75	0
2410	81.75	0
2430	81.75	0
2450	81.75	0
2460	81.75	0
2510	85.37	1
2620	67.13	1
2700	81.75	0
2710	81.75	0
2740	81.75	0
2900	90.02	1
2930	81.75	0
2990	81.75	0
3000	80.68	1
3010	80.68	1
3020	83.79	1
3022	81.75	0
3030	81.75	0
3040	80.81	1
3090	85.37	1
3100	67.13	1
3110	67.13	1
3120	65.02	1
3130	67.13	1
3140	67.13	1
3150	81.75	0
3160	67.13	1
3170	81.75	0
3180	67.13	1
3200	70.36	1
3300	70.48	1
3310	70.48	1
3320	81.75	0
3330	85.37	1
3340	81.75	0
3390	73.21	1
3405	76.46	1
3490	81.75	0
3510	72.09	1
3520	81.75	0
3540	81.75	0
3550	81.75	0
3590	67.13	1
3620	81.75	0
3720	81.75	0
3930	81.75	0
4100	53.47	1
4120	53.47	1
4125	53.47	1
4130	53.47	1
4140	53.47	1
4200	53.47	1
4215	75.22	1
4217	53.47	1
4220	56.95	1
4230	64.90	1
4240	62.86	1
4250	54.93	0
4290	53.47	1
4320	54.93	0
5100	89.31	1
5110	89.31	1
5120	89.31	0
5190	89.31	0
5230	89.31	1
5260	89.31	0
5320	89.31	1
5330	89.31	1
5340	89.31	1
5360	89.31	1
5390	89.31	0
5400	89.31	1
5420	89.31	0
6100	99.00	1
6105	99.00	1
6110	99.00	1
6120	99.00	1
6130	99.00	1
6140	99.00	1
6190	99.00	1
6210	57.71	1
6300	89.31	1
6310	98.85	1
6320	94.63	0
6420	57.71	0
6500	73.45	1
6510	73.45	1
6520	94.63	0
6590	94.63	0
6700	94.95	1
6710	94.95	1
6810	57.71	0
6910	57.71	0
6990	57.71	0
7100	57.71	1
7110	57.71	1
7130	57.71	1
7200	68.40	0
7210	57.71	0
7300	68.40	0
7310	57.71	0
7410	57.71	0
7500	68.40	0
7520	94.63	0
7530	99.00	1
7600	68.40	0
7620	57.71	0
7640	57.71	0
7900	68.40	0
7920	57.71	0
7930	57.71	0
7990	57.71	0
8110	89.31	0
8130	89.31	0
8200	89.31	0
8220	89.31	1
8230	89.31	1
8250	89.31	0
8490	89.31	0
9010	89.31	0
9150	89.31	1
9999	71.93	0
11000	71.77	1
11010	71.77	1
11020	71.77	0
12000	99.00	1
12100	99.00	0
12110	99.00	1
12200	99.00	0
12210	99.00	1
12310	99.00	1
12400	99.00	1
12410	99.00	1
12900	99.00	1
12910	99.00	1
13000	80.42	1
13020	67.46	1
13030	80.42	1
13100	99.00	1
13130	99.00	0
13140	99.00	0
13170	99.00	0
13175	99.00	0
13190	99.00	0
13200	88.44	1
13215	87.21	0
13220	87.21	0
13230	87.21	0
13250	81.44	1
13260	87.21	0
13270	87.21	0
13275	87.21	0
13280	87.21	0
13290	87.21	0
13320	65.57	1
13390	69.22	1
13420	81.19	0
13490	81.19	0
13590	81.19	0
13900	81.19	0
13940	81.67	1
13950	81.67	1
13960	81.19	0
13990	74.48	1
14100	96.56	0
14120	96.56	0
14120	99.00	1
14130	65.26	1
14140	99.00	1
14190	96.56	0
14990	64.60	1
15120	79.65	0
15120	76.24	1
15900	76.88	1
15915	91.19	1
15920	79.65	0
15920	76.60	1
15930	79.65	0
15945	79.65	0
15950	79.65	0
15960	76.24	1
15990	79.65	0
16000	66.10	1
16100	65.09	1
16120	67.99	0
16120	66.05	1
16130	76.52	1
16150	66.10	1
16160	72.15	1
16190	67.99	0
16200	66.10	1
16220	67.99	0
16230	66.10	1
16240	67.99	0
16250	66.08	1
16300	67.99	0
16310	66.10	1
16350	67.99	0
16360	66.10	1
17000	59.30	0
17100	70.17	1
17120	70.17	1
17130	59.03	1
17135	59.30	0
17140	59.03	1
17145	59.03	1
17150	59.30	0
17190	59.03	1
17200	59.30	0
17220	59.30	0
17230	59.30	0
17300	59.30	0
17320	59.30	0
17340	59.03	1
17420	59.30	0
17490	59.03	1
17530	59.03	1
17540	59.03	1
17590	59.03	1
17900	59.30	0
17920	47.37	1
17940	59.30	0
17990	58.18	1
18000	59.30	0
18020	59.30	0
18050	59.03	1
18090	59.30	0
19100	89.31	0
19120	89.31	0
19130	89.31	0
19140	89.31	0
19190	89.31	0
19200	89.31	0
19250	89.31	0
19290	89.31	0
19300	89.31	0
19320	89.31	0
19390	89.31	0
19400	89.31	0
19420	89.31	1
19430	89.31	0
19490	89.31	1
19500	89.31	1
19520	89.31	0
19530	89.31	0
19540	89.31	0
19900	89.31	0
19950	89.31	0
19960	89.31	0
19990	89.31	1
20100	99.00	1
20110	99.00	1
20200	92.77	1
20210	92.77	1
21000	71.60	1
21100	88.22	1
21110	88.22	1
21200	88.22	1
21220	67.42	1
21230	89.31	1
21240	68.75	1
21300	63.07	1
21320	64.67	0
21340	64.90	1
21420	89.31	1
21430	71.60	1
21490	83.40	0
21900	84.08	0
21940	89.38	1
21950	81.08	0
21960	88.22	1
21970	81.08	0
21980	81.08	0
21990	89.10	1
22000	65.51	1
22100	65.55	0
22110	81.12	1
22190	88.04	1
22200	65.55	0
22210	81.87	1
22220	89.18	1
22230	74.30	0
22235	74.30	0
22240	69.55	1
22245	69.55	1
22250	74.30	0
22265	74.30	0
22275	74.30	0
22280	74.30	0
22290	69.55	1
22300	65.55	0
22320	85.57	0
22330	85.57	0
22390	85.57	0
22420	65.51	1
22425	65.51	1
22430	64.88	0
22440	64.88	0
22450	58.95	1
22460	64.88	0
22490	67.04	1
22520	59.11	1
22600	55.31	1
22610	55.31	1
22620	61.37	0
22630	61.37	0
22640	61.37	0
22650	62.10	1
22651	61.37	0
22655	61.37	0
22660	55.31	1
22665	61.37	0
22670	55.80	1
22675	78.47	1
22680	70.50	1
