hisco	hiscam
1100	93.69
1110	93.69
1190	93.69
1200	93.69
1210	89.90
1300	89.90
1340	93.69
1400	69.19
1420	89.90
1430	89.90
2000	93.75
2100	92.38
2120	91.09
2130	96.45
2140	74.83
2200	92.38
2210	93.75
2220	92.00
2230	92.38
2240	96.75
2245	92.38
2255	77.91
2290	99.00
2300	92.38
2305	97.23
2310	74.83
2400	92.38
2410	92.38
2430	92.38
2450	92.38
2460	92.38
2510	96.75
2620	74.83
2700	92.38
2710	92.38
2740	92.38
2900	99.00
2930	92.38
2990	92.38
3000	91.12
3010	91.12
3020	91.44
3022	92.38
3030	92.38
3040	91.26
3090	96.75
3100	74.83
3110	74.83
3120	72.30
3130	74.83
3140	74.83
3150	92.38
3160	74.83
3170	92.38
3180	74.83
3200	78.70
3300	78.86
3310	78.86
3320	92.38
3330	96.75
3340	92.38
3390	82.13
3405	86.04
3490	92.38
3510	84.59
3520	92.38
3540	92.38
3550	92.38
3590	74.83
3620	92.38
3720	92.38
3930	92.38
4100	58.40
4120	58.40
4125	58.40
4130	58.40
4140	58.40
4200	58.40
4215	84.55
4217	74.73
4220	62.59
4230	74.73
4240	74.73
4250	60.16
4290	58.40
4320	60.16
5100	99.00
5110	99.00
5120	99.00
5190	99.00
5230	99.00
5260	99.00
5320	99.00
5330	99.00
5340	99.00
5360	99.00
5390	99.00
5400	99.00
5420	99.00
6100	99.00
6105	97.98
6110	97.98
6120	97.98
6130	99.00
6140	97.98
6190	99.00
6210	63.50
6300	99.00
6310	99.00
6320	97.98
6420	63.50
6500	82.41
6510	82.41
6520	99.00
6590	99.00
6700	99.00
6710	97.98
6810	63.50
6910	63.50
6990	63.50
7100	63.50
7110	63.50
7130	63.50
7200	76.36
7210	63.50
7300	76.36
7310	63.50
7410	63.50
7500	76.36
7520	99.00
7530	99.00
7600	76.36
7620	63.50
7640	63.50
7900	76.36
7920	63.50
7930	63.50
7990	63.50
8110	99.00
8130	99.00
8200	99.00
8220	99.00
8230	99.00
8250	99.00
8490	99.00
9010	99.00
9150	99.00
9999	80.59
11000	80.41
