hisco	hiscam
1100	77.04
1110	77.04
1190	75.54
1200	77.04
1210	74.54
1300	74.54
1340	77.04
1400	60.83
1420	74.54
1430	74.54
2000	56.02
2100	76.19
2120	84.12
2130	78.87
2140	64.55
2200	76.19
2210	93.59
2220	76.19
2230	76.19
2240	79.06
2245	76.19
2255	66.59
2290	83.72
2300	76.19
2305	80.31
2310	64.55
2400	76.19
2410	76.19
2430	76.19
2450	76.19
2460	76.19
2510	65.52
2620	64.55
2700	76.19
2710	76.19
2740	76.19
2900	82.76
2930	76.19
2990	76.19
3000	75.33
3010	75.33
3020	85.38
3022	76.19
3030	76.19
3040	75.44
3090	79.06
3100	64.55
3110	61.95
3120	62.88
3130	64.55
3140	64.55
3150	76.19
3160	64.55
3170	76.19
3180	64.55
3200	67.12
3300	67.23
3310	67.23
3320	76.19
3330	56.02
3340	76.19
3390	69.40
3405	71.98
3490	76.19
3510	59.70
3520	76.19
3540	76.19
3550	76.19
3590	64.55
3620	76.19
3720	76.19
3930	76.19
4100	53.68
4120	53.68
4125	51.52
4130	53.68
4140	51.52
4200	51.52
4215	71.00
4217	59.88
4220	56.45
4230	62.79
4240	61.16
4250	54.84
4290	53.68
4320	54.84
5100	82.19
5110	75.54
5120	83.58
5190	82.19
5230	77.73
5260	82.19
5320	86.79
5330	82.19
5340	86.79
5360	83.58
5390	83.58
5400	82.19
5420	82.19
6100	91.97
6105	91.97
6110	91.97
6120	91.97
6130	89.91
6140	91.97
6190	91.97
6210	57.06
6300	82.19
6310	96.38
6320	91.12
6420	57.06
6500	69.58
6510	76.87
6520	86.44
6590	86.44
6700	86.69
6710	85.23
6810	57.06
6910	57.06
6990	57.06
7100	57.06
7110	57.06
7130	57.06
7200	65.56
7210	57.06
7300	65.56
7310	57.06
7410	57.06
7500	65.56
7520	91.12
7530	80.37
7600	65.56
7620	57.06
7640	57.06
7900	65.56
7920	57.06
7930	57.06
7990	57.06
8110	71.05
8130	71.05
8200	82.19
8220	82.19
8230	82.19
8250	82.19
8490	82.19
9010	82.19
9150	82.19
9999	63.13
11000	68.25
11010	71.73
11020	71.73
12000	80.01
12100	89.91
12110	95.33
12200	89.91
12210	92.54
12310	87.33
12400	89.91
12410	89.91
12900	89.91
12910	89.91
13000	77.29
13020	64.81
13030	77.29
13100	89.91
13130	89.91
13140	89.91
13170	89.91
13175	89.91
13190	89.91
13200	81.51
13215	67.30
13220	80.52
13230	80.52
13250	71.62
13260	80.52
13270	80.52
13275	80.52
13280	80.52
13290	80.52
13320	60.75
13390	66.22
13420	75.73
13490	75.73
13590	75.73
13900	75.73
13940	76.12
13950	78.61
13960	75.73
13990	70.41
14100	87.97
14120	75.54
14130	63.06
14140	89.91
14190	87.97
14990	62.54
15120	71.80
15900	73.04
15915	87.02
15920	72.08
15930	74.51
15945	74.51
15950	74.51
15960	71.80
15990	74.51
16000	64.48
16100	62.93
16120	62.50
16130	68.16
16150	60.84
16160	60.84
16190	65.25
16200	63.74
16220	61.36
16230	60.84
16240	65.25
16250	60.84
16300	65.25
16310	60.27
16350	65.25
16360	63.74
17000	58.33
17100	66.98
17120	67.37
17130	58.11
17135	58.33
17140	67.37
17145	58.11
17150	58.33
17190	58.11
17200	58.33
17220	58.33
17230	58.33
17300	58.33
17320	58.33
17340	58.11
17420	58.33
17490	58.11
17530	58.11
17540	58.11
17590	61.20
17900	58.33
17920	48.84
17940	58.33
17990	57.43
18000	58.33
18020	58.33
18050	58.11
18090	58.33
19100	82.19
19120	75.54
19130	75.54
19140	75.54
19190	82.19
19200	82.19
19250	82.19
19290	75.54
19300	82.19
