hisco	hiscam
1100	82.48
1110	82.48
1190	82.48
1200	82.48
1210	79.51
1300	79.51
1340	82.48
1400	63.27
1420	79.51
1430	79.51
2000	66.47
2100	81.47
2120	66.47
2130	84.66
2140	67.69
2200	81.47
2210	66.47
2220	81.47
2230	81.47
2240	84.88
2245	81.47
2255	70.12
2290	90.38
2300	81.47
2305	85.26
2310	67.69
2400	81.47
2410	81.47
2430	81.47
2450	81.47
2460	81.47
2510	84.88
2620	67.69
2700	81.47
2710	81.47
2740	81.47
2900	89.26
2930	81.47
2990	81.47
3000	80.47
3010	80.47
3020	66.47
3022	81.47
3030	81.47
3040	80.58
3090	84.88
3100	67.69
3110	67.69
3120	65.72
3130	67.69
3140	67.69
3150	81.47
3160	67.69
3170	81.47
3180	67.69
3200	70.75
3300	70.86
3310	66.47
3320	81.47
3330	84.88
3340	81.47
3390	73.43
3405	76.48
3490	81.47
3510	72.37
3520	81.47
3540	81.47
3550	81.47
3590	67.69
3620	81.47
3720	81.47
3930	81.47
4100	54.83
4120	54.83
4125	54.83
4130	54.83
4140	54.83
4200	54.83
4215	75.33
4217	55.49
4220	55.49
4230	62.22
4240	63.68
4250	55.49
4290	54.83
4320	56.20
5100	88.59
5110	88.59
5120	88.59
5190	88.59
5230	88.59
5260	66.47
5320	88.59
5330	88.59
5340	88.59
5360	88.59
5390	88.59
5400	88.59
5420	88.59
6100	97.73
6105	72.44
6110	72.44
6120	97.73
6130	97.73
6140	97.73
6190	97.73
6210	58.83
6300	88.59
6310	72.50
6320	93.61
6420	58.83
6500	73.66
6510	72.50
6520	72.44
6590	93.61
6700	93.91
6710	72.47
6810	58.83
6910	58.83
6990	58.83
7100	58.83
7110	58.83
7130	58.83
7200	68.90
7210	58.83
7300	68.90
7310	58.83
7410	58.83
7500	68.90
7520	93.61
7530	97.73
7600	68.90
7620	58.83
7640	58.83
7900	68.90
7920	58.83
7930	58.83
7990	58.83
8110	88.59
8130	88.59
8200	88.59
8220	88.59
8230	88.59
8250	88.59
8490	88.59
9010	66.47
9150	88.59
9999	72.22
11000	72.06
11010	72.06
11020	66.47
12000	75.52
12100	97.73
12110	75.52
12200	97.73
12210	75.52
12310	75.52
12400	97.73
12410	97.73
12900	97.73
12910	75.52
13000	80.23
13020	62.40
13030	80.23
13100	71.69
13130	97.73
13140	97.73
13170	97.73
13175	97.73
13190	97.73
13200	71.94
13215	71.76
13220	86.62
13230	86.62
13250	81.18
13260	86.62
13270	86.62
13275	86.62
13280	86.62
13290	86.62
13320	66.23
13390	69.66
13420	80.94
13490	80.94
13590	80.94
13900	80.94
13940	77.88
13950	81.40
13960	80.94
13990	74.62
14100	95.43
14120	76.19
14130	65.94
14140	97.73
14190	95.43
14990	65.31
15120	76.29
15900	76.88
15915	90.37
15920	76.62
15930	79.50
15945	79.50
15950	79.50
15960	76.29
15990	79.50
16000	66.73
16100	65.77
16120	66.47
16130	76.55
16150	66.73
16160	72.43
16190	68.51
16200	66.73
16220	68.51
16230	66.73
16240	68.51
16250	66.70
16300	68.51
16310	66.73
16350	68.51
16360	66.73
17000	60.31
17100	70.56
17120	70.56
17130	66.47
17135	60.31
17140	66.47
17145	66.47
17150	60.31
17190	60.06
17200	60.31
17220	60.31
17230	66.47
17300	60.31
17320	60.31
17340	60.06
17420	60.31
17490	60.06
17530	60.06
17540	60.06
17590	60.06
17900	60.31
17920	49.09
17940	60.31
17990	59.27
18000	60.31
18020	60.31
18050	60.06
18090	60.31
19100	88.59
19120	88.59
19130	74.69
19140	88.59
19190	88.59
19200	88.59
19250	88.59
19290	88.59
19300	88.59
19320	88.59
19390	88.59
19400	88.59
19420	88.59
19430	88.59
19490	88.59
19500	88.59
19520	88.59
19530	88.59
19540	88.59
19900	88.59
19950	88.59
19960	88.59
19990	88.59
20100	97.73
20110	73.83
20200	91.86
20210	73.83
21000	71.91
21100	87.56
21110	76.16
21200	87.56
21220	67.98
21230	66.47
21240	76.16
21300	63.88
21320	65.38
21340	65.59
21420	88.59
21430	71.91
21490	83.04
21900	83.66
21940	76.16
21950	76.16
21960	87.56
21970	80.83
21980	80.83
21990	76.16
22000	66.47
22100	66.20
22110	80.87
22190	87.40
22200	59.54
22210	81.58
22220	66.47
22230	74.45
22235	74.45
22240	69.98
22245	69.98
22250	74.45
22265	74.45
22275	74.45
22280	74.45
22290	69.98
22300	66.20
22320	85.08
22330	85.08
22390	85.08
22420	59.08
22425	66.16
22430	65.58
22440	65.58
22450	54.15
22460	65.58
22490	67.62
22520	60.15
22600	56.56
22610	59.63
22620	59.02
22630	62.27
22640	62.27
22650	60.31
22651	62.27
22655	62.27
22660	56.56
22665	62.27
22670	57.02
22675	78.38
22680	70.87
22690	62.16
30000	68.44
31000	64.41
31020	64.41
31030	64.41
31040	64.41
31090	64.41
31940	56.79
32100	63.90
32110	63.90
32120	64.41
32140	68.69
32190	68.69
32220	68.69
33000	71.98
33100	71.98
33110	71.98
33120	78.13
33130	78.13
33135	78.13
33140	78.13
33150	78.13
33160	78.13
33170	78.13
33190	78.13
33900	68.69
33920	68.69
33930	68.69
33940	64.41
33990	74.94
34120	56.52
34230	56.52
36000	60.36
36020	58.93
36040	49.68
36090	54.66
37000	66.44
37010	56.52
37020	68.79
37030	49.68
37040	49.68
37090	49.68
38000	63.90
38020	56.52
38030	54.66
38040	62.18
38090	56.52
39100	62.47
39110	62.47
39120	64.41
39130	64.41
39140	64.41
39150	64.41
39190	62.47
39230	63.90
39310	64.41
39320	64.41
39340	77.63
39350	64.41
39390	68.69
39410	68.69
39440	68.69
39490	68.69
39520	68.69
39530	60.34
39900	68.69
39940	68.69
39960	56.79
39990	65.31
41000	64.09
41020	78.73
41025	73.76
41030	64.77
41035	65.02
41040	60.20
41525	57.40
42200	69.41
42220	69.41
42230	69.41
43100	71.16
43120	71.16
43200	68.76
43220	68.76
43230	69.41
43290	71.16
44100	76.75
44120	72.06
44130	81.44
44140	81.44
44190	76.81
44200	71.16
44220	71.16
44230	69.12
44300	71.16
44320	73.20
44330	71.16
45100	54.06
45120	66.81
45125	61.29
45130	53.56
45140	54.06
45150	54.06
45190	65.62
45220	54.66
45225	54.06
45230	52.22
45240	54.06
45250	54.06
45290	51.88
49020	54.06
49030	54.06
49090	62.31
51000	57.06
51020	57.06
51030	56.06
51040	69.00
51050	57.06
51090	65.48
52000	57.40
52290	57.40
53100	54.66
53120	59.68
53130	59.68
53140	59.68
53150	59.68
53190	59.68
53200	54.93
53210	49.11
53220	54.93
53240	54.93
53250	54.93
53290	54.93
53330	42.04
54000	42.04
54010	49.11
54020	49.11
54030	49.11
54035	45.34
54040	45.34
54050	42.04
54055	45.34
54060	45.34
54090	54.34
55100	59.11
55120	63.90
55125	60.83
55130	66.66
55140	63.77
55190	42.04
55200	45.34
55220	45.34
55230	45.34
55240	49.11
55290	47.63
56000	52.59
56010	52.59
56030	52.59
56040	52.59
56050	52.59
56060	52.59
56065	52.59
56070	52.59
56090	52.59
57000	55.02
57025	54.66
57030	54.66
57070	55.02
57090	55.02
58100	53.79
58110	53.49
58200	63.54
58220	50.25
58225	56.27
58230	60.15
58240	60.15
58300	53.49
58320	53.49
58330	53.49
58340	53.49
58490	60.15
58900	60.15
58920	60.15
58930	60.93
58940	53.49
58990	53.49
59100	57.02
