hisco	hiscam
1100	85.56
1110	85.56
1190	85.56
1200	74.90
1210	79.31
1300	79.31
1340	82.48
1400	62.02
1420	79.31
1430	79.31
2000	94.41
2100	84.81
2120	94.45
2130	84.81
2140	66.73
2200	84.81
2210	92.34
2220	80.69
2230	84.81
2240	84.81
2245	81.40
2255	69.30
2290	91.77
2300	81.40
2305	85.44
2310	66.73
2400	84.81
2410	84.81
2430	84.81
2450	81.40
2460	81.40
2510	85.02
2620	66.73
2700	80.69
2710	84.81
2740	81.40
2900	89.69
2930	81.40
2990	81.40
3000	84.81
3010	84.81
3020	80.69
3022	81.40
3030	81.40
3040	80.69
3090	84.81
3100	64.76
3110	64.76
3120	64.62
3130	66.73
3140	66.73
3150	81.40
3160	66.73
3170	81.40
3180	66.73
3200	73.27
3300	70.09
3310	70.09
3320	84.81
3330	85.02
3340	84.81
3390	72.83
3405	76.09
3490	81.40
3510	76.08
3520	81.40
3540	81.40
3550	81.40
3590	66.73
3620	81.40
3720	81.40
3930	81.40
4100	53.02
4120	53.02
4125	54.70
4130	53.02
4140	53.02
4200	54.70
4215	74.84
4217	54.70
4220	55.40
4230	65.75
4240	58.31
4250	55.59
4290	54.70
4320	54.50
5100	74.90
5110	88.98
5120	88.98
5190	88.98
5230	88.98
5260	88.98
5320	74.90
5330	88.98
5340	88.98
5360	88.98
5390	88.98
5400	88.98
5420	88.98
6100	96.81
6105	96.81
6110	96.81
6120	96.81
6130	96.81
6140	96.81
6190	96.81
6210	57.29
6300	74.90
6310	96.81
6320	92.83
6420	57.29
6500	69.83
6510	69.83
6520	96.81
6590	92.83
6700	92.93
6710	92.93
6810	57.29
6910	57.29
6990	57.29
7100	57.29
7110	57.29
7130	57.29
7200	68.01
7210	57.29
7300	68.01
7310	57.29
7410	57.29
7500	68.48
7520	96.81
7530	92.83
7600	74.90
7620	57.29
7640	57.29
7900	68.48
7920	57.29
7930	57.29
7990	57.29
8110	88.98
8130	88.98
8200	74.90
8220	74.90
8230	88.98
8250	74.90
8490	88.98
9010	74.90
9150	74.90
9999	71.55
11000	73.70
11010	73.70
11020	73.20
12000	99.00
12100	98.59
12110	99.00
12200	98.59
12210	99.00
12310	99.00
12400	95.34
12410	95.34
12900	99.00
12910	99.00
13000	72.98
13020	71.33
13030	72.98
13100	84.79
13130	84.83
13140	84.83
13170	84.83
13175	98.70
13190	89.79
13200	90.08
13215	90.08
13220	90.08
13230	86.87
13250	84.08
13260	86.87
13270	86.87
13275	86.87
13280	90.08
13290	90.08
13320	65.30
13390	68.12
13420	80.83
13490	80.83
13590	80.83
13900	80.63
13940	80.63
13950	80.63
13960	80.63
13990	80.63
14100	96.62
14120	99.00
14130	64.86
14140	99.00
14190	96.62
14990	65.12
15120	75.45
15900	77.45
15915	77.70
15920	75.83
15930	77.26
15945	79.30
15950	79.30
15960	75.87
15990	79.30
16000	70.87
16100	70.18
16120	72.06
16130	73.54
16150	70.18
16160	68.30
16190	70.18
16200	68.30
16220	67.59
16230	70.18
16240	70.18
16250	70.80
16300	69.55
16310	70.30
16350	67.59
16360	65.70
17000	59.18
17100	66.16
17120	69.79
17130	59.18
17135	58.90
17140	59.18
17145	59.18
17150	58.90
17190	58.90
17200	58.88
17220	59.18
17230	59.18
17300	58.88
17320	58.90
17340	58.61
17420	58.88
17490	58.04
17530	58.61
17540	57.97
17590	57.97
17900	59.18
