hisco	hiscam
1100	80.83
1110	75.70
1190	75.70
1200	75.70
1210	77.77
1300	77.77
1340	80.83
1400	61.13
1420	75.70
1430	77.77
2000	86.05
2100	79.79
2120	83.37
2130	83.05
2140	65.66
2200	79.79
2210	80.37
2220	79.79
2230	83.18
2240	83.29
2245	79.79
2255	68.15
2290	88.93
2300	79.79
2305	79.66
2310	65.66
2400	79.79
2410	79.79
2430	79.79
2450	79.79
2460	79.79
2510	83.18
2620	65.66
2700	79.79
2710	83.18
2740	79.79
2900	87.77
2930	83.18
2990	79.79
3000	78.76
3010	82.95
3020	85.33
3022	79.79
3030	79.79
3040	84.44
3090	83.29
3100	65.66
3110	65.66
3120	63.63
3130	65.66
3140	65.66
3150	83.18
3160	65.66
3170	79.79
3180	65.66
3200	72.77
3300	68.91
3310	68.91
3320	83.18
3330	86.05
3340	79.79
3390	71.54
3405	74.68
3490	79.79
3510	70.47
3520	79.79
3540	83.18
3550	83.18
3590	65.66
3620	79.79
3720	79.79
3930	79.79
4100	52.47
4120	52.47
4125	52.47
4130	52.47
4140	52.47
4200	52.47
4215	75.70
4217	52.47
4220	55.84
4230	63.52
4240	61.54
4250	53.88
4290	52.47
4320	53.88
5100	87.08
5110	75.70
5120	87.08
5190	87.08
5230	87.08
5260	87.08
5320	75.70
5330	87.08
5340	87.08
5360	87.08
5390	87.08
5400	87.08
5420	87.08
6100	92.43
6105	92.43
6110	92.43
6120	96.44
6130	96.44
6140	92.43
6190	96.44
6210	56.56
6300	87.08
6310	92.43
6320	92.77
6420	56.56
6500	71.76
6510	71.76
6520	92.23
6590	92.77
6700	92.54
6710	94.01
6810	56.56
6910	56.56
6990	56.56
7100	56.56
7110	56.56
7130	56.56
7200	66.90
7210	56.56
7300	66.90
7310	56.56
7410	56.56
7500	66.90
7520	92.23
7530	92.43
7600	66.90
7620	56.56
7640	56.56
7900	66.90
7920	56.56
7930	56.56
7990	56.56
8110	87.08
8130	87.08
8200	87.08
8220	87.08
8230	87.08
8250	66.41
8490	87.08
9010	87.08
9150	87.08
9999	70.30
11000	70.15
11010	66.41
11020	70.15
12000	99.00
12100	96.44
12110	99.00
12200	96.44
12210	99.00
12310	99.00
12400	96.44
12410	99.00
12900	96.44
12910	99.00
13000	81.00
13020	65.98
13030	81.00
13100	81.00
13130	96.44
13140	96.44
13170	96.44
13175	81.00
13190	96.44
13200	81.00
13215	81.00
13220	85.05
13230	85.05
13250	81.00
13260	85.05
13270	85.05
13275	85.05
13280	85.05
13290	81.00
13320	63.40
13390	63.40
13420	79.25
13490	79.25
13590	79.25
13900	79.25
13940	81.00
13950	81.00
13960	79.25
13990	72.76
14100	94.08
14120	75.70
14130	63.86
14140	96.44
14190	94.08
14990	63.22
15120	75.70
15900	75.08
15915	75.70
15920	75.70
15930	77.76
15945	77.76
15950	77.76
15960	74.48
15990	75.70
16000	69.73
16100	63.70
16120	68.23
16130	69.43
16150	69.73
16160	70.51
16190	68.48
16200	64.68
16220	66.51
16230	69.73
16240	68.48
16250	64.65
16300	66.51
16310	69.73
16350	66.51
16360	69.73
17000	58.09
17100	68.61
17120	63.04
17130	57.84
17135	63.74
17140	64.08
17145	64.18
17150	58.09
17190	57.84
17200	58.09
17220	63.74
17230	58.09
17300	58.09
17320	63.74
17340	64.86
17420	58.09
17490	61.91
17530	57.84
17540	64.12
17590	64.12
17900	58.09
17920	46.59
17940	58.09
17990	57.02
18000	58.09
18020	63.74
18050	57.84
18090	58.09
19100	87.08
19120	75.70
19130	75.70
19140	75.70
19190	87.08
19200	87.08
19250	75.70
19290	87.08
19300	87.08
19320	87.08
19390	87.08
19400	87.08
19420	87.08
19430	87.08
19490	87.08
19500	75.70
19520	87.08
19530	87.08
19540	87.08
19900	87.08
19950	87.08
19960	87.08
19990	87.08
20100	96.83
20110	96.83
20200	90.43
20210	93.48
21000	70.91
21100	86.04
21110	83.22
21200	83.22
21220	70.06
21230	85.97
21240	74.30
21300	61.75
21320	63.29
21340	63.52
21420	85.97
21430	75.70
21490	82.55
21900	82.05
21940	70.91
21950	79.13
21960	74.61
21970	77.51
21980	79.13
21990	73.65
22000	64.09
22100	64.15
22110	85.97
22190	85.87
22200	64.15
22210	80.76
22220	78.48
22230	72.59
22235	72.59
22240	68.01
22245	68.01
22250	72.59
22265	72.59
22275	72.59
22280	72.59
22290	68.01
22300	64.15
22320	83.48
22330	83.48
22390	83.48
22420	64.09
22425	64.09
22430	63.50
22440	63.50
22450	57.77
22460	63.50
22490	65.58
22520	57.54
22600	54.25
22610	57.54
22620	57.54
22630	60.09
22640	60.09
22650	60.81
22651	60.09
22655	60.09
22660	54.25
22665	60.09
22670	57.54
22675	76.62
22680	68.91
22690	60.00
30000	60.38
31000	81.83
31020	73.12
31030	71.98
31040	59.47
31090	60.38
31940	54.47
32100	61.77
32110	60.38
32120	60.38
32140	66.69
32190	66.69
32220	66.69
33000	70.06
33100	70.06
33110	70.06
33120	76.37
33130	76.37
33135	73.41
33140	76.37
33150	76.37
33160	76.37
33170	73.41
33190	76.37
33900	66.69
33920	66.69
33930	66.69
33940	63.86
33990	73.11
34120	54.20
34230	54.20
36000	58.15
36020	53.15
36040	53.15
36090	52.31
37000	64.37
37010	54.20
37020	66.79
37030	53.15
37040	53.15
37090	53.15
38000	61.77
38020	53.15
38030	52.31
38040	53.15
38090	54.20
39100	60.31
39110	60.31
39120	60.38
39130	60.31
39140	60.38
39150	60.38
39190	60.31
39230	61.77
39310	62.58
39320	63.63
39340	75.63
39350	63.95
39390	63.95
39410	63.95
39440	66.69
39490	66.69
39520	66.69
39530	58.13
39900	63.95
39940	63.95
39960	60.38
39990	60.38
41000	61.97
41020	84.04
41025	61.63
41030	63.25
41035	62.93
41040	61.63
41525	55.11
42200	67.41
42220	67.41
42230	74.00
43100	74.00
43120	69.20
43200	74.00
43220	74.00
43230	74.00
43290	69.20
44100	74.00
44120	74.00
44130	74.00
44140	80.80
44190	74.00
44200	69.20
44220	69.20
44230	74.00
44300	69.20
44320	71.31
44330	74.00
45100	51.68
45120	69.98
45125	57.84
45130	57.84
45140	51.68
45150	51.68
45190	63.52
45220	52.06
45225	51.68
45230	49.79
45240	58.38
45250	51.68
45290	49.45
49020	51.68
49030	58.38
49090	60.15
51000	53.74
51020	58.72
51030	58.79
51040	67.00
51050	58.79
51090	58.79
52000	55.11
52290	57.31
53100	55.75
53120	54.99
53130	56.34
53140	57.45
53150	57.45
53190	55.79
53200	52.58
53210	53.20
53220	53.20
53240	53.20
53250	52.58
53290	53.20
53330	39.36
54000	39.36
54010	39.00
54020	39.00
54030	39.00
54035	42.75
54040	41.52
54050	39.00
54055	42.75
54060	42.75
54090	51.97
55100	56.86
55120	61.77
55125	57.72
55130	64.61
55140	61.63
55190	39.00
55200	42.75
55220	42.75
55230	42.75
55240	46.61
55290	39.00
56000	50.18
56010	46.81
56030	50.18
56040	46.81
56050	50.18
56060	50.18
56065	50.18
56070	50.18
56090	46.81
57000	52.68
57025	56.47
57030	56.47
57070	56.47
57090	56.47
58100	55.02
58110	55.02
58200	61.40
58220	53.20
58225	53.95
58230	60.31
58240	60.31
58300	54.90
58320	92.27
58330	54.88
58340	51.81
58490	57.93
58900	60.31
58920	57.93
58930	54.18
58940	51.34
58990	57.20
59100	57.31
59200	54.72
59220	57.31
59230	54.72
59290	57.31
59900	54.72
59920	54.72
59940	47.49
59950	57.31
59990	57.31
61100	50.18
61110	50.75
61115	44.00
61120	50.18
61220	50.50
61230	50.50
61235	50.50
61240	50.50
61250	52.00
61260	50.50
61270	55.02
61290	50.50
62100	47.90
62105	48.93
62110	48.84
62120	46.27
62200	49.38
62210	49.38
62220	49.25
62230	49.38
62240	49.25
62260	49.25
62290	49.25
62320	49.04
62330	49.38
62390	49.38
62400	48.86
62410	49.11
62420	48.13
62430	48.00
62440	49.11
62460	48.13
62490	48.13
62510	49.38
62520	50.04
62600	49.04
62610	49.04
62660	49.04
62690	49.04
62700	50.84
62720	51.59
62730	50.90
62740	53.09
62790	51.59
62800	49.04
62820	49.38
62920	51.97
62940	51.79
62950	51.97
62960	51.97
62970	51.97
62990	51.97
63100	49.84
63110	49.34
63120	49.84
63130	49.54
63140	49.54
63190	50.34
63200	51.61
63220	54.11
63230	54.11
63250	51.61
63290	54.11
64100	50.93
64120	50.65
64130	50.93
64900	51.61
64920	51.61
64930	52.79
64940	51.61
64960	50.93
64990	50.93
71100	46.02
71105	46.02
71110	46.33
71120	45.99
71125	46.02
71130	44.86
71150	45.99
71160	46.08
71170	45.99
71190	52.84
71200	45.99
71220	46.02
71250	46.02
71290	45.99
71300	46.02
71380	44.86
71390	45.99
72000	50.27
72100	50.68
72120	48.74
72130	48.74
72160	48.74
72170	48.74
72190	51.47
72200	48.00
72220	48.74
72230	48.74
72250	49.72
72260	48.74
72290	48.74
72320	48.74
72330	48.74
72390	49.72
72400	48.74
72420	46.65
72490	52.54
