hisco	hiscam
1100	75.36
1110	84.08
1190	84.08
1200	84.08
1210	80.44
1300	80.44
1340	84.08
1400	66.63
1420	80.44
1430	80.44
2000	66.77
2100	77.44
2120	66.00
2130	86.73
2140	66.01
2200	77.44
2210	65.00
2220	82.83
2230	82.83
2240	87.01
2245	82.83
2255	68.97
2290	93.73
2300	82.83
2305	63.65
2310	66.01
2400	82.83
2410	82.83
2430	82.83
2450	82.83
2460	82.83
2510	87.01
2620	66.01
2700	82.83
2710	82.83
2740	82.83
2900	64.93
2930	82.83
2990	82.83
3000	76.23
3010	81.61
3020	64.69
3022	82.83
3030	82.83
3040	81.76
3090	87.01
3100	64.08
3110	66.01
3120	63.59
3130	66.01
3140	66.01
3150	82.83
3160	66.01
3170	82.83
3180	66.01
3200	69.73
3300	63.65
3310	69.87
3320	82.83
3330	87.01
3340	82.83
3390	73.01
3405	76.75
3490	82.83
3510	71.73
3520	82.83
3540	82.83
3550	82.83
3590	66.01
3620	82.83
3720	82.83
3930	82.83
4100	50.29
4120	50.29
4125	50.29
4130	50.29
4140	50.29
4200	54.15
4215	61.88
4217	50.29
4220	61.88
4230	61.88
4240	61.88
4250	51.97
4290	50.29
4320	51.97
5100	65.00
5110	91.54
5120	91.54
5190	91.54
5230	91.54
5260	91.54
5320	91.54
5330	91.54
5340	91.54
5360	91.54
5390	91.54
5400	91.54
5420	91.54
6100	74.11
6105	74.11
6110	74.11
6120	99.00
6130	99.00
6140	74.11
6190	99.00
6210	55.18
6300	65.00
6310	74.11
6320	97.66
6420	55.18
6500	74.11
6510	74.11
6520	97.66
6590	97.66
6700	66.41
6710	66.41
6810	55.18
6910	55.18
6990	55.18
7100	55.18
7110	55.18
7130	55.18
7200	67.48
7210	55.18
7300	67.48
7310	55.18
7410	55.18
7500	67.95
7520	97.66
7530	74.11
7600	67.95
7620	55.18
7640	55.18
7900	67.95
7920	55.18
7930	55.18
7990	55.18
8110	91.54
8130	91.54
8200	65.00
8220	91.54
8230	91.54
8250	91.54
8490	91.54
9010	91.54
9150	91.54
9999	71.54
11000	65.00
11010	65.00
11020	71.36
12000	75.48
12100	75.48
12110	75.48
12200	75.48
12210	99.00
12310	99.00
12400	75.48
12410	75.48
12900	75.48
12910	75.48
13000	65.73
13020	58.13
13030	81.31
13100	71.37
13130	99.00
13140	99.00
13170	71.37
13175	99.00
13190	71.37
13200	65.73
13215	89.12
13220	89.12
13230	89.12
13250	82.48
13260	89.12
13270	89.12
13275	89.12
13280	89.12
13290	89.12
13320	64.22
13390	68.41
13420	82.19
13490	82.19
13590	82.19
13900	78.97
13940	77.76
13950	82.75
13960	82.19
13990	74.48
14100	74.23
14120	74.23
14130	63.86
14140	99.00
14190	74.23
14990	66.81
15120	71.93
15900	71.93
15915	71.93
15920	76.91
15930	71.93
15945	80.43
15950	71.93
15960	76.51
15990	80.43
16000	64.83
16100	59.83
16120	59.83
16130	76.81
16150	64.83
16160	71.79
16190	67.01
16200	59.83
16220	67.01
16230	59.83
16240	59.83
16250	59.83
16300	59.83
16310	59.83
16350	67.01
16360	64.83
17000	57.63
17100	63.61
17120	69.51
17130	57.63
17135	57.00
17140	57.56
17145	57.27
17150	57.00
17190	56.68
17200	57.63
17220	57.00
17230	57.00
17300	57.00
17320	57.63
17340	56.68
17420	57.00
17490	56.68
17530	56.68
17540	56.68
17590	56.68
17900	57.63
17920	43.27
17940	57.63
17990	57.31
18000	57.63
18020	57.63
18050	56.68
18090	57.00
19100	65.00
19120	91.54
19130	91.54
19140	65.00
19190	91.54
19200	65.00
19250	91.54
19290	91.54
19300	65.00
19320	65.00
19390	65.00
19400	65.00
19420	91.54
19430	91.54
19490	91.54
19500	91.54
19520	91.54
19530	65.00
19540	65.00
19900	65.00
19950	65.00
19960	91.54
19990	65.00
20100	99.00
20110	67.66
20200	70.40
20210	70.40
21000	66.98
21100	54.40
21110	54.40
21200	90.29
21220	58.70
21230	58.61
21240	67.87
21300	58.61
21320	63.18
21340	58.61
21420	58.61
21430	71.16
21490	84.75
21900	59.65
21940	58.70
21950	82.06
21960	58.70
21970	82.06
21980	82.06
21990	66.45
22000	60.84
22100	64.19
22110	82.12
22190	90.08
22200	49.81
22210	82.98
22220	60.75
22230	74.26
22235	74.26
