hisco	hiscam
1100	87.58
1110	87.58
1190	87.58
1200	82.94
1210	82.94
1300	82.94
1340	87.58
1400	65.43
1420	82.94
1430	81.69
2000	99.00
2100	83.65
2120	92.27
2130	87.47
2140	68.41
2200	81.56
2210	82.34
2220	77.23
2230	81.76
2240	83.37
2245	81.76
2255	68.55
2290	85.88
2300	81.76
2305	84.80
2310	68.41
2400	81.76
2410	77.23
2430	81.76
2450	83.88
2460	83.88
2510	77.79
2620	68.41
2700	81.76
2710	77.23
2740	81.76
2900	81.76
2930	81.76
2990	83.88
3000	81.76
3010	81.76
3020	94.69
3022	83.88
3030	83.88
3040	82.90
3090	87.73
3100	73.80
3110	79.22
3120	63.09
3130	68.41
3140	71.51
3150	81.76
3160	68.41
3170	81.76
3180	68.41
3200	71.51
3300	68.69
3310	68.69
3320	81.76
3330	81.76
3340	81.76
3390	77.23
3405	81.76
3490	83.88
3510	72.27
3520	81.76
3540	81.76
3550	81.76
3590	68.41
3620	83.88
3720	83.88
3930	83.88
4100	51.33
4120	53.93
4125	51.33
4130	53.93
4140	51.33
4200	51.33
4215	73.61
4217	51.33
4220	59.79
4230	65.18
4240	68.36
4250	55.47
4290	53.93
4320	53.93
5100	82.87
5110	82.87
5120	91.90
5190	82.87
5230	91.90
5260	91.90
5320	82.87
5330	82.87
5340	82.87
5360	82.87
5390	91.90
5400	82.87
5420	91.90
6100	99.00
6105	99.00
6110	99.00
6120	99.00
6130	99.00
6140	99.00
6190	99.00
6210	60.74
6300	82.87
6310	99.00
6320	96.33
6420	58.43
6500	82.87
6510	82.87
6520	99.00
6590	96.33
6700	98.30
6710	98.30
6810	60.74
6910	58.43
6990	60.74
7100	60.74
7110	60.74
7130	58.43
7200	69.75
7210	51.65
7300	69.75
7310	58.43
7410	58.43
7500	68.70
7520	97.54
7530	99.00
7600	68.70
7620	58.43
7640	60.74
7900	68.70
7920	60.65
7930	58.43
7990	60.65
8110	91.90
8130	91.90
8200	71.79
8220	91.90
8230	71.79
8250	71.79
8490	71.79
9010	91.90
9150	91.90
9999	73.48
11000	71.79
11010	71.79
11020	73.31
12000	99.00
12100	99.00
12110	99.00
12200	99.00
12210	99.00
12310	99.00
12400	99.00
12410	99.00
12900	99.00
12910	99.00
13000	88.84
13020	68.76
13030	88.84
13100	96.16
13130	99.00
13140	99.00
13170	99.00
13175	96.16
13190	96.16
13200	87.16
13215	87.16
13220	87.16
13230	87.16
13250	87.16
13260	87.16
13270	87.16
13275	89.68
13280	87.16
13290	87.16
13320	66.08
13390	70.84
13420	83.30
13490	83.30
13590	83.30
13900	83.65
13940	83.65
13950	83.65
13960	83.30
13990	83.65
14100	98.91
14120	98.91
14130	66.43
14140	98.91
14190	98.91
14990	65.73
15120	78.05
15900	79.37
15915	93.16
15920	82.05
15930	81.66
15945	81.66
15950	86.37
15960	78.05
15990	86.37
16000	68.47
16100	68.47
16120	62.86
16130	75.88
16150	68.65
16160	68.47
16190	68.65
16200	68.47
16220	68.65
16230	68.65
16240	68.65
16250	68.47
16300	68.47
16310	68.47
16350	69.31
16360	68.47
17000	59.09
17100	71.62
17120	71.62
17130	59.09
17135	59.09
17140	60.58
17145	60.58
17150	60.11
17190	59.81
17200	59.09
17220	60.11
17230	60.11
17300	60.11
17320	59.09
17340	59.09
17420	60.11
17490	55.56
17530	59.81
17540	59.09
17590	59.09
17900	59.09
17920	51.34
17940	59.09
17990	55.86
18000	59.09
18020	59.09
18050	60.58
18090	60.11
19100	82.87
19120	82.87
19130	82.87
19140	82.87
19190	82.87
19200	82.87
19250	91.90
19290	82.87
19300	82.87
19320	82.87
19390	82.87
19400	82.87
19420	82.87
19430	91.90
19490	82.87
19500	82.87
19520	82.87
19530	82.87
19540	91.90
19900	82.87
