hisco	hiscam
1100	83.40
1110	89.59
1190	83.40
1200	84.95
1210	81.58
1300	80.26
1340	84.95
1400	60.86
1420	80.26
1430	80.26
2000	99.00
2100	82.33
2120	81.26
2130	76.93
2140	69.31
2200	82.33
2210	83.87
2220	81.62
2230	81.62
2240	81.26
2245	82.33
2255	71.00
2290	94.31
2300	82.33
2305	69.31
2310	69.31
2400	82.33
2410	81.62
2430	82.33
2450	82.33
2460	82.33
2510	81.26
2620	69.31
2700	82.33
2710	81.62
2740	82.33
2900	90.56
2930	81.62
2990	82.33
3000	81.26
3010	81.26
3020	85.40
3022	82.33
3030	82.33
3040	81.38
3090	81.26
3100	67.76
3110	71.44
3120	64.98
3130	69.31
3140	69.31
3150	82.33
3160	69.31
3170	81.62
3180	67.76
3200	76.79
3300	71.11
3310	71.30
3320	82.33
3330	85.94
3340	81.62
3390	75.30
3405	75.33
3490	82.33
3510	73.84
3520	81.62
3540	82.33
3550	82.33
3590	69.31
3620	82.33
3720	82.33
3930	82.33
4100	54.15
4120	54.15
4125	54.61
4130	54.15
4140	54.15
4200	54.15
4215	75.83
4217	54.61
4220	58.13
4230	66.91
4240	64.33
4250	55.74
4290	54.61
4320	55.74
5100	89.86
5110	89.86
5120	89.86
5190	84.95
5230	89.86
5260	89.86
5320	84.95
5330	84.95
5340	84.95
5360	84.95
5390	89.86
5400	84.95
5420	89.86
6100	99.00
6105	99.00
6110	99.00
6120	99.00
6130	99.00
6140	99.00
6190	99.00
6210	56.83
6300	89.86
6310	99.00
6320	95.16
6420	58.38
6500	74.05
6510	73.80
6520	95.05
6590	95.05
6700	95.48
6710	97.47
6810	56.83
6910	58.38
6990	56.83
7100	56.83
7110	56.83
7130	58.38
7200	69.02
7210	56.83
7300	69.02
7310	58.38
7410	58.38
7500	69.02
7520	95.05
7530	99.00
7600	69.02
7620	58.38
7640	58.38
7900	69.02
7920	58.38
7930	58.38
7990	56.83
8110	89.86
8130	89.86
8200	89.86
8220	84.95
8230	84.95
8250	84.95
8490	84.95
9010	84.95
9150	84.95
9999	72.55
11000	72.38
11010	75.26
11020	72.38
12000	99.00
12100	99.00
12110	99.00
12200	99.00
12210	99.00
12310	99.00
12400	99.00
12410	99.00
12900	99.00
12910	99.00
13000	81.01
13020	68.09
13030	81.01
13100	96.15
13130	96.15
13140	96.15
13170	99.00
13175	99.00
13190	96.15
13200	89.26
13215	87.98
13220	87.98
13230	87.98
13250	80.72
13260	87.98
13270	87.98
13275	87.76
13280	87.98
13290	87.98
13320	67.05
13390	70.73
13420	81.76
13490	81.76
13590	81.76
13900	81.76
13940	81.94
13950	81.94
13960	81.44
13990	70.90
14100	97.08
14120	99.00
14130	67.83
14140	99.00
14190	97.27
14990	68.75
15120	76.84
15900	77.48
15915	83.61
15920	83.80
15930	80.23
15945	80.23
15950	80.23
15960	84.15
15990	83.80
16000	66.55
16100	68.73
16120	71.27
16130	82.41
16150	66.55
16160	71.90
16190	71.70
16200	66.75
16220	71.70
16230	66.55
16240	68.62
16250	68.25
16300	68.62
16310	66.55
16350	68.62
16360	66.75
17000	58.06
17100	70.79
17120	70.79
17130	59.99
17135	58.06
17140	59.99
17145	59.99
17150	58.06
17190	59.99
17200	59.95
17220	58.06
17230	58.06
17300	59.95
17320	58.06
17340	59.68
17420	59.95
17490	59.68
17530	59.68
17540	59.68
17590	59.68
17900	59.95
17920	48.50
17940	58.06
17990	54.74
18000	59.95
18020	58.06
18050	59.99
18090	58.06
19100	89.86
19120	84.95
19130	84.95
19140	89.86
19190	84.95
19200	89.86
19250	89.86
19290	84.95
19300	89.86
19320	89.86
19390	89.86
19400	89.86
19420	84.95
19430	89.86
19490	84.95
19500	89.86
19520	84.95
19530	89.86
19540	89.86
19900	89.86
19950	89.86
19960	89.86
19990	89.86
20100	99.00
20110	99.00
20200	93.30
20210	90.86
21000	78.76
21100	88.77
21110	89.18
21200	89.18
21220	64.12
21230	84.95
21240	70.91
21300	62.25
21320	65.31
21340	65.34
21420	84.95
21430	72.22
21490	83.98
21900	84.65
21940	88.68
21950	82.62
21960	89.18
21970	82.62
21980	82.62
21990	94.63
22000	67.65
22100	66.19
22110	77.01
22190	69.83
22200	66.44
22210	85.48
22220	88.27
22230	75.37
22235	74.91
22240	68.52
22245	68.52
22250	74.91
22265	74.91
22275	75.37
22280	75.37
22290	68.52
22300	66.19
22320	73.76
22330	73.76
22390	86.13
22420	67.65
22425	67.65
22430	65.52
22440	65.52
22450	59.88
22460	66.76
22490	69.34
22520	57.56
22600	57.75
22610	57.75
22620	62.59
22630	62.59
22640	62.59
22650	59.50
22651	62.02
22655	62.59
22660	57.75
22665	62.59
22670	57.75
22675	78.50
22680	71.12
22690	61.49
30000	68.94
31000	60.91
31020	99.00
31030	67.63
31040	74.73
31090	87.98
31940	58.02
32100	63.75
32110	63.75
32120	99.00
32140	68.81
32190	69.72
32220	69.72
33000	72.94
33100	72.94
33110	72.94
33120	76.69
33130	78.80
33135	76.69
33140	76.69
33150	76.69
33160	76.69
33170	76.69
33190	76.69
33900	68.81
33920	69.72
33930	68.81
33940	69.12
33990	71.18
34120	55.95
34230	55.95
36000	59.81
36020	59.36
36040	54.79
36090	55.29
37000	68.72
37010	56.18
37020	62.45
37030	55.29
37040	53.43
37090	56.93
38000	63.74
38020	56.18
38030	55.29
38040	62.02
38090	56.18
39100	62.24
39110	62.24
39120	63.61
39130	63.61
39140	63.61
39150	63.61
39190	63.61
39230	64.97
39310	64.97
39320	66.73
39340	77.23
39350	69.72
39390	69.72
39410	68.81
39440	68.81
39490	68.81
39520	69.72
39530	61.50
39900	68.81
39940	69.72
39960	58.02
39990	60.45
41000	65.08
41020	77.37
41025	65.73
41030	63.22
41035	65.73
41040	63.13
41525	53.56
42200	69.56
42220	71.23
42230	71.23
43100	71.41
43120	71.41
43200	67.27
43220	67.27
43230	71.23
43290	71.41
44100	73.58
44120	71.65
44130	86.83
44140	83.37
44190	75.94
44200	71.41
44220	69.97
44230	69.27
44300	71.41
44320	69.66
44330	69.97
45100	50.75
45120	66.83
45125	62.93
45130	52.93
45140	53.34
45150	53.34
45190	65.55
45220	48.66
45225	53.34
45230	51.40
45240	50.75
45250	53.34
45290	50.81
49020	50.75
49030	50.75
49090	62.06
51000	55.45
51020	56.47
51030	56.63
51040	69.18
51050	56.63
51090	63.27
52000	56.86
52290	56.86
53100	59.36
53120	59.36
53130	59.36
53140	59.27
53150	59.36
53190	59.36
53200	54.27
53210	53.29
53220	53.29
53240	54.27
53250	53.29
53290	53.29
53330	40.24
54000	40.63
54010	40.24
54020	40.24
54030	40.24
54035	43.65
54040	44.13
54050	40.24
54055	43.65
54060	44.13
54090	52.33
55100	58.68
55120	64.15
55125	59.81
55130	66.25
55140	63.95
55190	40.24
55200	44.13
55220	43.65
55230	43.65
55240	47.90
55290	44.11
56000	51.79
56010	52.79
56030	51.79
56040	52.79
56050	52.79
56060	52.79
56065	52.79
56070	52.79
56090	52.79
57000	54.36
57025	53.72
57030	53.72
57070	53.72
57090	54.36
58100	53.06
58110	53.31
58200	63.36
58220	53.31
58225	57.06
58230	58.91
58240	59.77
58300	47.61
58320	99.00
58330	57.33
58340	47.52
58490	59.77
58900	59.77
58920	59.77
58930	61.49
58940	48.81
58990	53.31
59100	54.75
59200	56.47
59220	55.79
59230	56.47
59290	53.56
59900	56.47
59920	56.47
59940	48.81
59950	58.45
59990	53.56
61100	51.79
61110	51.52
61115	52.34
61120	51.79
61220	53.91
61230	53.91
61235	53.91
61240	53.91
61250	53.68
61260	53.91
61270	53.91
61290	53.91
62100	49.11
62105	49.11
62110	49.11
62120	49.11
62200	50.83
62210	51.02
62220	51.02
62230	50.83
62240	50.83
62260	50.83
62290	51.02
62320	50.43
62330	50.61
62390	50.43
62400	51.04
62410	49.11
62420	49.11
62430	48.38
62440	50.68
62460	49.77
62490	49.11
62510	52.13
62520	52.13
62600	50.61
62610	50.43
62660	50.43
62690	50.43
62700	53.11
62720	53.18
62730	53.18
62740	53.18
62790	53.18
62800	50.61
62820	50.61
62920	53.65
62940	53.65
62950	53.65
62960	53.86
62970	53.86
62990	53.86
63100	51.45
63110	50.31
63120	50.31
63130	51.45
63140	50.31
63190	53.45
63200	53.25
63220	54.40
63230	51.04
63250	53.25
63290	53.16
64100	51.77
64120	51.79
64130	52.93
64900	53.27
64920	53.72
64930	55.00
64940	53.27
64960	53.81
64990	53.02
71100	46.49
71105	46.49
71110	46.49
71120	47.45
71125	46.31
71130	46.49
71150	47.45
71160	46.49
71170	47.45
71190	54.54
71200	46.97
71220	52.47
71250	46.31
71290	46.97
71300	46.49
71380	46.49
71390	47.45
72000	51.02
72100	41.86
72120	50.29
72130	50.29
72160	50.29
72170	50.29
72190	49.24
72200	55.08
72220	50.29
72230	50.29
72250	49.24
72260	50.29
72290	50.29
72320	48.02
72330	50.29
72390	49.24
72400	50.29
72420	52.56
72490	54.22
72500	49.24
72520	50.29
72530	50.29
72540	49.24
72555	48.02
72560	50.29
72590	50.29
72600	50.29
72620	50.29
72630	50.29
72640	50.29
72700	50.29
72725	51.33
72730	51.33
72740	50.29
72790	51.33
72800	48.02
72820	49.24
72830	48.02
72890	47.36
72900	50.29
72930	48.02
72940	50.29
72980	51.33
72990	49.24
73100	45.09
73130	49.45
73200	48.25
73210	48.25
73240	50.27
73270	50.27
73290	50.27
73320	44.56
73350	49.45
73360	49.45
73390	45.09
73400	44.56
73430	48.20
73460	44.56
73490	44.56
74100	51.06
74120	54.34
74140	47.93
74200	51.06
74220	51.06
74240	51.06
74400	52.56
74470	56.31
74490	52.56
74500	52.56
74900	51.77
74910	45.11
74920	45.11
74925	45.11
74930	45.11
74990	45.11
75000	44.97
75100	51.88
75115	51.88
75120	53.33
75130	53.33
75135	51.88
75140	51.88
75145	51.88
75150	51.88
75155	53.33
75190	51.88
75220	45.68
75230	50.65
75240	45.68
75250	45.68
75290	50.65
75300	48.40
75320	48.40
75340	44.97
75350	48.40
75390	48.40
75400	44.97
75415	48.40
75420	48.40
75422	47.13
75430	47.13
75432	46.74
75435	45.90
75440	47.13
75445	45.90
75450	48.40
75452	47.13
75455	48.40
75457	47.13
75465	44.36
75470	44.97
75475	48.40
75490	51.43
75500	56.88
75520	44.97
75530	44.97
75535	48.40
75540	48.40
75590	48.40
75600	53.95
75615	53.95
75620	53.95
75622	53.95
75625	53.95
75635	54.45
75650	54.45
75655	53.95
75660	53.95
75670	53.95
75690	53.95
75700	48.40
75710	51.45
75720	47.13
75922	44.97
75925	48.40
75990	61.00
76100	57.15
76125	57.15
76130	57.95
76132	57.95
76145	57.15
76150	57.15
76155	57.95
76190	57.15
76200	48.40
76220	48.40
76230	48.40
76290	47.13
77100	56.91
77120	57.83
77140	58.75
77190	58.75
77200	57.38
77250	57.38
77260	56.91
77290	54.86
77300	56.91
77310	61.13
77320	53.47
77330	57.38
77340	56.91
77390	58.93
77410	58.75
77415	56.91
77440	58.75
77450	56.91
77460	58.75
77490	57.38
77500	50.81
77510	53.65
77530	53.65
77540	53.65
77590	53.65
77600	56.91
77610	58.75
77620	59.90
77630	69.68
77640	58.75
77650	57.38
77660	58.72
77690	58.75
77700	56.91
77750	57.38
77790	57.38
77800	61.29
77810	61.00
77820	61.00
77830	61.00
77835	61.29
77840	61.00
77850	61.00
77860	61.29
77870	61.00
77880	61.29
77890	61.00
77900	56.91
77920	50.56
77940	57.38
77990	57.38
78100	48.00
78120	58.75
78130	58.75
78155	51.13
78170	58.75
78190	56.91
78200	48.65
78290	57.38
78390	49.63
79100	51.40
79120	51.84
79130	51.47
79140	50.66
79190	51.47
79200	51.47
79220	50.70
79290	50.70
79300	51.84
79310	57.54
79320	50.70
79390	57.86
79400	56.54
79420	56.65
79430	56.54
79440	56.54
79450	56.65
79475	56.65
79490	56.54
79500	50.66
79510	51.47
79520	51.84
79550	51.84
79560	51.84
79565	50.66
79590	50.66
79600	51.47
79620	59.68
79630	51.47
79640	50.66
79690	51.97
79900	51.84
79920	55.63
79930	51.47
79990	50.11
80110	50.66
80120	50.66
80130	50.66
80190	51.47
80200	59.68
80220	51.84
80222	51.47
80225	51.84
80245	51.84
80250	51.84
80255	51.84
80290	51.15
80300	51.84
80310	51.47
80320	51.47
80330	51.47
80340	51.84
80360	51.84
80390	51.84
81000	51.95
81100	52.08
81120	52.81
81190	58.11
81200	52.08
81208	52.81
81210	51.66
81220	48.74
81225	48.74
81230	53.45
81250	51.66
81275	51.66
81280	52.81
81290	52.81
81900	47.86
81920	61.68
81925	54.72
81930	51.84
81935	52.93
81940	52.81
81945	57.00
81955	47.08
81960	47.08
81990	47.08
82000	50.20
82020	52.27
82050	51.90
82060	51.90
82070	51.90
82080	58.83
82090	56.45
82710	57.20
83000	52.52
83020	52.29
83100	52.52
83110	52.52
83120	52.29
83130	52.52
83140	52.29
83190	52.52
83200	52.45
83210	52.16
83220	52.70
83240	52.45
83250	52.36
83290	52.52
83300	52.45
83305	52.36
83310	52.52
83320	51.79
83330	52.45
83350	52.45
83360	52.36
83390	55.47
83400	62.47
83410	53.49
83420	50.70
83440	52.36
83450	52.36
83460	52.36
83465	52.36
83490	50.00
83500	52.45
83510	52.29
83520	50.77
83530	50.56
83540	52.36
83550	52.36
83560	52.45
83590	48.52
83900	52.36
83910	52.29
83915	52.52
83920	54.06
83930	54.38
83940	52.45
83960	52.45
83990	47.02
84100	57.49
84105	57.49
84110	59.34
84115	63.81
84125	59.34
84145	59.34
84165	63.81
84170	59.70
84175	63.81
84185	63.81
84190	54.56
84220	63.81
84222	63.81
84225	63.81
84230	61.34
84235	59.34
84240	59.34
84245	59.34
84250	63.81
84300	70.05
84320	59.70
84390	51.90
84400	63.81
84410	57.59
84420	63.81
84900	61.97
84910	59.34
84970	59.34
84975	51.02
84980	55.22
84985	59.70
84990	52.36
85100	57.58
85110	62.45
85120	57.58
85150	55.45
85190	55.45
85200	57.58
85210	57.58
85220	55.59
85320	56.31
85340	57.58
85345	55.45
85420	57.58
85500	55.59
85510	55.45
85560	57.58
85570	55.45
85600	55.45
85620	57.24
85630	57.58
85700	52.47
85730	55.45
85740	55.59
85790	55.45
85990	64.52
86190	57.58
86240	57.58
87105	55.00
87110	56.50
87120	52.93
87130	54.09
87190	54.09
87200	54.95
87210	56.50
87215	54.95
87245	54.09
87250	54.95
87260	56.50
87300	55.33
87310	51.65
87330	56.50
87340	49.95
