hisco	hiscam
1100	78.02
1110	78.02
1190	78.02
1200	78.02
1210	75.38
1300	75.38
1340	78.02
1400	60.97
1420	75.38
1430	75.38
2000	87.15
2100	77.12
2120	87.15
2130	79.95
2140	64.90
2200	77.12
2210	87.15
2220	77.12
2230	77.12
2240	87.15
2245	77.12
2255	67.05
2290	85.05
2300	77.12
2305	80.51
2310	64.90
2400	77.12
2410	77.12
2430	77.12
2450	77.12
2460	77.12
2510	80.16
2620	64.90
2700	77.12
2710	77.12
2740	77.12
2900	84.05
2930	77.12
2990	77.12
3000	76.23
3010	76.23
3020	87.15
3022	77.12
3030	77.12
3040	76.34
3090	80.16
3100	64.90
3110	64.90
3120	63.13
3130	64.90
3140	64.90
3150	77.12
3160	64.90
3170	77.12
3180	64.90
3200	67.59
3300	67.69
3310	67.69
3320	77.12
3330	80.16
3340	77.12
3390	69.98
3405	72.69
3490	77.12
3510	69.05
3520	77.12
3540	77.12
3550	77.12
3590	64.90
3620	77.12
3720	77.12
3930	77.12
4100	53.45
4120	53.45
4125	53.45
4130	53.45
4140	53.45
4200	53.45
4215	71.66
4217	58.38
4220	56.38
4230	68.26
4240	68.26
4250	54.68
4290	53.45
4320	54.68
5100	83.45
5110	83.45
5120	83.45
5190	83.45
5230	83.45
5260	83.45
5320	87.15
5330	83.45
5340	83.45
5360	83.45
5390	83.45
5400	83.45
5420	83.45
6100	87.15
6105	87.15
6110	91.56
6120	91.56
6130	91.56
6140	91.56
6190	91.56
6210	57.00
6300	83.45
6310	87.15
6320	87.91
6420	57.00
6500	70.19
6510	70.19
6520	87.91
6590	87.91
6700	88.18
6710	87.15
6810	57.00
6910	57.00
6990	57.00
7100	57.00
7110	57.00
7130	57.00
7200	65.95
7210	57.00
7300	65.95
7310	57.00
7410	57.00
7500	65.95
7520	87.91
7530	91.56
7600	65.95
7620	57.00
7640	57.00
7900	65.95
7920	57.00
7930	57.00
7990	57.00
8110	83.45
8130	83.45
8200	83.45
8220	83.45
8230	83.45
8250	83.45
8490	83.45
9010	83.45
9150	83.45
9999	68.91
11000	68.77
11010	68.77
11020	68.77
12000	91.56
12100	91.56
12110	83.83
12200	91.56
12210	83.68
12310	91.56
12400	91.56
12410	91.56
12900	91.56
12910	83.83
13000	78.12
13020	65.16
13030	71.80
13100	91.56
13130	91.56
13140	91.56
13170	91.56
13175	91.56
13190	91.56
13200	73.72
13215	81.69
13220	81.69
13230	81.69
13250	76.87
13260	81.69
13270	81.69
13275	81.69
13280	73.72
13290	81.69
13320	63.59
13390	66.65
13420	76.66
13490	76.66
13590	76.66
13900	76.66
13940	83.31
13950	77.06
13960	76.66
13990	71.05
14100	89.52
14120	92.90
14130	63.33
14140	91.56
14190	89.52
14990	62.77
15120	72.52
15900	73.05
15915	85.04
15920	72.81
15930	75.37
15945	75.37
15950	75.37
15960	72.52
15990	75.37
16000	64.04
16100	63.18
16120	63.99
16130	72.75
16150	64.04
16160	69.09
16190	65.62
16200	64.04
16220	65.62
16230	64.04
16240	65.62
16250	64.01
16300	65.62
16310	64.04
16350	65.62
16360	64.04
17000	58.34
17100	67.44
17120	67.44
17130	58.11
17135	58.34
17140	58.11
17145	58.11
17150	58.34
17190	58.11
17200	58.34
17220	58.34
17230	58.34
17300	58.34
17320	58.34
17340	58.11
17420	58.34
17490	58.11
17530	58.11
17540	58.11
17590	58.11
17900	58.34
17920	48.36
17940	58.34
17990	57.40
18000	58.34
18020	58.34
18050	58.11
18090	58.34
19100	83.45
19120	83.45
19130	83.45
19140	83.45
19190	83.45
19200	83.45
19250	83.45
19290	83.45
19300	83.45
19320	87.15
19390	83.45
19400	83.45
19420	83.45
19430	83.45
19490	83.45
19500	83.45
19520	83.45
19530	83.45
19540	83.45
19900	83.45
19950	83.45
19960	83.45
19990	87.15
20100	91.56
20110	89.05
20200	86.34
20210	89.05
21000	68.63
21100	82.55
21110	84.93
21200	89.05
21220	65.13
21230	89.05
21240	66.25
21300	61.50
21320	62.84
21340	63.02
21420	83.45
21430	68.63
21490	78.51
21900	79.08
21940	86.12
21950	76.56
21960	82.55
21970	76.56
21980	76.56
21990	83.27
22000	63.54
22100	63.56
22110	76.61
22190	82.40
22200	63.56
22210	77.23
22220	89.05
22230	70.90
22235	70.90
22240	66.91
22245	66.91
22250	70.90
22265	70.90
22275	70.90
22280	70.90
22290	66.91
22300	63.56
22320	80.33
22330	80.33
22390	80.33
22420	63.54
22425	63.54
22430	63.02
22440	63.02
22450	58.04
22460	63.02
22490	64.81
22520	59.65
22600	55.00
22610	59.65
22620	60.06
22630	60.06
22640	59.65
22650	60.68
22651	60.06
22655	60.06
22660	55.00
22665	60.06
22670	55.40
22675	74.38
22680	67.70
22690	59.65
30000	65.55
31000	71.23
31020	90.31
31030	63.91
31040	61.00
31090	67.83
31940	55.20
32100	61.52
32110	61.52
32120	65.15
32140	65.77
32190	65.77
32220	65.77
33000	68.69
33100	68.69
33110	67.97
33120	74.16
33130	70.38
33135	70.38
33140	70.38
33150	74.16
33160	74.16
33170	74.16
33190	74.16
33900	65.77
33920	65.77
33930	65.77
33940	65.50
33990	71.33
34120	54.95
34230	54.95
36000	58.38
36020	57.11
36040	52.68
36090	53.31
37000	63.77
37010	54.95
37020	65.87
37030	53.31
37040	52.70
37090	54.45
38000	61.50
38020	54.95
38030	53.31
38040	59.99
38090	54.95
39100	60.25
39110	60.25
39120	61.93
39130	60.25
39140	61.93
39150	61.93
39190	60.25
39230	61.52
39310	61.52
39320	67.13
39340	73.73
39350	65.77
39390	65.77
39410	65.77
39440	65.77
39490	65.77
39520	65.77
39530	58.36
39900	65.77
39940	65.77
39960	55.20
39990	62.77
41000	61.68
41020	79.63
41025	71.08
41030	58.29
41035	62.52
41040	58.22
41525	55.74
42200	66.41
42220	66.41
42230	66.41
43100	67.97
43120	67.97
43200	70.34
43220	70.34
43230	70.34
43290	70.34
44100	68.76
44120	68.76
44130	91.56
44140	78.01
44190	72.98
44200	67.97
