hisco	hiscam
1100	82.81
1110	82.81
1190	82.81
1200	82.81
1210	79.66
1300	79.66
1340	82.81
1400	62.43
1420	79.66
1430	79.66
2000	99.00
2100	81.75
2120	85.37
2130	85.12
2140	67.12
2200	81.75
2210	84.50
2220	81.75
2230	81.75
2240	85.37
2245	81.75
2255	69.69
2290	91.20
2300	81.75
2305	85.77
2310	67.12
2400	81.75
2410	81.75
2430	81.75
2450	81.75
2460	81.75
2510	85.37
2620	67.12
2700	81.75
2710	81.75
2740	81.75
2900	90.01
2930	81.75
2990	81.75
3000	80.68
3010	80.68
3020	83.79
3022	81.75
3030	81.75
3040	80.80
3090	85.37
3100	67.12
3110	67.12
3120	65.01
3130	67.12
3140	67.12
3150	81.75
3160	67.12
3170	81.75
3180	67.12
3200	70.36
3300	70.48
3310	70.48
3320	81.75
3330	85.37
3340	81.75
3390	73.20
3405	76.45
3490	81.75
3510	72.08
3520	81.75
3540	81.75
3550	81.75
3590	67.12
3620	81.75
3720	81.75
3930	81.75
4100	53.47
4120	53.47
4125	53.47
4130	53.47
4140	53.47
4200	53.47
4215	75.22
4217	53.47
4220	56.95
4230	64.90
4240	62.86
4250	54.93
4290	53.47
4320	54.93
5100	89.30
5110	89.30
5120	89.30
5190	89.30
5230	89.30
5260	89.30
5320	89.30
5330	89.30
5340	89.30
5360	89.30
5390	89.30
5400	89.30
5420	89.30
6100	99.00
6105	99.00
6110	99.00
6120	99.00
6130	99.00
6140	99.00
6190	99.00
6210	57.70
6300	89.30
6310	98.84
6320	94.62
6420	57.70
6500	73.44
6510	73.44
6520	94.62
6590	94.62
6700	94.94
6710	94.94
6810	57.70
6910	57.70
6990	57.70
7100	57.70
7110	57.70
7130	57.70
7200	68.40
7210	57.70
7300	68.40
7310	57.70
7410	57.70
7500	68.40
7520	94.62
7530	99.00
7600	68.40
7620	57.70
7640	57.70
7900	68.40
7920	57.70
7930	57.70
7990	57.70
8110	89.30
8130	89.30
8200	89.30
8220	89.30
8230	89.30
8250	89.30
8490	89.30
9010	89.30
9150	89.30
9999	71.93
11000	71.76
11010	71.76
11020	71.76
12000	99.00
12100	99.00
12110	99.00
12200	99.00
12210	99.00
12310	99.00
12400	99.00
12410	99.00
12900	99.00
12910	99.00
13000	80.41
13020	67.45
13030	80.41
13100	99.00
13130	99.00
13140	99.00
13170	99.00
13175	99.00
13190	99.00
13200	88.44
13215	87.20
13220	87.20
13230	87.20
13250	81.44
13260	87.20
13270	87.20
13275	87.20
13280	87.20
13290	87.20
13320	65.56
13390	69.22
13420	81.19
13490	81.19
13590	81.19
13900	81.19
13940	81.66
13950	81.66
13960	81.19
13990	74.48
14100	96.55
14120	99.00
14130	65.26
14140	99.00
14190	96.55
14990	64.59
15120	76.23
15900	76.87
15915	91.19
15920	76.59
15930	79.65
15945	79.65
15950	79.65
15960	76.23
15990	79.65
16000	66.09
16100	65.08
16120	66.05
16130	76.51
16150	66.09
16160	72.15
16190	67.98
16200	66.09
16220	67.98
16230	66.09
16240	67.98
16250	66.08
16300	67.98
16310	66.09
16350	67.98
16360	66.09
17000	59.29
17100	70.16
17120	70.16
17130	59.02
17135	59.29
17140	59.02
17145	59.02
17150	59.29
17190	59.02
17200	59.29
17220	59.29
17230	59.29
17300	59.29
17320	59.29
17340	59.02
17420	59.29
17490	59.02
17530	59.02
17540	59.02
17590	59.02
17900	59.29
17920	47.36
17940	59.29
17990	58.18
18000	59.29
18020	59.29
18050	59.02
18090	59.29
19100	89.30
19120	89.30
19130	89.30
19140	89.30
19190	89.30
19200	89.30
19250	89.30
19290	89.30
19300	89.30
19320	89.30
19390	89.30
19400	89.30
19420	89.30
19430	89.30
19490	89.30
19500	89.30
19520	89.30
19530	89.30
19540	89.30
19900	89.30
19950	89.30
19960	89.30
19990	89.30
20100	99.00
20110	99.00
20200	92.76
20210	92.76
21000	71.59
21100	88.22
21110	88.22
21200	88.22
21220	67.41
21230	89.30
21240	68.75
21300	63.06
21320	64.66
21340	64.90
21420	89.30
21430	71.59
21490	83.40
21900	84.08
21940	89.37
21950	81.08
21960	88.22
21970	81.08
21980	81.08
21990	89.09
22000	65.51
22100	65.55
22110	81.12
22190	88.04
22200	65.55
22210	81.87
22220	89.18
22230	74.30
22235	74.30
22240	69.55
22245	69.55
22250	74.30
22265	74.30
22275	74.30
22280	74.30
22290	69.55
22300	65.55
22320	85.56
22330	85.56
22390	85.56
22420	65.51
22425	65.51
22430	64.87
22440	64.87
22450	58.95
22460	64.87
22490	67.04
22520	59.11
22600	55.31
22610	55.31
22620	61.36
22630	61.36
22640	61.36
22650	62.09
22651	61.36
22655	61.36
22660	55.31
22665	61.36
22670	55.79
22675	78.47
22680	70.50
22690	61.25
30000	67.91
31000	83.86
31020	97.50
31030	67.98
31040	63.68
31090	85.94
31940	55.54
32100	63.09
32110	63.09
32120	99.00
32140	68.19
32190	68.19
32220	68.19
33000	71.68
33100	71.68
33110	71.68
33120	78.20
33130	78.20
33135	78.20
33140	78.20
33150	78.20
33160	78.20
33170	78.20
33190	78.20
33900	68.19
33920	68.19
33930	68.19
33940	67.86
33990	74.83
34120	55.25
34230	55.25
36000	59.34
36020	57.81
36040	52.52
36090	53.29
37000	65.77
37010	55.25
37020	68.29
37030	53.29
37040	52.56
37090	54.63
38000	63.09
38020	55.25
38030	53.29
38040	61.27
38090	55.25
39100	61.58
39110	61.58
39120	61.58
39130	61.58
39140	61.58
39150	61.58
39190	61.58
39230	63.09
39310	63.09
39320	65.02
39340	77.68
39350	68.19
39390	68.19
39410	68.19
39440	68.19
39490	68.19
39520	68.19
39530	59.31
39900	68.19
39940	68.19
39960	55.54
39990	64.59
41000	63.29
41020	81.48
41025	64.30
41030	59.25
41035	64.30
41040	59.16
41525	56.18
42200	68.94
42220	68.94
42230	68.94
43100	70.80
43120	70.80
43200	68.26
43220	68.26
43230	68.94
43290	70.80
44100	71.75
44120	71.76
44130	99.00
44140	82.80
44190	76.80
44200	70.80
44220	70.80
44230	68.63
44300	70.80
44320	72.97
44330	70.80
45100	52.63
45120	66.19
45125	60.33
45130	52.11
45140	52.63
45150	52.63
45190	64.91
45220	48.56
45225	52.63
45230	50.70
45240	52.63
45250	52.63
45290	50.34
49020	52.63
49030	52.63
49090	61.41
51000	54.77
51020	56.15
51030	54.77
51040	68.50
51050	54.77
51090	64.76
52000	56.18
52290	56.18
53100	58.61
53120	58.61
53130	58.61
53140	58.61
53150	58.61
53190	58.61
53200	53.58
53210	53.58
53220	53.58
53240	53.58
53250	53.58
53290	53.58
53330	39.90
54000	39.90
54010	39.90
54020	39.90
54030	39.90
54035	43.40
54040	43.40
54050	39.90
54055	43.40
54060	43.40
54090	52.95
55100	58.02
55120	63.09
55125	59.83
55130	66.02
55140	62.95
55190	39.90
55200	43.40
55220	43.40
55230	43.40
55240	47.38
55290	45.83
56000	51.09
56010	51.09
56030	51.09
56040	51.09
56050	51.09
56060	51.09
56065	51.09
56070	51.09
56090	51.09
57000	53.68
57025	53.68
57030	53.68
57070	53.68
57090	53.68
58100	52.38
58110	52.38
58200	62.70
58220	52.38
58225	55.00
58230	59.11
58240	59.11
58300	55.00
58320	99.00
58330	56.31
58340	47.11
58490	59.11
58900	59.11
58920	59.11
58930	59.95
58940	48.50
58990	58.36
59100	55.79
59200	55.79
59220	55.66
59230	55.79
59290	56.18
59900	55.79
59920	55.79
59940	48.31
59950	57.59
59990	56.18
61100	51.09
61110	51.09
61115	49.36
61120	51.09
61220	52.99
61230	52.99
61235	51.22
61240	53.15
61250	52.99
61260	54.22
61270	60.79
61290	52.97
62100	48.74
62105	48.75
62110	48.74
62120	45.77
62200	50.13
62210	50.13
62220	50.13
62230	50.13
62240	50.13
62260	50.13
62290	50.13
62320	49.91
62330	49.91
62390	49.91
62400	51.47
62410	49.97
62420	49.97
62430	47.83
62440	49.97
62460	51.83
62490	52.52
62510	50.95
62520	50.95
62600	49.91
62610	49.91
62660	49.91
62690	49.91
62700	51.50
62720	52.56
62730	52.56
62740	53.04
62790	52.56
62800	49.91
62820	49.91
62920	52.95
62940	52.95
62950	52.95
62960	52.95
62970	52.95
62990	52.95
63100	50.75
63110	49.18
63120	50.75
63130	50.75
63140	50.75
63190	52.75
63200	52.56
63220	53.54
63230	50.56
63250	52.56
63290	50.63
64100	51.58
64120	51.58
64130	52.13
64900	52.58
64920	52.58
64930	53.79
64940	52.58
64960	53.04
64990	51.97
71100	45.59
71105	45.59
71110	48.95
71120	46.75
71125	45.59
71130	45.59
71150	46.75
71160	45.59
71170	46.75
71190	53.84
71200	46.75
71220	51.47
71250	45.59
71290	46.75
71300	45.59
71380	45.59
71390	46.75
72000	49.90
72100	46.02
72120	49.59
72130	49.59
72160	49.59
72170	49.59
72190	45.91
72200	54.38
72220	49.59
72230	49.59
72250	50.63
72260	49.59
72290	49.59
72320	49.59
72330	49.59
72390	50.63
72400	49.59
72420	51.86
72490	53.52
72500	50.63
72520	49.59
72530	49.59
72540	50.63
72555	49.59
72560	49.59
72590	49.59
72600	49.59
72620	49.59
72630	49.59
72640	49.59
72700	49.59
