isco88	icam
1000	65.07 
1100	69.02 
1110	70.82 
1120	70.84 
1130	49.86 
1140	64.05 
1141	64.05 
1142	64.05 
1143	64.05 
1200	67.59 
1210	66.87 
1220	62.86 
1221	41.55 
1222	60.13 
1223	60.13 
1224	58.52 
1225	58.52 
1226	58.52 
1227	58.52 
1228	60.54 
1229	60.13 
1230	69.14 
1231	67.11 
1232	67.11 
1233	67.11 
1234	67.11 
1235	67.11 
1236	67.11 
1237	76.04 
1239	67.11 
1300	57.81 
1310	57.27 
1311	41.55 
1312	54.51 
1313	56.18 
1314	56.18 
1315	56.18 
1316	54.51 
1317	56.18 
1318	54.51 
1319	56.18 
2000	70.89 
2100	75.42 
2110	81.92 
2111	80.22 
2112	80.22 
2113	80.22 
2114	80.22 
2120	85.27 
2121	85.27 
2122	85.27 
2130	75.15 
2131	75.39 
2132	72.17 
2139	75.39 
2140	73.00 
2141	73.00 
2142	73.00 
2143	73.00 
2144	73.00 
2145	73.00 
2146	73.00 
2147	73.00 
2148	73.00 
2149	73.00 
2200	70.25 
2210	68.98 
2211	68.98 
2212	68.98 
2213	68.98 
2220	78.57 
2221	78.57 
2222	78.57 
2223	78.57 
2224	78.57 
2229	78.57 
2230	63.21 
2300	69.75 
2310	82.71 
2320	71.89 
2330	63.79 
2331	63.79 
2332	63.79 
2340	73.49 
2350	68.47 
2351	68.47 
2352	68.47 
2359	68.47 
2400	74.02 
2410	68.40 
2411	68.40 
2412	68.40 
2419	68.40 
2420	80.43 
2421	80.43 
2422	80.43 
2429	80.43 
2430	72.95 
2431	72.95 
2432	72.95 
2440	76.83 
2441	76.83 
2442	76.83 
2443	76.83 
2444	76.83 
2445	76.83 
2446	76.83 
2450	77.15 
2451	80.08 
2452	73.32 
2453	73.32 
2454	73.32 
2455	73.32 
2460	73.02 
3000	61.26 
3100	56.68 
3110	54.25 
3111	53.17 
3112	53.53 
3113	53.17 
3114	53.17 
3115	53.53 
3116	53.17 
3117	53.17 
3118	53.17 
3119	53.17 
3120	63.23 
3121	63.01 
3122	63.01 
3123	63.01 
3130	61.73 
3131	61.73 
3132	61.73 
3133	61.73 
3139	61.73 
3140	56.89 
3141	56.89 
3142	56.89 
3143	56.89 
3144	56.89 
3145	56.89 
3150	50.50 
3151	50.50 
3152	50.50 
3200	59.23 
3210	56.58 
3211	56.58 
3212	56.58 
3213	56.58 
3220	68.70 
3221	60.63 
3222	58.95 
3223	58.95 
3224	58.95 
3225	58.95 
3226	60.63 
3227	58.95 
3228	58.95 
3229	60.63 
3230	58.79 
3231	58.79 
3232	58.79 
3240	48.10 
3241	48.10 
3242	48.10 
3300	62.76 
3310	66.16 
3320	57.73 
3330	66.05 
3340	64.70 
3400	60.89 
3410	60.99 
3411	59.95 
3412	59.95 
3413	59.95 
3414	59.95 
3415	59.95 
3416	54.30 
3417	59.95 
3419	54.30 
3420	60.84 
3421	60.84 
3422	60.84 
3423	60.84 
3429	60.84 
3430	59.99 
3431	58.22 
3432	60.33 
3433	58.22 
3434	60.33 
3439	58.22 
3440	61.24 
3441	57.79 
3442	57.79 
3443	57.79 
3444	57.79 
3449	55.23 
3450	53.56 
3460	61.32 
3470	63.04 
3471	67.45 
3472	61.96 
3473	61.96 
3474	61.96 
3475	61.96 
3480	64.85 
4000	55.54 
4100	55.33 
4110	59.26 
4111	59.26 
4112	59.26 
4113	59.26 
4114	59.26 
4115	59.26 
4120	56.87 
4121	55.80 
4122	55.80 
4130	44.97 
4131	44.97 
4132	44.97 
4133	44.97 
4140	48.77 
4141	48.77 
4142	48.77 
4143	48.77 
4144	48.77 
4190	56.27 
4200	52.33 
4210	50.16 
4211	50.16 
4212	50.16 
4213	50.16 
4214	50.16 
4215	50.16 
4220	54.96 
4221	54.96 
4222	54.96 
4223	54.96 
5000	43.65 
5100	43.44 
5110	51.45 
5111	51.45 
5112	51.45 
5113	51.45 
5120	38.29 
5121	38.29 
5122	38.29 
5123	38.29 
5130	45.77 
5131	45.77 
5132	45.77 
5133	45.77 
5139	45.77 
5140	46.24 
5141	46.16 
5142	25.51 
5143	43.35 
5149	43.35 
5150	33.43 
5151	33.43 
5152	33.43 
5160	45.99 
5161	44.73 
5162	44.73 
5163	44.73 
5169	44.73 
5200	44.41 
5210	49.36 
5210	49.36 
5220	45.26 
5220	45.26 
5230	35.48 
5230	35.48 
6000	36.49 
6100	38.31 
6110	38.20 
6111	32.13 
6112	36.35 
6113	36.35 
6114	33.15 
6120	42.35 
6121	42.17 
6122	42.17 
6123	42.17 
6124	42.17 
6129	42.17 
6130	41.55 
6140	30.08 
6141	26.19 
6142	13.19 
6150	21.98 
6151	33.33 
6152	19.64 
6153	19.64 
6154	13.19 
6200	13.19 
6210	13.19 
6210	13.19 
7000	34.89 
7100	32.92 
7110	29.42 
7111	26.39 
7112	26.39 
7113	26.39 
7120	31.41 
7121	30.68 
7122	30.68 
7123	26.14 
7124	30.68 
7129	30.68 
7130	39.00 
7131	39.00 
7132	39.00 
7133	39.00 
7134	39.00 
7135	39.00 
7136	39.00 
7137	39.00 
7140	32.95 
7141	32.24 
7142	32.94 
7143	32.94 
7200	37.97 
7210	33.30 
7211	33.30 
7212	33.30 
7213	33.30 
7214	33.30 
7215	33.30 
7216	33.30 
7220	35.65 
7221	35.65 
7222	35.65 
7223	35.65 
7224	35.65 
7230	39.82 
7231	39.43 
7232	50.81 
7233	35.44 
7240	43.57 
7241	42.58 
7242	42.58 
7243	46.59 
7244	42.58 
7245	42.58 
7300	43.86 
7310	46.82 
7311	45.98 
7312	45.98 
7313	45.98 
7320	32.12 
7321	32.12 
7322	32.12 
7323	32.12 
7324	32.12 
7330	39.72 
7331	38.27 
7332	38.27 
7340	47.39 
7341	47.39 
7342	47.39 
7343	47.39 
7344	47.39 
7345	47.39 
