BTAP	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS
1	0	0	43.8	26.38
1	1	-1	45.13	24.61
1	2	1	44.92	41.21
1	5	2	48.34	17.56
1	6	3	36.18	40.87
2	0	0	42.71	39.15
2	1	-1	54.46	49.08
2	2	1	55.04	55.73
2	5	2	48.36	39.48
2	6	3	39.92	37.97
3	0	0	55.35	52.27
3	1	-1	64.67	53.23
3	2	1	64.98	59.78
3	5	2	53.73	44.95
3	6	3	50.51	52.07
11	0	0	43.8	26.38
11	1	-1	45.13	24.61
11	2	1	44.92	41.21
11	5	2	48.34	17.56
11	6	3	36.18	40.87
21	0	0	37.97	33.23
21	1	-1	42.23	31.76
21	2	1	42.26	38.27
21	5	2	41.88	26.98
21	6	3	34.99	33.66
22	0	0	31.35	30.54
22	1	-1	43.08	45.36
22	2	1	42.88	48.79
22	5	2	45.39	34.19
22	6	3	28.53	28.46
23	0	0	35.56	33.17
23	1	-1	48.48	53.43
23	2	1	48.71	68.37
23	5	2	46.77	36.52
23	6	3	32.36	30.19
24	0	0	29	32.75
24	1	-1	47.72	49.91
24	2	1	47.52	64.1
24	5	2	49.43	37.62
24	6	3	25.84	30.38
25	0	0	39.28	30.79
25	1	-1	50.15	40.52
25	2	1	50.45	54.56
25	5	2	47.72	31.75
25	6	3	37.46	30.21
26	0	0	40.34	36.29
26	1	-1	50.92	50.19
26	2	1	51.19	63.77
26	5	2	48.73	34.67
26	6	3	36.2	33.08
27	0	0	45.55	45.49
27	1	-1	57.59	50.66
27	2	1	57.7	60.49
27	5	2	56.08	43.41
27	6	3	43.61	44.9
28	0	0	46.1	54.22
28	1	-1	67.12	69.6
28	2	1	67.41	75.76
28	5	2	61.25	67.47
28	6	3	45.35	53.59
29	0	0	53.27	53.67
29	1	-1	67.72	65.4
29	2	1	68.12	70.4
29	5	2	57.71	54.23
29	6	3	49.73	51.97
31	0	0	54.74	46.62
31	1	-1	59.02	47.66
31	2	1	59.2	55.06
31	5	2	54.31	38.25
31	6	3	51.31	46.4
32	0	0	59.62	58.23
32	1	-1	65.46	64.57
32	2	1	65.47	65.81
32	5	2	64.84	56.73
32	6	3	55.54	57.53
33	0	0	58.01	56.01
33	1	-1	63.59	53.32
33	2	1	63.7	61.82
33	5	2	58.15	48.56
33	6	3	53.43	56.73
34	0	0	37.14	48.03
34	1	-1	47.43	44.9
34	2	1	48.1	48.81
34	5	2	41.88	40.97
34	6	3	35.98	48.3
35	0	0	43.58	49.73
35	1	-1	56.66	43.88
35	2	1	56.66	46.3
