ISCO88	STDEMPST	CHEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
0	0	0	53.42	41.5	-999	-999
0	1	-1	71.5	41.5	-999	-999
0	2	1	71.5	41.5	-999	-999
0	5	2	53.4	41.5	-999	-999
0	6	3	49.9	41.5	-999	-999
1	0	0	56.5	52.77	-999	-999
1	1	-1	61.55	51.03	-999	-999
1	2	1	61.65	54.25	-999	-999
1	5	2	57.09	42.23	-999	-999
1	6	3	49.37	55.52	-999	-999
2	0	0	72.94	74.47	-999	-999
2	1	-1	78.35	77.94	-999	-999
2	2	1	78.41	78.5	-999	-999
2	5	2	71.45	72.65	-999	-999
2	6	3	69.34	73.52	-999	-999
3	0	0	56.68	60.58	-999	-999
3	1	-1	62.72	62.98	-999	-999
3	2	1	62.82	63.55	-999	-999
3	5	2	59.37	61.94	-999	-999
3	6	3	54.34	60.23	-999	-999
4	0	0	43.69	54.33	-999	-999
4	1	-1	61.38	52.56	-999	-999
4	2	1	61.71	61.35	-999	-999
4	5	2	56.89	50.94	-999	-999
4	6	3	41.71	54.64	-999	-999
5	0	0	47.85	43.15	-999	-999
5	1	-1	59.8	44.43	-999	-999
5	2	1	60.64	51.28	-999	-999
5	5	2	49.81	33.92	-999	-999
5	6	3	44.69	42.95	-999	-999
6	0	0	43.25	27.42	-999	-999
6	1	-1	44.32	25.56	-999	-999
6	2	1	44.04	41.54	-999	-999
6	5	2	48.87	18.71	-999	-999
6	6	3	36.22	43.85	-999	-999
7	0	0	38.96	34.68	-999	-999
7	1	-1	49.77	46.59	-999	-999
7	2	1	50.03	54.87	-999	-999
7	5	2	47.5	32.61	-999	-999
7	6	3	36.05	32.62	-999	-999
8	0	0	33.17	29.64	-999	-999
8	1	-1	46.75	44.53	-999	-999
8	2	1	47.41	48.79	-999	-999
8	5	2	43.47	39.98	-999	-999
8	6	3	32.18	28.28	-999	-999
9	0	0	33.75	25.89	-999	-999
9	1	-1	47.18	30.47	-999	-999
9	2	1	48.83	37.94	-999	-999
9	5	2	38.6	24.77	-999	-999
9	6	3	32.66	25.63	-999	-999
10	0	0	56.5	52.77	-999	-999
10	1	-1	61.55	51.03	-999	-999
10	2	1	61.65	54.25	-999	-999
10	5	2	57.09	42.23	-999	-999
10	6	3	49.37	55.52	-999	-999
11	0	0	66.39	69.37	-999	-999
11	1	-1	73.19	74.9	-999	-999
11	2	1	73.19	74.9	-999	-999
11	5	2	62.21	74.9	-999	-999
11	6	3	56.23	66.79	-999	-999
12	0	0	55.77	52	-999	-999
12	1	-1	60.72	50.54	-999	-999
12	2	1	60.81	53.72	-999	-999
12	5	2	57.05	42.15	-999	-999
12	6	3	48.79	54.49	-999	-999
13	0	0	73.62	63.21	-999	-999
13	1	-1	77.5	62	-999	-999
13	2	1	77.5	62	-999	-999
13	5	2	77.5	62	-999	-999
13	6	3	68.4	63.8	-999	-999
20	0	0	72.94	74.47	-999	-999
20	1	-1	78.35	77.94	-999	-999
20	2	1	78.41	78.5	-999	-999
20	5	2	71.45	72.65	-999	-999
20	6	3	69.34	73.52	-999	-999
21	0	0	70.11	69.46	-999	-999
21	1	-1	74.19	74.3	-999	-999
21	2	1	74.23	76.11	-999	-999
21	5	2	70.93	64.36	-999	-999
21	6	3	67.91	68.4	-999	-999
22	0	0	87.53	82.73	-999	-999
22	1	-1	87.31	83.47	-999	-999
22	2	1	87.34	83.73	-999	-999
22	5	2	78.52	81.97	-999	-999
22	6	3	88.07	82.1	-999	-999
23	0	0	72.23	74.47	-999	-999
23	1	-1	78.89	74.47	-999	-999
23	2	1	78.93	74.99	-999	-999
23	5	2	72.3	65.1	-999	-999
23	6	3	70.31	74.47	-999	-999
24	0	0	71.47	73.41	-999	-999
24	1	-1	77.02	78.09	-999	-999
24	2	1	77.09	78.83	-999	-999
24	5	2	70.15	70.46	-999	-999
24	6	3	66.65	71.54	-999	-999
30	0	0	56.68	60.58	-999	-999
30	1	-1	62.72	62.98	-999	-999
30	2	1	62.82	63.55	-999	-999
30	5	2	59.37	61.94	-999	-999
30	6	3	54.34	60.23	-999	-999
31	0	0	53.46	53.64	-999	-999
31	1	-1	62.47	64.78	-999	-999
31	2	1	62.5	66.1	-999	-999
31	5	2	62.09	63.39	-999	-999
31	6	3	52.33	52.9	-999	-999
32	0	0	59.45	60.09	-999	-999
32	1	-1	67.95	67.79	-999	-999
32	2	1	68.06	67.86	-999	-999
32	5	2	63.42	67.74	-999	-999
32	6	3	56.64	59.37	-999	-999
33	0	0	68.7	70.29	-999	-999
33	1	-1	59.45	66.67	-999	-999
33	2	1	59.42	67.19	-999	-999
33	5	2	60.75	64.68	-999	-999
33	6	3	69.59	70.4	-999	-999
34	0	0	56.75	58.66	-999	-999
34	1	-1	62.59	60.9	-999	-999
34	2	1	62.7	62.14	-999	-999
34	5	2	57.75	57.84	-999	-999
34	6	3	52.78	57.94	-999	-999
40	0	0	43.69	54.33	-999	-999
40	1	-1	61.38	52.56	-999	-999
40	2	1	61.71	61.35	-999	-999
40	5	2	56.89	50.94	-999	-999
40	6	3	41.71	54.64	-999	-999
41	0	0	42.94	55.24	-999	-999
41	1	-1	61.67	52.62	-999	-999
41	2	1	62.07	61.53	-999	-999
41	5	2	56.75	51.02	-999	-999
41	6	3	40.57	55.78	-999	-999
42	0	0	46.48	48.81	-999	-999
42	1	-1	59.31	48.47	-999	-999
