OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS	HO1CS	WO1CS	HOS1CS	WOS1CS	HO2CS	WO2CS	HOS2CS	WOS2CS	HO3CS	WO3CS	HOS3CS	WOS3CS	HPS1CS	WPS1CS	HPS2CS	WPS2CS	HPS3CS	WPS3CS
1101	110	1	52.8	38.1	71.5	38.6	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	71.5	-999	71.5	-999	71.5	-999
1102	110	2	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	-999	-999	-999	-999	-999	-999
1103	110	3	52.8	38.1	49.9	38.6	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	49.9	38.6	49.9	38.6	49.9	38.6
1109	110	9	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	52.8	38.1	53.4	38.6	-999	-999	-999	-999	-999	-999
10001	1000	1	54.4	55.6	64.4	56.4	54.4	55.6	55.5	54.5	-999	-999	-999	-999	-999	-999	-999	-999	64.4	56.4	-999	-999	-999	-999
10002	1000	2	54.4	55.6	58.2	46.2	54.4	55.6	55.5	54.5	-999	-999	-999	-999	-999	-999	-999	-999	58.2	46.2	-999	-999	-999	-999
10003	1000	3	54.4	55.6	49.2	54.5	54.4	55.6	55.5	54.5	-999	-999	-999	-999	-999	-999	-999	-999	49.2	54.5	-999	-999	-999	-999
10009	1000	9	54.4	55.6	55.5	54.5	54.4	55.6	55.5	54.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
11001	1100	1	52.8	38.1	71.5	76.4	54.4	55.6	55.5	54.5	66.1	71	67	70.1	52.8	38.1	53.4	38.6	64.4	56.4	73.2	76.4	71.5	-999
11002	1100	2	52.8	38.1	53.4	38.6	54.4	55.6	55.5	54.5	66.1	71	67	70.1	52.8	38.1	53.4	38.6	58.2	46.2	-999	-999	-999	-999
11003	1100	3	52.8	38.1	49.9	38.6	54.4	55.6	55.5	54.5	66.1	71	67	70.1	52.8	38.1	53.4	38.6	49.2	54.5	56.2	67.3	49.9	38.6
11009	1100	9	52.8	38.1	53.4	38.6	54.4	55.6	55.5	54.5	66.1	71	67	70.1	52.8	38.1	53.4	38.6	-999	-999	-999	-999	-999	-999
11101	1110	1	66.1	71	73.2	76.4	54.4	55.6	55.5	54.5	66.1	71	67	70.1	-999	-999	-999	-999	64.4	56.4	73.2	76.4	-999	-999
11102	1110	2	66.1	71	58.2	46.2	54.4	55.6	55.5	54.5	66.1	71	67	70.1	-999	-999	-999	-999	58.2	46.2	-999	-999	-999	-999
11103	1110	3	66.1	71	56.2	67.3	54.4	55.6	55.5	54.5	66.1	71	67	70.1	-999	-999	-999	-999	49.2	54.5	56.2	67.3	-999	-999
11109	1110	9	66.1	71	67	70.1	54.4	55.6	55.5	54.5	66.1	71	67	70.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
11201	1120	1	66.1	71.1	73	76.4	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.1	71.1	67.1	70.1	64.4	56.4	73.2	76.4	73	76.4
11202	1120	2	66.1	71.1	67.1	76.4	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.1	71.1	67.1	70.1	58.2	46.2	-999	-999	-999	-999
11203	1120	3	66.1	71.1	56.4	67.2	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.1	71.1	67.1	70.1	49.2	54.5	56.2	67.3	56.4	67.2
11209	1120	9	66.1	71.1	67.1	70.1	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.1	71.1	67.1	70.1	-999	-999	-999	-999	-999	-999
11301	1130	1	66.1	71	73.2	76.4	54.4	55.6	55.5	54.5	66.1	71	67	70.1	-999	-999	-999	-999	64.4	56.4	73.2	76.4	-999	-999
11302	1130	2	66.1	71	58.2	46.2	54.4	55.6	55.5	54.5	66.1	71	67	70.1	-999	-999	-999	-999	58.2	46.2	-999	-999	-999	-999
11303	1130	3	66.1	71	56.2	67.3	54.4	55.6	55.5	54.5	66.1	71	67	70.1	-999	-999	-999	-999	49.2	54.5	56.2	67.3	-999	-999
11309	1130	9	66.1	71	67	70.1	54.4	55.6	55.5	54.5	66.1	71	67	70.1	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
11401	1140	1	66.4	70.5	77.1	76.4	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	64.4	56.4	73.2	76.4	77.1	-999
11402	1140	2	66.4	70.5	65.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	58.2	46.2	-999	-999	-999	-999
11403	1140	3	66.4	70.5	54.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	49.2	54.5	56.2	67.3	54.2	68.7
11409	1140	9	66.4	70.5	65.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	-999	-999	-999	-999	-999	-999
11411	1141	1	66.4	70.5	77.1	76.4	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	64.4	56.4	73.2	76.4	77.1	-999
11412	1141	2	66.4	70.5	65.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	58.2	46.2	-999	-999	-999	-999
11413	1141	3	66.4	70.5	54.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	49.2	54.5	56.2	67.3	54.2	68.7
11419	1141	9	66.4	70.5	65.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	-999	-999	-999	-999	-999	-999
11421	1142	1	66.4	70.5	77.1	76.4	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	64.4	56.4	73.2	76.4	77.1	-999
11422	1142	2	66.4	70.5	65.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	58.2	46.2	-999	-999	-999	-999
11423	1142	3	66.4	70.5	54.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	49.2	54.5	56.2	67.3	54.2	68.7
11429	1142	9	66.4	70.5	65.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	-999	-999	-999	-999	-999	-999
11431	1143	1	66.4	70.5	77.1	76.4	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	64.4	56.4	73.2	76.4	77.1	-999
11432	1143	2	66.4	70.5	65.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	58.2	46.2	-999	-999	-999	-999
11433	1143	3	66.4	70.5	54.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	49.2	54.5	56.2	67.3	54.2	68.7
11439	1143	9	66.4	70.5	65.2	68.7	54.4	55.6	55.5	54.5	66.1	71	67	70.1	66.4	70.5	65.2	68.7	-999	-999	-999	-999	-999	-999
12001	1200	1	53.5	54.5	63.1	55.4	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	-999	-999	-999	-999	64.4	56.4	63.1	55.4	-999	-999
12002	1200	2	53.5	54.5	58.2	46.2	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	-999	-999	-999	-999	58.2	46.2	58.2	46.2	-999	-999
12003	1200	3	53.5	54.5	48.7	53.3	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	-999	-999	-999	-999	49.2	54.5	48.7	53.3	-999	-999
12009	1200	9	53.5	54.5	54.5	53.5	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999
12101	1210	1	63.3	61.1	63.1	60.6	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	63.3	61.1	61.1	58.2	64.4	56.4	63.1	55.4	63.1	60.6
12102	1210	2	63.3	61.1	59.8	43.5	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	63.3	61.1	61.1	58.2	58.2	46.2	58.2	46.2	59.8	43.5
12103	1210	3	63.3	61.1	55.4	59.8	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	63.3	61.1	61.1	58.2	49.2	54.5	48.7	53.3	55.4	59.8
12109	1210	9	63.3	61.1	61.1	58.2	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	63.3	61.1	61.1	58.2	-999	-999	-999	-999	-999	-999
12201	1220	1	43.2	43.7	57.1	43.9	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	43.2	43.7	44	44.2	64.4	56.4	63.1	55.4	57.1	43.9
12202	1220	2	43.2	43.7	53.6	33.5	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	43.2	43.7	44	44.2	58.2	46.2	58.2	46.2	53.6	33.5
12203	1220	3	43.2	43.7	42.2	45.6	54.4	55.6	55.5	54.5	53.5	54.5	54.5	53.5	43.2	43.7	44	44.2	49.2	54.5	48.7	53.3	42.2	45.6
