OCCBST	OCC	EMPST	HPTCS	WPTCS	HPSCS	WPSCS	HO1CS	WO1CS	HOS1CS	WOS1CS	HO2CS	WO2CS	HOS2CS	WOS2CS	HO3CS	WO3CS	HOS3CS	WOS3CS	HPS1CS	WPS1CS	HPS2CS	WPS2CS	HPS3CS	WPS3CS
111011	11101	1	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	44.1	38.9	44.1	38.9	44.1	38.9
111012	11101	2	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	44.1	-999	44.1	-999	44.1	-999
111013	11101	3	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	44.1	38.9	44.1	38.9	44.1	38.9
111019	11101	9	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	-999	-999	-999	-999	-999	-999
111021	11102	1	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	44.1	38.9	44.1	38.9	44.1	38.9
111022	11102	2	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	44.1	-999	44.1	-999	44.1	-999
111023	11102	3	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	44.1	38.9	44.1	38.9	44.1	38.9
111029	11102	9	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	-999	-999	-999	-999	-999	-999
111031	11103	1	48	34	44.1	48.4	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	44.1	38.9	44.1	38.9	44.1	38.9
111032	11103	2	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	44.1	-999	44.1	-999	44.1	-999
111033	11103	3	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	44.1	38.9	44.1	38.9	44.1	38.9
111039	11103	9	48	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	48	34	44.1	38.9	-999	-999	-999	-999	-999	-999
112001	11200	1	47.9	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	-999	34	44.1	38.9	44.1	38.9	44.1	38.9	-999	-999
112002	11200	2	47.9	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	-999	34	44.1	38.9	44.1	-999	44.1	-999	-999	-999
112003	11200	3	47.9	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	-999	34	44.1	38.9	44.1	38.9	44.1	38.9	44.1	38.9
112009	11200	9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	47.9	34	44.1	38.9	-999	34	44.1	38.9	-999	-999	-999	-999	-999	-999
112011	11201	1	47.9	34	44.1	47.1	47.9	34	44.1	38.9	47.9	34	44.1	38.9	-999	34	44.1	38.9	44.1	38.9	44.1	38.9	-999	-999
