ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
0	0	-999	-999	-999	-999
0	1	-999	-999	-999	-999
0	6	-999	-999	-999	-999
1	0	70.99	60.23	-999	-999
1	1	69.5	58.5	-999	-999
1	6	71.89	61.22	-999	-999
2	0	81.61	80.67	-999	-999
2	1	81.61	82.64	-999	-999
2	6	81.61	80.45	-999	-999
3	0	61.31	60.24	-999	-999
3	1	68.77	72.71	-999	-999
3	6	60.07	59.58	-999	-999
4	0	53.04	52.42	-999	-999
4	1	54.44	73.88	-999	-999
4	6	52.98	51.74	-999	-999
5	0	49.89	43.33	-999	-999
5	1	57.38	54.36	-999	-999
5	6	47.55	41.5	-999	-999
6	0	38.35	32.57	-999	-999
6	1	46.54	45.39	-999	-999
6	6	33.65	31.13	-999	-999
7	0	41.9	38.39	-999	-999
7	1	50.79	54.17	-999	-999
7	6	40.46	36.88	-999	-999
8	0	40.68	36.94	-999	-999
8	1	51.43	56.63	-999	-999
8	6	39.91	36.71	-999	-999
9	0	36.39	35.97	-999	-999
9	1	49.63	55.29	-999	-999
9	6	35.75	35.75	-999	-999
10	0	83.2	57.73	-999	-999
10	1	83.2	57.73	-999	-999
10	6	83.2	57.73	-999	-999
11	0	62.37	57.73	-999	-999
11	1	62.37	57.73	-999	-999
11	6	62.37	57.73	-999	-999
12	0	74.91	61.98	-999	-999
12	1	69.17	58.5	-999	-999
12	6	76.09	62.4	-999	-999
13	0	70.26	59.39	-999	-999
13	1	69.56	58.5	-999	-999
13	6	71.34	60.43	-999	-999
20	0	84.8	88.6	-999	-999
20	1	84.8	88.6	-999	-999
20	6	84.8	88.6	-999	-999
21	0	80.65	84.56	-999	-999
21	1	80.93	81.36	-999	-999
21	6	80.55	85.05	-999	-999
22	0	83.52	92.91	-999	-999
22	1	89.46	87.78	-999	-999
22	6	81.22	94.56	-999	-999
23	0	84.65	79.99	-999	-999
23	1	86.32	87.06	-999	-999
23	6	84.52	79.89	-999	-999
24	0	79.87	76.06	-999	-999
24	1	78.88	79.75	-999	-999
24	6	80.37	75.32	-999	-999
30	0	58.21	54.37	-999	-999
30	1	58.21	54.37	-999	-999
30	6	58.21	54.37	-999	-999
31	0	60.57	57.43	-999	-999
31	1	70.96	65.31	-999	-999
31	6	59.59	57.33	-999	-999
32	0	57.53	58.6	-999	-999
32	1	74.96	74.51	-999	-999
