OCCBST	OCC	EMPST	HKTCS	WKTCS	HKSCS	WKSCS	HKRCS	WKRCS
111	11	1	47.2	22.9	50.3	17.8	46	16.5
112	11	2	47.2	22.9	55.2	48	62.5	54.1
113	11	3	47.2	22.9	33.6	21.1	35.8	27.9
114	11	4	47.2	22.9	47.5	24.3	63.3	18.1
115	11	5	47.2	22.9	38.3	31.4	63.3	15.5
116	11	6	47.2	22.9	47.5	24.3	28.5	15.5
119	11	9	47.2	22.9	47.5	24.3	44.2	18.1
121	12	1	47.2	22.9	50.3	17.8	46	16.5
122	12	2	47.2	22.9	55.2	48	62.5	54.1
123	12	3	47.2	22.9	33.6	21.1	35.8	27.9
124	12	4	47.2	22.9	47.5	24.3	73.5	18.1
125	12	5	47.2	22.9	38.3	31.4	63.3	46.9
126	12	6	47.2	22.9	47.5	24.3	28.5	15.5
129	12	9	47.2	22.9	47.5	24.3	44.2	18.1
131	13	1	47.2	22.9	50.3	17.8	46	16.5
132	13	2	47.2	22.9	55.2	48	62.5	54.1
133	13	3	47.2	22.9	33.6	21.1	35.8	27.9
134	13	4	47.2	22.9	47.5	24.3	73.5	18.1
135	13	5	47.2	22.9	38.3	31.4	51.9	46.9
136	13	6	47.2	22.9	47.5	24.3	28.5	15.5
139	13	9	47.2	22.9	47.5	24.3	44.2	18.1
141	14	1	47.2	22.9	50.3	17.8	46	16.5
142	14	2	47.2	22.9	55.2	48	62.5	54.1
143	14	3	47.2	22.9	33.6	21.1	35.8	27.9
144	14	4	47.2	22.9	47.5	24.3	73.5	18.1
145	14	5	47.2	22.9	38.3	31.4	51.9	46.9
146	14	6	47.2	22.9	47.5	24.3	28.5	15.5
149	14	9	47.2	22.9	47.5	24.3	44.2	18.1
151	15	1	47.2	22.9	50.3	17.8	46	16.5
152	15	2	47.2	22.9	55.2	48	62.5	54.1
153	15	3	47.2	22.9	33.6	21.1	35.8	27.9
154	15	4	47.2	22.9	47.5	24.3	73.5	18.1
155	15	5	47.2	22.9	38.3	31.4	51.9	46.9
156	15	6	47.2	22.9	47.5	24.3	28.5	15.5
159	15	9	47.2	22.9	47.5	24.3	44.2	18.1
161	16	1	47.2	22.9	50.3	17.8	46	16.5
162	16	2	47.2	22.9	55.2	48	62.5	54.1
163	16	3	47.2	22.9	33.6	21.1	35.8	27.9
164	16	4	47.2	22.9	47.5	24.3	73.5	18.1
165	16	5	47.2	22.9	38.3	31.4	51.9	46.9
166	16	6	47.2	22.9	47.5	24.3	28.5	15.5
169	16	9	47.2	22.9	47.5	24.3	44.2	18.1
171	17	1	47.2	22.9	50.3	17.8	46	16.5
172	17	2	47.2	22.9	55.2	48	62.5	54.1
173	17	3	47.2	22.9	33.6	21.1	35.8	27.9
174	17	4	47.2	22.9	47.5	24.3	73.5	18.1
175	17	5	47.2	22.9	38.3	31.4	51.9	46.9
176	17	6	47.2	22.9	47.5	24.3	28.5	15.5
179	17	9	47.2	22.9	47.5	24.3	44.2	18.1
181	18	1	47.2	22.9	50.3	17.8	46	16.5
182	18	2	47.2	22.9	55.2	48	62.5	54.1
183	18	3	47.2	22.9	33.6	21.1	35.8	27.9
184	18	4	47.2	22.9	47.5	24.3	73.5	18.1
185	18	5	47.2	22.9	38.3	31.4	51.9	46.9
186	18	6	47.2	22.9	47.5	24.3	28.5	15.5
189	18	9	47.2	22.9	47.5	24.3	44.2	18.1
