OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS	HIRCS	WIRCS
1101	110	1	47.6	42.4	49	44.1	46.9	45.5
1102	110	2	47.6	42.4	49	44.1	46.9	45.5
1103	110	3	47.6	42.4	49	44.1	46.9	45.5
1104	110	4	47.6	42.4	49	44.1	46.9	45.5
1105	110	5	47.6	42.4	49	63.9	46.9	61.7
1106	110	6	47.6	42.4	49	44.1	46.9	45.5
1109	110	9	47.6	51.8	49	44.1	46.9	45.5
10001	1000	1	61.7	58.1	54.2	55	54.4	55.5
10002	1000	2	61.7	58.1	60.5	56.4	66	62.4
10003	1000	3	61.7	58.1	59.8	57.1	61.7	59.5
10004	1000	4	61.7	58.1	59.8	57.1	76.4	77.2
10005	1000	5	61.7	58.1	60.6	58.5	61.6	60.5
10006	1000	6	61.7	58.1	59.8	57.1	38.4	27.7
10009	1000	9	61.7	58.1	59.8	57.1	61.7	59.5
11001	1100	1	47.6	65.7	54.2	55	54.4	55.5
11002	1100	2	47.6	65.7	60.5	56.4	66	62.4
11003	1100	3	47.6	65.7	49	68	46.9	69.1
11004	1100	4	47.6	65.7	49	68	51.7	77.2
11005	1100	5	47.6	65.7	49	68	46.9	69.1
11006	1100	6	47.6	65.7	49	68	36.8	27.7
11009	1100	9	47.6	65.7	49	68	46.9	69.1
11101	1110	1	57	65.7	54.2	55	54.4	55.5
11102	1110	2	57	65.7	60.5	56.4	66	62.4
11103	1110	3	57	65.7	56	68	51.7	69.1
11104	1110	4	57	65.7	56	68	51.7	69.1
11105	1110	5	57	65.7	56	68	51.7	69.1
11106	1110	6	57	65.7	56	68	36.8	27.7
11109	1110	9	57	65.7	56	68	51.7	69.1
11201	1120	1	58.9	65.7	54.2	55	54.4	55.5
11202	1120	2	58.9	65.7	60.5	56.4	66	62.4
11203	1120	3	58.9	65.7	57.1	68	54.7	69.1
11204	1120	4	58.9	65.7	57.1	68	51.7	77.2
11205	1120	5	58.9	65.7	57.1	68	66.1	69.1
11206	1120	6	58.9	65.7	57.1	68	36.8	27.7
11209	1120	9	58.9	65.7	57.1	68	54.7	69.1
11301	1130	1	58.9	65.7	54.2	55	54.4	55.5
11302	1130	2	58.9	65.7	60.5	56.4	66	62.4
11303	1130	3	58.9	65.7	57.1	68	54.7	69.1
11304	1130	4	58.9	65.7	57.1	68	51.7	77.2
11305	1130	5	58.9	65.7	57.1	68	66.1	69.1
11306	1130	6	58.9	65.7	57.1	68	36.8	27.7
11309	1130	9	58.9	65.7	57.1	68	54.7	69.1
11401	1140	1	60	65.7	54.2	55	54.4	55.5
11402	1140	2	60	65.7	58.9	56.4	67.5	62.4
11403	1140	3	60	65.7	57.7	68	56.3	69.1
11404	1140	4	60	65.7	57.7	68	66.1	70.1
11405	1140	5	60	65.7	57.7	67.5	66.1	70.1
11406	1140	6	60	65.7	57.7	68	36.8	27.7
11409	1140	9	60	65.7	57.7	68	56.3	69.1
11411	1141	1	60	65.7	54.2	55	54.4	55.5
11412	1141	2	60	65.7	60.5	56.4	66	62.4
11413	1141	3	60	65.7	57.7	68	56.3	69.1
11414	1141	4	60	65.7	57.7	68	51.7	77.2
11415	1141	5	60	65.7	57.7	68	66.1	69.1
11416	1141	6	60	65.7	57.7	68	36.8	27.7
11419	1141	9	60	65.7	57.7	68	56.3	69.1
11421	1142	1	60	65.7	54.2	55	54.4	55.5
