cno94	stdempst	spempst	mcamsis	fcamsis
1	0	0	70.8	53.1
1	1	-1	70.8	48.7
1	2	-2	70.8	48.7
1	3	2	70.8	48.7
1	4	1	70.8	48.7
1	5	3	70.8	48.7
1	6	4	70.8	53.1
2	0	0	60.1	53.1
2	1	-1	60.1	48.7
2	2	-2	60.1	48.7
2	3	2	60.1	48.7
2	4	1	60.1	48.7
2	5	3	60.1	48.7
2	6	4	60.1	53.1
3	0	0	54.4	53.1
3	1	-1	54.4	48.7
3	2	-2	54.4	48.7
3	3	2	54.4	48.7
3	4	1	54.4	48.7
3	5	3	54.4	48.7
3	6	4	54.4	53.1
101	0	0	72.2	60.3
101	1	-1	72.2	55.8
101	2	-2	72.2	55.85
101	3	2	72.2	50.8
101	4	1	72.2	60.9
101	5	3	72.2	55.7
101	6	4	72.2	73.8
102	0	0	72.2	66.9
102	1	-1	72.2	55.8
102	2	-2	72.2	55.85
102	3	2	72.2	50.8
102	4	1	72.2	60.9
102	5	3	72.2	55.7
102	6	4	72.2	66.9
103	0	0	72.2	66.9
103	1	-1	72.2	55.8
103	2	-2	72.2	55.85
103	3	2	72.2	50.8
103	4	1	72.2	60.9
103	5	3	72.2	55.7
103	6	4	72.2	66.9
104	0	0	72.2	66.9
104	1	-1	72.2	55.8
104	2	-2	72.2	55.85
104	3	2	72.2	50.8
104	4	1	72.2	60.9
104	5	3	72.2	55.7
104	6	4	72.2	66.9
111	0	0	69.95	68.37
111	1	-1	68	69.29
111	2	-2	68	69.4
111	3	2	70	68.1
111	4	1	68	69.4
111	5	3	70	66.9
111	6	4	74.5	66.9
112	0	0	69.75	75.34
112	1	-1	63.7	69.4
112	2	-2	63.7	69.4
112	3	2	69.4	78.2
112	4	1	63.7	69.4
112	5	3	69.4	78.2
112	6	4	72.3	78.2
113	0	0	68.99	75.15
113	1	-1	63.7	69.4
113	2	-2	63.7	69.4
113	3	2	69.4	75.6
113	4	1	63.7	69.4
113	5	3	69.4	75.6
113	6	4	69.4	75.6
121	0	0	65.8	62.3
121	1	-1	65.4	62.3
121	2	-2	65.4	62.3
121	3	2	65.4	62.3
121	4	1	65.4	62.3
121	5	3	65.4	62.3
121	6	4	70.4	62.3
122	0	0	65.73	62.3
122	1	-1	65.5	62.3
122	2	-2	65.5	62.3
122	3	2	65.5	62.3
122	4	1	65.5	62.3
122	5	3	65.5	62.3
122	6	4	70.4	62.3
131	0	0	52	49.73
131	1	-1	52	51.9
131	2	-2	52	51.9
131	3	2	52	51.9
131	4	1	52	51.9
131	5	3	52	51.9
131	6	4	52	40
132	0	0	52	51.08
132	1	-1	52	51.9
132	2	-2	52	51.9
132	3	2	52	51.9
132	4	1	52	51.9
132	5	3	52	51.9
132	6	4	52	40
140	0	0	61.43	60.9
140	1	-1	59.8	60.9
140	2	-2	59.8	60.9
140	3	2	61.8	60.9
140	4	1	59.8	60.9
140	5	3	61.8	60.9
140	6	4	70.4	60.9
151	0	0	55.3	52.2
151	1	-1	55.3	52.2
151	2	-2	55.3	52.2
151	3	2	55.3	52.2
151	4	1	55.3	52.2
151	5	3	55.3	52.2
151	6	4	55.3	52.2
152	0	0	54.5	52.2
152	1	-1	54.5	52.2
152	2	-2	54.5	52.2
152	3	2	54.5	52.2
152	4	1	54.5	52.2
152	5	3	54.5	52.2
152	6	4	54.5	52.2
161	0	0	49.5	40
161	1	-1	49.5	40
161	2	-2	49.5	40
161	3	2	49.5	40
161	4	1	49.5	40
161	5	3	49.5	40
161	6	4	49.5	40
162	0	0	49.5	40
162	1	-1	49.5	40
162	2	-2	49.5	40
162	3	2	49.5	40
162	4	1	49.5	40
162	5	3	49.5	40
162	6	4	49.5	40
170	0	0	56.1	59.4
170	1	-1	56.1	59.4
170	2	-2	56.1	59.4
170	3	2	56.1	59.4
170	4	1	56.1	59.4
170	5	3	56.1	59.4
170	6	4	56.1	59.4
201	0	0	88.6	72.3
201	1	-1	88.6	72.3
201	2	-2	88.6	72.3
201	3	2	88.6	72.3
201	4	1	88.6	72.3
201	5	3	88.6	72.3
201	6	4	88.6	72.3
202	0	0	88.6	72.3
202	1	-1	87.26	72.3
202	2	-2	88.5	72.3
202	3	2	82.1	72.3
202	4	1	94.9	72.3
202	5	3	84.8	72.3
202	6	4	88.6	72.3
203	0	0	73.7	72.3
203	1	-1	73.7	72.3
203	2	-2	73.7	72.3
203	3	2	73.7	72.3
203	4	1	73.7	72.3
203	5	3	73.7	72.3
203	6	4	73.7	72.3
204	0	0	86.84	72.3
204	1	-1	88.83	72.3
204	2	-2	88.83	72.3
204	3	2	82.1	72.3
204	4	1	94.9	72.3
204	5	3	86.7	72.3
204	6	4	82.1	72.3
205	0	0	87.04	72.3
205	1	-1	83.92	72.3
205	2	-2	83.92	72.3
205	3	2	82.1	72.3
205	4	1	94.9	72.3
205	5	3	87.3	72.3
205	6	4	87.3	72.3
211	0	0	83.84	76.2
211	1	-1	69.9	76.2
211	2	-2	69.9	76.2
211	3	2	69.9	76.2
211	4	1	69.9	79.3
211	5	3	86.5	77.6
211	6	4	86.5	76.2
212	0	0	83.39	76.2
212	1	-1	69.9	76.2
212	2	-2	69.9	76.2
212	3	2	69.9	76.2
212	4	1	69.9	76.2
212	5	3	81.3	76.2
212	6	4	85.5	76.2
213	0	0	78.68	76.2
213	1	-1	69.9	76.2
213	2	-2	69.9	76.2
213	3	2	69.9	76.2
213	4	1	69.9	79.3
213	5	3	82.2	77.6
213	6	4	82.2	76.2
214	0	0	72.86	80.59
214	1	-1	69.9	79.3
214	2	-2	69.9	79.3
214	3	2	69.9	79.3
214	4	1	69.9	79.3
214	5	3	81.9	80.8
214	6	4	82.2	82
219	0	0	76.05	76.2
219	1	-1	69.9	78.16
219	2	-2	69.9	78.45
219	3	2	69.9	77.6
219	4	1	69.9	79.3
219	5	3	81.9	77.6
219	6	4	82.2	76.2
221	0	0	85.5	78.9
221	1	-1	85.5	78.9
221	2	-2	85.5	78.9
221	3	2	85.5	78.9
221	4	1	85.5	78.9
221	5	3	85.5	78.9
221	6	4	85.5	78.9
222	0	0	76.5	74.9
222	1	-1	76.5	74.9
222	2	-2	76.5	74.9
222	3	2	76.5	74.9
222	4	1	76.5	74.9
222	5	3	76.5	74.9
222	6	4	76.5	74.9
223	0	0	74.4	67.6
223	1	-1	74.4	67.6
223	2	-2	74.4	67.6
223	3	2	74.4	67.6
223	4	1	74.4	67.6
223	5	3	74.4	67.6
223	6	4	74.4	67.6
231	0	0	83.69	78.55
231	1	-1	82.07	74.6
231	2	-2	82.07	74.6
231	3	2	79.1	74.6
231	4	1	86.5	74.6
231	5	3	83.8	78.9
231	6	4	88.8	87.4
232	0	0	88.8	87.4
232	1	-1	83.16	77.46
232	2	-2	82.8	76.75
232	3	2	79.1	74.6
232	4	1	86.5	78.9
232	5	3	83.9	78.9
232	6	4	88.8	87.4
239	0	0	83.73	79.34
239	1	-1	82.8	74.6
239	2	-2	82.8	74.6
239	3	2	79.1	74.6
239	4	1	86.5	74.6
239	5	3	84.5	78.9
239	6	4	84.5	87.4
241	0	0	87.81	73.7
241	1	-1	85.7	73.7
241	2	-2	85.7	73.7
241	3	2	85.7	73.7
241	4	1	85.7	73.7
241	5	3	87.2	73.7
241	6	4	88.6	73.7
242	0	0	81.22	73.7
242	1	-1	85.7	75.16
242	2	-2	85.7	75.4
242	3	2	85.7	76.1
242	4	1	85.7	74.7
242	5	3	80.1	74.7
242	6	4	80.1	73.7
243	0	0	81.4	75.53
243	1	-1	81.4	76.1
243	2	-2	81.4	76.1
243	3	2	81.4	76.1
243	4	1	81.4	76.1
243	5	3	81.4	75.5
243	6	4	81.4	75.3
251	0	0	81.16	72.1
251	1	-1	92.2	72.1
251	2	-2	92.2	72.1
251	3	2	92.2	72.1
251	4	1	92.2	72.1
251	5	3	80.8	72.1
251	6	4	74.7	72.1
252	0	0	94.8	75
252	1	-1	87.33	75
252	2	-2	88.55	75
252	3	2	92.2	75
252	4	1	84.9	75
252	5	3	84.9	75
252	6	4	94.8	75
253	0	0	94.8	75
253	1	-1	94.8	73.7
253	2	-2	94.8	73.7
253	3	2	94.8	73.7
253	4	1	94.8	73.7
253	5	3	94.8	73.7
253	6	4	94.8	75
261	0	0	74.8	68.3
261	1	-1	74.8	68.3
261	2	-2	74.8	68.3
261	3	2	74.8	68.3
261	4	1	73.9	68.3
261	5	3	73.9	68.3
261	6	4	74.8	68.3
262	0	0	74.8	68.3
262	1	-1	73.9	68.3
262	2	-2	73.9	68.3
262	3	2	73.9	68.3
262	4	1	73.9	68.3
262	5	3	73.9	68.3
262	6	4	74.8	68.3
263	0	0	70.2	68.3
263	1	-1	70.2	68.3
263	2	-2	70.2	68.3
263	3	2	70.2	68.3
263	4	1	70.2	68.3
263	5	3	70.2	68.3
263	6	4	70.2	68.3
264	0	0	74.8	68.3
264	1	-1	74.8	68.3
264	2	-2	74.8	68.3
264	3	2	74.8	68.3
264	4	1	74.8	68.3
264	5	3	74.8	68.3
264	6	4	74.8	68.3
265	0	0	74.8	68.3
265	1	-1	74.8	68.3
265	2	-2	74.8	68.3
265	3	2	74.8	68.3
265	4	1	74.8	68.3
265	5	3	74.8	68.3
265	6	4	74.8	68.3
271	0	0	78.9	69.1
271	1	-1	78.9	69.1
271	2	-2	78.9	69.1
271	3	2	78.9	69.1
271	4	1	78.9	69.1
271	5	3	78.9	69.1
271	6	4	78.9	69.1
272	0	0	70	69.1
272	1	-1	70	69.1
272	2	-2	70	69.1
272	3	2	70	69.1
272	4	1	70	69.1
272	5	3	70	69.1
272	6	4	70	69.1
281	0	0	72.3	70.2
281	1	-1	72.3	70.2
281	2	-2	72.3	70.2
281	3	2	72.3	70.2
281	4	1	72.3	70.2
281	5	3	72.3	70.2
281	6	4	72.3	70.2
282	0	0	64.9	65.4
282	1	-1	64.9	65.4
282	2	-2	64.9	65.4
282	3	2	69.6	65.4
282	4	1	64.9	65.4
282	5	3	69.6	65.4
282	6	4	64.9	65.4
283	0	0	64.9	63.9
283	1	-1	64.9	63.9
283	2	-2	64.9	63.9
283	3	2	64.9	63.9
283	4	1	64.9	63.9
