SAPHIR	fr90o_m	fr90o_f
11	49.1657218933105	36.4806365966797
12	49.4252586364746	45.0946617126465
13	56.6554183959961	50.4860343933105
21	46.2242851257324	55.0131034851074
22	59.2964019775391	54.3232345581055
23	74.3634414672852	72.2977600097656
31	92.5431137084961	88.1973724365234
33	76.6925582885742	80.0383834838867
34	76.6433334350586	90.9729690551758
35	79.5088500976563	85.3686370849609
37	72.5066146850586	76.9716796875
38	75.9919204711914	77.8262329101563
42	67.53466796875	68.3911590576172
43	61.5603218078613	64.266471862793
44	76.8755569458008	64.266471862793
45	53.389087677002	64.4264907836914
46	53.3685760498047	64.4845352172852
47	55.4929428100586	60.9852676391602
48	44.6770629882813	49.4327926635742
52	47.9036026000977	41.7559661865234
53	41.5477638244629	45.6839179992676
54	50.6266899108887	49.893798828125
55	44.4203262329102	39.3302192687988
56	40.075870513916	32.9747848510742
61	33.609546661377	45.2543983459473
66	38.1901435852051	31.3377361297607
69	29.232442855835	29.6188144683838
