PCS	fr06pcs_m	fr06pcs_f
11	45.6648750305176	40.5194511413574
12	44.5891876220703	47.3500328063965
13	57.518985748291	61.8801040649414
21	44.2599983215332	48.1162300109863
22	57.4913902282715	55.491039276123
23	67.8077011108398	62.5214538574219
31	83.3450241088867	81.2678833007813
33	72.173095703125	74.0443878173828
34	74.3735885620117	81.9609832763672
35	75.3852233886719	76.5841674804688
37	69.0807723999023	74.7548446655273
38	72.558464050293	72.8604507446289
42	56.2817153930664	64.6683502197266
43	61.5412368774414	58.073055267334
44	59.1010284423828	78.4230728149414
45	52.7082595825195	59.5820465087891
46	51.8520622253418	58.1604537963867
47	50.906566619873	57.529125213623
48	42.8932495117188	49.3065414428711
52	48.964900970459	38.6237449645996
53	43.1779365539551	41.6185684204102
54	51.7242202758789	46.9183921813965
55	48.1832885742188	37.8358726501465
56	43.6288528442383	33.1488304138184
62	33.7407150268555	34.9127960205078
63	32.9522819519043	37.6189002990723
64	31.905948638916	33.2937240600586
65	34.4646415710449	33.9885406494141
67	32.5082626342773	28.8395767211914
68	30.0501823425293	26.4183616638184
69	31.2081089019775	26.8573150634766
