CO1970	STDEMPST	UKEMPST	MCAMSIS	FCAMSIS	RGSC	SEG	CASMIN	HGGROUP	HOGOLSCR
1	2	-3	66.7	62.2	 	 	 	 	 
1	4	-2	69.9	77	 	 	 	 	 
1	6	-1	37.5	40.7	 	 	 	 	 
1	0	0	45.6	57.9	 	 	 	 	 
1	-6	1	69.9	77	0	.200000000000003	0	0	0
1	-5	2	69.9	77	4	2.1	4	13	52.89
1	3	3	64.5	57.3	4	12	4	19	43.98
1	-4	4	55.8	55.3	0	.5	0	0	0
1	-3	5	55.8	55.3	3.2	2.2	5	17	48.51
1	-2	6	40.4	44.4	3.2	8	5	17	48.34
1	-1	7	36.4	40.7	4	10	7	32	32.67
2	2	-3	65.1	64.5	 	 	 	 	 
2	4	-2	73	77	 	 	 	 	 
2	6	-1	55	54.5	 	 	 	 	 
2	0	0	64	63.4	 	 	 	 	 
2	-6	1	73	77	2	13	4	11	58.15
2	-5	2	73	77	2	13	4	11	58.15
2	3	3	58.8	56.4	2	14	4	24	37.18
2	-4	4	55.8	55.3	2	13	4	11	58.15
2	-3	5	55.8	55.3	2	13	4	11	58.15
2	-2	6	40.4	60.3	0	.5	0	0	0
2	-1	7	38.6	40.7	2	13	4	11	58.15
3	2	-3	44	63.3	 	 	 	 	 
3	4	-2	55.9	77	 	 	 	 	 
3	6	-1	38.5	40.1	 	 	 	 	 
3	0	0	38.7	42.7	 	 	 	 	 
3	-6	1	69.9	77	2	13	4	11	58.15
3	-5	2	55.7	77	2	13	4	11	58.15
3	3	3	41.3	58.9	2	14	4	29	30.01
3	-4	4	55.8	55.3	2	13	4	11	58.15
3	-3	5	55.8	55.3	2	13	4	11	58.15
3	-2	6	36.9	41.2	3.2	15	5	20	40.92
3	-1	7	38.6	40.1	4	15	7	31	31.49
4	2	-3	59.1	74.2	 	 	 	 	 
4	4	-2	69.9	77	 	 	 	 	 
4	6	-1	39.1	41	 	 	 	 	 
4	0	0	42.3	53.9	 	 	 	 	 
4	-6	1	69.9	77	2	13	4	11	58.15
4	-5	2	69.9	77	2	13	4	11	58.15
4	3	3	54	57.3	2	14	4	29	30.01
4	-4	4	55.8	55.3	2	13	4	11	58.15
4	-3	5	55.8	55.3	2	13	4	11	58.15
4	-2	6	40.4	44.4	3.2	15	5	20	40.92
4	-1	7	39.1	40.7	4	15	7	31	31.49
5	2	-3	51.4	60.3	 	 	 	 	 
5	4	-2	69.9	77	 	 	 	 	 
5	6	-1	39.4	51	 	 	 	 	 
5	0	0	41	52.6	 	 	 	 	 
5	-6	1	69.9	77	4	1.1	1	7	53.92
5	-5	2	69.9	77	4	2.1	4	13	57.24
5	3	3	49.1	57.3	4	12	4	36	17.52
5	-4	4	55.8	55.3	3.2	1.2	5	17	45.58
5	-3	5	55.8	55.3	3.2	2.2	5	17	48.51
5	-2	6	42.5	51	3.2	8	5	20	42.08
5	-1	7	39	51	4	10	7	33	28.35
6	2	-3	38.8	57.3	 	 	 	 	 
6	4	-2	69.9	77	 	 	 	 	 
6	6	-1	37	41.7	 	 	 	 	 
6	0	0	37.4	43.8	 	 	 	 	 
6	-6	1	69.9	77	2	13	4	11	58.15
6	-5	2	69.9	77	2	13	4	11	58.15
6	3	3	30.6	57.3	2	14	4	29	30.01
6	-4	4	55.8	55.3	2	13	4	11	58.15
6	-3	5	55.8	55.3	2	13	4	11	58.15
6	-2	6	40.4	44.4	3.2	15	5	20	40.92
6	-1	7	34.9	40.7	4	15	7	31	31.49
7	2	-3	28.3	56.3	 	 	 	 	 
7	4	-2	28.3	56.3	 	 	 	 	 
7	6	-1	28.1	56.3	 	 	 	 	 
7	0	0	28.1	56.3	 	 	 	 	 
7	-6	1	28.3	56.3	3.2	1.1	1	7	66.45
7	-5	2	28.3	56.3	3.2	2.1	4	13	53.85
7	3	3	28.3	56.3	3.2	12	4	19	43.25
7	-4	4	28.3	56.3	0	.5	0	0	0
7	-3	5	28.3	56.3	2	2.2	2	14	54.99
7	-2	6	31	56.3	3.2	8	5	17	48.34
7	-1	7	27.7	56.3	3.2	9	6	27	35.53
8	2	-3	27.2	56.3	 	 	 	 	 
8	4	-2	27.2	56.3	 	 	 	 	 
8	6	-1	27.5	56.3	 	 	 	 	 
8	0	0	27.5	56.3	 	 	 	 	 
8	-6	1	27.2	56.3	4	1.1	1	7	61.68
8	-5	2	27.2	56.3	4	2.1	4	13	52.89
8	3	3	27.2	56.3	4	12	4	19	43.98
8	-4	4	27.2	56.3	0	.5	0	0	0
