OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS
11	1	1	47.8	44.8	69.9	77
12	1	2	47.8	44.8	69.9	77
13	1	3	47.8	44.8	64.5	57.3
14	1	4	47.8	44.8	55.8	55.3
15	1	5	47.8	44.8	55.8	55.3
16	1	6	47.8	44.8	40.4	44.4
17	1	7	47.8	44.8	36.4	40.7
19	1	9	47.8	44.8	47.5	44.4
21	2	1	63.9	62.2	69.9	77
22	2	2	63.9	62.2	73	77
23	2	3	63.9	62.2	58.8	56.4
24	2	4	63.9	62.2	55.8	55.3
25	2	5	63.9	62.2	55.8	55.3
26	2	6	63.9	62.2	40.4	60.3
27	2	7	63.9	62.2	38.6	40.7
29	2	9	63.9	62.2	62.4	60.3
31	3	1	39.4	41.7	69.9	77
32	3	2	39.4	41.7	55.7	77
33	3	3	39.4	41.7	41.3	58.9
34	3	4	39.4	41.7	55.8	55.3
35	3	5	39.4	41.7	55.8	55.3
36	3	6	39.4	41.7	36.9	41.2
37	3	7	39.4	41.7	38.6	40.1
39	3	9	39.4	41.7	39.6	41.2
41	4	1	37.8	44.8	69.9	77
42	4	2	37.8	44.8	69.9	77
43	4	3	37.8	44.8	54	57.3
44	4	4	37.8	44.8	55.8	55.3
45	4	5	37.8	44.8	55.8	55.3
46	4	6	37.8	44.8	40.4	44.4
47	4	7	37.8	44.8	39.1	40.7
49	4	9	37.8	44.8	39.1	44.4
51	5	1	40.3	44.8	69.9	77
52	5	2	40.3	44.8	69.9	77
53	5	3	40.3	44.8	49.1	57.3
54	5	4	40.3	44.8	55.8	55.3
55	5	5	40.3	44.8	55.8	55.3
56	5	6	40.3	44.8	42.5	51
57	5	7	40.3	44.8	39	51
59	5	9	40.3	41.7	40.4	51
61	6	1	32.5	44.8	69.9	77
62	6	2	32.5	44.8	69.9	77
63	6	3	32.5	44.8	30.6	57.3
64	6	4	32.5	44.8	55.8	55.3
65	6	5	32.5	44.8	55.8	55.3
66	6	6	32.5	44.8	40.4	44.4
67	6	7	32.5	44.8	34.9	40.7
69	6	9	32.5	44.8	33.2	44.4
71	7	1	27.6	37.2	28.3	56.3
72	7	2	27.6	37.2	28.3	56.3
73	7	3	27.6	37.2	28.3	56.3
74	7	4	27.6	37.2	28.3	56.3
75	7	5	27.6	37.2	28.3	56.3
76	7	6	27.6	37.2	31	56.3
77	7	7	27.6	37.2	27.7	56.3
79	7	9	27.6	37.2	28.3	56.3
81	8	1	27.9	37.2	27.2	56.3
82	8	2	27.9	37.2	27.2	56.3
83	8	3	27.9	37.2	27.2	56.3
84	8	4	27.9	37.2	27.2	56.3
85	8	5	27.9	37.2	27.2	56.3
86	8	6	27.9	37.2	31	56.3
87	8	7	27.9	37.2	27.2	56.3
89	8	9	27.9	37.2	27.2	56.3
91	9	1	27.9	37.2	28.3	56.3
92	9	2	27.9	37.2	28.3	56.3
93	9	3	27.9	37.2	28.3	56.3
94	9	4	27.9	37.2	28.3	56.3
95	9	5	27.9	37.2	28.3	56.3
96	9	6	27.9	37.2	31	56.3
97	9	7	27.9	37.2	28.3	56.3
99	9	9	27.6	37.2	28.3	56.3
101	10	1	33.1	37.2	33.7	56.3
102	10	2	33.1	37.2	33.7	56.3
103	10	3	33.1	37.2	33.7	56.3
104	10	4	33.1	37.2	33.7	56.3
105	10	5	33.1	37.2	33.7	56.3
106	10	6	33.1	37.2	31	56.3
107	10	7	33.1	37.2	33.7	56.3
109	10	9	33.1	40	33.7	56.3
111	11	1	42.8	36.4	40.2	37.5
112	11	2	42.8	36.4	40.2	37.5
113	11	3	42.8	36.4	40.2	37.5
114	11	4	42.8	36.4	40.2	37.5
115	11	5	42.8	36.4	40.2	37.5
116	11	6	42.8	36.4	45.7	37.5
117	11	7	42.8	36.4	40.2	37.5
119	11	9	42.8	36.4	40.2	37.5
121	12	1	40.3	36.4	40.4	37.5
122	12	2	40.3	36.4	40.4	37.5
123	12	3	40.3	36.4	40.4	37.5
124	12	4	40.3	36.4	40.4	37.5
125	12	5	40.3	36.4	40.4	37.5
126	12	6	40.3	36.4	45.7	37.5
127	12	7	40.3	36.4	39.2	37.5
129	12	9	40.3	36.4	40.4	37.5
131	13	1	32.9	29.4	32.1	21.9
132	13	2	32.9	29.4	32.1	21.9
133	13	3	32.9	29.4	32.1	21.9
134	13	4	32.9	29.4	32.1	21.9
135	13	5	32.9	29.4	32.1	21.9
136	13	6	32.9	29.4	36.8	21.9
137	13	7	32.9	29.4	32.1	21.9
139	13	9	32.9	29.4	32.1	21.9
141	14	1	42.9	35	43.2	34.2
142	14	2	42.9	35	43.2	34.2
143	14	3	42.9	35	43.2	34.2
144	14	4	42.9	35	43.2	34.2
145	14	5	42.9	35	43.2	34.2
146	14	6	42.9	35	36.8	34.2
147	14	7	42.9	35	43.2	34.2
149	14	9	42.9	35	43.2	34.2
151	15	1	24.2	32.2	24.4	29
152	15	2	24.2	32.2	24.4	29
153	15	3	24.2	32.2	24.4	29
154	15	4	24.2	32.2	24.4	29
155	15	5	24.2	32.2	24.4	29
156	15	6	24.2	32.2	36.8	29
157	15	7	24.2	32.2	24.4	29
159	15	9	24.2	32.2	24.4	29
161	16	1	35.9	34.6	36.1	31.5
162	16	2	35.9	34.6	36.1	31.5
163	16	3	35.9	34.6	36.1	31.5
164	16	4	35.9	34.6	36.1	31.5
165	16	5	35.9	34.6	36.1	31.5
166	16	6	35.9	34.6	36.8	31.5
167	16	7	35.9	34.6	36.1	31.5
169	16	9	32.9	34.6	36.1	31.5
171	17	1	36.9	28.5	36.1	27.2
172	17	2	36.9	28.5	36.1	27.2
173	17	3	36.9	28.5	36.1	27.2
174	17	4	36.9	28.5	36.1	27.2
175	17	5	36.9	28.5	36.1	27.2
176	17	6	36.9	28.5	36.8	27.2
177	17	7	36.9	28.5	35.2	27.2
179	17	9	36.9	28.5	36.1	27.2
181	18	1	30.1	35.7	30.6	32.3
182	18	2	30.1	35.7	30.6	32.3
183	18	3	30.1	35.7	30.6	32.3
184	18	4	30.1	35.7	30.6	32.3
185	18	5	30.1	35.7	30.6	32.3
186	18	6	30.1	35.7	41.9	32.3
187	18	7	30.1	35.7	30.6	32.3
189	18	9	30.1	35.7	30.6	32.3
191	19	1	37.2	35.7	37.4	32.3
192	19	2	37.2	35.7	37.4	32.3
193	19	3	37.2	35.7	37.4	32.3
194	19	4	37.2	35.7	37.4	32.3
195	19	5	37.2	35.7	37.4	32.3
196	19	6	37.2	35.7	41.7	32.3
197	19	7	37.2	35.7	35.6	32.3
199	19	9	37.2	35.7	37.4	32.3
201	20	1	33.1	28.8	33	28.2
202	20	2	33.1	28.8	33	28.2
203	20	3	33.1	28.8	33	28.2
204	20	4	33.1	28.8	33	28.2
205	20	5	33.1	28.8	33	28.2
206	20	6	33.1	28.8	42.1	28.2
207	20	7	33.1	28.8	30.9	28.2
209	20	9	33.1	28.8	33	28.2
211	21	1	35.9	35.7	36.4	32.3
212	21	2	35.9	35.7	36.4	32.3
213	21	3	35.9	35.7	36.4	32.3
214	21	4	35.9	35.7	36.4	32.3
215	21	5	35.9	35.7	36.4	32.3
216	21	6	35.9	35.7	41.9	32.3
217	21	7	35.9	35.7	36.4	32.3
219	21	9	35.9	35.7	36.4	32.3
221	22	1	26	35.7	24.1	32.3
222	22	2	26	35.7	24.1	32.3
223	22	3	26	35.7	24.1	32.3
224	22	4	26	35.7	24.1	32.3
225	22	5	26	35.7	24.1	32.3
226	22	6	26	35.7	41.9	32.3
227	22	7	26	35.7	24.1	32.3
229	22	9	26	35.7	24.1	32.3
231	23	1	30.2	40	31	35.5
232	23	2	30.2	40	31	35.5
233	23	3	30.2	40	31	35.5
234	23	4	30.2	40	31	35.5
235	23	5	30.2	40	31	35.5
236	23	6	30.2	40	41.9	35.5
237	23	7	30.2	40	31	35.5
239	23	9	30.2	40	31	35.5
241	24	1	58.9	39.2	65	39.4
242	24	2	58.9	39.2	65	39.4
243	24	3	58.9	39.2	54.3	39.4
244	24	4	58.9	39.2	58.4	39.4
245	24	5	58.9	39.2	58.4	39.4
246	24	6	58.9	39.2	48.5	39.4
247	24	7	58.9	39.2	58.8	39.4
249	24	9	58.9	39.2	58.4	39.4
251	25	1	54	39.2	65	25.3
252	25	2	54	39.2	65	25.3
253	25	3	54	39.2	60.5	25.3
254	25	4	54	39.2	53.9	25.3
255	25	5	54	39.2	53.9	25.3
256	25	6	54	39.2	45.9	25.3
257	25	7	54	39.2	54.6	25.3
259	25	9	54	38.6	53.9	25.3
261	26	1	40.1	39.2	65	39.4
262	26	2	40.1	39.2	65	39.4
263	26	3	40.1	39.2	60.5	39.4
264	26	4	40.1	39.2	39.8	39.4
265	26	5	40.1	39.2	39.8	39.4
266	26	6	40.1	39.2	48.5	39.4
267	26	7	40.1	39.2	39.8	39.4
269	26	9	40.1	39.2	39.8	39.4
271	27	1	51	42.2	65	42
272	27	2	51	42.2	65	42
273	27	3	51	42.2	62.1	42
274	27	4	51	42.2	51	42
275	27	5	51	42.2	51	42
276	27	6	51	42.2	50.5	42
277	27	7	51	42.2	49.8	42
279	27	9	51	42.2	51	42
281	28	1	51.6	39.5	65	39.6
282	28	2	51.6	39.5	65	39.6
283	28	3	51.6	39.5	60.5	39.6
284	28	4	51.6	39.5	51.6	39.6
285	28	5	51.6	39.5	51.6	39.6
286	28	6	51.6	39.5	45.9	39.6
287	28	7	51.6	39.5	53.3	39.6
289	28	9	51.6	39.5	51.6	39.6
291	29	1	35.1	38.6	65	39.2
292	29	2	35.1	38.6	65	39.2
293	29	3	35.1	38.6	60.5	39.2
294	29	4	35.1	38.6	35.7	39.2
295	29	5	35.1	38.6	35.7	39.2
296	29	6	35.1	38.6	48.5	39.2
297	29	7	35.1	38.6	35.7	39.2
299	29	9	35.1	38.6	35.7	39.2
301	30	1	50.6	39.2	65	39.4
302	30	2	50.6	39.2	65	39.4
303	30	3	50.6	39.2	60.5	39.4
304	30	4	50.6	39.2	50.5	39.4
305	30	5	50.6	39.2	50.5	39.4
306	30	6	50.6	39.2	48.5	39.4
307	30	7	50.6	39.2	50.5	39.4
309	30	9	50.6	39.2	50.5	39.4
311	31	1	45.6	43.8	61.9	44.2
312	31	2	45.6	43.8	61.9	44.2
313	31	3	45.6	43.8	51.9	44.2
314	31	4	45.6	43.8	46	44.2
315	31	5	45.6	43.8	46	44.2
316	31	6	45.6	43.8	46	44.2
317	31	7	45.6	43.8	42.3	33.1
319	31	9	45.6	43.8	46	44.2
321	32	1	43.2	33.5	61.9	33.6
322	32	2	43.2	33.5	61.9	33.6
323	32	3	43.2	33.5	51.9	33.6
324	32	4	43.2	33.5	43.4	33.6
325	32	5	43.2	33.5	43.4	33.6
326	32	6	43.2	33.5	47.5	44.2
327	32	7	43.2	33.5	42.3	33.1
329	32	9	43.2	33.5	43.4	33.6
331	33	1	46.4	33.5	61.9	33.6
332	33	2	46.4	33.5	61.9	33.6
333	33	3	46.4	33.5	45.8	33.6
334	33	4	46.4	33.5	46.6	33.6
335	33	5	46.4	33.5	46.6	33.6
336	33	6	46.4	33.5	49.9	44.2
337	33	7	46.4	33.5	46	33.1
339	33	9	46.4	33.5	46.6	33.6
341	34	1	37.4	33.5	61.9	33.6
342	34	2	37.4	33.5	61.9	33.6
343	34	3	37.4	33.5	51.9	33.6
344	34	4	37.4	33.5	37.6	33.6
345	34	5	37.4	33.5	37.6	33.6
346	34	6	37.4	33.5	47.5	44.2
347	34	7	37.4	33.5	37.6	33.1
349	34	9	37.4	33.5	37.6	33.6
351	35	1	36.3	32.1	61.9	30.8
352	35	2	36.3	32.1	61.9	30.8
353	35	3	36.3	32.1	51.9	30.8
354	35	4	36.3	32.1	36.8	30.8
355	35	5	36.3	32.1	36.8	30.8
356	35	6	36.3	32.1	47.5	44.2
357	35	7	36.3	32.1	36.8	30.8
359	35	9	36.3	32.1	36.8	30.8
361	36	1	39.7	28.2	61.9	28.6
362	36	2	39.7	28.2	61.9	28.6
363	36	3	39.7	28.2	51.9	28.6
364	36	4	39.7	28.2	40	28.6
365	36	5	39.7	28.2	40	28.6
366	36	6	39.7	28.2	50.5	44.2
367	36	7	39.7	28.2	39.6	28.6
369	36	9	39.7	28.2	40	28.6
371	37	1	41.1	33.5	61.9	33.6
372	37	2	41.1	33.5	61.9	33.6
373	37	3	41.1	33.5	51.9	33.6
