OCC	LEMPST	HCS	WCS
100	0	85.6	67.9
100	1	85.6	64.5
100	2	85.6	64.5
100	3	85.6	64.5
100	4	85.6	64.5
100	5	85.6	64.5
100	6	85.6	67.9
100	7	85.6	64.5
100	8	85.6	64.5
100	9	85.6	67.9
101	0	71.5	64.5
101	1	71.5	64.5
101	2	71.5	64.5
101	3	71.5	64.5
101	4	71.5	64.5
101	5	71.5	64.5
101	6	71.5	64.5
101	7	71.5	64.5
101	8	71.5	64.5
101	9	71.5	64.5
102	0	70.7	63
102	1	70.7	63
102	2	70.7	63
102	3	70.7	63
102	4	70.7	63
102	5	70.7	63
102	6	70.7	63
102	7	70.7	63
102	8	70.7	63
102	9	70.7	63
103	0	69.3	67.9
103	1	69.3	67.9
103	2	69.3	67.9
103	3	69.3	67.9
103	4	69.3	67.9
103	5	69.3	67.9
103	6	69.3	67.9
103	7	69.3	67.9
103	8	69.3	67.9
103	9	69.3	67.9
110	0	59.49	57.72
110	1	59.4	57.7
110	2	59.4	57.7
110	3	59.4	57.7
110	4	59.4	57.7
110	5	59.4	57.7
110	6	59.49	57.72
110	7	59.4	57.7
110	8	40	59.5
110	9	59.9	57.7
111	0	58.11	49
111	1	61.74	49
111	2	58.6	49
111	3	64.5	49
111	4	64.5	49
111	5	58.1	49
111	6	57.8	49
111	7	58.1	49
111	8	58.1	49
111	9	57.8	49
112	0	55.44	56.7
112	1	58.6	56.7
112	2	58.6	56.7
112	3	55.4	56.7
112	4	55.4	56.7
112	5	55.4	56.7
112	6	55.4	56.7
112	7	55.4	56.7
112	8	55.4	56.7
112	9	55.4	56.7
113	0	66.2	57.7
113	1	66.2	56.7
113	2	66.2	56.7
113	3	66.2	56.7
113	4	66.2	56.7
113	5	66.2	56.7
113	6	66.2	57.7
113	7	66.2	56.7
113	8	66.2	56.7
113	9	66.2	57.7
120	0	76.4	70.7
120	1	76.4	70.7
120	2	76.4	70.7
120	3	76.4	70.7
120	4	76.4	70.7
120	5	76.4	70.7
120	6	76.4	70.7
120	7	76.4	70.7
120	8	76.4	70.7
120	9	76.4	70.7
121	0	65.94	64.32
121	1	68.53	78.81
121	2	67.7	83.5
121	3	69.71	63.6
121	4	69.6	63.6
121	5	74.5	64.6
121	6	65.8	63.6
121	7	66	64.6
121	8	66	64.6
121	9	65.8	63.6
122	0	61.5	63.6
122	1	61.5	77.93
122	2	61.5	83.5
122	3	61.5	67.2
122	4	61.5	67.2
122	5	61.5	67.2
122	6	61.5	63.6
122	7	61.5	67.2
122	8	61.5	67.2
122	9	61.5	63.6
123	0	71.06	80.34
123	1	68.82	82.58
123	2	67.7	83.5
123	3	71.4	80
123	4	71.4	80
123	5	71.4	80
123	6	71.4	80
123	7	71.4	80
123	8	71.4	80
123	9	71.4	80
124	0	70.4	66.1
124	1	70.4	66.1
124	2	70.4	66.1
124	3	70.4	66.1
124	4	70.4	66.1
124	5	70.4	66.1
124	6	70.4	66.1
124	7	70.4	66.1
124	8	70.4	66.1
124	9	70.4	66.1
125	0	70.4	66.1
125	1	68.44	77.93
125	2	67.7	83.5
125	3	69.6	67.2
125	4	69.6	67.2
125	5	69.6	67.2
125	6	70.4	66.1
125	7	68.4	67.2
125	8	68.4	67.2
125	9	70.4	66.1
126	0	69.9	62.8
126	1	69.9	62.8
126	2	69.9	62.8
126	3	69.9	62.8
126	4	69.9	62.8
126	5	69.9	62.8
126	6	69.9	62.8
126	7	69.9	62.8
126	8	69.9	62.8
126	9	69.9	62.8
127	0	70.04	67.89
127	1	63.7	65.75
127	2	63.7	62.9
127	3	70.1	68
127	4	70.1	68
127	5	70.1	68
127	6	70.1	68
127	7	70.1	68
127	8	70.1	68
127	9	70.1	68
130	0	58.5	54.7
130	1	58.5	54.7
130	2	58.5	54.7
130	3	58.5	54.7
130	4	58.5	54.7
130	5	58.5	54.7
130	6	58.5	54.7
130	7	58.5	54.7
130	8	58.5	54.7
130	9	58.5	54.7
131	0	65.1	58.8
131	1	65.1	58.8
131	2	65.1	58.8
131	3	65.1	58.8
131	4	65.1	58.8
131	5	65.1	58.8
131	6	65.1	58.8
131	7	65.1	58.8
131	8	65.1	58.8
131	9	65.1	58.8
132	0	64.1	59.5
132	1	64.1	59.5
132	2	64.1	59.5
132	3	64.1	59.5
132	4	64.1	59.5
