SOC2000	UKEMPST	STDEMPST	MCAMSIS	FCAMSIS	NS_SEC	OPERCAT	RNS_SEC	ROPERCAT	RGSC	SEG	NREMPST
1	-3	2	62.95	60.3	-999	-999	-999	-999	-999	-999	-999
1	-2	4	65.59	60.21	-999	-999	-999	-999	-999	-999	-999
1	-1	6	62.09	59.39	-999	-999	-999	-999	-999	-999	-999
1	0	0	62.44	59.58	-999	-999	-999	-999	-999	-999	-999
1	1	-1	66.95	59.84	-999	-999	-999	-999	-999	-999	-999
1	2	-2	64.23	60.21	-999	-999	-999	-999	-999	-999	-999
1	3	3	61.33	59.82	-999	-999	-999	-999	-999	-999	-999
1	4	-3	62.33	59.39	-999	-999	-999	-999	-999	-999	-999
1	5	-4	62.33	59.39	-999	-999	-999	-999	-999	-999	-999
1	6	-5	61.26	59.43	-999	-999	-999	-999	-999	-999	-999
1	7	-6	62.21	60.04	-999	-999	-999	-999	-999	-999	-999
2	-3	2	74.12	78.92	-999	-999	-999	-999	-999	-999	-999
2	-2	4	73.04	76.9	-999	-999	-999	-999	-999	-999	-999
2	-1	6	72.98	78.68	-999	-999	-999	-999	-999	-999	-999
2	0	0	73.04	78.74	-999	-999	-999	-999	-999	-999	-999
2	1	-1	73.05	75.36	-999	-999	-999	-999	-999	-999	-999
2	2	-2	73	76.9	-999	-999	-999	-999	-999	-999	-999
2	3	3	74.95	79.16	-999	-999	-999	-999	-999	-999	-999
2	4	-3	73.12	75.88	-999	-999	-999	-999	-999	-999	-999
2	5	-4	73.12	75.88	-999	-999	-999	-999	-999	-999	-999
2	6	-5	72.75	76.87	-999	-999	-999	-999	-999	-999	-999
2	7	-6	72.92	78.67	-999	-999	-999	-999	-999	-999	-999
3	-3	2	66.4	68.45	-999	-999	-999	-999	-999	-999	-999
3	-2	4	64.25	65.89	-999	-999	-999	-999	-999	-999	-999
3	-1	6	62.25	64.93	-999	-999	-999	-999	-999	-999	-999
3	0	0	62.76	65.45	-999	-999	-999	-999	-999	-999	-999
3	1	-1	65.28	65.96	-999	-999	-999	-999	-999	-999	-999
3	2	-2	63.21	65.89	-999	-999	-999	-999	-999	-999	-999
3	3	3	67.25	69.3	-999	-999	-999	-999	-999	-999	-999
3	4	-3	65.38	66.1	-999	-999	-999	-999	-999	-999	-999
3	5	-4	65.38	66.1	-999	-999	-999	-999	-999	-999	-999
3	6	-5	62.73	64.91	-999	-999	-999	-999	-999	-999	-999
