SOC2000	HJTCS	WJTCS
1111	82.4	70.6
1112	72	66.3
1113	71.7	64.4
1114	71.4	70.2
1121	58.3	54.8
1122	58.5	49.6
1123	66.3	55.6
1131	71.4	67.1
1132	64.2	64.1
1133	62.1	64.8
1134	70.4	79.2
1135	70.8	66.6
1136	70.3	64
1137	69.9	74.3
1141	63	61.4
1142	64	61.1
1151	65.5	60.4
1152	64	62.7
1161	55.8	54.4
1162	49.5	46.7
1163	59.2	50.1
1171	77.6	63.6
1172	60.2	63.7
1173	68.5	59.3
1174	59	61.3
1181	61.4	63.4
1182	73.4	79.3
1183	63.7	62.3
1184	69.9	63
1185	61.4	55.7
1211	58.2	58.6
1212	61.4	68.5
1219	58.9	72.8
1221	59.1	53
1222	61.3	60.1
1223	53.4	47
1224	48.2	39.1
1225	60.9	67.5
1226	74.8	61.7
1231	68.1	71.2
1232	57.3	47.2
1233	60.6	48.1
1234	58.1	49.4
1235	50.1	52.9
1239	60.1	58.5
2111	73	83.8
2112	75.6	81
2113	84.4	83.8
2121	65.6	79.8
2122	67.6	80.7
2123	67.5	75.4
2124	68.4	81
2125	79.3	75.8
2126	65.4	82.4
2127	55.4	80.7
2128	59.2	58.1
2129	64.3	82.3
2131	78.8	79.4
2132	76.4	77.8
2211	86.3	88.3
2212	95	87
2213	75	81.6
2214	75	81.6
2215	84.3	99
2216	88.6	81.6
2311	82.1	90.7
2312	62.6	78.9
2313	79.2	88.3
2314	71.6	81.8
2315	66.4	74.5
2316	67.2	74.9
2317	81.2	74.1
2319	67.8	71.2
2321	78.5	77.8
2322	74.3	64.6
2329	67.9	73.6
2411	82.6	90.2
2419	82.9	91.2
2421	73	76
2422	67.7	76
2423	77.7	74.5
2431	79.7	87.3
2432	88.1	72.3
2433	71.1	87.3
2434	66.8	71.9
2441	70.4	69.7
2442	74.7	56.5
2443	74.8	56.5
2444	82.5	87
2451	72.3	72.1
2452	75.6	86.4
3111	62.8	63.7
3112	49	56.2
3113	49.9	62.2
3114	56.2	82.3
3115	54.3	59.4
3119	52.9	58.8
3121	67.2	87.3
3122	58.7	68.5
3123	61.5	81.9
3131	69.6	71.4
3132	70	72.7
3211	51.9	61.3
3212	58.6	66.5
3213	45.5	41.4
3214	59.8	74
3215	50.4	62.2
3216	59.9	77.1
3217	50.4	64.7
3218	51.2	61.3
3221	59.9	80.1
3222	80.4	77.1
3223	80.4	77.1
3229	73.7	74.3
3231	63.8	59.9
3232	64.5	60.1
3311	44.2	56
3312	56	56.1
3313	52.2	74
3314	48	74
3319	62.5	55.4
3411	71.2	71.7
3412	74.3	84.3
3413	70.4	67.7
3414	71	70.3
3415	70.5	74.9
3416	71.8	68.6
3421	67.5	67.8
3422	64.8	74.9
3431	74.9	85.3
3432	72.9	71.6
3433	70.5	78.3
3434	64.2	64.5
3441	70.7	75.2
3442	68.2	72.9
3443	69.7	72.3
3449	70.7	75.2
3511	73.3	69.2
3512	75.2	70.2
3513	56.1	64.6
3514	36.1	31.3
3520	63.1	63.9
3531	61.3	63.3
3532	64.9	62.7
3533	63.6	60.8
3534	66.9	62.1
3535	69.7	70.6
3536	60.4	69.1
3537	67.4	69.9
3539	65.9	66.6
3541	56.4	62.9
3542	58.2	59
3543	67.7	70.9
3544	68.1	72.6
3551	70.6	75
3552	40	40.9
3561	69.9	69.4
3562	65.8	67.3
3563	57.6	68.8
3564	57.7	69.2
3565	56.7	67.5
3566	64.9	66.7
3567	58.6	69.3
3568	68.2	57.8
4111	65.3	61.2
4112	52	51.1
4113	60.7	57.5
4114	71.4	70
4121	58.9	54.1
4122	59.4	54
4123	55.7	52.3
4131	51.6	58.7
4132	58.2	54.8
4133	43.3	45.8
4134	52.6	55.3
4135	51.5	66.6
4136	53.2	48.9
4137	54.1	54.9
4141	51.4	50
4142	51	48.5
4150	54.3	53.9
4211	61.5	65.3
4212	61.5	53.6
4213	51.5	58.8
4214	67.7	66.7
4215	63.3	62.4
4216	51.2	55.2
4217	59.9	53
5111	55.2	56.1
5112	49.5	54.8
5113	43.3	60.8
5119	50.5	60.8
5211	35.5	22.5
5212	20.2	22.5
5213	39.1	22.5
5214	34.3	22.5
5215	33.5	31
5216	43.5	39.6
5221	34.3	31.2
5222	42.7	30
5223	40.7	30.3
5224	45.5	37.6
5231	43.6	47.2
5232	39.9	47.2
5233	55.3	47.3
5234	35.5	33.2
