isco08	es	gb_csm	gb_csf
110	0	72.7	57.21
110	1	72.7	57.21
110	2	72.7	57.21
110	3	72.7	57.21
110	4	72.7	57.21
110	5	72.7	57.21
210	0	47.2	48.23
210	1	47.2	48.23
210	2	47.2	48.23
210	3	47.2	48.23
210	4	47.2	48.23
210	5	47.2	48.23
310	0	47.2	48.23
310	1	47.2	48.23
310	2	47.2	48.23
310	3	47.2	48.23
310	4	47.2	48.23
310	5	47.2	48.23
1111	0	73.5	75.52
1111	1	73.5	75.52
1111	2	73.5	75.52
1111	3	73.5	75.52
1111	4	73.5	75.52
1111	5	73.5	75.52
1112	0	73.5	75.52
1112	1	73.5	75.52
1112	2	73.5	75.52
1112	3	73.5	75.52
1112	4	73.5	75.52
1112	5	73.5	75.52
1113	0	73.5	75.52
1113	1	73.5	75.52
1113	2	73.5	75.52
1113	3	73.5	75.52
1113	4	73.5	75.52
1113	5	73.5	75.52
1114	0	73.5	75.52
1114	1	73.5	75.52
1114	2	73.5	75.52
1114	3	73.5	75.52
1114	4	73.5	75.52
1114	5	73.5	75.52
1120	0	73.5	75.52
1120	1	73.5	75.52
1120	2	73.5	75.52
1120	3	73.5	75.52
1120	4	73.5	75.52
1120	5	73.5	75.52
1211	0	61.38	69.41
1211	1	62.67	69.39
1211	2	59.53	69.35
1211	3	62.16	69.34
1211	4	61.22	69.44
1211	5	55.71	69.47
1212	0	61.58	72.27
1212	1	60.86	72.27
1212	2	60.82	72.27
1212	3	61.68	72.27
1212	4	61.68	72.27
1212	5	61.68	72.27
1213	0	69.65	72.34
1213	1	60.86	72.34
1213	2	60.82	72.34
1213	3	69.65	72.34
1213	4	68.23	72.34
1213	5	69.65	72.34
1221	0	67.92	73.79
1221	1	58.64	73.79
1221	2	67.25	73.79
1221	3	67.92	73.79
1221	4	67.92	73.79
1221	5	67.92	73.79
1222	0	66.96	90.28
1222	1	58.64	90.28
1222	2	67.25	90.28
1222	3	67.84	90.28
1222	4	67.84	90.28
1222	5	67.84	90.28
1223	0	77.06	68.37
1223	1	77.06	68.37
1223	2	77.06	68.37
1223	3	77.06	68.37
1223	4	77.06	68.37
1223	5	77.06	68.37
1311	0	49.45	46.63
1311	1	49.47	46.63
1311	2	49.46	46.63
1311	3	49.46	46.63
1311	4	49.44	46.63
1311	5	49.46	46.63
1312	0	49.45	46.63
1312	1	49.47	46.63
1312	2	49.46	46.63
1312	3	49.46	46.63
1312	4	49.44	46.63
1312	5	49.46	46.63
1321	0	56.37	58.83
1321	1	59.69	58.83
1321	2	69.33	58.83
1321	3	56.37	58.83
1321	4	56.37	58.83
1321	5	56.37	58.83
1322	0	49.65	57.83
1322	1	60.96	57.83
1322	2	58.77	57.83
1322	3	48.92	57.83
1322	4	48.92	57.83
1322	5	49.65	57.83
1323	0	57.7	59.45
1323	1	63.67	66.09
1323	2	57.91	67.6
1323	3	57.38	67.3
1323	4	57.36	68.01
1323	5	57.38	67.5
1324	0	53.79	46.41
1324	1	58.13	44.97
1324	2	56.72	45.96
1324	3	53.48	45.66
1324	4	53.38	44.86
1324	5	53.52	46.2
1330	0	67.09	72.34
1330	1	60.86	72.34
1330	2	60.82	72.34
1330	3	67.09	72.34
1330	4	67.09	72.34
1330	5	67.09	72.34
1341	0	61.82	58.97
1341	1	62.28	58.97
1341	2	61.33	58.97
1341	3	61.8	58.97
1341	4	61.8	58.97
1341	5	61.8	58.97
1342	0	63.89	63.07
1342	1	63.89	63.07
1342	2	63.89	63.07
1342	3	63.89	63.07
1342	4	63.89	63.07
1342	5	63.89	63.07
1343	0	50.5	47.17
1343	1	50.5	47.17
1343	2	50.5	47.17
1343	3	50.5	47.17
1343	4	50.5	47.17
1343	5	50.5	47.17
1344	0	56.61	61.45
1344	1	56.61	61.45
1344	2	56.61	61.45
1344	3	56.61	61.45
1344	4	56.61	61.45
1344	5	56.61	61.45
1345	0	74.57	66.12
1345	1	74.57	66.12
1345	2	74.57	66.12
1345	3	74.57	66.12
1345	4	74.57	66.12
1345	5	74.57	66.12
1346	0	65.32	58.78
1346	1	68.12	58.78
1346	2	62.38	58.78
1346	3	65.24	58.78
1346	4	65.24	58.78
1346	5	65.24	58.78
1349	0	60.01	57.21
1349	1	60.01	57.21
1349	2	60.01	57.21
1349	3	60.01	57.21
1349	4	60.01	57.21
1349	5	60.01	57.21
1411	0	39.98	40
1411	1	43.32	41.85
1411	2	53.53	57.55
1411	3	40.04	35.65
1411	4	39.83	35.46
1411	5	40.93	36.19
1412	0	42.46	36.27
1412	1	41.22	40.01
1412	2	44.49	48.07
1412	3	38.43	37.2
1412	4	38.6	37.14
1412	5	38.27	37.26
1420	0	55.51	45.4
