soc2010	es	gb_csm	gb_csf
1115	0	73.5	75.52
1115	1	73.5	75.52
1115	2	73.5	75.52
1115	3	73.5	75.52
1115	4	73.5	75.52
1115	5	73.5	75.52
1116	0	73.5	75.52
1116	1	73.5	75.52
1116	2	73.5	75.52
1116	3	73.5	75.52
1116	4	73.5	75.52
1116	5	73.5	75.52
1121	0	56.37	58.83
1121	1	59.69	58.83
1121	2	69.33	58.83
1121	3	56.37	58.83
1121	4	56.37	58.83
1121	5	56.37	58.83
1122	0	57.74	57.83
1122	1	60.96	57.83
1122	2	58.77	57.83
1122	3	57.74	57.83
1122	4	57.74	57.83
1122	5	57.74	57.83
1123	0	49.65	57.83
1123	1	60.96	57.83
1123	2	58.77	57.83
1123	3	48.92	57.83
1123	4	48.92	57.83
1123	5	49.65	57.83
1131	0	66.78	68.3
1131	1	68.12	68.3
1131	2	62.38	68.3
1131	3	66.78	68.3
1131	4	66.78	68.3
1131	5	66.78	68.3
1132	0	67.92	73.79
1132	1	58.64	73.79
1132	2	67.25	73.79
1132	3	67.92	73.79
1132	4	67.92	73.79
1132	5	67.92	73.79
1133	0	56.66	68.16
1133	1	68.12	68.16
1133	2	62.38	68.16
1133	3	56.33	68.16
1133	4	56.33	68.16
1133	5	56.33	68.16
1134	0	66.96	90.28
1134	1	58.64	90.28
1134	2	67.25	90.28
1134	3	67.84	90.28
1134	4	67.84	90.28
1134	5	67.84	90.28
1135	0	61.58	72.27
1135	1	60.86	72.27
1135	2	60.82	72.27
1135	3	61.68	72.27
1135	4	61.68	72.27
1135	5	61.68	72.27
1136	0	67.09	72.34
1136	1	60.86	72.34
1136	2	60.82	72.34
1136	3	67.09	72.34
1136	4	67.09	72.34
1136	5	67.09	72.34
1139	0	69.65	72.34
1139	1	60.86	72.34
1139	2	60.82	72.34
1139	3	69.65	72.34
1139	4	68.23	72.34
1139	5	69.65	72.34
1150	0	65.32	58.78
1150	1	68.12	58.78
1150	2	62.38	58.78
1150	3	65.24	58.78
1150	4	65.24	58.78
1150	5	65.24	58.78
1161	0	51.57	35.54
1161	1	54.07	35.54
1161	2	54.07	35.54
1161	3	51.27	35.54
1161	4	51.27	35.54
1161	5	51.27	35.54
1162	0	53.15	35.54
1162	1	54.07	35.54
1162	2	54.07	35.54
1162	3	53.12	35.54
1162	4	53.12	35.54
1162	5	53.12	35.54
1171	0	72.7	57.21
1171	1	72.7	57.21
1171	2	72.7	57.21
1171	3	72.7	57.21
1171	4	72.7	57.21
1171	5	72.7	57.21
1172	0	55.22	57.21
1172	1	55.22	57.21
1172	2	55.22	57.21
1172	3	55.22	57.21
1172	4	55.22	57.21
1172	5	55.22	57.21
1173	0	60.01	57.21
1173	1	60.01	57.21
1173	2	60.01	57.21
1173	3	60.01	57.21
1173	4	60.01	57.21
1173	5	60.01	57.21
1181	0	63.89	63.07
1181	1	63.89	63.07
1181	2	63.89	63.07
1181	3	63.89	63.07
1181	4	63.89	63.07
1181	5	63.89	63.07
1184	0	56.61	61.45
1184	1	56.61	61.45
1184	2	56.61	61.45
1184	3	56.61	61.45
1184	4	56.61	61.45
1184	5	56.61	61.45
1190	0	55.51	45.4
1190	1	62.34	52.13
1190	2	64.47	68.51
1190	3	55.51	45.4
1190	4	55.51	45.4
1190	5	55.51	45.4
1211	0	49.6	46.63
1211	1	49.6	46.63
1211	2	49.6	46.63
1211	3	49.6	46.63
1211	4	49.6	46.63
1211	5	49.6	46.63
1213	0	49.29	46.63
1213	1	49.29	46.63
1213	2	49.29	46.63
1213	3	49.29	46.63
1213	4	49.29	46.63
1213	5	49.29	46.63
1221	0	49.37	50.58
1221	1	43.32	41.85
1221	2	53.53	57.55
1221	3	49.37	41.36
1221	4	49.59	41.36
1221	5	49.37	41.36
1223	0	43.07	36.09
1223	1	43.32	41.85
1223	2	53.53	57.55
1223	3	41.55	36.09
1223	4	41.55	36.09
1223	5	41.55	36.09
1224	0	31.49	30.42
1224	1	43.32	41.85
1224	2	53.53	57.55
1224	3	31.49	30.42
1224	4	31.49	30.42
1224	5	31.49	30.42
1225	0	49.51	49.07
1225	1	43.32	41.85
1225	2	53.53	57.55
1225	3	50.03	47.67
1225	4	50.03	47.67
1225	5	50.03	47.67
1226	0	47.44	47.01
1226	1	43.32	41.85
1226	2	53.53	57.55
1226	3	50.03	47.67
1226	4	50.03	47.67
1226	5	47.44	47.67
1241	0	50.5	47.17
1241	1	50.5	47.17
1241	2	50.5	47.17
1241	3	50.5	47.17
1241	4	50.5	47.17
1241	5	50.5	47.17
1242	0	50.5	47.17
1242	1	50.5	47.17
1242	2	50.5	47.17
1242	3	50.5	47.17
1242	4	50.5	47.17
1242	5	50.5	47.17
1251	0	59.93	62.11
1251	1	72.06	68.67
1251	2	66.51	68.67
1251	3	55.13	62.11
1251	4	55.13	62.11
1251	5	55.13	62.11
1252	0	59.04	68.07
1252	1	62.96	68.67
1252	2	62.96	68.67
1252	3	56.18	62.11
1252	4	56.18	68.07
1252	5	59.04	68.07
1253	0	66.01	53.1
1253	1	56.08	53.1
1253	2	66.01	53.1
1253	3	53.59	53.1
1253	4	53.59	53.1
1253	5	58.76	53.1
1254	0	46.38	54.57
1254	1	43.88	50.62
1254	2	55.69	56.45
1254	3	46.38	54.57
1254	4	46.38	54.57
1254	5	46.38	54.57
1255	0	52.41	57.21
1255	1	56.08	57.21
1255	2	66.01	57.21
1255	3	50.42	57.21
1255	4	50.42	57.21
1255	5	50.42	57.21
1259	0	53.59	57.21
1259	1	56.08	57.21
1259	2	66.01	57.21
1259	3	53.59	57.21
1259	4	53.59	57.21
1259	5	53.59	57.21
2111	0	72.93	72.24
2111	1	72.93	72.24
2111	2	72.93	72.24
2111	3	67.52	72.24
2111	4	76.84	72.24
2111	5	76.84	72.24
2112	0	67.32	76.11
2112	1	67.32	79.47
2112	2	70.16	74.09
2112	3	63.81	79.47
2112	4	70.16	74.09
2112	5	70.16	74.09
2113	0	72.66	80.43
2113	1	72.68	80.43
2113	2	72.66	80.43
2113	3	72.71	80.43
2113	4	72.66	80.43
2113	5	72.66	80.43
2114	0	82.5	80.43
2114	1	82.5	80.43
2114	2	77.36	80.43
2114	3	92.04	80.43
2114	4	82.5	80.43
2114	5	77.36	80.43
2119	0	83.13	80.43
2119	1	92.04	80.43
2119	2	77.36	80.43
2119	3	92.04	80.43
2119	4	77.36	80.43
2119	5	77.36	80.43
2121	0	64.1	78.74
2121	1	65.79	78.74
2121	2	62.76	78.74
2121	3	65.79	78.74
2121	4	62.76	78.74
2121	5	62.76	78.74
2122	0	52.81	78.74
2122	1	57.44	78.74
2122	2	49.62	78.74
2122	3	57.44	78.74
2122	4	49.62	78.74
2122	5	49.62	78.74
2123	0	54.63	52.15
2123	1	61.4	52.15
2123	2	51.22	52.15
2123	3	61.4	52.15
2123	4	51.22	52.15
2123	5	51.22	52.15
2124	0	52.03	52.15
2124	1	55.69	52.15
2124	2	50.61	52.15
2124	3	55.69	52.15
2124	4	50.61	52.15
2124	5	50.61	52.15
2126	0	64.96	52.15
2126	1	68.54	52.15
2126	2	63.41	52.15
2126	3	68.54	52.15
2126	4	63.41	52.15
2126	5	63.41	52.15
2127	0	54.88	52.15
2127	1	58.28	52.15
2127	2	52.85	52.15
2127	3	58.28	52.15
2127	4	52.85	52.15
2127	5	52.85	52.15
2129	0	53.27	52.15
2129	1	56.02	52.15
2129	2	51.29	52.15
2129	3	56.02	52.15
2129	4	51.29	52.15
2129	5	51.29	52.15
2133	0	61.67	65.9
2133	1	66.24	65.9
2133	2	61.67	65.9
2133	3	66.24	65.9
2133	4	61.67	65.9
2133	5	61.67	65.9
2134	0	67.27	78.12
2134	1	67.22	78.12
2134	2	67.35	78.12
2134	3	67.22	78.12
2134	4	67.35	78.12
2134	5	67.35	78.12
2135	0	63.39	53.6
2135	1	71.15	53.6
2135	2	59.45	53.6
2135	3	71.15	53.6
2135	4	59.45	53.6
2135	5	59.45	53.6
