soc2020	empst3	mcamsis	fcamsis	isei	siops	icam	ns_sec	isco88	isco08	mcam_se	fcam_se	n_hbst3	n_wbst3
1	0	61.14	59.75	59.73	56.41	60.27							
2	0	62.78	63.15	75.45	60.36	71.30							
3	0	54.92	55.99	56.88	49.20	59.79							
4	0	47.85	40.70	49.58	40.62	55.34							
5	0	38.19	42.11	31.51	38.09	40.08							
6	0	36.13	38.34	32.33	33.32	45.22							
7	0	40.86	35.76	40.26	36.78	49.99							
8	0	29.77	26.25	27.51	33.02	35.31							
9	0	27.35	25.71	19.36	23.91	30.93							
11	0	63.95	63.06	66.48	60.87	63.90							
12	0	55.24	53.90	53.60	52.35	57.13							
21	0	60.98	66.57	79.21	60.13	72.69							
22	0	64.35	58.06	74.72	61.36	69.69							
23	0	70.15	65.07	70.73	65.22	67.19							
24	0	61.75	64.96	74.63	57.84	73.01							
31	0	50.51	52.99	53.72	48.33	54.22							
32	0	53.41	50.44	48.70	48.62	57.31							
33	0	49.10	50.39	41.80	38.37	44.72							
34	0	64.96	67.61	60.63	50.56	68.30							
35	0	55.61	56.27	63.33	51.26	61.47							
41	0	47.78	40.73	49.63	39.06	54.54							
42	0	50.07	40.58	49.44	45.09	57.63							
51	0	42.05	50.69	32.20	47.36	44.16							
52	0	38.29	42.13	36.49	40.75	43.04							
53	0	37.30	41.05	25.86	34.83	36.59							
54	0	36.67	39.45	28.56	34.07	37.31							
61	0	35.93	38.41	30.30	33.30	45.77							
62	0	36.14	37.90	35.56	34.15	45.93							
63	0	40.03	43.07	30.87	28.85	36.72							
71	0	39.18	34.50	39.12	34.79	47.34							
72	0	44.93	38.76	42.73	41.10	55.72							
81	0	30.93	26.89	27.29	34.37	34.45							
82	0	29.08	24.39	27.90	30.60	36.81							
91	0	28.69	21.85	15.73	24.54	27.17							
92	0	26.95	26.08	20.48	23.72	32.08							
111	0	71.08	73.83	73.76	65.42	70.83							
112	0	60.20	61.97	62.29	59.22	60.13							
113	0	69.24	66.32	70.56	57.60	66.04							
114	0	60.26	52.79	58.07	57.21	67.11							
115	0	51.09	49.00	51.56	45.13	56.18							
116	0	63.28	56.42	63.65	66.23	60.13							
117	0	63.37	59.04	65.01	73.51	60.13							
121	0	55.78	56.10	49.48	61.15	41.54							
122	0	49.04	50.33	46.71	41.79	56.18							
123	0	47.05	44.75	62.67	65.28	59.49							
124	0	46.33	43.24	58.07	57.21	67.11							
125	0	62.44	61.05	53.83	50.33	57.04							
211	0	73.74	71.39	82.46	65.42	74.04							
212	0	56.66	59.36	79.19	62.00	73.00							
213	0	60.24	63.65	75.83	53.54	73.31							
214	0	64.36	69.27	79.74	63.19	67.44							
215	0	64.38	71.25	80.46	62.66	70.25							
216	0	70.54	70.46	81.19	57.51	72.51							
221	0	75.07	78.44	85.31	78.01	78.56							
222	0	69.89	67.29	78.83	64.52	72.69							
223	0	46.65	47.86	68.70	52.90	63.20							
224	0	72.21	70.62	84.14	61.00	78.56							
225	0	59.53	62.30	72.27	61.95	69.34							
231	0	70.63	65.83	72.70	62.01	70.55							
232	0	67.32	61.22	67.58	70.36	61.79							
241	0	71.45	69.46	84.83	71.87	80.43							
242	0	58.54	63.08	76.27	58.45	68.40							
243	0	65.69	69.10	74.17	54.11	71.00							
244	0	57.65	62.26	70.09	55.80	68.40							
245	0	57.46	66.66	74.20	58.48	70.43							
246	0	62.72	54.42	70.71	53.91	76.06							
