gh_occ	gho_m	gho_f
1	99	84
2	88.32	76.51
3	87.77	74.94
4	85.91	76.06
5	48.35	86.89
6	48.35	96.09
7	64.97	81.54
8	96.28	99
9	96.28	84.02
11	99	99
12	67.08	87.68
13	79.43	83.44
14	70.64	89.48
15	70.05	85.43
16	70.05	85.43
17	70.05	85.43
18	85.86	83.44
19	97.31	81.6
20	80.8	90.45
21	99	95.29
30	56.73	93.5
31	56.73	93.5
32	66.74	95.64
33	72.71	85.06
34	68.33	90.29
35	36.59	63.16
36	52.3	63.16
37	65.39	90.29
38	66.86	90.29
39	64.76	90.29
40	95.76	70.33
41	99	57.94
42	64.06	83.99
43	93.01	61.51
44	85.47	96.49
45	69.27	64.47
46	74.57	70.77
47	65.4	62.09
48	59.05	57.77
49	50.49	58.23
50	67.37	99
51	67.37	74.53
52	46.02	71.95
53	54.02	62.2
54	44.86	54.84
55	44.86	54.84
56	45.68	66.72
57	43.5	69.45
58	50.46	72.57
59	45.87	67.14
60	47.69	38.25
61	47.69	38.25
62	31.79	33.8
63	31.79	33.8
64	45.58	45.86
70	18.16	51.23
71	25.42	49.42
72	7.64	44
73	43.88	58.59
74	1.02	59.27
75	27.02	50.03
76	4.36	60.3
77	4.48	52.16
78	1	56.09
79	36.93	70.73
80	55.2	72.3
81	29.68	35.85
82	27.23	35.85
83	26.94	49.32
84	56.01	61.45
85	62.8	69.85
86	76.23	78.58
87	61.74	55.87
88	55.26	49.32
89	27.01	53
90	52.93	59.26
91	1	44.74
92	78.91	65.32
93	52.3	78.84
94	34.22	44.74
95	38.43	62.45
96	35.35	57.24
97	45.58	56.76
98	43.66	70.14
99	26.68	57.24
