OCC	HITCS	WITCS
100	68.4	63.2
101	68.7	61.3
102	64.9	71
103	68.3	71
110	68.4	70.4
111	67.3	70.4
120	69.5	89
121	68.9	68
122	64.7	68
124	69.7	81.6
126	71.9	92.9
130	63.2	62.7
131	73.4	69.7
132	65.9	62.6
139	67.6	61.6
140	59.3	90.3
141	54.5	90.3
150	60.2	60
152	60.2	60
160	59.9	57.1
171	61.7	53.4
173	59.7	56.2
174	58.5	49.7
175	60.4	56.2
176	64.8	62.9
177	62.1	62.9
178	59	53.4
179	64.2	53.6
191	70.3	59.8
199	70.3	59.8
200	69.9	99
201	72.9	79.1
202	72.2	90.9
209	71	99
210	73.6	70.2
211	65.3	70.2
212	66.9	70.2
214	69.9	70.2
215	61	99
216	46.7	70.2
219	70.4	70.2
220	77.5	99
221	71	93.7
223	80.3	99
224	73.7	99
230	76.5	76
233	65.9	69.3
234	51.7	63
239	46.4	70.1
240	72.6	99
242	78.5	99
250	71.1	71.9
252	72.8	99
260	72.5	70.2
270	69.5	70.2
290	71	92
292	71.9	92
293	70.1	92
300	56.4	67.2
301	49.6	67.5
302	50.4	67.5
303	52.1	67.5
309	52.7	75.1
310	50.2	60.1
312	60.9	60.1
313	53.6	60.1
320	65.8	68.1
331	60.1	60.1
332	60.1	60.1
340	41.7	56
342	41.7	57.7
343	41.7	83.7
346	41.7	71.9
347	41.7	82.1
349	41.7	57.7
350	57.9	60.1
361	68.1	75.7
363	59.7	75.7
371	56	57.1
380	71.9	91.1
381	64.4	87.6
384	57.1	99
386	53	89.7
387	34	67.4
390	68.1	86.8
391	46	58.1
394	51	62.2
396	59.5	62.2
399	66	62.2
400	58.8	51.3
401	54.6	51.2
410	60.2	53.9
411	62.8	55.3
412	61.5	54.6
430	54.2	51.6
441	38.3	44.2
459	67.7	53.5
460	47.8	51.2
462	47.8	50.9
490	51.7	48.9
500	34.3	27
501	34.7	27
502	34.3	27
503	37.4	27
504	45.4	27
506	37.3	27
507	33.2	27
509	35.8	27
515	44.1	27
516	47.2	27
517	50.3	27
519	47.2	27
521	47	27
523	48.8	27
524	43.7	27
525	48.1	27
526	53.6	27
529	50.9	27
530	35.9	27
532	39.2	27
533	32	27
537	33.3	27
540	39.9	27
541	33.5	27
550	30.7	32.6
553	29.4	25.3
554	54.7	25.4
555	30.9	24.1
556	29.3	24.1
559	31.9	25.4
561	43.3	43.7
569	37.2	32.8
570	41	27
571	44.3	27
579	39.2	27
580	29.6	41.7
581	30.6	28.4
582	30.4	32.6
590	32.2	27.7
594	35.6	36
595	48	67.8
599	48.7	25.3
600	25.8	38.5
610	58.7	19.4
611	47	19.4
612	50.4	19.4
615	31.5	19.4
619	50.3	19.4
620	35.6	37.4
621	14.1	31.6
622	34.3	32.1
630	50.3	80.7
640	29.6	36
644	43.9	38.9
650	42.4	44.6
652	42.4	42.3
660	51.9	45.4
670	25.5	31.5
672	26.1	33.9
673	19.1	30.8
690	41.9	35.8
700	58.6	64.4
702	58.6	64.4
710	59.2	58.5
719	61.8	63.4
720	43	43
731	41.8	44.9
732	41.8	44.9
790	54.4	50.8
800	32.9	27.5
802	32.9	27.5
809	32.9	27.5
810	35	27.6
812	35	33.9
814	35	27.2
820	42.5	31
821	29.9	28.3
824	35.2	28.3
825	29.9	24
829	36.4	29.4
830	22.8	29.1
834	22.8	29.1
839	22.8	29.1
840	34.1	32
841	43.4	35.6
850	39.3	31
851	29.8	28.8
860	40.8	32.4
862	27.8	23.8
871	42.7	67.5
872	36.7	67.5
873	39.5	67.5
874	39.5	67.5
880	36.5	29.1
881	33.2	29.1
882	33.2	29.1
885	33.8	29.1
887	29	29.1
889	37.1	29.1
892	27.4	26.6
893	36.6	26.6
895	38.5	26.6
897	32.7	26.6
898	40	26.6
899	31.5	26.6
900	34.4	15.3
901	37.6	13.5
903	39.6	14
904	41	14
913	31.5	31.5
919	29.4	31.5
922	25.7	52.1
923	26.4	52.1
929	25.7	52.1
930	10.3	29.2
931	25	29.2
933	22.7	29.2
934	8.8	29.2
940	36	53.1
951	33.2	28.6
953	41	32.4
955	34.7	27.7
958	36.6	26
959	34.7	27.7
990	24.5	35.1
