cp2001	camsis_it
110	67.88
111	75.2
112	80.18
113	99
114	64.22
120	74.28
121	58.48
122	70.84
123	75.51
130	54.23
131	54.23
210	72.28
211	72.28
220	80.11
221	79.67
222	80.16
230	73.68
231	73.68
240	76.24
241	80.84
242	27.91
250	75.08
251	71.24
252	79.72
253	79.72
254	69.83
255	69.83
256	69.83
260	72.54
261	94.88
262	82.82
263	77.42
264	62.48
265	70.73
310	56.55
311	55.83
312	55.83
313	69.28
314	55.83
315	55.83
320	56.79
321	55.83
322	65.98
330	60.26
331	58.39
332	67.72
333	58.39
334	58.39
340	63.2
341	57.33
342	62.79
343	61.75
344	64.92
345	64.92
346	64.92
410	52.69
411	52.69
412	52.69
413	52.69
414	52.69
420	55.48
421	55.48
422	55.48
510	42.8
511	47.36
512	42.8
513	42.8
520	42.8
521	50.11
522	42.8
531	51.26
541	35.1
550	44
551	45.47
552	36.15
553	43.97
554	43.97
610	30.96
611	38.16
612	30.79
613	30.79
614	30.79
615	24.03
620	37.01
621	37.01
622	37.01
623	37.01
624	37.01
625	45.6
630	44.64
631	49.52
632	40.54
633	46.37
634	40.84
640	37.75
641	37.37
642	37.37
643	37.37
644	37.37
645	43.35
650	34.18
651	34.18
652	34.18
653	34.18
654	34.18
661	51.04
710	35.36
711	41.81
712	712
713	713
714	714
715	44.12
716	42.34
717	35.65
720	31.9
721	34.06
722	34.72
723	25.75
724	27.92
725	22.55
726	31.75
727	32.83
728	27.64
730	36.79
731	34.46
732	36.79
740	35.84
741	48.86
742	34.37
743	34.37
744	34.37
745	29.11
810	32.76
811	43.26
812	32.41
820	45.8
821	45.8
822	27.68
831	38.34
832	38.34
840	23.32
841	38.34
842	22.69
843	22.69
844	26.98
850	28.83
851	28.83
852	28.83
860	26.23
861	26.23
862	26.23
863	26.23
900	53.83
991	42.61
992	42.19
