    1 51.8      -999 -999
   10 66.7 63.0   55   51
   11 71.9 82.6   70   67
   12 75.6 82.6   68   60
   13 58.2 52.5   51   50
   20 77.7 78.3   70   62
   21 81.8 77.0   69   63
   22 81.8 77.0   80   70
   23 68.9 77.4   69   61
   24 77.7 80.4   68   60
   30 59.3 64.0   54   48
   31 59.2 58.2   50   48
   32 68.5 54.7   48   51
   33 55.3 65.1   38   50
   34 58.6 67.7   55   48
   40 51.5 53.0   45   37
   41 50.6 54.5   45   37
   42 56.4 46.2   49   39
   50 43.2 41.2   40   32
   51 43.0 41.4   38   32
   52 43.8 41.0   43   31
   60 44.2 55.5   23   37
   61 44.2 55.5   23   38
   70 35.7 37.6   34   38
   71 32.1 37.6   31   34
   72 39.7 37.6   34   40
   73 51.2 37.6   34   39
   74 36.2 37.6   33   33
   80 39.7 38.2   31   34
   81 44.2 38.2   30   36
   82 38.9 38.2   32   34
   83 39.1 38.2   32   33
   90 40.0 32.2   20   21
   91 50.4 31.9   25   23
   92 31.9 42.6   16   23
   93 33.8 42.6   23   18
