mx_occ	mxo_m	mxo_f
1	81.17	63.31
2	84.65	63.31
3	73.53	63.31
4	73.53	63.31
5	73.53	63.31
6	73.53	63.31
7	73.53	63.31
8	95.43	63.31
9	73.53	63.31
10	69.86	63.31
11	69.86	63.31
12	69.86	63.31
13	69.86	63.31
14	69.86	63.31
15	69.86	63.31
16	69.86	63.31
17	69.86	63.31
20	77.96	69.58
21	76.91	69.58
22	77.96	69.58
23	77.96	69.58
24	77.96	69.58
25	77.96	69.58
27	77.96	69.58
28	77.57	69.58
30	70.34	70.34
31	70.34	70.34
32	70.34	70.34
33	66.55	70.34
34	70.34	63.31
35	70.34	81.67
40	79.49	77.14
41	79.49	77.14
42	79.49	77.14
43	79.49	77.14
44	79.49	77.14
50	69.65	55.53
51	69.65	55.53
60	83.95	90.11
61	83.95	90.96
62	83.95	90.11
63	69.65	63.31
64	69.65	63.31
65	73.7	63.31
66	69.65	63.31
67	69.65	63.31
68	69.65	63.31
80	70.96	63.31
84	70.96	63.31
85	70.96	63.31
89	70.96	63.31
91	69.65	67.35
101	71.77	67.38
102	71.77	67.38
110	57.15	67.38
111	57.15	67.38
112	57.15	67.38
120	57.15	67.38
122	57.15	67.38
132	57.15	67.38
133	57.15	67.38
141	57.15	69.89
142	57.15	69.89
143	57.15	69.89
144	57.15	69.89
145	57.15	69.89
146	57.15	69.89
147	57.15	69.89
151	70.96	60.91
152	70.96	60.91
160	57.15	60.91
161	57.15	60.91
163	57.15	60.91
171	59.97	60.91
172	59.97	63.31
173	59.97	61.31
180	57.15	67.38
181	57.15	67.38
182	57.15	67.38
200	82.74	82.18
201	82.74	82.18
202	82.74	82.18
209	82.74	82.18
211	73.58	82.18
212	73.58	82.18
213	80.55	82.18
214	68.55	82.18
215	75.07	82.18
216	68.55	75.84
221	67.71	74.15
222	67.71	74.15
231	68.55	82.18
240	68.55	82.18
241	68.55	82.18
250	66.49	65.39
251	66.49	65.39
252	66.49	65.39
253	66.49	65.39
261	68.55	34.56
301	67.61	68.4
302	66.66	61.75
303	66.66	61.75
304	66.66	61.75
310	51.86	64.36
311	51.86	64.36
321	57.11	62.34
322	57.11	62.34
323	57.11	62.34
331	58.14	65.71
332	58.14	65.71
333	58.14	65.71
341	68.79	69.87
342	52.73	69.05
345	68.79	54.52
349	61.38	61.03
391	58.14	49.49
401	51.73	43.25
402	51.73	45.97
403	51.05	45.97
404	47.88	29.5
405	51.73	45.97
411	74.12	65.26
412	68.61	65.26
413	68.61	65.26
414	68.61	65.26
501	43.55	60.91
502	43.55	60.91
510	46.62	38.36
511	46.21	38.36
512	46.21	38.36
513	47.27	60.91
520	47.53	23.18
521	47.53	39.71
522	47.53	23.18
531	43.54	53.78
532	43.54	53.78
533	43.54	53.78
541	46.96	49.86
542	44.74	36.23
543	44.74	36.23
551	51.75	60.91
552	51.75	60.91
553	51.75	60.91
561	51.75	60.91
562	51.75	60.91
563	51.75	60.91
564	51.75	60.91
565	51.75	60.91
566	51.75	60.91
569	51.75	60.91
571	57.97	60.91
572	57.97	60.91
573	57.97	60.91
581	51.75	60.91
582	51.75	60.91
583	51.75	60.91
591	40.92	37.46
592	40.92	37.46
593	40.92	37.46
594	40.92	37.46
595	40.92	37.46
596	40.92	37.46
597	40.92	37.46
599	40.92	37.46
600	33.72	45.72
601	33.72	45.72
602	33.72	45.72
603	33.72	45.72
609	33.72	45.72
610	33.72	45.72
611	33.72	45.72
612	33.72	45.72
613	33.72	45.72
621	33.72	45.72
631	33.72	45.72
701	47.84	32.19
702	47.84	32.19
703	47.84	32.19
711	41.84	32.19
712	41.84	32.19
713	41.84	32.19
728	41.84	32.19
729	41.84	32.19
731	41.84	32.19
732	41.84	32.19
733	41.84	32.19
740	42.8	32.19
741	42.8	32.19
742	42.8	32.19
744	42.8	32.19
745	42.8	32.19
749	42.8	32.19
751	33.56	25.23
752	33.56	25.23
754	33.56	25.23
755	33.56	25.23
756	33.56	25.23
757	33.56	25.23
759	33.56	25.23
760	41.84	32.19
761	41.84	32.19
762	41.84	32.19
763	41.84	32.19
771	41.84	12.09
772	41.84	19.6
773	41.84	19.6
774	38.82	19.6
775	41.84	19.6
776	41.84	31.33
777	41.84	19.6
778	41.84	19.6
779	27.67	19.78
781	41.84	32.19
782	41.84	32.19
789	41.84	32.19
790	41.09	32.19
791	42.51	32.19
792	42.51	32.19
793	42.51	48.5
794	37.16	32.19
799	42.51	32.19
801	38.49	32.2
802	35.94	32.2
803	35.94	32.2
811	35.13	32.2
812	41.4	32.2
813	48.42	32.2
814	41.4	32.2
815	41.4	32.2
816	41.4	32.2
817	41.4	32.2
818	41.4	32.2
821	49.27	32.2
822	49.27	32.2
823	55.22	32.2
824	49.27	32.2
825	49.27	32.2
826	49.27	32.2
831	53.28	40.53
832	53.28	40.53
833	53.28	40.53
834	53.28	40.53
835	53.28	40.53
836	53.28	40.53
837	53.28	40.53
839	53.28	40.53
841	49.27	34.39
842	49.27	34.39
851	55.61	32.2
852	47.07	32.2
853	47.07	32.2
854	47.07	32.2
861	49.27	32.2
871	32.11	32.2
872	32.11	32.2
873	32.11	32.2
879	32.11	32.2
881	52.45	32.2
882	52.45	32.2
891	49.27	32.2
900	54.38	47.69
901	54.38	47.69
902	54.38	47.69
903	54.38	47.69
904	54.38	47.69
905	54.38	47.69
906	54.38	47.69
909	54.38	47.69
910	34.25	39.15
911	34.25	39.15
912	34.25	39.15
913	34.25	39.15
914	43.71	39.15
915	34.25	39.15
916	35.76	39.15
918	38.22	39.15
919	27.87	39.15
920	34.25	47.06
921	34.25	47.06
922	34.25	47.06
930	34.09	33.8
931	28.43	33.8
932	34.09	33.8
933	28.43	33.8
934	28.43	33.8
935	46.26	33.8
936	28.43	33.8
940	29.54	7.95
941	29.54	7.95
942	29.54	7.95
943	29.54	7.95
944	29.54	33.21
949	29.54	7.95
950	36.58	47.06
959	36.58	47.06
