ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
0	0	45.25	-999	-999	-999
0	1	45.25	-999	-999	-999
0	6	45.25	-999	-999	-999
1	0	64.58	54.84	-999	-999
1	1	56.27	48.61	-999	-999
1	6	72.12	64.33	-999	-999
2	0	86.55	74.49	-999	-999
2	1	94.3	99	-999	-999
2	6	83.69	73.17	-999	-999
3	0	62.04	60.77	-999	-999
3	1	77.35	78.89	-999	-999
3	6	60.69	59.13	-999	-999
4	0	51.28	56.53	-999	-999
4	1	54.19	76.53	-999	-999
4	6	51.25	55.09	-999	-999
5	0	52.44	46.09	-999	-999
5	1	64.9	65.98	-999	-999
5	6	49.41	44.01	-999	-999
6	0	45.09	37.67	-999	-999
6	1	45.35	37.61	-999	-999
6	6	39.07	43.81	-999	-999
7	0	43.54	39.38	-999	-999
7	1	72.9	58.19	-999	-999
7	6	41.05	38.56	-999	-999
8	0	41.3	36.51	-999	-999
8	1	64.86	53.87	-999	-999
8	6	39.44	35.87	-999	-999
9	0	37.16	38.01	-999	-999
9	1	45.26	49.31	-999	-999
9	6	37.03	37.88	-999	-999
10	0	64.58	54.84	-999	-999
10	1	56.27	48.61	-999	-999
10	6	72.12	64.33	-999	-999
11	0	85.02	93.82	-999	-999
11	1	85.02	93.82	-999	-999
11	6	85.02	93.82	-999	-999
12	0	64.58	54.84	-999	-999
12	1	56.27	48.61	-999	-999
12	6	72.12	64.33	-999	-999
13	0	64.36	54.68	-999	-999
13	1	56.27	48.61	-999	-999
13	6	71.85	64.01	-999	-999
20	0	86.55	74.49	-999	-999
20	1	94.3	99	-999	-999
20	6	83.69	73.17	-999	-999
21	0	95.13	99	-999	-999
21	1	98.95	99	-999	-999
21	6	91.43	99	-999	-999
22	0	83.5	62.74	-999	-999
22	1	91.79	99	-999	-999
22	6	74.37	59.04	-999	-999
23	0	86.15	78.08	-999	-999
23	1	90.11	79.4	-999	-999
23	6	86.11	78.08	-999	-999
24	0	87.64	79.69	-999	-999
24	1	95.65	99	-999	-999
24	6	81.5	76.33	-999	-999
30	0	62.04	60.77	-999	-999
30	1	77.35	78.89	-999	-999
30	6	60.69	59.13	-999	-999
31	0	66.54	66.54	-999	-999
31	1	82.93	64.59	-999	-999
31	6	64.48	66.63	-999	-999
32	0	55.76	53.92	-999	-999
32	1	57.16	81.38	-999	-999
32	6	55.7	52.18	-999	-999
33	0	62.04	60.77	-999	-999
33	1	77.35	78.89	-999	-999
33	6	60.69	59.13	-999	-999
34	0	59.88	62.64	-999	-999
34	1	72.91	78.87	-999	-999
34	6	58.97	60.95	-999	-999
40	0	51.28	56.53	-999	-999
40	1	54.19	76.53	-999	-999
40	6	51.25	55.09	-999	-999
41	0	50.56	56.89	-999	-999
41	1	53.89	77.06	-999	-999
41	6	50.52	55.3	-999	-999
42	0	58.01	53.65	-999	-999
42	1	58.49	57.26	-999	-999
42	6	58.01	53.59	-999	-999
50	0	52.44	46.09	-999	-999
50	1	64.9	65.98	-999	-999
50	6	49.41	44.01	-999	-999
51	0	48.78	42.59	-999	-999
51	1	48.24	53.31	-999	-999
51	6	48.82	41.54	-999	-999
52	0	56.11	48.06	-999	-999
52	1	68.41	72.53	-999	-999
52	6	50.23	45.41	-999	-999
60	0	45.09	37.67	-999	-999
60	1	45.35	37.61	-999	-999
60	6	39.07	43.81	-999	-999
61	0	45.1	37.67	-999	-999
61	1	45.35	37.61	-999	-999
61	6	39.07	43.81	-999	-999
62	0	39.07	37.67	-999	-999
62	1	39.07	37.61	-999	-999
62	6	39.07	43.81	-999	-999
70	0	43.54	39.38	-999	-999
70	1	72.9	58.19	-999	-999
70	6	41.05	38.56	-999	-999
