isco88	empst3	mcamsis	fcamsis
1	0	78.42547	71.60659
1	1	73.86257	62.95773
1	2	68.56784	61.66029
1	3	82.81843	78.51543
2	0	88.27313	84.00986
2	1	91.68899	88.47282
2	2	91.68899	88.47282
2	3	88.17502	83.88062
3	0	62.09507	60.73248
3	1	64.30427	66.3362
3	2	64.30427	66.3362
3	3	62.04538	60.67773
4	0	57.16976	55.04516
4	1	57.00381	54.33902
4	2	57.00381	54.33902
4	3	57.17055	55.04747
5	0	53.34974	45.37329
5	1	53.4643	49.77098
5	2	53.4643	49.77098
5	3	53.34378	45.2398
6	0	43.36299	37.84915
6	1	43.70957	37.80545
6	2	43.70957	37.80545
6	3	43.05353	37.85937
7	0	42.21964	41.37214
7	1	39.63766	41.0109
7	2	39.63766	41.0109
7	3	42.3635	41.37735
8	0	44.31096	41.26391
8	1	47.11488	43.57917
8	2	47.11488	43.57917
8	3	44.21463	41.25746
9	0	37.99185	39.56935
9	1	35.56108	37.3806
9	2	35.56108	37.3806
9	3	38.21903	39.68424
10	0	78.42547	71.60659
10	1	73.86257	62.95773
10	2	68.56784	61.66029
10	3	82.81843	78.51543
11	0	76.64885	82.49641
11	1	73.86257	62.95773
11	2	68.56784	61.66029
11	3	76.64885	82.49641
12	0	85.97482	80.68176
12	1	87.32201	78.96001
12	2	68.56784	61.66029
12	3	85.84866	80.77354
13	0	73.14622	63.32341
13	1	72.80819	62.07856
13	2	68.56784	61.66029
13	3	75.31592	68.32629
20	0	88.27313	84.00986
20	1	91.68899	88.47282
20	2	91.68899	88.47282
20	3	88.17502	83.88062
21	0	90.61258	85.73132
21	1	92.89482	89.27346
21	2	92.89482	89.27346
21	3	90.57971	85.70024
22	0	93.6662	90.61103
22	1	93.22993	91.34296
22	2	93.22993	91.34296
22	3	93.70383	90.53304
23	0	85.40662	80.20494
23	1	84.30982	82.21886
23	2	84.30982	82.21886
23	3	85.40858	80.20293
24	0	85.02067	84.07549
24	1	90.40698	85.67767
24	2	90.40698	85.67767
24	3	84.77861	84.01083
25	0	91.27589	88.30641
25	2	90.57358	88.47282
25	3	91.27859	88.30641
30	0	62.09507	60.73248
30	1	64.30427	66.3362
30	2	64.30427	66.3362
30	3	62.04538	60.67773
31	0	59.43497	57.1721
31	1	61.78041	60.13113
31	2	61.78041	60.13113
31	3	59.41537	57.16468
32	0	58.2938	61.66709
32	1	72.62798	70.09193
32	2	72.62798	70.09193
32	3	57.87883	61.57648
33	0	64.89506	61.98126
33	1	65.19309	66.3362
33	2	65.19309	66.3362
33	3	64.88396	61.98126
34	0	65.93296	61.40014
34	1	62.57494	65.46165
34	2	62.57494	65.46165
34	3	66.04917	61.32882
40	0	57.16976	55.04516
40	1	57.00381	54.33902
40	2	57.00381	54.33902
40	3	57.17055	55.04747
41	0	56.9693	55.47503
41	1	56.8803	54.33902
41	2	56.8803	54.33902
41	3	56.96972	55.47942
42	0	59.01199	53.86682
42	1	58.02722	54.33902
42	2	58.02722	54.33902
42	3	59.01709	53.86605
50	0	53.34974	45.37329
50	1	53.4643	49.77098
50	2	53.4643	49.77098
50	3	53.34378	45.2398
51	0	52.84687	45.92089
51	1	56.18536	50.72536
51	2	56.18536	50.72536
51	3	52.74033	45.77709
52	0	54.80202	44.91723
52	1	51.10526	48.9957
52	2	51.10526	48.9957
52	3	55.22661	44.79198
60	0	43.36299	37.84915
60	1	43.70957	37.80545
60	2	43.70957	37.80545
60	3	43.05353	37.85937
61	0	43.36299	37.84915
61	1	43.70957	37.80545
61	2	43.70957	37.80545
61	3	43.05353	37.85937
62	0	43.36299	37.84915
62	1	43.70957	37.80545
62	2	43.70957	37.80545
62	3	43.05353	37.85937
70	0	42.21964	41.37214
70	1	39.63766	41.0109
70	2	39.63766	41.0109
70	3	42.3635	41.37735
71	0	39.01072	40.76486
71	1	36.99516	39.76343
71	2	36.99516	39.76343
71	3	39.26198	40.80621
72	0	43.5395	43.47817
72	1	42.31104	42.64228
72	2	42.31104	42.64228
72	3	43.5694	43.48368
73	0	46.95817	44.51086
73	1	51.00771	44.56546
73	2	51.00771	44.56546
73	3	46.53515	44.50936
74	0	40.90249	40.58392
74	1	40.68346	40.58051
74	2	40.68346	40.58051
74	3	40.92333	40.58397
75	0	42.21964	41.37214
75	1	39.63766	41.0109
75	2	39.63766	41.0109
75	3	42.3635	41.37735
80	0	44.31096	41.26391
80	1	47.11488	43.57917
80	2	47.11488	43.57917
80	3	44.21463	41.25746
81	0	41.29259	43.05029
81	1	37.50047	41.16026
81	2	37.50047	41.16026
81	3	41.31364	43.05284
82	0	45.16638	40.79041
82	1	48.26466	42.16512
82	2	48.26466	42.16512
82	3	45.07232	40.78764
83	0	44.64484	42.31133
83	1	47.34599	46.36724
83	2	47.34599	46.36724
83	3	44.51126	42.23901
84	0	44.31096	41.26391
84	1	47.11488	43.57917
84	2	47.11488	43.57917
84	3	44.21463	41.25746
88	0	49.19251	48.66673
88	3	49.19251	48.66673
90	0	37.99185	39.56935
90	1	35.56108	37.3806
90	2	35.56108	37.3806
90	3	38.21903	39.68424
91	0	39.61451	39.43878
91	1	41.99585	37.50297
91	2	41.99585	37.50297
91	3	39.49087	39.55244
92	0	34.33623	37.68458
92	1	32.9598	36.31897
92	2	32.9598	36.31897
92	3	34.71705	37.86266
93	0	38.05273	40.6321
93	1	34.84856	40.81807
93	2	34.84856	40.81807
93	3	38.27542	40.63007
100	0	78.42547	71.60659
100	1	73.86257	62.95773
100	2	68.56784	61.66029
