ro_occ	roo_m	roo_f
111	73.2373428344727	84.5805053710938
114	73.2373428344727	84.5805053710938
121	86.6709976196289	84.0088958740234
122	77.8030242919922	81.3312683105469
123	77.3870086669922	79.3540115356445
131	65.6717834472656	63.461368560791
211	87.5112686157227	91.7892913818359
212	80.4324645996094	87.1459274291992
213	91.6259307861328	91.3504104614258
214	83.47314453125	80.4685897827148
215	84.548454284668	86.6091690063477
216	79.7716674804688	84.0778579711914
221	83.8859100341797	85.0249710083008
222	87.8512191772461	92.1578674316406
231	96.0628814697266	91.8087310791016
232	75.508544921875	80.1575164794922
233	80.0917358398438	75.5102005004883
234	75.508544921875	80.1575164794922
235	75.508544921875	93.9141311645508
241	84.2850646972656	86.2436904907227
242	80.3136749267578	85.8885040283203
243	89.1956481933594	87.4452590942383
244	82.1438522338867	85.2837600708008
245	82.0089416503906	79.7612380981445
246	74.9691543579102	85.2837600708008
247	77.323974609375	84.0207061767578
248	82.1438522338867	85.2837600708008
251	85.9582443237305	90.6216659545898
254	87.494987487793	90.6216659545898
311	56.3441734313965	59.9598159790039
312	69.3909606933594	63.7866630554199
313	64.3545837402344	58.7967376708984
314	68.1311798095703	68.2280349731445
315	53.618034362793	48.0985984802246
316	48.6291236877441	52.0572891235352
317	49.5557441711426	58.1286010742188
321	49.6796875	50.9165649414063
322	61.6824684143066	63.0954132080078
323	61.6824684143066	55.3536643981934
331	68.6273422241211	65.0992279052734
332	60.379150390625	61.3223114013672
333	60.379150390625	58.645923614502
334	60.379150390625	61.0567779541016
341	66.0822830200195	61.5382385253906
342	64.6701202392578	63.4606323242188
343	63.1309585571289	62.4062843322754
344	67.227180480957	63.7044792175293
345	61.0260047912598	62.4062843322754
346	56.0279502868652	50.0418014526367
347	65.5767822265625	68.7181549072266
348	54.8051414489746	70.6506423950195
411	70.1174240112305	62.5395202636719
412	64.0684661865234	61.9915542602539
413	53.1209526062012	50.824161529541
414	48.3679695129395	52.9752044677734
419	59.1643981933594	61.9428291320801
421	55.4418258666992	54.7172508239746
422	61.1178283691406	53.5696105957031
511	46.429141998291	49.2352752685547
512	58.9566040039063	49.5521621704102
513	47.9286994934082	40.4711952209473
514	46.4712562561035	47.9072380065918
516	48.5607414245605	50.6513214111328
522	53.5820808410645	46.7778129577637
611	39.0117568969727	35.8592643737793
612	32.4709777832031	36.1400413513184
613	37.0796165466309	37.4063415527344
614	33.454231262207	42.2952613830566
615	35.0306663513184	37.4063415527344
711	40.2069091796875	42.1222190856934
712	36.7510643005371	42.6511268615723
713	42.6931610107422	45.3460731506348
714	39.5053977966309	38.132511138916
721	41.9792594909668	44.2143592834473
722	41.681827545166	42.6044082641602
723	42.9021148681641	45.6056518554688
724	47.8313140869141	47.0248489379883
731	53.5191268920898	51.7208938598633
732	40.8619232177734	43.6410064697266
733	47.516845703125	40.8753471374512
734	46.0472030639648	45.9356422424316
741	41.9767265319824	41.4333877563477
742	40.1672248840332	40.7390937805176
743	43.6066436767578	40.5096855163574
744	38.9874229431152	39.990966796875
811	38.267204284668	44.1733016967773
812	42.1131744384766	44.7012252807617
813	39.1426467895508	40.813793182373
814	36.1547813415527	40.7124061584473
815	44.5320320129395	44.1799621582031
816	43.3878440856934	45.1762504577637
817	43.3878440856934	44.1799621582031
821	40.7907257080078	42.2091255187988
822	43.4474334716797	42.4540634155273
823	41.4513359069824	41.325325012207
824	39.3963623046875	41.5503997802734
825	49.7354698181152	48.023509979248
826	43.1850509643555	39.9714431762695
827	43.5611343383789	41.2350540161133
828	54.0007286071777	41.0642547607422
829	46.779712677002	41.9710807800293
831	43.3052024841309	42.6787528991699
832	45.8043441772461	47.5581970214844
833	36.136833190918	40.2970008850098
834	51.851692199707	40.2970008850098
888	47.9466857910156	39.9714431762695
911	46.8514595031738	44.5962829589844
912	39.3229484558105	37.9612121582031
913	38.1906280517578	37.9612121582031
914	37.3936347961426	40.3046913146973
915	39.3229484558105	45.0023765563965
916	35.8696670532227	36.4470520019531
921	40.3447151184082	38.5571174621582
931	36.0586471557617	40.8836441040039
932	39.7134895324707	40.7499313354492
933	38.2418746948242	40.8112869262695
