ISCO88	MCAMSIS	FCAMSIS	ISEI	TREI
0	62.5	63.5	-999	-999
1	72.23	55.9	-999	-999
2	78.09	70.01	-999	-999
3	59.61	50.95	-999	-999
4	59.32	46.57	-999	-999
5	55.74	44.23	-999	-999
6	55	36.9	-999	-999
7	43.52	38.35	-999	-999
8	40.77	37.91	-999	-999
9	41.28	36.3	-999	-999
10	72.23	55.9	-999	-999
11	83	52.3	-999	-999
12	83	55.6	-999	-999
13	71.7	56.35	-999	-999
20	78.09	70.01	-999	-999
21	79.71	73.71	-999	-999
22	82.08	74.14	-999	-999
23	72.73	68.92	-999	-999
24	75.57	65.87	-999	-999
30	59.61	50.95	-999	-999
31	55.2	46.82	-999	-999
32	68.55	48.84	-999	-999
33	69.1	54.63	-999	-999
34	61.02	53.32	-999	-999
40	59.32	46.57	-999	-999
41	60.52	45.79	-999	-999
42	51.4	49.93	-999	-999
50	55.74	44.23	-999	-999
51	54.94	43.88	-999	-999
52	59.3	44.53	-999	-999
60	55	36.9	-999	-999
61	55	36.9	-999	-999
62	55	36.9	-999	-999
70	43.52	38.35	-999	-999
71	39.46	32.49	-999	-999
72	45.14	43.1	-999	-999
73	56.4	34.6	-999	-999
74	40.24	40.58	-999	-999
80	40.77	37.91	-999	-999
81	31.93	34.75	-999	-999
82	45.55	40.29	-999	-999
83	40.67	33.86	-999	-999
90	41.28	36.3	-999	-999
91	43.58	35.79	-999	-999
92	42.88	36.9	-999	-999
93	38.87	37.07	-999	-999
100	72.23	55.9	-999	-999
110	62.5	63.5	-999	-999
112	83	52.3	-999	-999
113	83	52.3	-999	-999
114	83	52.3	-999	-999
120	83	55.6	-999	-999
121	83	55.6	-999	-999
122	72.2	55.6	-999	-999
123	83	55.6	-999	-999
125	72.2	55.6	-999	-999
130	71.7	56.35	-999	-999
131	71.7	56.35	-999	-999
200	78.09	70.01	-999	-999
210	79.71	73.71	-999	-999
211	78.4	94.4	-999	-999
212	90.1	95.5	-999	-999
213	90.1	95.5	-999	-999
214	79.03	69.74	-999	-999
220	82.08	74.14	-999	-999
221	73.9	61.6	-999	-999
222	84.09	78.27	-999	-999
223	80.3	51.6	-999	-999
230	72.73	68.92	-999	-999
231	79.7	81.6	-999	-999
232	65.8	66.2	-999	-999
233	71.6	64.3	-999	-999
234	71.6	54	-999	-999
235	65	54	-999	-999
240	75.57	65.87	-999	-999
241	72.3	50.2	-999	-999
242	95	52.3	-999	-999
243	71.5	56	-999	-999
244	71.5	77.3	-999	-999
245	68.5	99	-999	-999
246	68.5	66.7	-999	-999
249	75.5	99	-999	-999
300	59.61	50.95	-999	-999
310	55.2	46.82	-999	-999
311	60.4	41.94	-999	-999
312	55.1	63.8	-999	-999
313	55.1	63.8	-999	-999
314	53.19	46.6	-999	-999
315	54.1	46.6	-999	-999
320	68.55	48.84	-999	-999
321	60.4	41.72	-999	-999
322	69.1	46.64	-999	-999
323	69.1	50.64	-999	-999
324	69.1	49.1	-999	-999
330	69.1	54.63	-999	-999
331	59.7	76.5	-999	-999
332	59.7	51.7	-999	-999
333	59.7	76.5	-999	-999
334	69.1	76.5	-999	-999
340	61.02	53.32	-999	-999
341	59.7	66.6	-999	-999
342	55.85	54.2	-999	-999
343	64.4	52.6	-999	-999
344	64.4	50	-999	-999
345	70.2	50	-999	-999
346	69.1	76.5	-999	-999
347	56.4	43.7	-999	-999
400	59.32	46.57	-999	-999
410	60.52	45.79	-999	-999
411	51.4	55.89	-999	-999
412	51.4	43.5	-999	-999
413	63.8	44.53	-999	-999
414	51.4	32.1	-999	-999
419	51.4	49.1	-999	-999
420	51.4	49.93	-999	-999
421	51.4	49.9	-999	-999
422	51.4	50.08	-999	-999
500	55.74	44.23	-999	-999
510	54.94	43.88	-999	-999
511	59.3	47.9	-999	-999
512	59.3	37.67	-999	-999
513	69.1	51.7	-999	-999
514	59.3	47.9	-999	-999
515	54.5	44.5	-999	-999
516	54.52	63.5	-999	-999
520	59.3	44.53	-999	-999
522	59.3	44.4	-999	-999
523	59.3	45.7	-999	-999
600	55	36.9	-999	-999
610	55	36.9	-999	-999
611	55	36.9	-999	-999
612	55	36.9	-999	-999
613	55	36.9	-999	-999
614	55	36.9	-999	-999
615	55	36.9	-999	-999
620	55	36.9	-999	-999
621	55	36.9	-999	-999
700	43.52	38.35	-999	-999
710	39.46	32.49	-999	-999
711	29.7	27.8	-999	-999
712	40.2	27.8	-999	-999
713	38.84	29.97	-999	-999
714	32.1	37.3	-999	-999
720	45.14	43.1	-999	-999
721	36.91	36.6	-999	-999
722	49.1	36.6	-999	-999
723	47.63	40.1	-999	-999
724	48.56	48	-999	-999
726	43.3	45	-999	-999
730	56.4	34.6	-999	-999
731	56.4	34.6	-999	-999
732	56.4	34.6	-999	-999
733	56.4	34.6	-999	-999
734	56.4	34.6	-999	-999
740	40.24	40.58	-999	-999
741	34.4	33.1	-999	-999
742	36.03	47.7	-999	-999
743	45	45.29	-999	-999
744	45	42.94	-999	-999
800	40.77	37.91	-999	-999
810	31.93	34.75	-999	-999
811	27.7	31	-999	-999
812	28.5	31	-999	-999
813	31.8	34.7	-999	-999
814	28.5	31	-999	-999
815	34.1	36	-999	-999
816	34.1	36	-999	-999
817	42.1	35.5	-999	-999
820	45.55	40.29	-999	-999
821	42.35	35.5	-999	-999
822	43.2	35.5	-999	-999
823	43.2	35.5	-999	-999
824	42.1	35.5	-999	-999
825	42.1	35.5	-999	-999
826	45	34.6	-999	-999
827	43.2	30.7	-999	-999
828	49.25	39.8	-999	-999
829	45.1	53.1	-999	-999
830	40.67	33.86	-999	-999
831	41.32	41.6	-999	-999
832	41.33	41.6	-999	-999
833	36.59	30.3	-999	-999
834	68.4	41.6	-999	-999
900	41.28	36.3	-999	-999
910	43.58	35.79	-999	-999
911	43.7	45.7	-999	-999
913	51.4	35.9	-999	-999
914	51.4	34.6	-999	-999
915	41.1	39.58	-999	-999
916	42.9	23.9	-999	-999
920	42.88	36.9	-999	-999
921	42.88	36.9	-999	-999
930	38.87	37.07	-999	-999
931	45	37.1	-999	-999
932	43.51	37.07	-999	-999
933	31.52	37.1	-999	-999
1000	72.23	55.9	55	51
1100	83	52.3	70	67
1120	83	52.3	77	71
1130	83	52.3	66	63
1140	83	52.3	58	63
1141	83	52.3	58	63
1142	83	52.3	58	63
1143	83	52.3	58	63
1200	83	55.6	68	60
1210	83	55.6	70	70
1220	72.2	55.6	67	63
1221	72.2	55.6	67	60
1222	72.2	55.6	67	60
1223	72.2	55.6	67	60
1224	72.2	55.6	59	60
1225	72.2	55.6	59	60
1226	72.2	55.6	59	60
1227	72.2	55.6	87	60
1228	72.2	55.6	59	60
1229	72.2	55.6	67	60
1230	83	55.6	61	60
1231	72.2	55.6	69	60
1232	72.2	55.6	69	60
1233	72.2	55.6	56	60
1234	72.2	55.6	69	60
1235	72.2	55.6	69	60
1236	72.2	55.6	69	60
1237	72.2	55.6	69	60
1239	83	55.6	69	60
1250	72.2	55.6	64	65
1251	72.2	55.6	70	73
1252	72.2	55.6	60	63
1300	71.7	56.35	51	50
1310	71.7	56.35	51	50
1311	72.7	54.8	43	47
1312	66.6	54.8	56	52
1313	83.6	56.5	51	52
1314	57	58.3	49	46
1315	57	58.3	44	38
1316	57	58.3	51	52
1317	83	58.3	51	52
1318	71.3	56.5	51	52
1319	72.7	54.8	51	52
2000	78.09	70.01	70	62
2100	79.71	73.71	69	63
2110	78.4	94.4	74	69
2111	78.4	94.4	74	75
2112	78.4	94.4	74	72
2113	78.4	94.4	74	69
2114	78.4	94.4	74	67
2120	90.1	95.5	71	56
2121	90.1	95.5	71	69
2122	80.3	95.5	71	55
2130	90.1	95.5	71	51
2131	90.1	74	71	51
2132	90.1	95.5	71	51
2139	90.1	95.5	71	51
2140	79.03	69.74	73	63
2141	80.9	81.9	69	72
2142	80.9	81.9	69	70
2143	93.3	67.4	68	65
