OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS
12	1	2	62.2	70.6	62.2	70.1
14	1	4	62.2	70.6	68.4	77.2
19	1	9	62.2	70.6	62.4	70.4
22	2	2	57.8	54.8	57.5	54.4
24	2	4	57.8	54.8	62.8	62.5
29	2	9	57.8	54.8	57.6	54.4
32	3	2	61.6	57.2	61.4	57
34	3	4	61.6	57.2	62.9	62.5
39	3	9	61.6	57.2	61.5	57
42	4	2	53.7	49.5	53.6	49.5
44	4	4	53.7	49.5	56.9	75.8
49	4	9	53.7	49.5	53.7	49.5
52	5	2	53.7	61.5	53.3	61.4
54	5	4	53.7	61.5	60.2	62.5
59	5	9	53.7	61.5	53.4	61.4
62	6	2	50	51.6	49.6	52.2
64	6	4	50	51.6	77.6	52.2
69	6	9	50	51.6	49.7	52.2
72	7	2	51.1	50.4	50.3	50.3
74	7	4	51.1	50.4	62.2	75.8
79	7	9	51.1	50.4	50.5	51.4
82	8	2	57.8	57.1	57.6	57.1
84	8	4	57.8	57.1	56.7	66.3
89	8	9	57.8	57.1	57.6	57.3
92	9	2	64.3	60.7	63.8	60.2
94	9	4	64.3	60.7	72.7	70.9
99	9	9	64.3	60.7	64.3	60.8
122	12	2	43	55.9	42.7	56.1
124	12	4	43	55.9	62.2	75.5
129	12	9	43	55.9	42.7	56.5
132	13	2	62.6	63.2	62.1	63.1
134	13	4	62.6	63.2	62.1	75.5
139	13	9	62.6	63.2	62.1	63.1
142	14	2	87.6	72	87.1	71.4
144	14	4	87.6	72	81.4	71.4
149	14	9	87.6	72	87.1	71.4
152	15	2	77.3	55.6	76.4	54.4
154	15	4	77.3	55.6	81.4	93.1
159	15	9	77.3	55.6	76.4	54.4
162	16	2	77.7	76.8	78.7	75.6
164	16	4	77.7	76.8	81.4	93.1
169	16	9	77.7	76.8	78.7	75.9
192	19	2	68.8	62.2	78.7	75.6
194	19	4	68.8	62.2	81.4	79.2
199	19	9	77.7	76.8	69.6	62.5
212	21	2	97.5	86.3	95.5	86.5
214	21	4	97.5	86.3	81.4	93.1
219	21	9	97.5	86.3	95.5	86.5
222	22	2	68.2	58.3	68	58.6
224	22	4	68.2	58.3	69.9	62.6
