ISCO	STDEMPST	SEEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
0	0	0	58.9	61.2	-999	-999
0	2	4	65.7	61.2	-999	-999
0	6	2	58.88	61.2	-999	-999
1	0	0	56.65	51.86	-999	-999
1	2	4	49.25	43.37	-999	-999
1	6	2	63.01	57.14	-999	-999
2	0	0	65.09	67.18	-999	-999
2	2	4	72.54	75.06	-999	-999
2	6	2	64.83	66.96	-999	-999
3	0	0	61.41	60.78	-999	-999
3	2	4	67.45	71.77	-999	-999
3	6	2	61.14	60.47	-999	-999
4	0	0	53.4	53.77	-999	-999
4	2	4	56.76	64.38	-999	-999
4	6	2	53.34	53.44	-999	-999
5	0	0	54	41.04	-999	-999
5	2	4	48.33	47.62	-999	-999
5	6	2	54.17	40.83	-999	-999
6	0	0	37.85	33.78	-999	-999
6	2	4	40.92	46.86	-999	-999
6	6	2	37.22	31.37	-999	-999
7	0	0	37.22	30.55	-999	-999
7	2	4	43.42	54.08	-999	-999
7	6	2	36.65	29.42	-999	-999
8	0	0	34.29	27.61	-999	-999
8	2	4	40.74	44.72	-999	-999
8	6	2	33.58	26.62	-999	-999
9	0	0	39.02	29.68	-999	-999
9	2	4	47.58	47.25	-999	-999
9	6	2	38.72	29.17	-999	-999
10	0	0	56.65	51.86	-999	-999
10	2	4	49.25	43.37	-999	-999
10	6	2	63.01	57.14	-999	-999
11	0	0	75.85	69.35	-999	-999
11	2	4	78.75	79.68	-999	-999
11	6	2	75.83	69.27	-999	-999
12	0	0	64.37	54.55	-999	-999
12	2	4	58.88	56.61	-999	-999
12	6	2	64.71	54.49	-999	-999
13	0	0	52.62	45.41	-999	-999
13	2	4	49	42.86	-999	-999
13	6	2	58.18	55.52	-999	-999
20	0	0	65.09	67.18	-999	-999
20	2	4	72.54	75.06	-999	-999
20	6	2	64.83	66.96	-999	-999
21	0	0	59.79	63.25	-999	-999
21	2	4	65.61	75.93	-999	-999
21	6	2	59.66	62.98	-999	-999
22	0	0	94.06	74.11	-999	-999
22	2	4	90.93	83.65	-999	-999
22	6	2	94.26	73.86	-999	-999
23	0	0	62.75	68.61	-999	-999
23	2	4	67.4	76.93	-999	-999
23	6	2	62.62	68.5	-999	-999
24	0	0	70.86	64.58	-999	-999
24	2	4	75.33	73.09	-999	-999
24	6	2	70.59	64.18	-999	-999
30	0	0	61.41	60.78	-999	-999
30	2	4	67.45	71.77	-999	-999
30	6	2	61.14	60.47	-999	-999
31	0	0	58.25	53.23	-999	-999
31	2	4	69.85	61.68	-999	-999
31	6	2	57.8	53.03	-999	-999
32	0	0	60.91	62.44	-999	-999
32	2	4	67.2	74.33	-999	-999
32	6	2	60.46	62.14	-999	-999
33	0	0	61.41	60.78	-999	-999
33	2	4	67.45	71.77	-999	-999
33	6	2	61.14	60.47	-999	-999
34	0	0	63.74	62.1	-999	-999
34	2	4	66.02	72.38	-999	-999
34	6	2	63.64	61.73	-999	-999
40	0	0	53.4	53.77	-999	-999
40	2	4	56.76	64.38	-999	-999
40	6	2	53.34	53.44	-999	-999
41	0	0	52.95	53.6	-999	-999
41	2	4	54.3	64.6	-999	-999
41	6	2	52.94	53.26	-999	-999
42	0	0	61.99	59.94	-999	-999
42	2	4	61.38	59.22	-999	-999
42	6	2	62.07	59.98	-999	-999
50	0	0	54	41.04	-999	-999
50	2	4	48.33	47.62	-999	-999
50	6	2	54.17	40.83	-999	-999
51	0	0	49.79	40.41	-999	-999
51	2	4	45.61	47.96	-999	-999
51	6	2	50.02	40.13	-999	-999
52	0	0	56.84	43.46	-999	-999
52	2	4	56.2	40.9	-999	-999
52	6	2	56.85	43.48	-999	-999
60	0	0	37.85	33.78	-999	-999
60	2	4	40.92	46.86	-999	-999
60	6	2	37.22	31.37	-999	-999
61	0	0	37.85	33.78	-999	-999
61	2	4	40.92	46.86	-999	-999
61	6	2	37.22	31.37	-999	-999
62	0	0	37.85	33.78	-999	-999
62	2	4	40.92	46.86	-999	-999
62	6	2	37.22	31.37	-999	-999
70	0	0	37.22	30.55	-999	-999
70	2	4	43.42	54.08	-999	-999
70	6	2	36.65	29.42	-999	-999
71	0	0	37.53	24.64	-999	-999
71	2	4	42.64	43	-999	-999
71	6	2	36.92	22.29	-999	-999
72	0	0	36.78	30.36	-999	-999
72	2	4	43.06	55.5	-999	-999
72	6	2	36.37	29.88	-999	-999
73	0	0	43.72	36.58	-999	-999
73	2	4	55.5	66.69	-999	-999
73	6	2	42.43	35.08	-999	-999
74	0	0	34.4	28.82	-999	-999
74	2	4	42.3	52.03	-999	-999
74	6	2	33.23	26.85	-999	-999
75	0	0	37.22	30.55	-999	-999
75	2	4	43.42	54.08	-999	-999
75	6	2	36.65	29.42	-999	-999
80	0	0	34.29	27.61	-999	-999
80	2	4	40.74	44.72	-999	-999
80	6	2	33.58	26.62	-999	-999
81	0	0	32.42	24.03	-999	-999
81	2	4	45.94	41.6	-999	-999
81	6	2	32.05	23.61	-999	-999
82	0	0	34.72	26.53	-999	-999
82	2	4	46.08	57.03	-999	-999
82	6	2	34.34	25.93	-999	-999
83	0	0	34.74	34.04	-999	-999
83	2	4	39.79	41.54	-999	-999
83	6	2	33.74	32.35	-999	-999
84	0	0	34.29	27.61	-999	-999
84	2	4	40.74	44.72	-999	-999
84	6	2	33.58	26.62	-999	-999
90	0	0	39.02	29.68	-999	-999
90	2	4	47.58	47.25	-999	-999
90	6	2	38.72	29.17	-999	-999
91	0	0	42.34	30.62	-999	-999
91	2	4	48.98	47.88	-999	-999
91	6	2	42	30.06	-999	-999
92	0	0	39.02	29.68	-999	-999
92	2	4	47.58	47.25	-999	-999
92	6	2	38.72	29.17	-999	-999
93	0	0	33.92	25.7	-999	-999
93	2	4	38.77	40.69	-999	-999
93	6	2	33.86	25.51	-999	-999
99	0	0	39.02	29.68	-999	-999
99	2	4	47.58	47.25	-999	-999
99	6	2	38.72	29.17	-999	-999
100	0	0	56.65	51.86	-999	-999
100	2	4	49.25	43.37	-999	-999
100	6	2	63.01	57.14	-999	-999
110	0	0	58.9	61.2	-999	-999
110	2	4	65.7	61.2	-999	-999
110	6	2	58.88	61.2	-999	-999
111	0	0	75.85	69.35	-999	-999
111	2	4	78.75	79.68	-999	-999
111	6	2	75.83	69.27	-999	-999
112	0	0	75.85	69.35	-999	-999
112	2	4	78.75	79.68	-999	-999
112	6	2	75.83	69.27	-999	-999
113	0	0	75.85	69.35	-999	-999
113	2	4	78.75	79.68	-999	-999
113	6	2	75.83	69.27	-999	-999
114	0	0	75.85	69.35	-999	-999
114	2	4	78.75	79.68	-999	-999
114	6	2	75.83	69.27	-999	-999
120	0	0	64.37	54.55	-999	-999
120	2	4	58.88	56.61	-999	-999
120	6	2	64.71	54.49	-999	-999
121	0	0	67.2	78.18	-999	-999
121	2	4	82.9	89.6	-999	-999
121	6	2	67	78.1	-999	-999
