NYK83	STDEMPST	SEEMPST	MCAMSIS	FCAMSIS
1	0	0	62.42	70.46
1	1	4	68.4	77.2
1	6	2	62.2	70.1
2	0	0	57.59	54.6
2	1	4	62.8	62.5
2	6	2	57.5	54.4
3	0	0	61.42	57.06
3	1	4	62.9	62.5
3	6	2	61.4	57
4	0	0	53.66	50.01
4	1	4	56.9	75.8
4	6	2	53.6	49.5
5	0	0	53.34	61.41
5	1	4	60.2	62.5
5	6	2	53.3	61.4
6	0	0	49.76	52.2
6	1	4	77.6	52.2
6	6	2	49.6	52.2
7	0	0	50.49	50.61
7	1	4	62.2	75.8
7	6	2	50.3	50.3
8	0	0	57.58	57.27
8	1	4	56.7	66.3
8	6	2	57.6	57.1
9	0	0	64.28	60.98
9	1	4	72.7	70.9
9	6	2	63.8	60.2
12	0	0	42.83	56.54
12	1	4	62.2	75.5
12	6	2	42.7	56.1
13	0	0	62.1	63.14
13	1	4	62.1	75.5
13	6	2	62.1	63.1
14	0	0	86.91	71.4
14	1	4	81.4	71.4
14	6	2	87.1	71.4
15	0	0	76.44	55.57
15	1	4	81.4	93
15	6	2	76.4	54.4
16	0	0	78.74	75.76
16	1	4	81.4	93
16	6	2	78.7	75.6
19	0	0	78.84	75.6
19	1	4	81.4	79.1
19	6	2	78.7	75.6
21	0	0	95.15	86.49
21	1	4	81.4	93
21	6	2	95.5	86.4
22	0	0	68.08	58.83
22	1	4	69.9	62.6
22	6	2	68	58.6
23	0	0	63.02	65.43
23	1	4	63.7	62.6
23	6	2	63	65.6
29	0	0	91.97	86.4
29	1	4	81.4	62.6
29	6	2	95.5	86.4
30	0	0	67.2	78.18
30	1	4	82.9	89.6
30	6	2	67	78.1
31	0	0	80.47	88.89
31	1	4	91.8	99
31	6	2	80.1	88.7
32	0	0	65.58	82.19
32	1	4	78.1	89.6
32	6	2	65.4	82.1
33	0	0	59.26	72.18
33	1	4	55.1	81.1
33	6	2	59.3	72.1
34	0	0	61.37	71.67
34	1	4	65	78
34	6	2	61.3	71.5
35	0	0	48.63	74.86
35	1	4	50.6	73.6
35	6	2	48.5	74.9
36	0	0	56.04	60.41
36	1	4	63.6	72.9
36	6	2	56	60.3
37	0	0	61.67	70.28
37	1	4	74.2	88.3
37	6	2	60.8	69.6
39	0	0	55.06	59.48
39	1	4	63.6	62.9
39	6	2	54.8	59.4
41	0	0	68.69	75.29
41	1	4	60.5	62.5
41	6	2	68.8	75.4
49	0	0	67.18	59.16
49	1	4	60.5	62.5
49	6	2	67.2	59.1
51	0	0	91.73	85
51	1	4	83.9	85
51	6	2	91.8	85
52	0	0	77.31	70.64
52	1	4	85.3	86.1
52	6	2	77.3	70.5
53	0	0	87.69	84.65
53	1	4	85.3	86.1
53	6	2	88.8	84.1
54	0	0	88.37	86.51
54	1	4	83.9	92.5
54	6	2	88.5	86.4
59	0	0	83.33	72.51
59	1	4	85.3	86.1
59	6	2	83.1	71
61	0	0	75.86	77.76
61	1	4	83.7	88.3
61	6	2	75	76.8
62	0	0	76.07	77.15
62	1	4	88.5	84.1
62	6	2	75.7	77
63	0	0	80.53	85.1
63	1	4	89.2	85.1
63	6	2	79.6	85.1
69	0	0	66.78	65.8
69	1	4	78	84.3
69	6	2	64.6	64
71	0	0	69	71.32
71	1	4	75.8	79.6
71	6	2	66.6	69.2
72	0	0	54.34	53.22
72	1	4	59.1	62.3
72	6	2	53.2	52.5
73	0	0	71.55	74.77
73	1	4	80.6	76.7
73	6	2	68.3	73.7
74	0	0	66.14	61.65
74	1	4	73.9	68.6
74	6	2	63.2	59.5
75	0	0	76.77	81.42
75	1	4	80.5	84
75	6	2	76.5	81.3
76	0	0	66.29	65.91
76	1	4	66.2	63.7
76	6	2	66.3	66
77	0	0	71.66	75.65
77	1	4	80.7	84
77	6	2	70.5	75
79	0	0	72.46	74.48
79	1	4	74.8	79.4
79	6	2	68.8	70.3
91	0	0	77.5	71.79
91	1	4	77.9	71.5
91	6	2	77.5	71.8
92	0	0	68.36	68.21
92	1	4	82.5	89.2
92	6	2	67.9	67.5
99	0	0	86.01	82.98
99	1	4	77.9	94.7
99	6	2	87	81.6
101	0	0	98.8	85.29
101	1	4	99	91.2
101	6	2	98.8	85.2
102	0	0	69.06	68.56
102	1	4	60.8	74.3
102	6	2	69.4	68.5
103	0	0	65.97	63.93
103	1	4	60.8	73.9
103	6	2	66	63.8
104	0	0	69.4	69.66
104	1	4	77.8	74.3
104	6	2	69.4	69.6
105	0	0	63.57	63.19
105	1	4	60.8	63
105	6	2	63.6	63.2
106	0	0	51.83	45.76
106	1	4	56.3	53.3
106	6	2	51.8	45.7
107	0	0	48.48	41.1
107	1	4	56.3	51.4
107	6	2	48.4	41
109	0	0	53.08	60.49
109	1	4	62.8	63.5
109	6	2	51.4	59.4
111	0	0	68.87	74.62
111	1	4	69.5	85.9
111	6	2	68.7	73.1
112	0	0	60.44	59.86
112	1	4	44.5	70.6
112	6	2	62	59.6
119	0	0	62	84.5
119	1	4	66.1	84.5
119	6	2	62	84.5
121	0	0	88.74	90.29
121	1	4	90.3	98.1
121	6	2	88.5	89.7
122	0	0	88.77	65.68
122	1	4	90.3	73.8
122	6	2	88.5	65.4
123	0	0	52.36	54.3
123	1	4	56.3	58
123	6	2	51.8	54.2
129	0	0	89.4	67.3
129	1	4	90.3	75.1
