ssyk96	se_csm	se_csf
11	59.80155	67.53849
111	82.86537	80.56604
112	74.4552	75.00931
121	68.66402	74.73566
122	60.62857	66.60898
123	66.62115	71.58608
131	55.67455	57.00667
211	80.37337	83.75869
212	76.08906	78.9036
213	68.0673	67.05525
214	70.05853	76.30891
221	79.36948	80.78255
222	82.2907	83.89706
223	62.61711	67.83735
231	87.72397	85.04411
232	68.11088	74.54436
233	66.60114	67.64893
234	71.62378	74.14371
235	67.55163	72.92989
241	68.66648	66.90417
242	80.9778	78.13179
243	75.21579	82.64195
244	80.6209	76.28553
245	71.92909	75.20245
246	83.36008	81.78334
247	70.10403	70.48025
248	60.91655	69.55187
249	73.59516	74.47976
311	52.25335	59.111
312	55.27808	56.39578
313	59.44409	58.70525
314	58.1891	65.07609
315	53.33087	63.47188
321	58.50898	62.01409
322	61.69792	68.60249
323	58.70529	61.34989
324	54.41194	63.444
331	60.42537	55.18635
332	55.67616	64.42554
341	55.16411	56.42941
342	56.65267	57.42867
343	59.48949	60.40746
344	57.36361	51.76866
345	57.04079	57.76443
346	53.00107	52.96413
347	58.68468	64.08021
348	62.79543	67.91077
411	54.50132	55.90041
412	51.79915	51.5817
413	36.7386	39.67305
414	59.19321	56.28983
415	45.28935	36.27415
419	48.01134	49.64452
421	47.81467	43.61447
422	49.0772	47.7744
511	45.43684	62.18148
512	40.7366	37.12717
513	60.58035	37.10794
514	45.64986	44.61824
515	46.40284	43.02426
521	44.99161	40.01922
522	44.99161	40.01922
611	40.616	34.4086
612	40.1349	34.50014
613	40.0071	30.22557
614	31.72646	26.86204
615	35.7281	34.4086
711	31.18363	33.75795
712	36.2457	38.16219
713	38.17186	33.75795
714	36.0005	25.55293
721	31.30333	23.81836
722	31.99225	28.02172
723	34.28203	34.97392
724	39.52444	32.72014
731	45.07624	48.58741
732	35.42395	44.59384
733	47.53014	57.73108
734	45.41131	42.80481
741	32.8573	31.08582
742	36.84641	30.14325
743	33.18985	32.51962
744	30.62934	33.89058
811	34.8483	35.16006
812	30.4005	32.38025
813	29.83459	30.78645
814	31.99244	27.4893
815	36.08701	36.74416
816	39.88106	42.23279
817	25.31268	21.52334
821	29.86164	26.30854
822	31.1299	31.49932
823	29.0042	24.88575
824	30.49104	26.24378
825	37.20946	30.79539
826	30.28919	27.18411
827	33.19363	26.58364
828	33.02458	27.7515
829	31.48007	29.36136
831	44.42886	41.37996
832	34.40899	35.87857
833	31.10063	28.9891
834	39.0206	35.87857
911	37.59427	27.77979
912	34.17003	27.77979
913	33.41311	33.0937
914	37.59427	35.73809
915	30.56913	29.80243
919	34.10141	29.40317
921	31.88934	29.84006
931	31.40074	25.3054
932	29.14513	25.3054
933	34.83302	30.95882
