ISCO88	MCAMSIS	FCAMSIS	ISEI	TREI
1	73.74	63.43	-999	-999
2	82.74	73.38	-999	-999
3	59.16	59.51	-999	-999
4	53.95	51.1	-999	-999
5	47.95	42.4	-999	-999
6	34.73	32.69	-999	-999
7	43.01	39.28	-999	-999
8	41.3	38	-999	-999
9	37.84	36.84	-999	-999
10	73.74	63.43	-999	-999
11	65.47	76.75	-999	-999
12	73.84	60.4	-999	-999
13	75.23	64.35	-999	-999
20	82.74	73.38	-999	-999
21	82.75	76.35	-999	-999
22	93.79	83.26	-999	-999
23	83.57	71.53	-999	-999
24	77.52	73.52	-999	-999
30	59.16	59.51	-999	-999
31	57.42	62.83	-999	-999
32	58.1	55.57	-999	-999
33	60.59	58.69	-999	-999
34	62.47	62.48	-999	-999
40	53.95	47.44	-999	-999
41	54.12	51.18	-999	-999
42	52.64	50.76	-999	-999
50	47.46	39.03	-999	-999
51	45.2	42.92	-999	-999
52	57.21	42.03	-999	-999
60	34.73	32.69	-999	-999
61	34.78	32.69	-999	-999
62	32.98	32.69	-999	-999
70	41.48	39.28	-999	-999
71	37.43	38.55	-999	-999
72	46.72	40.78	-999	-999
73	43.58	52.15	-999	-999
74	43.07	38	-999	-999
75	43.01	39.28	-999	-999
80	41.3	40.84	-999	-999
81	42.07	43.28	-999	-999
82	39.65	36.92	-999	-999
83	41.47	35.61	-999	-999
84	41.3	38	-999	-999
90	33.56	33.45	-999	-999
91	39.75	38.11	-999	-999
92	33.7	32.06	-999	-999
93	37.7	36.23	-999	-999
100	73.74	63.43	-999	-999
111	79.38	76.75	-999	-999
112	79.38	76.75	-999	-999
113	65.47	76.75	-999	-999
114	79.38	76.75	-999	-999
115	68.08	76.75	-999	-999
116	49.72	76.75	-999	-999
120	73.84	60.4	-999	-999
121	63.72	60.4	-999	-999
122	74.49	57.84	-999	-999
123	73.8	64.42	-999	-999
124	73.84	60.4	-999	-999
125	73.84	60.4	-999	-999
130	72.23	67.25	-999	-999
131	75.27	64.34	-999	-999
200	82.74	73.38	-999	-999
210	82.75	76.35	-999	-999
211	99	61.92	-999	-999
212	99	61.92	-999	-999
213	87.56	61.92	-999	-999
214	69.01	91.24	-999	-999
220	93.79	83.26	-999	-999
221	93.74	76.29	-999	-999
222	93.81	84.64	-999	-999
223	93.79	83.26	-999	-999
230	83.57	71.53	-999	-999
231	99	99	-999	-999
232	83.26	87.47	-999	-999
233	87.27	63.5	-999	-999
234	57.44	65.35	-999	-999
235	57.44	65.35	-999	-999
240	80.3	73.52	-999	-999
241	80.3	56.89	-999	-999
242	77.31	99	-999	-999
243	77.52	71.25	-999	-999
244	93.37	73.53	-999	-999
245	74.86	99	-999	-999
246	49.89	73.52	-999	-999
247	49.89	68.29	-999	-999
300	59.16	59.51	-999	-999
310	57.42	62.83	-999	-999
311	57.63	57.46	-999	-999
312	58.87	81.83	-999	-999
313	64.18	61.48	-999	-999
314	59.88	61.48	-999	-999
315	57.57	61.48	-999	-999
316	42.19	61.48	-999	-999
320	58.1	55.57	-999	-999
321	59.79	47.84	-999	-999
322	51.73	53.46	-999	-999
323	51.73	57.7	-999	-999
324	58.1	55.57	-999	-999
330	60.59	58.69	-999	-999
331	46.42	64.19	-999	-999
332	60.59	53.25	-999	-999
333	46.42	50.65	-999	-999
334	66.66	60.59	-999	-999
340	65.71	52.55	-999	-999
341	60.38	79.37	-999	-999
342	65.71	52.55	-999	-999
343	65.05	61.31	-999	-999
344	57.29	58.54	-999	-999
345	72.54	58.54	-999	-999
346	55.36	73.85	-999	-999
347	65.71	52.55	-999	-999
348	55.36	73.85	-999	-999
349	65.71	52.55	-999	-999
400	53.95	47.44	-999	-999
410	54.12	47.44	-999	-999
411	49.01	46.15	-999	-999
412	51.92	56.2	-999	-999
413	55.51	52.61	-999	-999
414	49.01	47.17	-999	-999
419	49.01	47.57	-999	-999
420	52.64	52.73	-999	-999
421	52.64	51.34	-999	-999
422	52.64	49.57	-999	-999
500	47.46	39.03	-999	-999
510	47.46	39.03	-999	-999
511	48.23	39.03	-999	-999
512	45.25	39.17	-999	-999
513	47.46	52.36	-999	-999
514	47.46	59.04	-999	-999
515	45.2	42.92	-999	-999
516	44.32	39.03	-999	-999
520	60.98	49.63	-999	-999
521	56.17	41.56	-999	-999
522	60.98	49.63	-999	-999
523	57.21	42.03	-999	-999
600	34.73	32.69	-999	-999
610	35.78	33.07	-999	-999
611	35.78	33.07	-999	-999
612	35.78	32.78	-999	-999
613	35.78	33.07	-999	-999
614	32.98	31.32	-999	-999
615	34.78	32.69	-999	-999
620	32.98	32.69	-999	-999
621	32.98	32.69	-999	-999
625	32.98	32.69	-999	-999
700	41.48	39.28	-999	-999
710	41.48	38.55	-999	-999
711	39.74	38.55	-999	-999
712	36.56	38.55	-999	-999
713	39.51	38.55	-999	-999
714	36.13	38.55	-999	-999
720	46.72	41.17	-999	-999
721	45.2	41.17	-999	-999
722	44.57	41.17	-999	-999
723	46.13	41.17	-999	-999
724	51.06	39.99	-999	-999
730	43.58	52.15	-999	-999
731	43.58	52.15	-999	-999
732	43.58	52.15	-999	-999
733	43.58	52.15	-999	-999
734	43.58	52.15	-999	-999
740	46.32	40.11	-999	-999
741	44.49	37.21	-999	-999
742	40.98	40.11	-999	-999
743	42.85	38.45	-999	-999
744	42.85	31.43	-999	-999
750	43.01	39.28	-999	-999
751	43.01	39.28	-999	-999
752	43.01	39.28	-999	-999
753	43.01	39.28	-999	-999
800	41.3	40.84	-999	-999
810	42.62	40.84	-999	-999
811	29	40.84	-999	-999
812	43.31	40.84	-999	-999
813	42.62	40.84	-999	-999
814	40.2	42.57	-999	-999
815	40.45	47.38	-999	-999
816	47.55	43.38	-999	-999
817	36.17	43.38	-999	-999
818	36.17	43.28	-999	-999
820	39.65	36.92	-999	-999
821	31.75	33.05	-999	-999
822	36.15	47.84	-999	-999
823	52.13	47.84	-999	-999
824	52.13	47.84	-999	-999
825	29.53	29.16	-999	-999
826	29.53	35.84	-999	-999
827	47.6	32.82	-999	-999
828	42.41	38.97	-999	-999
829	43.08	42.3	-999	-999
830	38.33	35.61	-999	-999
831	43.75	35.61	-999	-999
832	41.94	35.61	-999	-999
833	37.68	35.61	-999	-999
834	55.65	35.61	-999	-999
840	41.3	38	-999	-999
900	33.56	33.45	-999	-999
910	33.56	33.45	-999	-999
911	39.75	33.45	-999	-999
912	33.56	38.11	-999	-999
913	38.81	37.83	-999	-999
914	43.85	41.84	-999	-999
915	38.83	39.01	-999	-999
