ISCO88	STDEMPST	MCAMSIS	FCAMSIS	ISEI	TREI
0	0	54.35	-999	-999	-999
0	1	54.35	-999	-999	-999
0	6	54.35	-999	-999	-999
1	0	80.77	94.1	-999	-999
1	1	76.97	95.17	-999	-999
1	6	82.17	93.86	-999	-999
2	0	89.91	85.2	-999	-999
2	1	94.77	97.24	-999	-999
2	6	89.22	84.78	-999	-999
3	0	61.32	62.51	-999	-999
3	1	67.08	66.18	-999	-999
3	6	60.72	62.32	-999	-999
4	0	47.39	55	-999	-999
4	1	50.95	67.11	-999	-999
4	6	47.34	54.67	-999	-999
5	0	49.32	45.44	-999	-999
5	1	55.01	53.24	-999	-999
5	6	48.01	44.52	-999	-999
6	0	40.13	36.16	-999	-999
6	1	40.45	36.23	-999	-999
6	6	37.66	35.49	-999	-999
7	0	44.02	40.98	-999	-999
7	1	51.5	47.55	-999	-999
7	6	43.09	40.3	-999	-999
8	0	40.52	40.05	-999	-999
8	1	49.75	52.67	-999	-999
8	6	39.56	39.71	-999	-999
9	0	37.7	38.81	-999	-999
9	1	38.15	37.07	-999	-999
9	6	37.69	38.85	-999	-999
10	0	80.77	94.1	-999	-999
10	1	76.97	95.17	-999	-999
10	6	82.17	93.86	-999	-999
11	0	82.6	97.06	-999	-999
11	1	82.6	97.06	-999	-999
11	6	82.6	97.06	-999	-999
12	0	80.8	94.1	-999	-999
12	1	77.22	96.79	-999	-999
12	6	81	94.05	-999	-999
13	0	80.49	93.41	-999	-999
13	1	76.95	95.1	-999	-999
13	6	83.39	92.13	-999	-999
20	0	89.91	85.2	-999	-999
20	1	94.77	97.24	-999	-999
20	6	89.22	84.78	-999	-999
21	0	88.8	94.95	-999	-999
21	1	99	94.95	-999	-999
21	6	86.33	94.95	-999	-999
22	0	99	95.09	-999	-999
22	1	99	93.83	-999	-999
22	6	99	95.11	-999	-999
23	0	80.53	76.9	-999	-999
23	1	74.04	82.02	-999	-999
23	6	80.75	76.84	-999	-999
24	0	93.89	97.1	-999	-999
24	1	88.73	99	-999	-999
24	6	95.47	96.57	-999	-999
30	0	61.32	62.51	-999	-999
30	1	67.08	66.18	-999	-999
30	6	60.72	62.32	-999	-999
31	0	59.48	60.1	-999	-999
31	1	69.35	58.4	-999	-999
31	6	58.76	60.16	-999	-999
32	0	54.48	62.1	-999	-999
32	1	54.44	65.56	-999	-999
32	6	54.49	62.04	-999	-999
33	0	60.01	58.7	-999	-999
33	1	60.01	60.61	-999	-999
33	6	60.01	58.66	-999	-999
34	0	64.35	63.66	-999	-999
34	1	67	67.43	-999	-999
34	6	63.97	63.41	-999	-999
40	0	47.39	55	-999	-999
40	1	50.95	67.11	-999	-999
40	6	47.34	54.67	-999	-999
41	0	46.36	55.74	-999	-999
41	1	48.88	67.11	-999	-999
41	6	46.33	55.38	-999	-999
42	0	53.14	52.12	-999	-999
42	1	55.09	67.11	-999	-999
42	6	53.08	51.92	-999	-999
50	0	49.32	45.44	-999	-999
50	1	55.01	53.24	-999	-999
50	6	48.01	44.52	-999	-999
51	0	45.32	44.46	-999	-999
51	1	46.77	50.81	-999	-999
51	6	45.01	43.53	-999	-999
52	0	58.15	46.83	-999	-999
52	1	69.48	58.96	-999	-999
52	6	54.98	45.82	-999	-999
60	0	40.13	36.16	-999	-999
60	1	40.45	36.23	-999	-999
60	6	37.66	35.49	-999	-999
61	0	40.13	36.16	-999	-999
61	1	40.45	36.23	-999	-999
61	6	37.66	35.49	-999	-999
62	0	40.13	36.16	-999	-999
62	1	40.45	36.23	-999	-999
62	6	37.66	35.49	-999	-999
70	0	44.02	40.98	-999	-999
70	1	51.5	47.55	-999	-999
70	6	43.09	40.3	-999	-999
71	0	40.39	40.41	-999	-999
71	1	48.33	48.64	-999	-999
71	6	39.03	39.55	-999	-999
72	0	46.03	39.22	-999	-999
72	1	53.93	48.64	-999	-999
72	6	45.39	38.55	-999	-999
73	0	44.13	43.79	-999	-999
73	1	55.11	48.64	-999	-999
73	6	42.26	43.38	-999	-999
74	0	43.68	40.92	-999	-999
74	1	51.78	46.95	-999	-999
74	6	42.22	40.18	-999	-999
75	0	44.02	40.98	-999	-999
75	1	51.5	47.55	-999	-999
75	6	43.09	40.3	-999	-999
80	0	40.52	40.05	-999	-999
80	1	49.75	52.67	-999	-999
80	6	39.56	39.71	-999	-999
81	0	38.76	42.4	-999	-999
81	1	54.77	52.67	-999	-999
81	6	38.27	42.01	-999	-999
82	0	39.41	39.88	-999	-999
82	1	54.77	52.67	-999	-999
82	6	38.59	39.64	-999	-999
83	0	42.12	45.72	-999	-999
83	1	47.88	52.67	-999	-999
83	6	41.07	39.27	-999	-999
84	0	40.52	40.05	-999	-999
84	1	49.75	52.67	-999	-999
84	6	39.56	39.71	-999	-999
90	0	37.7	38.81	-999	-999
90	1	38.15	37.07	-999	-999
90	6	37.69	38.85	-999	-999
91	0	37.91	38.29	-999	-999
91	1	38.23	38.86	-999	-999
91	6	37.91	38.27	-999	-999
92	0	30.9	32.46	-999	-999
92	1	30.9	32.46	-999	-999
92	6	30.9	32.46	-999	-999
93	0	38.06	39.67	-999	-999
93	1	38.11	39.43	-999	-999
93	6	38.05	39.67	-999	-999
100	0	80.77	94.1	-999	-999
100	1	76.97	95.17	-999	-999
100	6	82.17	93.86	-999	-999
110	0	54.35	-999	-999	-999
110	1	54.35	-999	-999	-999
110	6	54.35	-999	-999	-999
111	0	82.6	97.06	-999	-999
111	1	82.6	95.17	-999	-999
111	6	82.6	97.06	-999	-999
112	0	82.6	97.06	-999	-999
112	1	82.6	97.06	-999	-999
112	6	82.6	97.06	-999	-999
113	0	82.6	97.06	-999	-999
113	1	82.6	97.06	-999	-999
113	6	82.6	97.06	-999	-999
114	0	82.6	97.06	-999	-999
114	1	82.6	97.06	-999	-999
114	6	82.6	97.06	-999	-999
115	0	82.6	97.06	-999	-999
115	1	76.97	95.17	-999	-999
115	6	82.6	97.06	-999	-999
116	0	82.6	97.06	-999	-999
116	1	76.97	95.17	-999	-999
116	6	82.6	97.06	-999	-999
120	0	80.8	94.1	-999	-999
120	1	77.22	96.79	-999	-999
120	6	81	94.05	-999	-999
121	0	80.8	94.1	-999	-999
121	1	77.22	96.79	-999	-999
121	6	81	94.05	-999	-999
122	0	73.85	98.25	-999	-999
122	1	74.16	96.79	-999	-999
122	6	73.84	98.33	-999	-999
123	0	90.76	92.21	-999	-999
123	1	78.45	92.21	-999	-999
123	6	92.05	92.21	-999	-999
124	0	80.8	94.1	-999	-999
124	1	77.22	96.79	-999	-999
124	6	81	94.05	-999	-999
125	0	80.8	94.1	-999	-999
125	1	77.22	96.79	-999	-999
125	6	81	94.05	-999	-999
130	0	80.49	93.41	-999	-999
130	1	76.95	95.1	-999	-999
130	6	83.39	92.13	-999	-999
131	0	80.49	93.41	-999	-999
131	1	76.95	95.1	-999	-999
131	6	83.39	92.13	-999	-999
200	0	89.91	85.2	-999	-999
200	1	94.77	97.24	-999	-999
200	6	89.22	84.78	-999	-999
210	0	88.8	94.95	-999	-999
210	1	99	94.95	-999	-999
210	6	86.33	94.95	-999	-999
211	0	77.34	94.95	-999	-999
211	1	77.34	94.95	-999	-999
211	6	77.34	94.95	-999	-999
212	0	77.34	94.95	-999	-999
212	1	77.34	94.95	-999	-999
212	6	77.34	94.95	-999	-999
213	0	90.01	94.95	-999	-999
213	1	99	94.95	-999	-999
213	6	87.75	94.95	-999	-999
214	0	89.04	94.95	-999	-999
214	1	99	94.95	-999	-999
214	6	86.48	94.95	-999	-999
220	0	99	95.09	-999	-999
220	1	99	93.83	-999	-999
220	6	99	95.11	-999	-999
221	0	99	96.32	-999	-999
221	1	99	96.32	-999	-999
221	6	99	96.32	-999	-999
222	0	96.69	94.73	-999	-999
222	1	96.69	93.83	-999	-999
222	6	96.69	94.74	-999	-999
223	0	99	96.32	-999	-999
223	1	99	96.32	-999	-999
223	6	99	96.32	-999	-999
230	0	80.53	76.9	-999	-999
230	1	74.04	82.02	-999	-999
230	6	80.75	76.84	-999	-999
231	0	99	99	-999	-999
231	1	99	99	-999	-999
231	6	99	99	-999	-999
232	0	65.91	99	-999	-999
232	1	65.91	99	-999	-999
232	6	65.91	99	-999	-999
233	0	78.39	71.24	-999	-999
233	1	82.18	74.89	-999	-999
233	6	78.29	71.2	-999	-999
234	0	65.91	99	-999	-999
234	1	65.91	99	-999	-999
234	6	65.91	99	-999	-999
235	0	65.91	99	-999	-999
235	1	65.91	99	-999	-999
235	6	65.91	99	-999	-999
240	0	93.89	97.1	-999	-999
240	1	88.73	99	-999	-999
240	6	95.47	96.57	-999	-999
241	0	89.25	97.26	-999	-999
241	1	89.25	97.26	-999	-999
241	6	89.25	97.26	-999	-999
242	0	89.18	97.06	-999	-999
242	1	89.18	97.06	-999	-999
242	6	89.18	97.06	-999	-999
243	0	92.81	90.42	-999	-999
243	1	92.81	90.42	-999	-999
243	6	92.81	90.42	-999	-999
244	0	92.81	88.46	-999	-999
244	1	92.81	90.42	-999	-999
244	6	92.81	88.38	-999	-999
245	0	99	99	-999	-999
245	1	87.33	99	-999	-999
245	6	99	99	-999	-999
246	0	87.33	97.1	-999	-999
246	1	87.33	99	-999	-999
246	6	87.33	96.57	-999	-999
247	0	93.89	97.1	-999	-999
247	1	88.73	99	-999	-999
247	6	95.47	96.57	-999	-999
300	0	61.32	62.51	-999	-999
300	1	67.08	66.18	-999	-999
300	6	60.72	62.32	-999	-999
310	0	59.48	60.1	-999	-999
310	1	69.35	58.4	-999	-999
310	6	58.76	60.16	-999	-999
311	0	58.18	59.95	-999	-999
311	1	69.01	55.32	-999	-999
311	6	57.49	60.04	-999	-999
312	0	64.98	61.47	-999	-999
312	1	70.35	61.47	-999	-999
312	6	64.09	61.47	-999	-999
313	0	73.4	61.47	-999	-999
313	1	70.35	61.47	-999	-999
313	6	73.93	61.47	-999	-999
314	0	58.96	54.24	-999	-999
314	1	58.96	54.24	-999	-999
314	6	58.96	54.24	-999	-999
315	0	66.16	54.24	-999	-999
315	1	66.16	54.24	-999	-999
315	6	66.16	54.24	-999	-999
316	0	59.48	60.1	-999	-999
316	1	69.35	58.4	-999	-999
316	6	58.76	60.16	-999	-999
320	0	54.48	62.1	-999	-999
320	1	54.44	65.56	-999	-999
320	6	54.49	62.04	-999	-999
321	0	47.68	54.24	-999	-999
321	1	47.68	54.24	-999	-999
321	6	47.68	54.24	-999	-999
322	0	57.82	68.62	-999	-999
322	1	57.82	75.02	-999	-999
322	6	57.82	68.39	-999	-999
323	0	57.82	59.86	-999	-999
323	1	57.82	59.86	-999	-999
323	6	57.82	59.86	-999	-999
324	0	57.82	62.1	-999	-999
324	1	57.82	65.56	-999	-999
324	6	57.82	62.04	-999	-999
330	0	60.01	58.7	-999	-999
330	1	60.01	60.61	-999	-999
330	6	60.01	58.66	-999	-999
331	0	60.01	75.61	-999	-999
331	1	60.01	75.61	-999	-999
331	6	60.01	75.61	-999	-999
332	0	60.01	55.61	-999	-999
332	1	60.01	55.61	-999	-999
332	6	60.01	55.61	-999	-999
333	0	60.01	75.61	-999	-999
333	1	60.01	75.61	-999	-999
333	6	60.01	75.61	-999	-999
334	0	60.01	75.61	-999	-999
334	1	60.01	75.61	-999	-999
334	6	60.01	75.61	-999	-999
340	0	64.35	63.66	-999	-999
340	1	67	67.43	-999	-999
340	6	63.97	63.41	-999	-999
341	0	68.38	64.82	-999	-999
341	1	73.59	61.64	-999	-999
341	6	67.46	65.11	-999	-999
342	0	60.39	59.31	-999	-999
342	1	59.95	64.37	-999	-999
342	6	60.48	58.38	-999	-999
343	0	64.45	62.82	-999	-999
343	1	59.95	76.16	-999	-999
343	6	64.73	62.33	-999	-999
344	0	60.33	66.74	-999	-999
344	1	60.33	66.74	-999	-999
344	6	60.33	66.74	-999	-999
345	0	57.61	66.74	-999	-999
345	1	57.61	66.74	-999	-999
345	6	57.61	66.74	-999	-999
346	0	57.61	62.64	-999	-999
346	1	57.61	62.64	-999	-999
346	6	57.61	62.64	-999	-999
347	0	61.38	81.39	-999	-999
347	1	61.38	81.39	-999	-999
347	6	61.38	81.39	-999	-999
348	0	64.35	63.66	-999	-999
348	1	67	67.43	-999	-999
348	6	63.97	63.41	-999	-999
349	0	64.35	63.66	-999	-999
349	1	67	67.43	-999	-999
