OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS
1002	100	2	71.2	70.5	72.4	67.3
1003	100	3	71.2	70.5	77.9	74.8
1004	100	4	71.2	70.5	76.7	84.1
1005	100	5	71.2	70.5	73.1	68.4
1009	100	9	71.2	70.5	68.9	70.1
1102	110	2	71.2	70.5	76.8	80.4
1103	110	3	71.2	70.5	76.8	80.4
1104	110	4	71.2	70.5	76.8	80.4
1105	110	5	71.2	70.5	76.8	80.4
1109	110	9	78	84.5	76.8	80.4
1202	120	2	71.2	70.5	76.8	80.4
1203	120	3	71.2	70.5	76.8	80.4
1204	120	4	71.2	70.5	76.8	80.4
1205	120	5	71.2	70.5	76.8	80.4
1209	120	9	78	84.5	76.8	80.4
1302	130	2	78	84.5	76.8	80.4
1303	130	3	78	84.5	76.8	80.4
1304	130	4	78	84.5	76.8	80.4
1305	130	5	78	84.5	76.8	80.4
1309	130	9	78	84.5	76.8	80.4
1312	131	2	78	84.5	76.8	80.4
1313	131	3	78	84.5	76.8	80.4
1314	131	4	78	84.5	76.8	80.4
1315	131	5	78	84.5	76.8	80.4
1319	131	9	78	84.5	76.8	80.4
1322	132	2	78	84.5	76.8	80.4
1323	132	3	78	84.5	76.8	80.4
1324	132	4	78	84.5	76.8	80.4
1325	132	5	78	84.5	76.8	80.4
1329	132	9	78	84.5	76.8	80.4
1332	133	2	78	84.5	76.8	80.4
1333	133	3	78	84.5	76.8	80.4
1334	133	4	78	84.5	76.8	80.4
1335	133	5	78	84.5	76.8	80.4
1339	133	9	78	84.5	76.8	80.4
1392	139	2	78	84.5	76.8	80.4
1393	139	3	78	84.5	76.8	80.4
1394	139	4	78	84.5	76.8	80.4
1395	139	5	78	84.5	76.8	80.4
1399	139	9	78	84.5	76.8	80.4
1402	140	2	71.2	70.5	76.8	67.3
1403	140	3	71.2	70.5	76.8	74.8
1404	140	4	71.2	70.5	76.8	84.1
1405	140	5	71.2	70.5	76.8	68.4
1409	140	9	78	70.5	76.8	70.1
1902	190	2	71.2	70.5	72.4	80.4
1903	190	3	71.2	70.5	77.9	80.4
1904	190	4	71.2	70.5	76.7	80.4
1905	190	5	71.2	70.5	73.1	80.4
1909	190	9	71.2	84.5	68.9	80.4
2002	200	2	71.2	70.5	72.4	67.3
2003	200	3	71.2	70.5	77.9	74.8
2004	200	4	71.2	70.5	76.7	84.1
2005	200	5	71.2	70.5	73.1	68.4
2009	200	9	71.2	70.5	68.9	70.1
2102	210	2	80.1	81.7	73.8	70.6
2103	210	3	80.1	81.7	78.2	96.1
2104	210	4	80.1	81.7	76.7	96.1
2105	210	5	80.1	81.7	74.3	96.1
2109	210	9	80.1	81.7	68.8	72.4
2202	220	2	77.7	70.5	73.8	70.6
2203	220	3	77.7	70.5	78.2	73.1
2204	220	4	77.7	70.5	76.7	96.1
2205	220	5	77.7	70.5	74.3	73.1
2209	220	9	77.7	81.6	68.8	72.4
2302	230	2	81	70.5	73.8	70.6
2303	230	3	81	70.5	78.2	73.1
2304	230	4	81	70.5	76.7	96.1
2305	230	5	81	70.5	74.3	73.1
2309	230	9	81	81.6	68.8	72.4
2402	240	2	79.6	70.5	73.8	70.6
2403	240	3	79.6	70.5	78.2	71.3
2404	240	4	79.6	70.5	76.7	71.3
2405	240	5	79.6	70.5	74.3	71.3
2409	240	9	79.6	81.6	68.8	72.4
2502	250	2	85.3	82.3	73.8	70.6
2503	250	3	85.3	82.3	78.2	73.1
2504	250	4	85.3	82.3	76.7	96.1
2505	250	5	85.3	82.3	74.3	73.1
2509	250	9	85.3	82.3	68.8	72.4
2602	260	2	84	70.5	73.8	70.6
2603	260	3	84	70.5	78.2	71.3
2604	260	4	84	70.5	76.7	71.3
2605	260	5	84	70.5	74.3	71.3
2609	260	9	84	82.8	68.8	72.4
2702	270	2	73.7	82.8	73.8	70.6
2703	270	3	73.7	82.8	78.2	71.3
2704	270	4	73.7	82.8	76.7	71.3
2705	270	5	73.7	82.8	74.3	71.3
2709	270	9	73.7	82.8	68.8	72.4
2802	280	2	71.2	70.5	73.8	72.4
2803	280	3	71.2	70.5	78.2	72.4
2804	280	4	71.2	70.5	76.7	72.4
2805	280	5	71.2	70.5	74.3	72.4
2809	280	9	77	81.6	68.8	72.4
2902	290	2	77	81.6	73.8	70.6
2903	290	3	77	81.6	78.2	96.1
2904	290	4	77	81.6	76.7	96.1
2905	290	5	77	81.6	74.3	96.1
2909	290	9	77	81.6	68.8	72.4
3002	300	2	71.2	70.5	72.4	67.3
3003	300	3	71.2	70.5	77.9	74.8
3004	300	4	71.2	70.5	76.7	84.1
3005	300	5	71.2	70.5	73.1	68.4
3009	300	9	71.2	70.5	68.9	70.1
3102	310	2	60.5	70.5	73.8	70.6
3103	310	3	60.5	70.5	78.2	70.6
3104	310	4	60.5	70.5	74	70.6
3105	310	5	60.5	70.5	74	70.6
3109	310	9	60.5	60.6	68.8	70.6
3202	320	2	71.2	70.5	73.8	70.6
3203	320	3	71.2	70.5	78.2	71.3
3204	320	4	71.2	70.5	76.7	71.3
3205	320	5	71.2	70.5	74.3	71.3
3209	320	9	60.5	60.6	68.8	72.4
3212	321	2	71.2	70.5	73.8	70.6
3213	321	3	71.2	70.5	78.2	71.3
3214	321	4	71.2	70.5	76.7	71.3
3215	321	5	71.2	70.5	74.3	71.3
3219	321	9	71.2	70.5	68.8	72.4
3292	329	2	71.2	70.5	73.8	70.6
3293	329	3	71.2	70.5	78.2	71.3
3294	329	4	71.2	70.5	76.7	71.3
3295	329	5	71.2	70.5	74.3	71.3
3299	329	9	71.2	70.5	68.8	72.4
3302	330	2	59.4	60.6	73.8	70.6
3303	330	3	59.4	60.6	78.2	71.3
3304	330	4	59.4	60.6	76.7	71.3
3305	330	5	59.4	60.6	74.3	71.3
3309	330	9	59.4	60.6	68.8	72.4
3392	339	2	59.4	60.6	73.8	70.6
3393	339	3	59.4	60.6	78.2	71.3
3394	339	4	59.4	60.6	76.7	71.3
3395	339	5	59.4	60.6	74.3	71.3
3399	339	9	59.4	60.6	68.8	72.4
3402	340	2	57.1	61.9	73.8	70.6
3403	340	3	57.1	61.9	78.2	71.3
3404	340	4	57.1	61.9	76.7	71.3
3405	340	5	57.1	61.9	74.3	71.3
3409	340	9	57.1	61.9	68.8	72.4
3502	350	2	56.7	70.5	73.8	70.6
3503	350	3	56.7	70.5	78.2	71.3
3504	350	4	56.7	70.5	76.7	71.3
3505	350	5	56.7	70.5	76.7	71.3
3509	350	9	56.7	61.9	68.8	72.4
3602	360	2	71.2	70.5	73.8	70.6
3603	360	3	71.2	70.5	78.2	71.3
3604	360	4	71.2	70.5	76.7	71.3
3605	360	5	71.2	70.5	74.3	71.3
3609	360	9	57.1	61.9	68.8	72.4
3702	370	2	71.2	70.5	73.8	67.3
3703	370	3	71.2	70.5	73.8	74.8
3704	370	4	71.2	70.5	73.8	84.1
3705	370	5	71.2	70.5	73.8	68.4
3709	370	9	60.6	70.5	73.8	70.1
3802	380	2	60.6	67	73.8	70.6
3803	380	3	60.6	67	78.2	73.1
3804	380	4	60.6	67	76.7	96.1
3805	380	5	60.6	67	74.3	96.1
3809	380	9	60.6	67	68.8	72.4
3902	390	2	61.3	57	73.8	70.6
3903	390	3	61.3	57	78.2	71.3
3904	390	4	61.3	57	76.7	71.3
3905	390	5	61.3	57	74.3	71.3
3909	390	9	61.3	57	68.8	72.4
4002	400	2	71.2	70.5	72.4	67.3
4003	400	3	71.2	70.5	77.9	74.8
4004	400	4	71.2	70.5	76.7	84.1
4005	400	5	71.2	70.5	73.1	68.4
4009	400	9	71.2	70.5	68.9	70.1
4092	409	2	71.2	70.5	72.4	67.3
4093	409	3	71.2	70.5	77.9	74.8
4094	409	4	71.2	70.5	76.7	84.1
4095	409	5	71.2	70.5	73.1	68.4
4099	409	9	71.2	70.5	68.9	70.1
4102	410	2	71.2	70.5	69.6	67.3
4103	410	3	71.2	70.5	69.6	74.8
4104	410	4	71.2	70.5	69.6	84.1
4105	410	5	71.2	70.5	69.6	68.4
4109	410	9	73	70.5	69.6	70.1
4112	411	2	71.2	70.5	69.6	67.3
4113	411	3	71.2	70.5	69.6	74.8
4114	411	4	71.2	70.5	69.6	84.1
4115	411	5	71.2	70.5	69.6	68.4
4119	411	9	71.2	70.5	69.6	70.1
4192	419	2	71.2	70.5	69.6	67.3
4193	419	3	71.2	70.5	69.6	74.8
4194	419	4	71.2	70.5	69.6	84.1
4195	419	5	71.2	70.5	69.6	68.4
4199	419	9	71.2	70.5	69.6	70.1
4202	420	2	73	70.5	69.6	67.3
4203	420	3	73	70.5	69.6	74.8
4204	420	4	73	70.5	69.6	84.1
4205	420	5	73	70.5	69.6	68.4
4209	420	9	73	70.5	69.6	70.1
4212	421	2	73	70.5	69.6	67.3
4213	421	3	73	70.5	69.6	74.8
4214	421	4	73	70.5	69.6	84.1
4215	421	5	73	70.5	69.6	68.4
4219	421	9	73	70.5	69.6	70.1
4292	429	2	73	70.5	69.6	67.3
4293	429	3	73	70.5	69.6	74.8
4294	429	4	73	70.5	69.6	84.1
4295	429	5	73	70.5	69.6	68.4
4299	429	9	73	70.5	69.6	70.1
4302	430	2	71.2	70.5	72.4	67.3
4303	430	3	71.2	70.5	77.9	74.8
4304	430	4	71.2	70.5	69.6	84.1
4305	430	5	71.2	70.5	73.1	68.4
4309	430	9	73	70.5	69.6	70.1
5002	500	2	71.2	70.5	72.4	67.3
5003	500	3	71.2	70.5	77.9	74.8
5004	500	4	71.2	70.5	76.7	84.1
5005	500	5	71.2	70.5	73.1	68.4
5009	500	9	71.2	70.5	68.9	70.1
5102	510	2	71.2	79.5	76.8	78.5
5103	510	3	71.2	79.5	77.9	96.1
5104	510	4	71.2	79.5	76.7	96.1
5105	510	5	71.2	79.5	73.1	78.5
5109	510	9	78	79.5	76.8	78.5
5202	520	2	71.2	70.5	72.4	78.5
5203	520	3	71.2	70.5	77.9	78.5
5204	520	4	71.2	70.5	76.7	78.5
5205	520	5	71.2	70.5	73.1	78.5
5209	520	9	71.2	79.5	68.9	78.5
5212	521	2	71.2	70.5	72.4	78.5
5213	521	3	71.2	70.5	77.9	78.5
5214	521	4	71.2	70.5	76.7	78.5
5215	521	5	71.2	70.5	73.1	78.5
5219	521	9	71.2	70.5	68.9	78.5
5292	529	2	71.2	70.5	72.4	78.5
5293	529	3	71.2	70.5	77.9	78.5
5294	529	4	71.2	70.5	76.7	78.5
5295	529	5	71.2	70.5	73.1	78.5
5299	529	9	71.2	70.5	68.9	78.5
5302	530	2	71.2	70.5	72.4	78.5
5303	530	3	71.2	70.5	77.9	78.5
5304	530	4	71.2	70.5	76.7	78.5
5305	530	5	71.2	70.5	73.1	78.5
5309	530	9	71.2	79.5	68.9	78.5
5312	531	2	71.2	70.5	72.4	78.5
5313	531	3	71.2	70.5	77.9	78.5
5314	531	4	71.2	70.5	76.7	78.5
5315	531	5	71.2	70.5	73.1	78.5
5319	531	9	71.2	70.5	68.9	78.5
5392	539	2	71.2	70.5	72.4	78.5
5393	539	3	71.2	70.5	77.9	78.5
5394	539	4	71.2	70.5	76.7	78.5
5395	539	5	71.2	70.5	73.1	78.5
5399	539	9	71.2	70.5	68.9	78.5
5402	540	2	71.2	70.5	72.4	78.5
5403	540	3	71.2	70.5	77.9	78.5
5404	540	4	71.2	70.5	76.7	78.5
5405	540	5	71.2	70.5	73.1	78.5
5409	540	9	71.2	79.5	68.9	78.5
5412	541	2	71.2	70.5	72.4	78.5
5413	541	3	71.2	70.5	77.9	78.5
5414	541	4	71.2	70.5	76.7	78.5
5415	541	5	71.2	70.5	73.1	78.5
5419	541	9	71.2	70.5	68.9	78.5
5492	549	2	71.2	70.5	72.4	78.5
5493	549	3	71.2	70.5	77.9	78.5
5494	549	4	71.2	70.5	76.7	78.5
5495	549	5	71.2	70.5	73.1	78.5
5499	549	9	71.2	70.5	68.9	78.5
6002	600	2	71.2	70.5	72.4	67.3
6003	600	3	71.2	70.5	77.9	74.8
6004	600	4	71.2	70.5	76.7	84.1
6005	600	5	71.2	70.5	73.1	68.4
6009	600	9	71.2	70.5	68.9	70.1
6102	610	2	83.8	77.3	72.7	62.7
6103	610	3	83.8	77.3	75.2	74.8
6104	610	4	83.8	77.3	80.4	81.4
6105	610	5	83.8	77.3	74	64.9
6109	610	9	83.8	77.3	67.5	65.6
6112	611	2	83.8	77.3	72.7	62.7
6113	611	3	83.8	77.3	75.2	74.8
6114	611	4	83.8	77.3	80.4	81.4
6115	611	5	83.8	77.3	74	64.9
6119	611	9	83.8	77.3	67.5	65.6
6192	619	2	83.8	77.3	72.7	62.7
6193	619	3	83.8	77.3	75.2	74.8
6194	619	4	83.8	77.3	80.4	81.4
6195	619	5	83.8	77.3	74	64.9
6199	619	9	83.8	77.3	67.5	65.6
6202	620	2	45	59.4	72.7	62.7
6203	620	3	45	59.4	75.2	74.8
6204	620	4	45	59.4	80.4	63.7
6205	620	5	45	59.4	80.4	63.7
6209	620	9	45	59.4	67.5	65.6
6302	630	2	85.5	79.2	72.7	62.7
6303	630	3	85.5	79.2	75.2	64.6
6304	630	4	85.5	79.2	80.4	81.4
6305	630	5	85.5	79.2	74	64.6
6309	630	9	85.5	79.2	67.5	65.6
6402	640	2	71.2	70.5	72.7	62.7
6403	640	3	71.2	70.5	73.9	64.3
6404	640	4	71.2	70.5	80.4	81.4
6405	640	5	71.2	70.5	73.9	64.3
6409	640	9	45	59.4	67.5	64.3
6502	650	2	71.2	70.5	72.7	62.7
6503	650	3	71.2	70.5	73.9	63.3
6504	650	4	71.2	70.5	80.4	63.3
6505	650	5	71.2	70.5	73.9	63.3
6509	650	9	85.5	79.2	67.5	65.6
6602	660	2	71.2	70.5	72.7	67.3
6603	660	3	71.2	70.5	75.2	74.8
6604	660	4	71.2	70.5	73	84.1
6605	660	5	71.2	70.5	73	68.4
6609	660	9	45	70.5	73	70.1
6702	670	2	81.3	80.2	72.7	62.7
6703	670	3	81.3	80.2	75.2	74.8
6704	670	4	81.3	80.2	80.4	81.4
6705	670	5	81.3	80.2	74.6	64.9
6709	670	9	81.3	80.2	74.6	65.6
6802	680	2	55	57.8	72.7	62.7
6803	680	3	55	57.8	75.2	64.6
