OCC60	STDEMPST	USEMPST	MCAMSIS	FCAMSIS
0	-4	4	74.4	62.8
0	-3	3	80.9	63.9
0	0	0	79.51	63.87
0	1	-1	78.2	67.1
0	2	1	78.2	67.1
0	5	2	74.4	67.1
0	6	-2	79.67	63.65
10	-4	4	81.2	73.7
10	-3	3	81.2	73.7
10	0	0	80.38	73.81
10	1	-1	72.4	75.3
10	2	1	72.4	75.3
10	5	2	74.4	75.6
10	6	-2	81.2	73.7
12	-4	4	99	70.1
12	-3	3	79.6	84.9
12	0	0	82.71	84.9
12	1	-1	79.6	75.6
12	2	1	79.6	75.6
12	5	2	74.4	75.6
12	6	-2	82.92	84.9
13	-4	4	83.2	70.1
13	-3	3	83.2	66.7
13	0	0	83.23	69.56
13	1	-1	83.3	75.3
13	2	1	83.3	75.3
13	5	2	74.4	75.6
13	6	-2	83.2	66.7
14	-4	4	85.3	80.4
14	-3	3	75.3	66.7
14	0	0	75.94	71.71
14	1	-1	72.41	75.31
14	2	1	72.4	75.3
14	5	2	74.4	75.6
14	6	-2	77.04	71.03
15	-4	4	72.7	70.1
15	-3	3	72.7	73.7
15	0	0	72.7	73.87
15	1	-1	72.7	75.3
15	2	1	72.7	75.3
15	5	2	74.4	75.6
15	6	-2	72.7	73.7
20	-4	4	78.3	74.3
20	-3	3	78.3	74.3
20	0	0	77.78	83.94
20	1	-1	76.4	95.51
20	2	1	76.4	96.1
20	5	2	74.4	75.6
20	6	-2	78.3	74.3
21	-4	4	91.1	84.9
21	-3	3	79.7	84.9
21	0	0	81.12	84.72
21	1	-1	78.2	65.6
21	2	1	78.2	65.6
21	5	2	74.4	75.6
21	6	-2	81.14	84.9
22	-4	4	78.4	70.1
22	-3	3	71.3	84.9
22	0	0	71.3	68.17
22	1	-1	71.3	65.6
22	2	1	71.3	65.6
22	5	2	74.4	75.6
22	6	-2	71.3	84.9
23	-4	4	63.7	70.1
23	-3	3	63.7	43.9
23	0	0	63.82	43.9
23	1	-1	65	43.9
23	2	1	65	43.9
23	5	2	65	43.9
23	6	-2	63.7	43.9
30	-4	4	78.6	69.6
30	-3	3	78.6	81.7
30	0	0	78.6	81.7
30	1	-1	77.9	67.3
30	2	1	77.9	67.3
30	5	2	77.9	67.3
30	6	-2	78.6	81.7
31	-4	4	91.7	69.6
31	-3	3	78.1	84.5
31	0	0	91.7	77.05
31	1	-1	77.9	67.3
31	2	1	77.9	67.3
31	5	2	77.9	67.3
31	6	-2	91.7	77.05
32	-4	4	67.5	89.8
32	-3	3	90.2	84.5
32	0	0	73.85	87.63
32	1	-1	77.9	67.3
32	2	1	77.9	67.3
32	5	2	77.9	67.3
32	6	-2	73.85	87.63
34	-4	4	97.7	89.8
34	-3	3	90.2	84.5
34	0	0	95.6	87.68
34	1	-1	77.9	67.3
34	2	1	77.9	67.3
34	5	2	77.9	67.3
34	6	-2	95.6	87.68
35	-4	4	93.4	69.6
35	-3	3	99	67.7
35	0	0	95.5	67.97
35	1	-1	77.9	67.3
35	2	1	77.9	67.3
35	5	2	77.9	67.3
35	6	-2	95.5	68.65
40	-4	4	96.8	89.8
40	-3	3	92.2	84.5
40	0	0	95.44	87.15
40	1	-1	77.9	67.3
40	2	1	77.9	67.3
40	5	2	77.9	67.3
40	6	-2	95.44	87.15
41	-4	4	96.8	69.6
41	-3	3	92.2	67.7
41	0	0	95.38	67.97
41	1	-1	77.9	67.3
41	2	1	77.9	67.3
41	5	2	77.9	67.3
41	6	-2	95.38	68.65
42	-4	4	92	89.8
42	-3	3	74.7	84.5
42	0	0	84.31	87.52
42	1	-1	77.9	67.3
42	2	1	77.9	67.3
42	5	2	77.9	67.3
42	6	-2	84.31	87.52
43	-4	4	77.8	89.8
43	-3	3	77.8	84.5
43	0	0	77.8	87.44
43	1	-1	77.8	67.3
43	2	1	77.8	67.3
43	5	2	77.9	67.3
43	6	-2	77.8	87.44
45	-4	4	85.2	69.6
45	-3	3	74.7	84.5
45	0	0	81.35	84.5
45	1	-1	77.9	67.3
45	2	1	77.9	67.3
45	5	2	77.9	67.3
45	6	-2	81.35	84.5
50	-4	4	97.7	89.8
50	-3	3	90.2	84.5
50	0	0	96.09	88.28
50	1	-1	77.9	67.3
50	2	1	77.9	67.3
50	5	2	77.9	67.3
50	6	-2	96.09	88.28
51	-4	4	77.3	69.6
51	-3	3	78.1	84.5
51	0	0	77.8	84.5
51	1	-1	77.9	67.3
51	2	1	77.9	67.3
51	5	2	77.9	67.3
51	6	-2	77.7	84.5
52	-4	4	85.2	89.8
52	-3	3	78.1	67.7
52	0	0	85.2	89.8
52	1	-1	77.9	67.3
52	2	1	77.9	67.3
52	5	2	77.9	67.3
52	6	-2	85.2	89.8
53	-4	4	93.4	83.9
53	-3	3	99	83.5
53	0	0	95.58	83.75
53	1	-1	77.9	83.5
53	2	1	77.9	83.5
53	5	2	77.9	67.3
53	6	-2	95.74	83.76
54	-4	4	85.7	84.8
54	-3	3	99	81.7
54	0	0	92.15	83.25
54	1	-1	99	67.3
54	2	1	99	67.3
54	5	2	77.9	67.3
54	6	-2	92.1	83.25
60	-4	4	88.2	59.5
60	-3	3	87.7	71.9
60	0	0	87.96	66.22
60	1	-1	87.7	67.3
60	2	1	87.7	67.3
60	5	2	77.9	67.3
60	6	-2	87.97	66.22
70	-4	4	77.3	67
70	-3	3	63.7	67
70	0	0	65.5	67.2
70	1	-1	70.9	67.6
70	2	1	70.9	67.6
70	5	2	77.9	67.6
70	6	-2	63.7	67
71	-4	4	91.9	74.5
71	-3	3	91.9	74.5
71	0	0	88.85	71.93
71	1	-1	88.5	66.08
71	2	1	88.5	65.6
71	5	2	77.9	67.3
71	6	-2	91.9	74.5
72	-4	4	72.8	69.7
72	-3	3	76.4	69.7
72	0	0	75.56	71.41
72	1	-1	70.9	79.4
72	2	1	70.9	79.4
72	5	2	77.9	79.4
72	6	-2	76.18	69.7
73	-4	4	71.2	62.6
73	-3	3	71.2	60.7
73	0	0	71.32	61.41
73	1	-1	72.7	62.9
73	2	1	72.7	60.7
73	5	2	77.9	67.3
73	6	-2	71.2	61.4
74	-4	4	68.8	80
74	-3	3	68.1	64.4
74	0	0	68.23	66.84
74	1	-1	72.7	72.1
74	2	1	72.7	73.7
74	5	2	77.9	67.3
74	6	-2	68.17	66.74
75	-4	4	87.7	74.6
75	-3	3	85.1	72.3
75	0	0	84.89	72.48
75	1	-1	76.4	73.7
75	2	1	76.4	73.7
75	5	2	77.9	73.7
75	6	-2	85.29	72.4
80	-4	4	99	69.6
80	-3	3	80.1	76.8
80	0	0	81.45	76.8
80	1	-1	77.9	67.3
80	2	1	77.9	67.3
80	5	2	77.9	67.3
80	6	-2	81.45	76.8
81	-4	4	90.7	69.6
81	-3	3	90.7	76.8
81	0	0	90.52	66.55
81	1	-1	78.7	60.4
81	2	1	78.7	60.4
81	5	2	77.9	67.3
81	6	-2	90.7	76.8
82	-4	4	70.3	60.8
82	-3	3	78.3	60.8
82	0	0	74.78	60.7
82	1	-1	86.6	60.4
82	2	1	86.6	63.85
82	5	2	77.9	60.4
82	6	-2	74.32	60.8
83	-4	4	80.8	60.8
83	-3	3	81.4	60.8
83	0	0	81.31	60.8
83	1	-1	78.7	67.3
83	2	1	78.7	67.3
83	5	2	77.9	67.3
83	6	-2	81.34	60.8
84	-4	4	87.8	60.8
84	-3	3	77.8	60.8
84	0	0	79.62	60.8
84	1	-1	78.7	67.3
84	2	1	78.7	67.3
84	5	2	77.9	67.3
84	6	-2	79.63	60.8
85	-4	4	73.3	76.8
85	-3	3	77.8	76.8
85	0	0	77.41	76.8
85	1	-1	78.7	67.3
85	2	1	78.7	67.3
85	5	2	77.9	67.3
85	6	-2	77.38	76.8
90	-4	4	71.7	69.6
90	-3	3	71.7	76.8
90	0	0	71.75	76.8
90	1	-1	78.7	67.3
90	2	1	78.7	67.3
90	5	2	77.9	67.3
90	6	-2	71.7	76.8
91	-4	4	83.4	69.6
91	-3	3	83.4	67.7
91	0	0	83.23	67.97
91	1	-1	78.7	67.3
91	2	1	78.7	67.3
91	5	2	77.9	67.3
91	6	-2	83.4	68.65
92	-4	4	89.4	69.6
92	-3	3	89.4	76.8
92	0	0	88.74	76.8
92	1	-1	74.7	67.3
92	2	1	74.7	67.3
92	5	2	77.9	67.3
92	6	-2	89.4	76.8
93	-4	4	71.1	69.6
93	-3	3	79	76.8
93	0	0	77.28	76.8
93	1	-1	74.7	67.3
93	2	1	74.7	67.3
93	5	2	77.9	67.3
93	6	-2	77.5	76.8
101	-4	4	77.3	65.8
101	-3	3	49.2	65.8
101	0	0	52.83	68.4
101	1	-1	57.9	73.2
101	2	1	57.9	73.7
101	5	2	77.9	67.3
101	6	-2	49.2	65.8
102	-4	4	66.5	62.1
102	-3	3	78.1	80.7
102	0	0	66.5	69.44
102	1	-1	77.9	67.3
102	2	1	77.9	67.3
102	5	2	77.9	67.3
102	6	-2	66.5	69.44
103	-4	4	59.2	55.8
103	-3	3	69	55.8
103	0	0	61.34	55.8
103	1	-1	69	67.3
103	2	1	69	67.3
103	5	2	77.9	67.3
103	6	-2	61.17	55.8
104	-4	4	65.8	69.6
104	-3	3	65.8	67.7
104	0	0	67.64	67.65
104	1	-1	70.3	67.64
