OCCBST	OCC	EMPST	HITCS	WITCS	HISCS	WISCS
31	3	1	86.1	85.8	57.2	56.6
32	3	2	86.1	85.8	48.8	59.2
33	3	3	86.1	85.8	66.5	65.9
34	3	4	86.1	85.8	76.9	77
35	3	5	86.1	85.8	63.8	58.1
39	3	9	86.1	85.8	76.9	77
41	4	1	56.4	55.5	57.2	56.6
42	4	2	56.4	55.5	48.8	59.2
43	4	3	56.4	55.5	66.5	65.9
44	4	4	56.4	55.5	52	49.4
45	4	5	56.4	55.5	63.8	58.1
49	4	9	56.4	55.5	52	49.4
51	5	1	67.7	57.2	57.2	56.6
52	5	2	67.7	57.2	48.8	59.2
53	5	3	67.7	57.2	66.5	65.9
54	5	4	67.7	57.2	63	52.8
55	5	5	67.7	57.2	63.8	58.1
59	5	9	67.7	57.2	63	52.8
61	6	1	60.2	54	57.2	56.6
62	6	2	60.2	54	48.8	59.2
63	6	3	60.2	54	66.5	65.9
64	6	4	60.2	54	55.5	48.7
65	6	5	60.2	54	63.8	58.1
69	6	9	60.2	54	55.5	48.7
71	7	1	72.2	60.4	73.8	62.3
72	7	2	72.2	60.4	48.8	59.2
73	7	3	72.2	60.4	64.7	74.6
74	7	4	72.2	60.4	69.2	59.9
75	7	5	72.2	60.4	72.9	59.2
79	7	9	72.2	60.4	72.5	59.2
81	8	1	59.8	62	53.5	62.3
82	8	2	59.8	62	44.1	73.9
83	8	3	59.8	62	52.5	74.6
84	8	4	59.8	62	52.8	58.2
85	8	5	59.8	62	61.9	61
89	8	9	59.8	62	58.5	61.9
91	9	1	66.5	63.1	71.7	62.3
92	9	2	66.5	63.1	48.8	59.2
93	9	3	66.5	63.1	76.5	74.6
94	9	4	66.5	63.1	54.4	62.4
95	9	5	66.5	63.1	66.6	62.4
99	9	9	66.5	63.1	64.8	62.4
131	13	1	70.4	67.6	69.6	74.3
132	13	2	70.4	67.6	50.5	73.9
133	13	3	70.4	67.6	67	81.7
134	13	4	70.4	67.6	65.4	67.5
135	13	5	70.4	67.6	71.5	67.5
139	13	9	70.4	67.6	71.2	68.2
141	14	1	75.1	64.2	65.1	54.3
142	14	2	75.1	64.2	48.8	73.9
143	14	3	75.1	64.2	65.1	45.2
144	14	4	75.1	64.2	72.5	62.4
145	14	5	75.1	64.2	77.7	65.7
149	14	9	75.1	64.2	74.2	63.5
151	15	1	68.9	59.9	71.7	62.3
152	15	2	68.9	59.9	48.8	73.9
153	15	3	68.9	59.9	76.5	74.6
154	15	4	68.9	59.9	59.4	49.3
155	15	5	68.9	59.9	70.2	58.7
159	15	9	68.9	59.9	67.4	57.1
161	16	1	56.5	38.4	57.2	56.6
162	16	2	56.5	38.4	48.8	59.2
163	16	3	56.5	38.4	66.5	65.9
164	16	4	56.5	38.4	50.3	35.4
165	16	5	56.5	38.4	63.8	58.1
169	16	9	56.5	38.4	50.3	35.4
171	17	1	55.2	44.4	50.5	44.7
172	17	2	55.2	44.4	44.1	54.9
173	17	3	55.2	44.4	54.1	58.2
174	17	4	55.2	44.4	43.3	36.4
175	17	5	55.2	44.4	49.9	38.4
179	17	9	55.2	44.4	50.4	39.9
181	18	1	61.9	54.1	71.7	59.9
182	18	2	61.9	54.1	50.5	58.1
183	18	3	61.9	54.1	76.5	68.8
184	18	4	61.9	54.1	57.1	47.1
185	18	5	61.9	54.1	61.7	51.9
189	18	9	61.9	54.1	64.9	53.1
191	19	1	59.5	42.5	63.1	59.9
192	19	2	59.5	42.5	48.8	59.2
193	19	3	59.5	42.5	64.7	68.8
194	19	4	59.5	42.5	57.1	54.4
195	19	5	59.5	42.5	57.1	51.9
199	19	9	59.5	42.5	59.1	57.7
211	21	1	62.9	64.3	57.4	60
212	21	2	62.9	64.3	48.8	58.1
213	21	3	62.9	64.3	49.8	66.9
214	21	4	62.9	64.3	60.4	49.2
215	21	5	62.9	64.3	62.3	64.3
219	21	9	62.9	64.3	61.4	62.7
221	22	1	63.3	62.6	55.7	60
222	22	2	63.3	62.6	50.5	58.1
223	22	3	63.3	62.6	68.4	66.9
224	22	4	63.3	62.6	58.2	59.4
225	22	5	63.3	62.6	62.6	59.9
229	22	9	63.3	62.6	62.2	60.2
231	23	1	69.4	63.7	70.3	71.2
232	23	2	69.4	63.7	64.4	74.1
233	23	3	69.4	63.7	74.8	74.6
234	23	4	69.4	63.7	61.3	53.8
235	23	5	69.4	63.7	68.3	63.3
239	23	9	69.4	63.7	67.7	62.5
241	24	1	73.3	58.7	71.6	71.7
242	24	2	73.3	58.7	64.4	69
243	24	3	73.3	58.7	73.4	74.6
244	24	4	73.3	58.7	65.4	54.9
245	24	5	73.3	58.7	72	57.7
249	24	9	73.3	58.7	72	57.7
251	25	1	71.9	60.6	71.6	55.6
252	25	2	71.9	60.6	64.4	74.1
253	25	3	71.9	60.6	72.6	74.6
254	25	4	71.9	60.6	65.4	54.9
255	25	5	71.9	60.6	71.5	59.8
259	25	9	71.9	60.6	71	59.1
261	26	1	76.6	77	77.4	83
262	26	2	76.6	77	64.4	95.1
263	26	3	76.6	77	76.3	95.1
264	26	4	76.6	77	69.3	61.5
265	26	5	76.6	77	77.5	73.3
269	26	9	76.6	77	76.4	75.7
271	27	1	58.8	63.9	66.6	78.3
272	27	2	58.8	63.9	64.4	63.5
273	27	3	58.8	63.9	85.7	73.9
274	27	4	58.8	63.9	50.9	54.8
275	27	5	58.8	63.9	56.9	63.7
279	27	9	58.8	63.9	55.7	62.1
281	28	1	50.1	41.6	54.9	61.8
282	28	2	50.1	41.6	54.9	69
283	28	3	50.1	41.6	54.9	77.4
284	28	4	50.1	41.6	44	55.1
285	28	5	50.1	41.6	44	34.7
289	28	9	50.1	41.6	46.7	34.7
291	29	1	55.9	57.8	52.5	61.8
292	29	2	55.9	57.8	64.4	63.5
293	29	3	55.9	57.8	68.5	73.9
294	29	4	55.9	57.8	53.8	55.8
295	29	5	55.9	57.8	53.8	55.8
299	29	9	55.9	57.8	54.8	56.1
331	33	1	57.5	54.7	63.9	61.8
332	33	2	57.5	54.7	64.4	63.5
333	33	3	57.5	54.7	55.9	73.9
334	33	4	57.5	54.7	51.3	53.7
335	33	5	57.5	54.7	56	53.3
339	33	9	57.5	54.7	55.9	53.4
341	34	1	64.2	69	63.9	71.2
342	34	2	64.2	69	64.4	69
343	34	3	64.2	69	55.9	74.6
344	34	4	64.2	69	51.3	64.7
345	34	5	64.2	69	65.9	64.7
349	34	9	64.2	69	62.5	64.7
351	35	1	52.8	58.8	52.5	71.7
352	35	2	52.8	58.8	50.5	69
353	35	3	52.8	58.8	68.5	73.9
354	35	4	52.8	58.8	48.1	54.2
355	35	5	52.8	58.8	48.9	51.6
359	35	9	52.8	58.8	48.4	61
361	36	1	57.4	57.5	63.9	78.3
362	36	2	57.4	57.5	64.4	69
363	36	3	57.4	57.5	55.9	77.4
364	36	4	57.4	57.5	52.3	54.2
365	36	5	57.4	57.5	56.2	51.6
369	36	9	57.4	57.5	52.8	53.6
371	37	1	59.1	63	63.9	78.3
372	37	2	59.1	63	50.5	63.5
373	37	3	59.1	63	55.9	73.9
374	37	4	59.1	63	58.1	58.7
375	37	5	59.1	63	54.8	60.7
379	37	9	59.1	63	55.7	60.3
431	43	1	77.6	81.1	78.7	89.5
432	43	2	77.6	81.1	64.4	81.5
433	43	3	77.6	81.1	80.6	89.5
434	43	4	77.6	81.1	70.9	78.3
435	43	5	77.6	81.1	79.1	78.3
439	43	9	77.6	81.1	78.4	81.5
441	44	1	70.1	76.2	75.4	72
442	44	2	70.1	76.2	69.2	76.7
443	44	3	70.1	76.2	67.6	76.7
444	44	4	70.1	76.2	72.7	76.7
445	44	5	70.1	76.2	68.9	76.7
449	44	9	70.1	76.2	69.2	76.7
451	45	1	72.5	71.1	70.7	78.6
452	45	2	72.5	71.1	73.2	78
453	45	3	72.5	71.1	67.6	73.4
454	45	4	72.5	71.1	72.7	66.9
455	45	5	72.5	71.1	73.2	66.9
459	45	9	72.5	65.1	73.2	70.3
461	46	1	70.8	71.1	75.4	72
462	46	2	70.8	71.1	66.1	78
463	46	3	70.8	71.1	73.3	73.4
464	46	4	70.8	71.1	72.7	73.6
465	46	5	70.8	71.1	66.1	66.9
469	46	9	70.8	65.1	66.1	70.3
471	47	1	77.5	71.1	75.4	78.6
472	47	2	77.5	71.1	83.2	78
473	47	3	77.5	71.1	67.6	73.4
474	47	4	77.5	71.1	72.7	73.6
475	47	5	77.5	71.1	83.2	66.9
479	47	9	77.5	65.1	83.2	70.3
481	48	1	73.8	65.1	75.4	66.9
482	48	2	73.8	65.1	72.6	66.9
483	48	3	73.8	65.1	67.6	66.9
484	48	4	73.8	65.1	72.7	66.9
485	48	5	73.8	65.1	72.6	66.9
489	48	9	73.8	65.1	72.6	66.9
491	49	1	67.6	71.1	70.7	72
492	49	2	67.6	71.1	62.8	78
493	49	3	67.6	71.1	67.6	73.4
494	49	4	67.6	71.1	60.1	75.7
495	49	5	67.6	71.1	64.8	75.3
499	49	9	67.6	75.1	62.8	70.3
531	53	1	70.8	75.1	75.4	72
532	53	2	70.8	75.1	69	75.5
533	53	3	70.8	75.1	67.6	75.5
534	53	4	70.8	75.1	63.7	75.7
535	53	5	70.8	75.1	71.6	75.3
