us_occ	uso_m	uso_f
1	69.413459777832	70.528434753418
2	61.3671188354492	60.3017349243164
3	69.159553527832	74.8285903930664
4	71.2792587280273	71.1263122558594
5	67.8794937133789	68.923469543457
6	71.6153259277344	71.8890075683594
10	61.731575012207	62.942066192627
11	71.352912902832	71.9833145141602
12	70.9488067626953	59.6046142578125
13	58.7575721740723	61.6476516723633
14	55.0346527099609	57.0717735290527
15	63.3745384216309	59.9559860229492
16	51.8559875488281	51.0370330810547
20	51.1435775756836	45.0595169067383
21	48.9420738220215	46.5984001159668
22	56.8009414672852	58.0797958374023
23	77.8055572509766	70.1730270385742
30	71.1220932006836	81.8997192382813
31	44.9428253173828	39.8761787414551
32	60.7725296020508	55.840404510498
33	54.1843681335449	48.9628067016602
34	52.3710746765137	50.3544235229492
35	69.1276931762695	62.8533897399902
36	82.4758529663086	90.2813339233398
40	51.4837951660156	40.5715484619141
41	61.819637298584	54.7453536987305
42	70.1133880615234	66.2759552001953
43	63.1881484985352	64.0179290771484
50	73.8919372558594	72.43115234375
51	51.2961692810059	45.1610450744629
52	55.6802787780762	57.3767204284668
53	58.8300132751465	54.7670707702637
54	63.6112899780273	52.3774337768555
56	60.9730796813965	60.5246658325195
60	58.394401550293	53.3881607055664
62	60.699462890625	62.5291175842285
70	58.7497100830078	56.1362571716309
71	75.1116790771484	78.3508834838867
72	54.144172668457	71.7116546630859
73	54.8970336914063	56.2379531860352
80	68.5360565185547	61.9544372558594
81	66.1399917602539	56.5722122192383
82	69.0462036132813	64.3993911743164
83	70.4915466308594	56.9222526550293
84	82.2180786132813	75.1631164550781
85	76.6220169067383	69.5863571166992
86	66.8683929443359	56.3995361328125
90	72.5552444458008	62.2149276733398
91	68.9959564208984	55.8646354675293
93	64.2053909301758	50.487907409668
94	63.4873466491699	52.7190284729004
95	65.8525848388672	58.1991882324219
100	67.9807662963867	67.6488265991211
101	66.1222152709961	68.2417602539063
102	72.7057571411133	75.4117431640625
104	61.8614654541016	59.2117691040039
106	68.6476745605469	65.8856582641602
110	65.5798034667969	64.9317245483398
111	67.397705078125	70.5882339477539
120	79.0039596557617	84.4085693359375
122	71.2573928833008	72.1030502319336
124	78.2782516479492	81.8829803466797
130	77.2337417602539	82.1282653808594
131	65.6193923950195	65.5135269165039
132	70.3922882080078	83.8040313720703
135	72.5621337890625	79.4822616577148
136	69.5206832885742	73.7128295898438
140	68.0714263916016	68.5270843505859
141	68.6666030883789	71.6237258911133
142	73.6207122802734	80.6812438964844
143	61.498966217041	60.2849273681641
144	66.7408752441406	60.2849273681641
145	60.8176040649414	69.5044631958008
146	65.662467956543	71.9187240600586
151	68.4552841186523	46.1115226745605
152	69.0066833496094	68.5802536010742
153	69.7987594604492	76.3054504394531
154	54.6899642944336	57.2506484985352
155	49.3180351257324	46.1115226745605
156	50.2544097900391	46.8092956542969
160	64.105827331543	64.0430679321289
161	77.6831436157227	80.9090957641602
164	66.7475051879883	61.1952934265137
165	89.3227233886719	95.4070587158203
170	83.1168518066406	78.829345703125
171	68.7199783325195	63.5743827819824
172	71.0565948486328	74.7896957397461
174	76.919563293457	78.2966079711914
176	87.1968002319336	89.1448287963867
180	88.4861602783203	94.6669540405273
181	74.4552383422852	75.8890762329102
182	84.4990158081055	90.8080215454102
184	73.8886871337891	79.8408508300781
186	82.7641296386719	78.0185012817383
190	47.6137886047363	39.4849700927734
191	60.851375579834	54.043628692627
192	51.3021354675293	46.0358238220215
193	49.2309036254883	48.9268188476563
196	57.5572204589844	63.4767913818359
200	68.3017578125	68.90966796875
201	65.4911499023438	61.5908622741699
202	61.497142791748	53.9983863830566
204	64.50830078125	73.3183746337891
205	67.4280395507813	71.6614151000977
206	62.2744445800781	69.0739212036133
210	82.554443359375	87.7205200195313
211	74.9203643798828	68.5831069946289
214	66.1606369018555	59.6668128967285
215	67.9470291137695	55.5143280029297
220	80.6331558227539	80.0164489746094
230	58.3009834289551	56.9263801574707
231	66.0141830444336	68.8703765869141
232	66.6853485107422	73.1208343505859
233	69.0600280761719	64.5104675292969
234	58.7424736022949	66.933479309082
240	77.1386489868164	80.1673736572266
243	77.3701858520508	76.0140991210938
244	56.2489242553711	53.2818374633789
254	59.0055694580078	49.0096397399902
255	75.0138778686523	72.8123626708984
260	66.6041412353516	70.718132019043
263	61.6103324890137	64.3115386962891
270	72.5990753173828	82.2271347045898
271	75.3410034179688	79.5337524414063
272	67.835075378418	68.3898086547852
274	62.5294914245605	44.594165802002
275	65.8146743774414	75.1101760864258
276	62.3568992614746	56.9570655822754
280	56.7007217407227	57.7398796081543
281	75.3022079467773	77.6501312255859
282	72.8825149536133	76.1636428833008
283	75.1452560424805	80.0179901123047
284	68.5564651489258	78.9929504394531
285	80.6044845581055	84.9337844848633
286	60.8264541625977	63.0250015258789
290	60.7251129150391	55.2201728820801
291	70.3661804199219	56.5049781799316
292	71.5299758911133	71.2458114624023
300	67.2807388305664	70.3224639892578
301	75.0731506347656	81.8405532836914
303	49.4587745666504	62.7490997314453
304	71.1776809692383	83.852897644043
305	68.0195465087891	74.8716735839844
306	81.2613983154297	88.415168762207
311	62.0519866943359	65.8336944580078
312	72.0222625732422	83.7760009765625
313	59.6358413696289	62.5798797607422
314	75.6293411254883	85.0810317993164
315	69.8576202392578	76.129508972168
316	71.2482452392578	77.7166519165039
320	64.6735305786133	62.5963859558105
321	68.598014831543	61.7536468505859
322	64.8454513549805	54.5015907287598
323	83.7254257202148	81.2553176879883
324	70.5900344848633	70.3312301635742
325	71.3430862426758	76.8229904174805
326	69.2654647827148	71.8920745849609
