soc2000	stdempst	usempst	mcamsis	fcamsis
1	-6	5	69.3	67.5
1	-5	4	73.1	70.2
1	-4	3	72.1	67.8
1	-3	1	72.4	72.8
1	0	0	70.7	68.22
1	1	-1	72.13	68.37
1	2	-5	72.12	68.32
1	5	2	73.5	70.4
1	6	-2	69.92	68.16
2	-6	5	58.6	58.5
2	-5	4	62.2	65.1
2	-4	3	71	76.5
2	-3	1	70.2	66.9
2	0	0	60.16	60.8
2	1	-1	70.72	72.92
2	2	-5	70.8	73.24
2	5	2	65.9	68.3
2	6	-2	59.21	59.96
3	-6	5	74.5	73.2
3	-5	4	74.5	73.2
3	-4	3	74.5	73.2
3	-3	1	74.5	73.2
3	0	0	74.5	73.2
3	1	-1	74.5	73.2
3	2	-5	74.5	73.2
3	5	2	74.5	73.2
3	6	-2	74.5	73.2
4	-6	5	69.1	66.8
4	-5	4	67.4	70
4	-4	3	76.1	90.4
4	-3	1	73.8	90.4
4	0	0	69.94	68.3
4	1	-1	75	90.4
4	2	-5	75	90.4
4	5	2	70.1	68.3
4	6	-2	68.96	67.02
5	-6	5	64.8	65
5	-5	4	67.4	69.4
5	-4	3	69	73
5	-3	1	72.5	75.5
5	0	0	65.32	66.02
5	1	-1	70.3	74.33
5	2	-5	70.36	74.49
5	5	2	66.9	70.4
5	6	-2	64.9	65.39
6	-6	5	66.3	63.2
6	-5	4	76.4	74.8
6	-4	3	69	73
6	-3	1	72.5	75.5
6	0	0	70.64	69.09
6	1	-1	70.57	74.59
6	2	-5	70.9	74.59
6	5	2	66.9	69
6	6	-2	70.65	68.96
10	-6	5	57.2	62
10	-5	4	59.4	62.6
10	-4	3	71	72.2
10	-3	1	70.2	58.3
10	0	0	58.47	62.55
10	1	-1	70.74	68.08
10	2	-5	70.74	68.08
10	5	2	58.1	62.2
10	6	-2	58.09	62.2
11	-6	5	68.9	66.8
11	-5	4	65.3	67.6
11	-4	3	76.4	76.3
11	-3	1	69	72.2
11	0	0	68.34	67.14
11	1	-1	73.72	74.5
11	2	-5	73.82	73.98
11	5	2	66.9	80.5
11	6	-2	68.2	66.98
12	-6	5	66.7	57.3
12	-5	4	66.2	56.9
12	-4	3	69.5	76.3
12	-3	1	69	72.2
12	0	0	66.76	57.97
12	1	-1	69.21	75.3
12	2	-5	69.28	74.92
12	5	2	66.9	80.5
12	6	-2	66.62	57.23
13	-6	5	53.5	58.7
13	-5	4	59.8	62
13	-4	3	62.7	72.2
13	-3	1	50	58.3
13	0	0	55.68	59.96
13	1	-1	57.74	66.78
13	2	-5	57.51	66.62
13	5	2	66.9	68.3
13	6	-2	55.44	59.5
14	-6	5	52.3	55.1
14	-5	4	46.5	63.6
14	-4	3	67.7	65.1
14	-3	1	53.8	65.7
14	0	0	52.55	55.98
14	1	-1	62.37	64.75
14	2	-5	62.31	65.4
14	5	2	66.9	41.7
14	6	-2	52.08	55.47
15	-6	5	60.1	56.5
15	-5	4	61.3	59.2
15	-4	3	71	76.3
15	-3	1	70.2	58.3
15	0	0	60.54	57.32
15	1	-1	70.73	68.56
15	2	-5	70.73	68.58
15	5	2	60.3	68.3
15	6	-2	60.33	57.15
16	-6	5	50.1	51.1
16	-5	4	48.7	55.8
16	-4	3	72	65.1
16	-3	1	59.2	65.7
16	0	0	50.59	52.59
16	1	-1	68.72	64.18
16	2	-5	68.76	65.31
16	5	2	66.9	41.7
16	6	-2	49.9	52.05
20	-6	5	46.4	48.9
20	-5	4	48.5	48.9
20	-4	3	55.6	49.8
20	-3	1	51.9	49.3
20	0	0	52.13	49.43
20	1	-1	55.6	49.8
20	2	-5	55.6	49.8
20	5	2	51.9	49.3
20	6	-2	46.55	48.9
21	-6	5	50.1	52.2
21	-5	4	50.1	52.2
21	-4	3	50.1	52.2
21	-3	1	50.1	52.2
21	0	0	50.1	52.2
21	1	-1	50.1	52.2
21	2	-5	50.1	52.2
21	5	2	50.1	52.2
21	6	-2	50.1	52.2
22	-6	5	56.2	56.1
22	-5	4	51.3	77.2
22	-4	3	64.7	62.5
22	-3	1	56.6	62.4
22	0	0	57.78	59.48
22	1	-1	60.03	61.88
22	2	-5	60.02	62.46
22	5	2	65.9	41.7
22	6	-2	55.87	58.12
23	-6	5	63.7	57.7
23	-5	4	71.8	68.7
23	-4	3	78.2	55.2
23	-3	1	75	54.6
23	0	0	71.21	66.4
23	1	-1	77.18	54.95
23	2	-5	77.18	54.94
23	5	2	71	55.2
23	6	-2	71.08	66.89
30	-6	5	69.2	78.7
30	-5	4	66.3	78.7
30	-4	3	84.1	71.5
30	-3	1	56.6	63.4
30	0	0	69.02	78.45
30	1	-1	76.76	69.47
30	2	-5	76.97	69.47
30	5	2	65.9	78.7
30	6	-2	68.8	78.7
31	-6	5	43	39
31	-5	4	51.2	42.6
31	-4	3	56.6	54.9
31	-3	1	51.3	46.5
31	0	0	47.86	42.56
31	1	-1	54.23	50.14
31	2	-5	54.38	50.68
31	5	2	47.9	38.5
31	6	-2	43.37	39.43
32	-6	5	57.5	56.3
32	-5	4	63.7	51.7
32	-4	3	70.1	71.5
32	-3	1	65.5	71.5
32	0	0	61.42	60.63
32	1	-1	68.4	71.5
32	2	-5	68.4	71.5
32	5	2	61.1	56.3
32	6	-2	57.62	56.17
33	-6	5	47.5	51.7
33	-5	4	58.5	51.7
33	-4	3	86.7	71.4
33	-3	1	59.5	61.8
33	0	0	55.66	53.15
33	1	-1	74	65.22
33	2	-5	74	65.22
33	5	2	54.8	51.7
33	6	-2	50.04	51.7
34	-6	5	47.9	49.7
34	-5	4	57.1	55.8
34	-4	3	64.5	71.4
34	-3	1	59.5	61.8
34	0	0	54.34	55.41
34	1	-1	62.03	63.84
34	2	-5	61.87	65.13
34	5	2	65.9	41.7
34	6	-2	49.23	50.6
35	-6	5	64.2	58.9
35	-5	4	67.4	61.3
35	-4	3	78.4	79
35	-3	1	68	66.2
35	0	0	66.55	60.5
35	1	-1	74.2	74.66
35	2	-5	74.28	73.82
35	5	2	66.9	79
35	6	-2	66.13	60.02
36	-6	5	84.8	82.2
36	-5	4	73.4	89.9
36	-4	3	78.4	85.2
36	-3	1	68	66.2
36	0	0	80.02	84.92
36	1	-1	74.93	66.2
36	2	-5	74.93	66.2
36	5	2	80.1	85.2
36	6	-2	80.11	85.16
40	-6	5	47.7	41.9
40	-5	4	47.7	41.9
40	-4	3	47.7	41.9
40	-3	1	47.7	41.9
40	0	0	47.7	41.9
40	1	-1	47.7	41.9
40	2	-5	47.7	41.9
40	5	2	47.7	41.9
40	6	-2	47.7	41.9
41	-6	5	55.3	51.3
41	-5	4	55.6	54.6
41	-4	3	72.3	71.5
41	-3	1	69.1	69.5
41	0	0	59.73	54.61
41	1	-1	70.21	69.8
41	2	-5	70.33	70.1
41	5	2	65.9	67.1
41	6	-2	55.35	51.75
42	-6	5	61	56.5
42	-5	4	66.2	65.5
