uniocc	veu_m	veu_f
11	68.46	45.32
12	68.46	45.32
13	68.46	45.32
14	68.46	45.32
19	68.46	45.32
20	80.1	45.32
21	80.1	45.32
22	80.1	45.32
23	80.1	45.32
24	80.1	45.32
25	80.1	45.32
27	80.1	45.32
28	80.1	45.32
29	80.1	45.32
30	62.16	67.42
32	57.18	67.42
33	64.62	67.42
34	60.22	67.42
35	55.53	67.42
36	60.22	67.42
37	60.22	67.42
38	60.22	67.42
39	60.48	67.42
41	67.43	45.32
42	67.43	45.32
43	67.43	45.32
51	64.37	79.57
52	64.37	79.57
54	64.37	79.57
59	64.37	79.57
61	70.19	72.57
62	50.08	45.32
63	70.19	72.57
64	50.08	45.32
65	70.19	72.57
66	50.08	57.29
67	70.19	72.57
68	50.08	45.32
69	60.22	45.32
70	70.19	72.57
71	50.08	55.08
72	50.08	45.32
73	63.62	55.08
75	70.19	72.57
76	50.08	45.32
77	70.19	72.57
79	70.19	72.57
81	68.88	71.04
83	68.88	71.04
85	68.88	71.04
89	68.88	71.04
90	60.22	45.32
91	60.22	45.32
92	60.22	45.32
93	60.22	45.32
110	68.31	58.49
121	65.33	75.41
122	65.33	75.41
129	65.33	67.94
131	84.37	80.59
132	68.5	70.83
133	57.83	58.49
134	65.98	63.18
135	65.98	73.04
138	56.17	47.17
139	65.98	62.58
141	65.98	58.49
149	65.98	58.49
151	68.98	58.49
158	68.98	58.49
159	68.98	58.49
161	51.91	70.08
162	51.31	70.08
163	51.91	70.08
171	56.13	58.49
172	56.13	58.49
173	56.13	58.49
174	56.13	58.49
175	56.13	58.49
179	56.13	58.49
180	61.68	58.49
190	60.72	64.73
191	60.72	66.09
192	60.72	64.73
193	60.72	64.73
194	60.72	64.73
195	60.72	64.73
196	60.72	64.73
197	60.72	64.73
198	60.72	64.73
199	63.17	62.11
201	65.28	62.76
202	65.28	62.76
203	65.28	62.76
204	65.28	62.76
205	65.28	62.76
209	65.28	62.76
210	62.89	68.02
211	62.3	68.02
212	63.71	68.02
213	62.89	68.02
214	62.89	68.02
215	62.2	68.02
216	62.08	68.02
217	68.66	68.02
218	67.64	68.02
219	62.89	68.02
220	66.31	63.79
230	67.18	69.27
240	64.52	63.79
250	66.31	63.79
260	61.23	65.62
290	65.84	63.79
299	50.75	63.79
300	64.65	64.52
309	52.44	56.35
310	67.42	70.4
319	56.78	70.4
321	52.92	56.94
322	52.92	55.74
331	59.62	53.97
339	56.06	62.8
341	63.61	58.46
342	63.61	58.46
351	55.89	56.94
352	55.89	56.94
359	55.89	56.94
360	57.99	56.94
370	39.71	46.17
380	51.87	54.54
391	47.04	47.68
392	57.99	57.72
393	57.99	57.72
394	57.99	48.58
395	57.46	52.32
399	57.43	59.44
401	69.76	65.3
402	62.77	65.3
409	62.77	65.3
410	49.36	44.12
421	61.93	61.57
422	58.42	61.57
431	58.84	56.68
432	58.84	56.68
439	58.84	56.68
441	65.02	56.45
442	62.15	56.45
443	65.02	56.45
451	53.24	44.4
452	44.62	40.13
490	44.17	52.36
510	39.43	47.09
520	31.75	48.1
531	36.06	29.78
532	32.33	32.02
540	27.14	26.61
551	32.08	32.3
552	28.9	28.93
560	32.42	26.92
570	43.46	49.91
581	46.73	47.33
582	44.36	47.33
583	51.91	44.48
589	31.75	41.22
591	53.94	46.66
592	53.94	43.81
593	53.94	46.66
594	53.94	46.66
595	53.94	46.66
596	53.94	46.66
598	49.79	46.66
599	37.21	36.03
601	35.73	23.74
602	35.73	23.74
611	35.73	23.74
612	35.73	23.74
613	35.73	23.74
614	35.73	23.74
621	20.64	26.46
622	25.04	26.46
623	23.14	26.46
624	20.64	26.46
625	15.41	26.46
626	20.64	26.46
627	19.31	26.46
628	22.56	26.46
629	18.64	26.46
631	42.82	23.74
632	42.82	23.74
641	24.32	23.74
642	24.32	23.74
649	24.32	23.74
700	57.05	54.75
711	45.1	37.45
712	45.1	37.45
713	45.1	37.45
714	45.1	37.45
715	45.1	37.45
721	39.27	37.45
722	39.27	37.45
723	39.27	37.45
724	39.27	37.45
725	39.27	37.45
726	39.27	37.45
728	39.27	37.45
729	39.27	37.45
731	32.78	37.45
732	32.78	37.45
734	32.78	37.45
741	49.15	40.46
743	49.15	40.46
744	49.15	40.46
745	61.76	40.46
749	49.15	40.46
751	27.4	34.91
752	27.4	34.91
753	27.4	34.91
754	27.4	34.91
755	27.4	34.91
756	27.4	34.91
759	27.4	34.91
761	57.05	37.45
762	57.05	37.45
771	30.34	31.26
772	30.34	31.26
773	30.34	31.26
774	30.34	31.26
775	30.34	31.26
776	36.41	31.26
777	30.34	31.26
778	43.21	31.26
779	36.41	34.13
781	57.05	37.45
782	57.05	37.45
783	57.05	37.45
789	57.05	37.45
791	41.81	37.45
792	42.78	37.45
793	41.81	37.26
794	41.81	37.45
795	41.81	35.12
796	44.36	37.45
799	41.81	37.45
801	32.43	40.03
802	36.92	40.03
803	36.92	40.03
811	31.39	40.03
812	31.39	40.03
819	31.39	40.03
820	46.96	40.03
831	39.73	40.03
832	39.73	40.03
833	39.73	40.03
834	39.73	40.03
835	39.73	40.03
839	40.39	40.03
841	46.96	40.03
842	51.82	40.03
843	43.21	40.03
844	46.96	40.03
849	46.96	40.03
851	50.91	43.95
852	46.22	43.95
853	46.22	43.95
854	43.63	43.95
855	46.22	43.95
856	46.22	43.95
857	51.7	43.95
859	46.22	43.95
861	51.98	40.03
862	51.98	40.03
871	35.01	40.03
872	38.61	40.03
873	39.97	40.03
874	38.61	40.03
880	46.96	40.03
891	33.46	41.22
892	33.46	41.22
893	33.46	41.22
894	33.46	41.22
895	33.46	41.22
899	33.46	41.22
901	37.08	32.89
902	37.08	32.89
910	42.82	37.41
921	48.52	42.22
922	48.52	42.22
924	48.52	42.22
925	48.52	42.22
926	48.52	42.22
927	48.52	42.22
929	48.52	42.22
931	27.78	37.41
939	35.9	37.41
941	49.28	45.28
942	49.28	45.28
943	27.33	45.28
949	49.28	45.28
951	23.79	38.09
952	23.16	38.09
953	23.79	38.09
954	29.35	38.09
955	23.79	38.09
956	23.79	38.09
957	23.79	38.09
959	36.31	38.09
961	40.76	37.41
969	40.76	37.41
971	33.65	37.41
972	33.65	37.41
973	38.36	37.41
974	37.39	37.41
979	33.65	37.41
981	38.53	51.75
982	42.82	51.75
983	42.82	51.75
985	42.82	51.75
989	42.82	51.75
991	52.3	50.94
992	52.3	50.94
10011	81.72	81.25
10012	81.72	81.25
10013	81.72	81.25
10014	81.72	81.25
10020	77.61	87.06
10021	84.15	87.06
10022	81.56	87.06
10023	77.03	87.06
10024	80.99	87.06
10025	81.56	87.06
10026	81.56	87.06
10027	81.56	87.06
10028	81.56	87.06
10029	80.85	87.06
10031	81.72	81.25
10032	81.72	81.25
10033	81.72	81.25
10034	81.72	81.25
10036	81.72	81.25
10039	81.72	81.25
10041	81.72	82.54
10051	81.72	74.52
10052	81.72	74.52
10053	81.72	74.52
10054	81.72	74.52
10061	81.72	81.25
10063	81.72	81.25
10064	81.72	81.25
10065	81.72	81.25
10067	81.72	81.25
10068	81.72	81.25
10069	81.72	81.25
10071	81.72	81.25
10072	81.72	81.25
10075	81.72	81.25
10076	81.72	81.25
10077	81.72	81.25
10079	81.72	81.25
10081	81.72	81.25
10082	81.72	81.25
10083	81.72	81.25
10085	81.72	81.25
10090	81.02	90.34
10092	81.02	90.34
10110	74.02	79.95
10121	80.78	81.71
10122	80.78	81.71
10131	79.15	90.04
10132	71.97	74.36
10133	79.15	66.41
10134	75.42	76.88
10135	79.15	76.88
10139	72.96	76.88
10159	79.15	76.88
10161	79.15	79.85
10162	79.15	79.85
10163	79.15	79.85
10171	79.15	76.88
10173	79.15	76.88
10174	79.15	76.88
10180	79.15	76.88
10191	80.81	83.65
10192	80.81	83.65
10193	80.81	83.65
10194	80.81	83.65
10195	80.81	83.65
10196	80.81	83.65
10197	80.81	83.65
10198	80.81	83.65
10199	80.81	83.65
10201	83.62	80.73
10202	83.62	80.73
10203	83.62	80.73
10204	83.62	80.73
10205	83.62	80.73
10209	83.62	80.73
10211	78.51	80.73
10212	78.51	80.73
10213	78.51	80.73
10214	78.51	80.73
10215	78.51	80.73
10216	78.51	80.73
10217	78.51	80.73
10218	78.51	80.73
10219	78.51	80.73
10220	83.62	80.73
10230	83.62	80.73
10240	83.62	80.73
10250	83.62	80.73
10260	80.76	80.73
10290	74.33	80.73
10300	76.45	81.67
10310	77.11	81.67
10321	76.45	73.04
10331	76.45	81.67
10339	76.45	81.67
10342	76.5	81.67
10359	76.45	81.67
10391	76	79.67
10392	76	79.67
10393	76	79.67
10394	76	79.67
10395	76	79.67
10399	76	79.67
10401	75.75	77.81
10402	75.75	77.81
10409	75.75	77.81
10410	75.75	77.81
10421	75.75	77.81
10422	75.75	77.81
10431	75.75	77.81
10432	75.75	77.81
10441	75.75	77.81
10442	75.75	77.81
10451	75.75	77.81
10452	75.75	77.81
10490	75.75	77.81
10510	79.15	76.88
10520	79.15	76.88
10540	79.15	76.88
10551	79.15	76.88
10560	79.15	76.88
10570	79.15	76.88
10582	79.15	76.88
10589	79.15	76.88
10593	79.15	76.88
10596	79.15	76.88
10601	79.15	80.52
10602	79.15	80.52
10611	79.15	80.52
10612	79.15	80.52
10613	79.15	80.52
10614	79.15	80.52
10621	79.15	80.52
10624	79.15	80.52
10700	74.54	76.88
10749	74.54	76.88
10801	79.15	76.88
10811	79.15	76.88
10842	79.15	76.88
10843	79.15	76.88
10844	79.15	76.88
10849	79.15	76.88
10855	79.15	76.88
10856	79.15	76.88
10873	79.15	76.88
10880	79.15	76.88
10899	79.15	76.88
10929	79.15	76.88
10931	79.15	76.88
10949	79.15	76.88
10951	79.15	76.88
10959	79.15	76.88
10985	79.15	76.88
