ve_occ	veo_m	veo_f
11	70.66	63.5
12	70.66	63.5
13	70.66	63.5
14	70.66	63.5
19	70.66	63.5
20	76.87	83.33
21	75.88	83.33
22	77.1	73.85
23	72.68	83.33
24	79.79	83.33
25	77.1	83.33
26	77.1	83.33
27	77.1	83.33
28	77.1	83.33
29	79.41	84.48
30	64.05	71.31
31	61.77	71.31
32	62.49	71.31
33	62.05	71.31
34	61.77	71.31
35	60.04	71.31
36	50.38	71.31
37	61.77	71.31
38	61.77	71.31
39	65.54	71.31
41	71.68	73.85
42	71.68	73.85
43	71.68	73.85
51	65.3	78.62
52	65.3	78.62
53	65.3	78.62
54	65.3	78.62
59	65.3	78.62
61	73	73.55
62	58.94	49.07
63	73	73.55
64	58.94	49.07
65	73	73.55
66	58.94	69.17
67	73	73.55
68	58.94	49.07
69	58.94	65.62
70	73	73.55
71	58.94	57.25
72	58.94	49.07
73	68.31	57.25
74	58.94	56.02
75	73	73.55
76	58.94	56.22
77	73	73.55
79	73	73.55
81	66.2	67.71
82	66.2	67.71
83	74.06	77.65
85	66.2	67.71
89	66.2	67.71
90	78.4	82.03
91	75.58	75.5
92	74.36	75.5
93	74.36	75.5
110	70.03	73.41
121	73.28	78.39
122	73.28	78.39
129	63.7	59.74
131	73.63	62.16
132	67.44	67.34
133	63.8	57.49
134	63.8	57.49
135	67.44	70.59
138	73.63	62.16
139	66.43	61.02
141	67.44	57.49
149	67.44	57.49
151	62.25	74.21
158	62.25	74.21
159	62.25	74.21
161	55.1	67.17
162	55.1	67.17
163	55.1	67.17
171	61.56	66.32
172	61.56	66.32
173	61.56	66.32
174	61.56	66.32
175	61.56	66.32
179	61.56	66.32
180	60.77	55.83
190	62.4	65.64
191	62.4	59
192	62.4	76.51
193	62.4	65.64
194	62.4	65.64
195	62.4	65.64
196	62.4	65.64
197	62.4	65.64
198	71.06	70.73
199	65.04	72.64
201	71.06	70.73
202	71.06	70.73
203	71.06	70.73
204	71.06	70.73
205	71.06	70.73
208	73.89	75.89
209	73.89	75.89
210	65.6	73.45
211	74.5	73.45
212	65.6	73.45
213	65.6	73.45
214	65.6	73.45
215	61.42	73.45
216	76.01	73.45
217	73.42	73.45
218	77.87	73.45
219	76.31	73.45
220	70.68	81.35
230	75.76	74.82
240	67.3	75.89
250	73.89	75.89
260	69.63	64.52
290	73.89	75.89
299	50.37	75.89
300	67.66	72.83
309	46.04	56.27
310	68.8	70.01
319	59.08	70.01
321	54.3	56.22
322	54.3	56.62
331	59.53	54.4
339	58.55	65.69
341	61.64	62.78
342	61.64	62.78
351	61.75	56.22
352	61.75	56.22
359	61.75	56.22
360	58.95	56.22
370	45.19	49.21
380	58.67	57.99
391	46.79	48.79
392	58.95	59.55
393	58.95	58.99
394	48.21	52.87
395	54.68	57.14
399	59.9	59.09
401	69.06	79.32
402	65.42	71.03
409	65.42	71.03
410	55.42	48.88
421	64.06	65.79
422	64.06	65.79
431	65.93	76.94
432	65.93	76.94
439	65.93	76.94
441	68.42	73.57
442	63.53	73.57
443	68.42	73.57
451	52.05	47.41
452	38.08	43.62
490	50.85	55.52
510	43.72	50.93
520	34.49	21.84
531	39.15	24.34
532	37.11	32.33
540	41.97	21.84
551	34.2	33.25
552	37.29	32.56
560	40.63	33.27
570	42.81	46.79
581	51.14	43.62
582	45.14	43.62
583	53.12	43.62
589	34.49	45.37
591	50.23	44.16
592	50.23	44.16
593	50.23	44.16
594	50.23	44.16
595	50.23	44.16
596	50.23	44.16
597	50.23	44.16
598	50.23	44.16
599	30.29	40.13
601	43.15	39.56
602	43.15	39.56
611	43.15	39.56
612	43.15	39.56
613	43.15	39.56
614	43.15	39.56
621	18.5	26.05
622	16.63	26.05
623	20.35	26.05
624	13.01	26.05
625	2.73	26.05
626	18.5	26.05
627	14.63	26.05
628	13.03	26.05
629	9.6	26.05
631	42.52	39.56
632	42.52	39.56
641	31.63	39.56
642	31.63	39.56
649	31.63	39.56
700	61.55	60.07
711	30.13	39.98
712	30.13	39.98
713	30.13	39.98
714	30.13	39.98
716	30.13	39.98
721	42.15	39.98
722	42.15	39.98
723	42.15	39.98
724	42.15	39.98
725	42.15	39.98
726	42.15	39.98
727	42.15	39.98
728	42.15	39.98
729	42.15	39.98
731	36.74	39.98
732	36.74	39.98
733	36.74	39.98
734	36.74	39.98
741	55.56	46.19
742	55.56	46.19
743	55.56	46.19
745	55.56	46.19
749	55.56	46.19
751	38.48	39.63
752	38.48	39.63
753	38.48	39.63
754	38.48	39.63
755	38.48	39.63
756	38.48	39.63
759	38.48	39.63
761	38.48	39.98
762	38.48	39.98
771	35.75	40.18
772	35.75	40.18
773	36.37	40.18
774	35.75	40.18
775	35.75	40.18
776	35.75	40.18
777	35.75	40.18
778	39.81	40.18
779	35.18	30.75
781	35.18	39.98
782	35.18	39.98
783	35.18	39.98
789	35.18	39.98
791	39.14	43.3
792	37.63	39.98
793	37.63	39.98
794	39.32	39.98
795	39.32	39.98
796	33.52	39.98
799	39.32	39.98
801	32.9	35.48
802	38.78	39.58
803	38.78	39.58
811	42.73	39.58
812	42.73	39.58
819	42.73	39.58
820	44.16	39.58
831	34.98	39.58
832	34.98	39.58
833	49.02	39.58
834	34.98	39.58
835	34.98	39.58
839	34.98	39.58
841	44.16	44.74
842	52.54	44.74
843	44.16	44.74
844	44.16	44.74
849	44.12	44.74
851	46.01	50.47
852	47.34	50.47
853	47.34	50.47
854	47.34	50.47
855	47.34	50.47
856	47.34	50.47
857	47.03	50.47
859	41.16	50.47
861	58.96	39.58
862	58.96	39.58
871	31.74	39.58
872	37.59	39.58
873	30.51	39.58
874	37.59	39.58
880	44.16	39.58
891	41.59	40.7
892	41.59	40.7
893	41.59	40.7
895	41.59	40.7
899	41.59	40.7
901	43.62	34.46
902	37.05	34.46
910	42.52	42.22
921	49.17	46.96
922	49.17	46.96
923	49.17	46.96
924	46.37	46.96
925	49.17	46.96
926	49.17	46.96
927	49.17	46.96
929	49.31	46.96
931	19.3	42.22
939	33.33	42.22
941	46.77	42.22
942	46.77	42.22
943	46.77	42.22
949	46.77	42.22
951	22.89	45.56
952	20.11	45.56
953	22.89	45.56
954	32.19	45.56
955	29.96	45.56
956	22.89	45.56
957	22.89	45.56
959	37.25	45.56
961	50.25	42.22
969	50.25	42.22
971	38.32	35.22
972	38.32	35.22
973	36.62	35.22
974	37.43	35.22
979	38.32	35.22
981	48.76	46.26
982	42.52	46.26
983	42.52	46.26
984	42.52	46.26
985	42.52	46.26
986	42.52	46.26
989	42.52	46.26
991	48.13	48.6
992	48.13	48.6
